year,filename,port_complex,area,category,species,check,January,February,March,April,May,June,July,August,September,October,November,December,Total,Extra
2009,landings09_table11.pdf,Monterey,Other Waters,Fishes,"Croaker, white",,0,0,0,0,0,110,"65,482",0,412,0,0,0,"66,004",
2009,landings09_table11.pdf,Monterey,Other Waters,Fishes,"Flounder, starry",,0,0,0,0,0,7,0,0,0,0,0,0,7,
2009,landings09_table11.pdf,Monterey,Other Waters,Fishes,"Greenling, kelp",,85,65,0,0,188,42,100,37,0,0,0,0,516,
2009,landings09_table11.pdf,Monterey,Other Waters,Fishes,Grenadier,,"9,009","5,192","4,223","7,564","12,283","13,200","14,182","10,416","15,930","3,115","4,276","2,706","102,096",
2009,landings09_table11.pdf,Monterey,Other Waters,Fishes,"Halibut, California",,0,162,0,141,507,"1,914","2,362","2,093","1,141",163,0,0,"8,482",
2009,landings09_table11.pdf,Monterey,Other Waters,Fishes,"Herring, Pacific",,0,0,0,"10,697",0,"153,398",0,0,0,0,0,0,"164,095",
2009,landings09_table11.pdf,Monterey,Other Waters,Fishes,Jacksmelt,,"16,994",0,0,0,0,875,"1,201","4,643","4,358",0,0,0,"28,071",
2009,landings09_table11.pdf,Monterey,Other Waters,Fishes,Lingcod,,688,139,125,116,850,837,539,662,969,802,255,137,"6,118",
2009,landings09_table11.pdf,Monterey,Other Waters,Fishes,"Mackerel, Pacific",,"30,070",25,105,0,120,69,0,0,820,0,0,0,"31,209",
2009,landings09_table11.pdf,Monterey,Other Waters,Fishes,"Mackerel, unspecified",,206,0,0,0,0,18,0,0,0,0,0,0,224,
2009,landings09_table11.pdf,Monterey,Other Waters,Fishes,Opah,,0,0,0,0,0,0,0,0,0,"1,128",910,216,"2,254",
2009,landings09_table11.pdf,Monterey,Other Waters,Fishes,"Rockfish, China",,18,17,0,0,12,8,4,0,1,3,5,0,68,
2009,landings09_table11.pdf,Monterey,Other Waters,Fishes,"Rockfish, Pacific ocean perch",,0,0,0,0,0,0,1,0,0,0,0,0,1,
2009,landings09_table11.pdf,Monterey,Other Waters,Fishes,"Rockfish, aurora",,0,0,0,0,0,0,0,129,0,123,307,62,621,
2009,landings09_table11.pdf,Monterey,Other Waters,Fishes,"Rockfish, bank",,"3,499",248,"3,241","3,375",562,"3,280","18,783","9,127","11,847","4,330","7,465",680,"66,437",
2009,landings09_table11.pdf,Monterey,Other Waters,Fishes,"Rockfish, black-and-yellow",,403,265,0,0,644,515,451,429,424,566,276,157,"4,131",
2009,landings09_table11.pdf,Monterey,Other Waters,Fishes,"Rockfish, black",,30,35,0,0,56,344,31,6,174,18,106,30,829,
2009,landings09_table11.pdf,Monterey,Other Waters,Fishes,"Rockfish, blackgill",,765,132,444,"2,325","2,366","2,744",103,165,"1,373",79,436,"3,112","14,044",
2009,landings09_table11.pdf,Monterey,Other Waters,Fishes,"Rockfish, blue",,493,156,0,0,351,544,123,336,225,134,349,26,"2,737",
2009,landings09_table11.pdf,Monterey,Other Waters,Fishes,"Rockfish, bocaccio",,210,189,58,210,226,438,134,505,75,46,8,278,"2,377",
2009,landings09_table11.pdf,Monterey,Other Waters,Fishes,"Rockfish, brown",,26,0,0,0,51,5,43,0,16,27,0,0,167,
2009,landings09_table11.pdf,Monterey,Other Waters,Fishes,"Rockfish, canary",,2,0,12,25,0,27,55,32,12,3,0,0,168,
2009,landings09_table11.pdf,Monterey,Other Waters,Fishes,"Rockfish, chilipepper",,"2,092",816,"2,632","3,116","4,943","4,795","16,740","11,478","16,108","8,100","7,088","8,783","86,691",
2009,landings09_table11.pdf,Monterey,Other Waters,Fishes,"Rockfish, copper",,35,2,0,0,66,25,19,57,0,0,6,0,209,
2009,landings09_table11.pdf,Monterey,Other Waters,Fishes,"Rockfish, flag",,20,0,0,0,0,0,0,0,0,0,0,0,20,
2009,landings09_table11.pdf,Monterey,Other Waters,Fishes,"Rockfish, gopher",,"1,141",593,0,0,824,935,"1,051","1,340",644,487,206,195,"7,417",
2009,landings09_table11.pdf,Monterey,Other Waters,Fishes,"Rockfish, grass",,37,24,0,0,398,328,376,406,219,442,204,62,"2,496",
2009,landings09_table11.pdf,Monterey,Other Waters,Fishes,"Rockfish, greenspotted",,0,21,0,7,0,26,17,6,12,26,0,2,116,
2009,landings09_table11.pdf,Monterey,Other Waters,Fishes,"Rockfish, greenstriped",,0,0,2,27,0,0,0,0,0,0,23,0,52,
2009,landings09_table11.pdf,Monterey,Other Waters,Fishes,"Rockfish, group bolina",,0,0,0,0,30,8,0,0,0,0,0,0,38,
2009,landings09_table11.pdf,Monterey,Other Waters,Fishes,"Rockfish, group gopher",,0,0,0,0,23,45,0,36,0,0,153,0,257,
2009,landings09_table11.pdf,Monterey,Other Waters,Fishes,"Rockfish, group red",,28,18,0,0,0,38,44,18,133,8,0,2,288,
2009,landings09_table11.pdf,Monterey,Other Waters,Fishes,Fishes,,,,,,,,,,,,,,,
2009,landings09_table11.pdf,Monterey,Other Waters,Fishes,"Rockfish, group slope",,0,0,0,0,0,373,155,0,0,0,0,0,528,
2009,landings09_table11.pdf,Monterey,Other Waters,Fishes,"Rockfish, group small",,0,0,0,0,0,25,0,0,0,0,0,0,25,
2009,landings09_table11.pdf,Monterey,Other Waters,Fishes,"Rockfish, kelp",,288,152,0,0,156,47,62,40,196,300,179,79,"1,500",
2009,landings09_table11.pdf,Monterey,Other Waters,Fishes,"Rockfish, olive",,254,34,0,0,109,209,141,129,52,10,59,3,999,
2009,landings09_table11.pdf,Monterey,Other Waters,Fishes,"Rockfish, quillback",,0,3,0,0,0,0,0,0,0,0,0,0,3,
2009,landings09_table11.pdf,Monterey,Other Waters,Fishes,"Rockfish, redbanded",,0,0,25,30,0,0,0,0,0,0,0,0,55,
2009,landings09_table11.pdf,Monterey,Other Waters,Fishes,"Rockfish, rosy",,0,4,0,0,0,0,13,0,0,0,0,0,17,
2009,landings09_table11.pdf,Monterey,Other Waters,Fishes,"Rockfish, speckled",,0,0,0,0,2,3,0,9,0,0,0,0,14,
2009,landings09_table11.pdf,Monterey,Other Waters,Fishes,"Rockfish, splitnose",,"5,881",313,"2,644","3,686","1,036","4,730","3,687","1,129","3,671","1,032","4,189","3,660","35,657",
2009,landings09_table11.pdf,Monterey,Other Waters,Fishes,"Rockfish, starry",,0,0,0,0,17,6,10,8,21,8,0,3,72,
2009,landings09_table11.pdf,Monterey,Other Waters,Fishes,"Rockfish, treefish",,0,9,0,0,4,0,1,1,0,2,3,0,21,
2009,landings09_table11.pdf,Monterey,Other Waters,Fishes,"Rockfish, unspecified",,152,0,0,0,5,75,0,0,0,0,0,0,232,
2009,landings09_table11.pdf,Monterey,Other Waters,Fishes,"Rockfish, vermilion",,445,294,0,24,650,486,350,519,117,277,76,525,"3,762",
2009,landings09_table11.pdf,Monterey,Other Waters,Fishes,"Rockfish, widow",,0,84,0,0,4,0,110,0,0,0,0,10,208,
2009,landings09_table11.pdf,Monterey,Other Waters,Fishes,"Rockfish, yellowtail",,427,290,0,0,46,283,113,165,18,16,5,22,"1,384",
2009,landings09_table11.pdf,Monterey,Other Waters,Fishes,Sablefish,,"36,482","14,977","17,579","30,823","64,131","34,223","22,136","36,345","36,436","11,587","23,135","24,870","352,724",
