"comm_name_orig","comm_name","sci_name","level","presentation","type","class","order","family","genus"
"Rockfish, pinkrose","Pinkrose rockfish","Sebastes simulator","species","whole","fish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes"
"Rockfish, honeycomb","Honeycomb rockfish","Sebastes umbrosus","species","whole","fish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes"
"Thornyhead, shortspine","Shortspine thornyhead","Sebastolobus alascanus","species","whole","fish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastolobus"
"Thornyhead, longspine","Longspine thornyhead","Sebastolobus altivelis","species","whole","fish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastolobus"
"Sheephead, California","California sheephead","Semicossyphus pulcher","species","whole","fish","Actinopterygii","Perciformes","Labridae","Semicossyphus"
"Yellowtail","Yellowtail","Seriola lalandi","species","whole","fish","Actinopterygii","Perciformes","Carangidae","Seriola"
"Queenfish","Queenfish","Seriphus politus","species","whole","fish","Actinopterygii","Perciformes","Sciaenidae","Seriphus"
"Prawn, ridgeback","Ridgeback prawn","Sicyonia ingentis","species","whole","invert","Malacostraca","Decapoda","Sicyoniidae","Sicyonia"
"Clam, northern razor","Northern razor clam","Siliqua patula","species","whole","invert","Bivalvia","Veneroida","Pharidae","Siliqua"
"Clam, rosy razor","Rosy razor clam","Solecurtus strigilatus","species","whole","invert","Bivalvia","Veneroida","Solecurtidae","Solecurtus"
"Barracuda, California","California barracuda","Sphyraena argentea","species","whole","fish","Actinopterygii","Perciformes","Sphyraenidae","Sphyraena"
"Shark, smooth hammerhead","Smooth hammerhead shark","Sphyrna zygaena","species","whole","fish","Elasmobranchii","Carcharhiniformes","Sphyrnidae","Sphyrna"
"Smelt, night","Night smelt","Spirinchus starksi","species","whole","fish","Actinopterygii","Osmeriformes","Osmeridae","Spirinchus"
"Shark, spiny dogfish","Spiny dogfish shark","Squalus acanthias","species","whole","fish","Elasmobranchii","Squaliformes","Squalidae","Squalus"
"Shark, Pacific angel","Pacific angel shark","Squatina californica","species","whole","fish","Elasmobranchii","Squatiniformes","Squatinidae","Squatina"
"Bass, giant sea","Giant sea bass","Stereolepis gigas","species","whole","fish","Actinopterygii","Perciformes","Polyprionidae","Stereolepis"
"Urchin, red","Red sea urchin","Mesocentrotus franciscanus","species","whole","invert","Echinoidea","Echinoida","Strongylocentrotidae","Mesocentrotus"
"Sea urchin, purple","Purple sea urchin","Strongylocentrotus purpuratus","species","whole","invert","Echinoidea","Echinoida","Strongylocentrotidae","Strongylocentrotus"
"Urchin, purple sea","Purple sea urchin","Strongylocentrotus purpuratus","species","whole","invert","Echinoidea","Echinoida","Strongylocentrotidae","Strongylocentrotus"
"Needlefish, California","California needlefish","Strongylura exilis","species","whole","fish","Actinopterygii","Beloniformes","Belonidae","Strongylura"
"Lizardfish, California","California lizardfish","Synodus lucioceps","species","whole","fish","Actinopterygii","Aulopiformes","Synodontidae","Synodus"
"Crab, southern kelp","Southern kelp crab","Taliepus nuttallii","species","whole","invert","Malacostraca","Decapoda","Epialtidae","Taliepus"
"Spearfish, shortbill","Shortbill spearfish","Tetrapturus angustirostris","species","whole","fish","Actinopterygii","Perciformes","Istiophoridae","Tetrapturus"
"Ray, Pacific electric","Pacific electric ray","Tetronarce californica","species","whole","fish","Elasmobranchii","Torpediniformes","Torpedinidae","Tetronarce"
"Tuna, albacore","Albacore tuna","Thunnus alalunga","species","whole","fish","Actinopterygii","Perciformes","Scombridae","Thunnus"
"Tuna, yellowfin","Yellowfin tuna","Thunnus albacares","species","whole","fish","Actinopterygii","Perciformes","Scombridae","Thunnus"
"Tuna, blackfin","Blackfin tuna","Thunnus atlanticus","species","whole","fish","Actinopterygii","Perciformes","Scombridae","Thunnus"
"Tuna, bigeye","Bigeye tuna","Thunnus obesus","species","whole","fish","Actinopterygii","Perciformes","Scombridae","Thunnus"
"Tuna, bluefin","Bluefin tuna","Thunnus thynnus","species","whole","fish","Actinopterygii","Perciformes","Scombridae","Thunnus"
"Mackerel, jack","Jack mackerel","Trachurus symmetricus","species","whole","fish","Actinopterygii","Perciformes","Carangidae","Trachurus"
"Shark, leopard","Leopard shark","Triakis semifasciata","species","whole","fish","Elasmobranchii","Carcharhiniformes","Triakidae","Triakis"
"Croaker, yellowfin","Yellowfin croaker","Umbrina roncador","species","whole","fish","Actinopterygii","Perciformes","Sciaenidae","Umbrina"
"Swordfish","Swordfish","Xiphias gladius","species","whole","fish","Actinopterygii","Perciformes","Xiphiidae","Xiphias"
"Sole, fantail","Fantail sole","Xystreurys liolepis","species","whole","fish","Actinopterygii","Pleuronectiformes","Paralichthyidae","Xystreurys"
