comm_name_orig,comm_name,comm_name_orig_upper,sci_name,level,sci_name_cdfw,level2
"Tuna, skipjack",Skipjack tuna,"TUNA, SKIPJACK",Katsuwonus pelamis,species,,
Opah,Opah,OPAH,Lampris guttatus,species,,
Escolar,Escolar,ESCOLAR,Lepidocybium flavobrunneum,species,,
Louvar,Louvar,LOUVAR,Luvarus imperialis,species,,
"Sole, slender",Slender sole,"SOLE, SLENDER",Lyopsetta exilis,species,,
Grenadiers,Grenadiers,GRENADIERS,Macrouridae spp.,group,,
Halfmoon,Halfmoon,HALFMOON,Medialuna californiensis,species,,
"Tomcod, Pacific",Pacific tomcod,"TOMCOD, PACIFIC",Microgadus proximus,species,,
"Sole, Dover",Dover sole,"SOLE, DOVER",Microstomus pacificus,species,,
"Sunfish, ocean",Ocean sunfish,"SUNFISH, OCEAN",Mola mola,species,,
"Bass, striped",Striped bass,"BASS, STRIPED",Morone saxatilis,species,,
"Mullet, striped",Striped mullet,"MULLET, STRIPED",Mugil cephalus,species,,
Hagfishes,Hagfishes,HAGFISHES,Myxinidae spp.,group,,
"Snails, moon",Moon snails,"SNAILS, MOON",Naticidae spp.,group,,
"Salmon, pink",Pink salmon,"SALMON, PINK",Oncorhynchus gorbuscha,species,,
"Salmon, chum",Chum salmon,"SALMON, CHUM",Oncorhynchus keta,species,,
"Salmon, coho",Coho salmon,"SALMON, COHO",Oncorhynchus kisutch,species,,
"Trout, rainbow",Rainbow trout,"TROUT, RAINBOW",Oncorhynchus mykiss,species,,
"Salmon, chinook",Chinook salmon,"SALMON, CHINOOK",Oncorhynchus tshawytscha,species,,
Lingcod,Lingcod,LINGCOD,Ophiodon elongatus,species,,
"Blackfish, Sacramento",Sacramento blackfish,"BLACKFISH, SACRAMENTO",Orthodon microlepidotus,species,,
"Lobster, California spiny",California spiny lobster,"LOBSTER, CALIFORNIA SPINY",Panulirus interruptus,species,,
"Halibut, California",California halibut,"HALIBUT, CALIFORNIA",Paralichthys californicus,species,,
"Crab, king",King crab,"CRAB, KING",Paralithodes spp.,group,,
"Sole, rock",Rock sole,"SOLE, ROCK",Paraplagusia bilineata,species,,
"Sole, English",English sole,"SOLE, ENGLISH",Parophrys vetulus,species,,
"Flounder, starry",Starry flounder,"FLOUNDER, STARRY",Platichthys stellatus,species,,
"Sole, curlfin",Curlfin sole,"SOLE, CURLFIN",Pleuronichthys decurrens,species,,
"Turbot, hornyhead",Hornyhead turbot,"TURBOT, HORNYHEAD",Pleuronichthys verticalis,species,,
Splittail,Splittail,SPLITTAIL,Pogonichthys macrolepidotus,species,,
Sponges,Sponges,SPONGES,Porifera spp.,group,,
"Shark, blue",Blue shark,"SHARK, BLUE",Prionace glauca,species,,
"Sole, sand",Sand sole,"SOLE, SAND",Psettichthys melanostictus,species,,
"Skate, big",Big skate,"SKATE, BIG",Raja binoculata,species,,
"Skate, California",California skate,"SKATE, CALIFORNIA",Raja inornata,species,,
Oilfish,Oilfish,OILFISH,Ruvettus pretiosus,species,,
"Bonito, Pacific",Pacific bonito,"BONITO, PACIFIC",Sarda chiliensis,species,,
"Sardine, Pacific",Pacific sardine,"SARDINE, PACIFIC",Sardinops sagax,species,,
"Sierra, Pacific",Pacific sierra,"SIERRA, PACIFIC",Scomberomorus sierra,species,,
Cabezon,Cabezon,CABEZON,Scorpaenichthys marmoratus,species,,
"Rockfish, rougheye",Rougheye rockfish,"ROCKFISH, ROUGHEYE",Sebastes aleutianus,species,,
"Rockfish, Pacific ocean perch",Pacific ocean perch rockfish,"ROCKFISH, PACIFIC OCEAN PERCH",Sebastes alutus,species,,
"Rockfish, kelp",Kelp rockfish,"ROCKFISH, KELP",Sebastes atrovirens,species,,
"Rockfish, brown",Brown rockfish,"ROCKFISH, BROWN",Sebastes auriculatus,species,,
"Rockfish, aurora",Aurora rockfish,"ROCKFISH, AURORA",Sebastes aurora,species,,
"Rockfish, redbanded",Redbanded rockfish,"ROCKFISH, REDBANDED",Sebastes babcocki,species,,
"Rockfish, gopher",Gopher rockfish,"ROCKFISH, GOPHER",Sebastes carnatus,species,,
"Rockfish, copper",Copper rockfish,"ROCKFISH, COPPER",Sebastes caurinus,species,,
"Rockfish, greenspotted",Greenspotted rockfish,"ROCKFISH, GREENSPOTTED",Sebastes chlorostictus,species,,
"Rockfish, black-and-yellow",Black-and-yellow rockfish,"ROCKFISH, BLACK-AND-YELLOW",Sebastes chrysomelas,species,,
"Rockfish, starry",Starry rockfish,"ROCKFISH, STARRY",Sebastes constellatus,species,,
"Rockfish, darkblotched",Darkblotched rockfish,"ROCKFISH, DARKBLOTCHED",Sebastes crameri,species,,
"Rockfish, splitnose",Splitnose rockfish,"ROCKFISH, SPLITNOSE",Sebastes diploproa,species,,
"Rockfish, greenstriped",Greenstriped rockfish,"ROCKFISH, GREENSTRIPED",Sebastes elongatus,species,,
"Rockfish, swordspine",Swordspine rockfish,"ROCKFISH, SWORDSPINE",Sebastes ensifer,species,,
"Rockfish, widow",Widow rockfish,"ROCKFISH, WIDOW",Sebastes entomelas,species,,
"Rockfish, pink",Pink rockfish,"ROCKFISH, PINK",Sebastes eos,species,,
"Rockfish, yellowtail",Yellowtail rockfish,"ROCKFISH, YELLOWTAIL",Sebastes flavidus,species,,
"Rockfish, bronzespotted",Bronzespotted rockfish,"ROCKFISH, BRONZESPOTTED",Sebastes gilli,species,,
"Rockfish, chilipepper",Chilipepper rockfish,"ROCKFISH, CHILIPEPPER",Sebastes goodei,species,,
"Rockfish, squarespot",Squarespot rockfish,"ROCKFISH, SQUARESPOT",Sebastes hopkinsi,species,,
"Rockfish, shortbelly",Shortbelly rockfish,"ROCKFISH, SHORTBELLY",Sebastes jordani,species,,
"Rockfish, cowcod",Cowcod rockfish,"ROCKFISH, COWCOD",Sebastes levis,species,,
"Rockfish, black",Black rockfish,"ROCKFISH, BLACK",Sebastes melanops,species,,
"Rockfish, blackgill",Blackgill rockfish,"ROCKFISH, BLACKGILL",Sebastes melanostomus,species,,
"Rockfish, vermilion",Vermilion rockfish,"ROCKFISH, VERMILION",Sebastes miniatus,species,,
"Rockfish, blue",Blue rockfish,"ROCKFISH, BLUE",Sebastes mystinus,species,,
"Rockfish, China",China rockfish,"ROCKFISH, CHINA",Sebastes nebulosus,species,,
"Rockfish, speckled",Speckled rockfish,"ROCKFISH, SPECKLED",Sebastes ovalis,species,,
"Rockfish, bocaccio",Bocaccio rockfish,"ROCKFISH, BOCACCIO",Sebastes paucispinis,species,,
"Rockfish, chameleon",Chameleon rockfish,"ROCKFISH, CHAMELEON",Sebastes phillipsi,species,,
"Rockfish, canary",Canary rockfish,"ROCKFISH, CANARY",Sebastes pinniger,species,,
"Rockfish, grass",Grass rockfish,"ROCKFISH, GRASS",Sebastes rastrelliger,species,,
"Rockfish, rosy",Rosy rockfish,"ROCKFISH, ROSY",Sebastes rosaceus,species,,
"Rockfish, greenblotched",Greenblotched rockfish,"ROCKFISH, GREENBLOTCHED",Sebastes rosenblatti,species,,
"Rockfish, yelloweye",Yelloweye rockfish,"ROCKFISH, YELLOWEYE",Sebastes ruberrimus,species,,
"Rockfish, flag",Flag rockfish,"ROCKFISH, FLAG",Sebastes rubrivinctus,species,,
"Rockfish, bank",Bank rockfish,"ROCKFISH, BANK",Sebastes rufus,species,,
"Rockfish, stripetail",Stripetail rockfish,"ROCKFISH, STRIPETAIL",Sebastes saxicola,species,,
"Rockfish, olive",Olive rockfish,"ROCKFISH, OLIVE",Sebastes serranoides,species,,
"Rockfish, treefish",Treefish rockfish,"ROCKFISH, TREEFISH",Sebastes serriceps,species,,
"Rockfish, pinkrose",Pinkrose rockfish,"ROCKFISH, PINKROSE",Sebastes simulator,species,,
"Rockfish, honeycomb",Honeycomb rockfish,"ROCKFISH, HONEYCOMB",Sebastes umbrosus,species,,
"Thornyhead, shortspine",Shortspine thornyhead,"THORNYHEAD, SHORTSPINE",Sebastolobus alascanus,species,,
"Thornyhead, longspine",Longspine thornyhead,"THORNYHEAD, LONGSPINE",Sebastolobus altivelis,species,,
"Sheephead, California",California sheephead,"SHEEPHEAD, CALIFORNIA",Semicossyphus pulcher,species,,
Queenfish,Queenfish,QUEENFISH,Seriphus politus,species,,
"Shark, Pacific angel",Pacific angel shark,"SHARK, PACIFIC ANGEL",Squatina californica,species,,
"Tuna, albacore",Albacore tuna,"TUNA, ALBACORE",Thunnus alalunga,species,,
"Tuna, yellowfin",Yellowfin tuna,"TUNA, YELLOWFIN",Thunnus albacares,species,,
"Tuna, blackfin",Blackfin tuna,"TUNA, BLACKFIN",Thunnus atlanticus,species,,
"Tuna, bigeye",Bigeye tuna,"TUNA, BIGEYE",Thunnus obesus,species,,
"Tuna, bluefin",Bluefin tuna,"TUNA, BLUEFIN",Thunnus thynnus,species,,
"Shark, leopard",Leopard shark,"SHARK, LEOPARD",Triakis semifasciata,species,,
Swordfish,Swordfish,SWORDFISH,Xiphias gladius,species,,
"Sole, fantail",Fantail sole,"SOLE, FANTAIL",Xystreurys liolepis,species,,
"Anchovy, deepbody",Deepbody anchovy,"ANCHOVY, DEEPBODY",NA,NA,,
Anemones,Anemones,ANEMONES,NA,NA,,
Barnacle,Barnacle,BARNACLE,NA,NA,,
"Barracuda, California",California barracuda,"BARRACUDA, CALIFORNIA",NA,NA,,
"Bass, barred sand",Barred sand bass,"BASS, BARRED SAND",NA,NA,Paralabrax nebulifer,
"Bass, giant sea",Giant sea bass,"BASS, GIANT SEA",NA,NA,Stereolepis gigas,
"Bass, kelp",Kelp bass,"BASS, KELP",NA,NA,Paralabrax clathratus,
"Bass, spotted sand",Spotted sand bass,"BASS, SPOTTED SAND",NA,NA,,
Bat star,Bat star,BAT STAR,NA,NA,,
Bryozoan,Bryozoan,BRYOZOAN,NA,NA,,
Butterfish (Pacific pompano),Butterfish (Pacific pompano),BUTTERFISH (PACIFIC POMPANO),NA,NA,,
Carp,Carp,CARP,NA,NA,,
"Chiton, unspecified",Unspecified chiton,"CHITON, UNSPECIFIED",NA,NA,,group
"Clam, common littleneck",Common littleneck clam,"CLAM, COMMON LITTLENECK",NA,NA,,
"Clam, gaper",Gaper clam,"CLAM, GAPER",NA,NA,,
"Clam, northern razor",Northern razor clam,"CLAM, NORTHERN RAZOR",NA,NA,,
"Clam, purple",Purple clam,"CLAM, PURPLE",NA,NA,,
"Clam, rosy razor",Rosy razor clam,"CLAM, ROSY RAZOR",NA,NA,,
"Clam, unspecified",Unspecified clam,"CLAM, UNSPECIFIED",NA,NA,,group
"Corbina, California",California corbina,"CORBINA, CALIFORNIA",NA,NA,,
"Corvina, shortfin",Shortfin corvina,"CORVINA, SHORTFIN",NA,NA,,
"Crab, armed box",Armed box crab,"CRAB, ARMED BOX",NA,NA,,
"Crab, box",Box crab,"CRAB, BOX",NA,NA,,
"Crab, brown rock",Brown rock crab,"CRAB, BROWN ROCK",NA,NA,,
"Crab, claws",Claws crab,"CRAB, CLAWS",NA,NA,,
"Crab, hermit",Hermit crab,"CRAB, HERMIT",NA,NA,,
"Crab, pelagic red",Pelagic red crab,"CRAB, PELAGIC RED",NA,NA,,
"Crab, rock unspecified",Rock unspecified crab,"CRAB, ROCK UNSPECIFIED",NA,NA,,group
"Crab, sand",Sand crab,"CRAB, SAND",NA,NA,,
"Crab, shore",Shore crab,"CRAB, SHORE",NA,NA,,
"Crab, southern kelp",Southern kelp crab,"CRAB, SOUTHERN KELP",NA,NA,,
"Crab, spider",Spider crab,"CRAB, SPIDER",NA,NA,,
"Crab, spider/sheep claws",Spider/sheep claws crab,"CRAB, SPIDER/SHEEP CLAWS",NA,NA,,
"Crab, tanner",Tanner crab,"CRAB, TANNER",NA,NA,,
"Crab, yellow rock",Yellow rock crab,"CRAB, YELLOW ROCK",NA,NA,,
"Crayfish, red swamp",Red swamp crayfish,"CRAYFISH, RED SWAMP",NA,NA,,
"Crayfish, signal",Signal crayfish,"CRAYFISH, SIGNAL",NA,NA,,
"Crayfish, unspecified",Unspecified crayfish,"CRAYFISH, UNSPECIFIED",NA,NA,,group
"Croaker, black",Black croaker,"CROAKER, BLACK",NA,NA,,
"Croaker, unspecifed",Unspecifed croaker,"CROAKER, UNSPECIFED",NA,NA,,group
"Croaker, white",White croaker,"CROAKER, WHITE",NA,NA,Genyonemus lineatus,
"Croaker, yellowfin",Yellowfin croaker,"CROAKER, YELLOWFIN",NA,NA,Umbrina roncador,
"Crustacean, unspecified",Unspecified crustacean,"CRUSTACEAN, UNSPECIFIED",NA,NA,,group
Dolphin (fish),Dolphin (fish),DOLPHIN (FISH),NA,NA,,
"Echinoderm, unspecified",Unspecified echinoderm,"ECHINODERM, UNSPECIFIED",NA,NA,,group
Eel,Eel,EEL,NA,NA,,
"Eel, California moray",California moray eel,"EEL, CALIFORNIA MORAY",NA,NA,,
"Eel, monkeyface",Monkeyface eel,"EEL, MONKEYFACE",NA,NA,,
"Eel, monkeyface (prickleback)",Monkeyface (prickleback) eel,"EEL, MONKEYFACE (PRICKLEBACK)",NA,NA,,
"Eel, spotted cusk-",Spotted cusk- eel,"EEL, SPOTTED CUSK-",NA,NA,,
"Eel, wolf (wolf-eel)",Wolf (wolf-eel) eel,"EEL, WOLF (WOLF-EEL)",NA,NA,,
"Fish, unspecified",Unspecified fish,"FISH, UNSPECIFIED",NA,NA,,group
"Flatworm, marine",Marine flatworm,"FLATWORM, MARINE",NA,NA,,
"Flounder, unspecified",Unspecified flounder,"FLOUNDER, UNSPECIFIED",NA,NA,,group
Flyingfish,Flyingfish,FLYINGFISH,NA,NA,,
"Goby, bluebanded",Bluebanded goby,"GOBY, BLUEBANDED",NA,NA,,
"Goby, yellowfin",Yellowfin goby,"GOBY, YELLOWFIN",NA,NA,,
"Goby, zebra",Zebra goby,"GOBY, ZEBRA",NA,NA,,
"Greenling, rock",Rock greenling,"GREENLING, ROCK",NA,NA,,
Grenadier,Grenadier,GRENADIER,NA,NA,,
Grouper,Grouper,GROUPER,NA,NA,,
"Grouper, broomtail",Broomtail grouper,"GROUPER, BROOMTAIL",NA,NA,,
"Grunion, California",California grunion,"GRUNION, CALIFORNIA",NA,NA,,
"Guitarfish, shovelnose",Shovelnose guitarfish,"GUITARFISH, SHOVELNOSE",NA,NA,,
"Hagfish, Pacific",Pacific hagfish,"HAGFISH, PACIFIC",NA,NA,,
"Hagfish, unspecified",Unspecified hagfish,"HAGFISH, UNSPECIFIED",NA,NA,,group
"Halibut, unspecified",Unspecified halibut,"HALIBUT, UNSPECIFIED",NA,NA,,group
Herring roe on kelp,Herring roe on kelp,HERRING ROE ON KELP,NA,NA,,
"Herring, Pacific - roe",Pacific - roe herring,"HERRING, PACIFIC - ROE",NA,NA,,
"Herring, Pacific - roe on kelp",Pacific - roe on kelp herring,"HERRING, PACIFIC - ROE ON KELP",NA,NA,,
"Herring, Roe",Roe herring,"HERRING, ROE",NA,NA,,
Hitch,Hitch,HITCH,NA,NA,,
Invertebrate Unspecified,Invertebrate Unspecified,INVERTEBRATE UNSPECIFIED,NA,NA,,group
"Invertebrates, colonial",Colonial invertebrates,"INVERTEBRATES, COLONIAL",NA,NA,,
"Jacks, unspecified",Unspecified jacks,"JACKS, UNSPECIFIED",NA,NA,,group
Jacksmelt,Jacksmelt,JACKSMELT,NA,NA,,
Jellyfish,Jellyfish,JELLYFISH,NA,NA,,
Kelp,Kelp,KELP,NA,NA,,
"Kelp, giant",Giant kelp,"KELP, GIANT",NA,NA,,
"Kelpfish, giant",Giant kelpfish,"KELPFISH, GIANT",NA,NA,,
Kelpfishes,Kelpfishes,KELPFISHES,NA,NA,,
"Lamprey, Pacific",Pacific lamprey,"LAMPREY, PACIFIC",NA,NA,,
"Lancelets, amphioxus",Amphioxus lancelets,"LANCELETS, AMPHIOXUS",NA,NA,,
"Limpet, keyhole",Keyhole limpet,"LIMPET, KEYHOLE",NA,NA,,
"Limpet, unspecified",Unspecified limpet,"LIMPET, UNSPECIFIED",NA,NA,,group
"Lizardfish, California",California lizardfish,"LIZARDFISH, CALIFORNIA",NA,NA,,
"Mackerel, jack",Jack mackerel,"MACKEREL, JACK",NA,NA,,
"Mackerel, Pacific",Pacific mackerel,"MACKEREL, PACIFIC",NA,NA,,
"Mackerel, unspecified",Unspecified mackerel,"MACKEREL, UNSPECIFIED",NA,NA,,group
"Marlin, striped",Striped marlin,"MARLIN, STRIPED",NA,NA,,
"Midshipman, plainfin",Plainfin midshipman,"MIDSHIPMAN, PLAINFIN",NA,NA,,
"Mollusk, unspecified",Unspecified mollusk,"MOLLUSK, UNSPECIFIED",NA,NA,,group
Mussel,Mussel,MUSSEL,NA,NA,,
"Needlefish, California",California needlefish,"NEEDLEFISH, CALIFORNIA",NA,NA,,
"Octopus, unspecified",Unspecified octopus,"OCTOPUS, UNSPECIFIED",NA,NA,,group
"Oyster, California native",California native oyster,"OYSTER, CALIFORNIA NATIVE",NA,NA,,
"Oyster, giant Pacific",Giant pacific oyster,"OYSTER, GIANT PACIFIC",NA,NA,,
"Oyster, unspecified",Unspecified oyster,"OYSTER, UNSPECIFIED",NA,NA,,group
Pacific Pomfret,Pacific Pomfret,PACIFIC POMFRET,NA,NA,,
"Perch-like, unspecified",Unspecified perch-like,"PERCH-LIKE, UNSPECIFIED",NA,NA,,group
Pomfret,Pomfret,POMFRET,NA,NA,,
"Pomfret, Pacific",Pacific pomfret,"POMFRET, PACIFIC",NA,NA,,
"Prawn, golden",Golden prawn,"PRAWN, GOLDEN",NA,NA,,
"Prawn, ridgeback",Ridgeback prawn,"PRAWN, RIDGEBACK",NA,NA,,
"Prawn, spot",Spot prawn,"PRAWN, SPOT",NA,NA,,
"Prickleback, monkeyface (eel)",Monkeyface (eel) prickleback,"PRICKLEBACK, MONKEYFACE (EEL)",NA,NA,,
"Ray, bat",Bat ray,"RAY, BAT",NA,NA,Myliobatis californica,
"Ray, Pacific electric",Pacific electric ray,"RAY, PACIFIC ELECTRIC",NA,NA,,
"Ray, unspecified",Unspecified ray,"RAY, UNSPECIFIED",NA,NA,,group
"Rockfish, arrowtooth",Arrowtooth rockfish,"ROCKFISH, ARROWTOOTH",NA,NA,,
"Rockfish, calico",Calico rockfish,"ROCKFISH, CALICO",NA,NA,,
"Rockfish, copper (whitebelly)",Copper (whitebelly) rockfish,"ROCKFISH, COPPER (WHITEBELLY)",NA,NA,,
"Rockfish, group black/blue",Group black/blue rockfish,"ROCKFISH, GROUP BLACK/BLUE",NA,NA,,
"Rockfish, group bocaccio/chili",Group bocaccio/chili rockfish,"ROCKFISH, GROUP BOCACCIO/CHILI",NA,NA,,
"Rockfish, group bolina",Group bolina rockfish,"ROCKFISH, GROUP BOLINA",NA,NA,,
"Rockfish, group canary/vermili",Group canary/vermili rockfish,"ROCKFISH, GROUP CANARY/VERMILI",NA,NA,,
"Rockfish, group deep nearshore",Group deep nearshore rockfish,"ROCKFISH, GROUP DEEP NEARSHORE",NA,NA,,
"Rockfish, group deepwater reds",Group deepwater reds rockfish,"ROCKFISH, GROUP DEEPWATER REDS",NA,NA,,
"Rockfish, group gopher",Group gopher rockfish,"ROCKFISH, GROUP GOPHER",NA,NA,,
"Rockfish, group nearshore",Group nearshore rockfish,"ROCKFISH, GROUP NEARSHORE",NA,NA,,
"Rockfish, group red",Group red rockfish,"ROCKFISH, GROUP RED",NA,NA,,
"Rockfish, group rosefish",Group rosefish rockfish,"ROCKFISH, GROUP ROSEFISH",NA,NA,,
"Rockfish, group shelf",Group shelf rockfish,"ROCKFISH, GROUP SHELF",NA,NA,,
"Rockfish, group slope",Group slope rockfish,"ROCKFISH, GROUP SLOPE",NA,NA,,
"Rockfish, group small",Group small rockfish,"ROCKFISH, GROUP SMALL",NA,NA,,
"Rockfish, Mexican",Mexican rockfish,"ROCKFISH, MEXICAN",NA,NA,,
"Rockfish, quillback",Quillback rockfish,"ROCKFISH, QUILLBACK",NA,NA,,
"Rockfish, rosethorn",Rosethorn rockfish,"ROCKFISH, ROSETHORN",NA,NA,,
"Rockfish, shortraker",Shortraker rockfish,"ROCKFISH, SHORTRAKER",NA,NA,,
"Rockfish, unspecified",Unspecified rockfish,"ROCKFISH, UNSPECIFIED",NA,NA,,group
Salmon,Salmon,SALMON,NA,NA,,
"Salmon, Roe (Chinook and Coho)",Roe (chinook and coho) salmon,"SALMON, ROE (CHINOOK AND COHO)",NA,NA,,
Sand dollar,Sand dollar,SAND DOLLAR,NA,NA,,
Sanddab,Sanddab,SANDDAB,NA,NA,,
"Sanddab, longfin",Longfin sanddab,"SANDDAB, LONGFIN",NA,NA,,
"Sanddab, Pacific",Pacific sanddab,"SANDDAB, PACIFIC",NA,NA,,
"Sanddab, speckled",Speckled sanddab,"SANDDAB, SPECKLED",NA,NA,,
"Sardine, juvenile",Juvenile sardine,"SARDINE, JUVENILE",NA,NA,,
Sargo,Sargo,SARGO,NA,NA,,
"Scallop, unspecified",Unspecified scallop,"SCALLOP, UNSPECIFIED",NA,NA,,group
"Scorpionfish, California",California scorpionfish,"SCORPIONFISH, CALIFORNIA",NA,NA,,
"Sculpin, staghorn",Staghorn sculpin,"SCULPIN, STAGHORN",NA,NA,,
"Sculpin, yellowchin",Yellowchin sculpin,"SCULPIN, YELLOWCHIN",NA,NA,,
"Sea cucumber, giant red",Giant red sea cucumber,"SEA CUCUMBER, GIANT RED",NA,NA,,
"Sea cucumber, unspecified",Unspecified sea cucumber,"SEA CUCUMBER, UNSPECIFIED",NA,NA,,group
"Sea cucumber, warty",Warty sea cucumber,"SEA CUCUMBER, WARTY",NA,NA,,
Sea hare,Sea hare,SEA HARE,NA,NA,,
Sea pansy,Sea pansy,SEA PANSY,NA,NA,,
Sea slug,Sea slug,SEA SLUG,NA,NA,,
Sea stars,Sea stars,SEA STARS,NA,NA,,
"Sea urchin, Coronado",Coronado sea urchin,"SEA URCHIN, CORONADO",NA,NA,,
"Sea urchin, purple",Purple sea urchin,"SEA URCHIN, PURPLE",NA,NA,,
"Sea urchin, red",Red sea urchin,"SEA URCHIN, RED",NA,NA,,
"Sea urchin, white",White sea urchin,"SEA URCHIN, WHITE",NA,NA,,
"Seabass, white",White seabass,"SEABASS, WHITE",NA,NA,,
"Seaperch, striped",Striped seaperch,"SEAPERCH, STRIPED",NA,NA,,
Senorita,Senorita,SENORITA,NA,NA,,
"Shark, basking",Basking shark,"SHARK, BASKING",NA,NA,,
"Shark, bigeye thresher",Bigeye thresher shark,"SHARK, BIGEYE THRESHER",NA,NA,,
"Shark, brown smoothhound",Brown smoothhound shark,"SHARK, BROWN SMOOTHHOUND",NA,NA,,
"Shark, gray smoothhound",Gray smoothhound shark,"SHARK, GRAY SMOOTHHOUND",NA,NA,,
"Shark, horn",Horn shark,"SHARK, HORN",NA,NA,,
"Shark, pelagic thresher",Pelagic thresher shark,"SHARK, PELAGIC THRESHER",NA,NA,,
"Shark, salmon",Salmon shark,"SHARK, SALMON",NA,NA,,
"Shark, sevengill",Sevengill shark,"SHARK, SEVENGILL",NA,NA,,
"Shark, shortfin mako",Shortfin mako shark,"SHARK, SHORTFIN MAKO",NA,NA,,
"Shark, sixgill",Sixgill shark,"SHARK, SIXGILL",NA,NA,,
"Shark, smooth hammerhead",Smooth hammerhead shark,"SHARK, SMOOTH HAMMERHEAD",NA,NA,,
"Shark, soupfin",Soupfin shark,"SHARK, SOUPFIN",NA,NA,,
"Shark, spiny dogfish",Spiny dogfish shark,"SHARK, SPINY DOGFISH",NA,NA,,
"Shark, swell",Swell shark,"SHARK, SWELL",NA,NA,,
"Shark, unspecified",Unspecified shark,"SHARK, UNSPECIFIED",NA,NA,,group
"Sharks, cow",Cow sharks,"SHARKS, COW",NA,NA,,
"Shrimp, bay",Bay shrimp,"SHRIMP, BAY",NA,NA,,
"Shrimp, coonstriped",Coonstriped shrimp,"SHRIMP, COONSTRIPED",NA,NA,,
"Shrimp, mantis",Mantis shrimp,"SHRIMP, MANTIS",NA,NA,,
"Shrimp, ocean (pink)",Ocean (pink) shrimp,"SHRIMP, OCEAN (PINK)",NA,NA,,
"Shrimp, Pacific Ocean",Pacific ocean shrimp,"SHRIMP, PACIFIC OCEAN",NA,NA,,
"Shrimp, red rock",Red rock shrimp,"SHRIMP, RED ROCK",NA,NA,,
"Shrimp, unspecified",Unspecified shrimp,"SHRIMP, UNSPECIFIED",NA,NA,,group
