"year","filename","region","port_complex","anglers_n","cpfvs_n","landings_n"
2005,"landings05_cpfv2.pdf","Northern","Princeton-Bodega Bay",22781,28,142691
2005,"landings05_cpfv2.pdf","Northern","San Francisco-SF Bay-Delta",48741,47,157064
2005,"landings05_cpfv2.pdf","Southern","Newport Beach",51537,18,190165
2005,"landings05_cpfv2.pdf","Southern","Oceanside-Dana Harbor",55784,21,156621
2005,"landings05_cpfv2.pdf","Southern","Port Hueneme-Oxnard-Ventura-Santa Barbara",46382,32,306362
2005,"landings05_cpfv2.pdf","Southern","Redondo-Marina del Rey-Malibu",51711,13,230128
2005,"landings05_cpfv2.pdf","Southern","San Diego-Mission Bay",126783,98,538836
2005,"landings05_cpfv2.pdf","Southern","Seal Beach-Long Beach-San Pedro",101520,46,512860
2006,"landings06_cpfv2.pdf","Northern","Avila Beach-Morro Bay",19682,9,188771
2006,"landings06_cpfv2.pdf","Northern","Fort Bragg-Eureka-Crescent City",13937,14,91073
2006,"landings06_cpfv2.pdf","Northern","Monterey-Moss Landing-Santa Cruz",17658,19,136139
2006,"landings06_cpfv2.pdf","Northern","Princeton-Bodega Bay",23059,29,178377
2006,"landings06_cpfv2.pdf","Northern","San Francisco-SF Bay-Delta",45449,47,240468
2006,"landings06_cpfv2.pdf","Southern","Newport Beach",62996,19,232056
2006,"landings06_cpfv2.pdf","Southern","Oceanside-Dana Harbor",57582,23,151143
2006,"landings06_cpfv2.pdf","Southern","Port Hueneme-Oxnard-Ventura-Santa Barbara",46014,34,318393
2006,"landings06_cpfv2.pdf","Southern","Redondo-Marina del Rey-Malibu",50075,11,221799
2006,"landings06_cpfv2.pdf","Southern","San Diego-Mission Bay",133677,89,545663
2006,"landings06_cpfv2.pdf","Southern","Seal Beach-Long Beach-San Pedro",110824,45,656839
2007,"landings07_cpfv2.pdf","Northern","Avila Beach-Morro Bay",18353,10,167561
2007,"landings07_cpfv2.pdf","Northern","Fort Bragg-Eureka-Crescent City",13759,19,80320
2007,"landings07_cpfv2.pdf","Northern","Monterey-Moss Landing-Santa Cruz",16569,18,147713
2007,"landings07_cpfv2.pdf","Northern","Princeton-Bodega Bay",18861,22,137862
2007,"landings07_cpfv2.pdf","Northern","San Francisco-SF Bay-Delta",39379,45,187741
2007,"landings07_cpfv2.pdf","Southern","Newport Beach",58321,17,209910
2007,"landings07_cpfv2.pdf","Southern","Oceanside-Dana Harbor",59690,20,172349
2007,"landings07_cpfv2.pdf","Southern","Port Hueneme-Oxnard-Ventura-Santa Barbara",40289,36,290551
2007,"landings07_cpfv2.pdf","Southern","Redondo-Marina del Rey-Malibu",45241,13,192162
2007,"landings07_cpfv2.pdf","Southern","San Diego-Mission Bay",134401,88,499335
2007,"landings07_cpfv2.pdf","Southern","Seal Beach-Long Beach-San Pedro",101059,42,628819
2008,"landings08_cpfv2.pdf","Northern","Avila Beach-Morro Bay",17470,9,155726
2008,"landings08_cpfv2.pdf","Northern","Fort Bragg-Eureka-Crescent City",5876,17,44529
2008,"landings08_cpfv2.pdf","Northern","Monterey-Moss Landing-Santa Cruz",12465,13,125100
2008,"landings08_cpfv2.pdf","Northern","Princeton-Bodega Bay",12068,18,103405
2008,"landings08_cpfv2.pdf","Northern","San Francisco-SF Bay-Delta",30663,49,106562
2008,"landings08_cpfv2.pdf","Southern","Newport Beach",49375,19,142463
2008,"landings08_cpfv2.pdf","Southern","Oceanside-Dana Harbor",55051,25,124849
2008,"landings08_cpfv2.pdf","Southern","Port Hueneme-Oxnard-Ventura-Santa Barbara",40863,33,291859
2008,"landings08_cpfv2.pdf","Southern","Redondo-Marina del Rey-Malibu",42137,12,173595
2008,"landings08_cpfv2.pdf","Southern","San Diego-Mission Bay",119910,80,458554
2008,"landings08_cpfv2.pdf","Southern","Seal Beach-Long Beach-San Pedro",92185,43,511280
2009,"landings09_cpfv1.pdf","Northern","Avila Beach-Morro Bay",16890,8,138143
2009,"landings09_cpfv1.pdf","Northern","Fort Bragg-Eureka-Crescent City",7389,17,58250
2009,"landings09_cpfv1.pdf","Northern","Monterey-Moss Landing-Santa Cruz",12624,13,132684
2009,"landings09_cpfv1.pdf","Northern","Princeton-Bodega Bay",10706,16,92607
2009,"landings09_cpfv1.pdf","Northern","San Francisco-SF Bay-Delta",26606,47,83424
2009,"landings09_cpfv1.pdf","Southern","Newport Beach",42559,20,117444
2009,"landings09_cpfv1.pdf","Southern","Oceanside-Dana Harbor",49452,23,110448
2009,"landings09_cpfv1.pdf","Southern","Port Hueneme-Oxnard-Ventura-Santa Barbara",41207,31,281283
2009,"landings09_cpfv1.pdf","Southern","Redondo-Marina del Rey-Malibu",39662,11,165428
2009,"landings09_cpfv1.pdf","Southern","San Diego-Mission Bay",104780,83,446821
2009,"landings09_cpfv1.pdf","Southern","Seal Beach-Long Beach-San Pedro",80988,46,465966
2010,"CPFV Annual Report - Page 1.pdf","Northern","Avila Beach-Morro Bay",16297,10,128630
2010,"CPFV Annual Report - Page 1.pdf","Northern","Fort Bragg-Eureka-Crescent City",6217,18,52520
2010,"CPFV Annual Report - Page 1.pdf","Northern","Monterey-Moss Landing-Santa Cruz",15765,16,122941
2010,"CPFV Annual Report - Page 1.pdf","Northern","Princeton-Bodega Bay",12160,21,85040
2010,"CPFV Annual Report - Page 1.pdf","Northern","San Francisco-SF Bay-Delta",27636,54,95199
2010,"CPFV Annual Report - Page 1.pdf","Southern","Newport Beach",40335,16,112698
2010,"CPFV Annual Report - Page 1.pdf","Southern","Oceanside-Dana Harbor",40849,18,87732
2010,"CPFV Annual Report - Page 1.pdf","Southern","Port Hueneme-Oxnard-Ventura-Santa Barbara",36376,28,256930
2010,"CPFV Annual Report - Page 1.pdf","Southern","Redondo-Marina del Rey-Malibu",34692,12,146052
2010,"CPFV Annual Report - Page 1.pdf","Southern","San Diego-Mission Bay",85680,83,321882
2010,"CPFV Annual Report - Page 1.pdf","Southern","Seal Beach-Long Beach-San Pedro",73518,42,422437
2011,"CPFV Annual Report - Page 1.pdf","Northern","Avila Beach-Morro Bay",19238,12,166284
2011,"CPFV Annual Report - Page 1.pdf","Northern","Fort Bragg-Eureka-Crescent City",10699,23,72741
2011,"CPFV Annual Report - Page 1.pdf","Northern","Monterey-Moss Landing-Santa Cruz",17879,16,136771
2011,"CPFV Annual Report - Page 1.pdf","Northern","Princeton-Bodega Bay",17004,25,139796
2011,"CPFV Annual Report - Page 1.pdf","Northern","San Francisco-SF Bay-Delta",33908,62,150125
2011,"CPFV Annual Report - Page 1.pdf","Southern","Newport Beach",52899,25,191943
2011,"CPFV Annual Report - Page 1.pdf","Southern","Oceanside-Dana Harbor",43142,21,102783
2011,"CPFV Annual Report - Page 1.pdf","Southern","Port Hueneme-Oxnard-Ventura-Santa Barbara",51788,30,399518
2011,"CPFV Annual Report - Page 1.pdf","Southern","Redondo-Marina del Rey-Malibu",40359,10,209872
2011,"CPFV Annual Report - Page 1.pdf","Southern","San Diego-Mission Bay",90357,81,414099
2011,"CPFV Annual Report - Page 1.pdf","Southern","Seal Beach-Long Beach-San Pedro",78329,53,536458
2012,"CPFV ANNUAL 2.pdf","Northern","Avila Beach-Morro Bay",16998,9,132708
2012,"CPFV ANNUAL 2.pdf","Northern","Fort Bragg-Eureka-Crescent City",12023,22,72185
2012,"CPFV ANNUAL 2.pdf","Northern","Monterey-Moss Landing-Santa Cruz",22721,22,145185
2012,"CPFV ANNUAL 2.pdf","Northern","Princeton-Bodega Bay",19047,32,126143
2012,"CPFV ANNUAL 2.pdf","Northern","San Francisco-SF Bay-Delta",36910,58,161523
2012,"CPFV ANNUAL 2.pdf","Southern","Newport Beach",58915,19,214799
2012,"CPFV ANNUAL 2.pdf","Southern","Oceanside-Dana Harbor",43947,23,96501
2012,"CPFV ANNUAL 2.pdf","Southern","Port Hueneme-Oxnard-Ventura-Santa Barbara",62355,30,491817
2012,"CPFV ANNUAL 2.pdf","Southern","Redondo-Marina del Rey-Malibu",43221,15,215036
2012,"CPFV ANNUAL 2.pdf","Southern","San Diego-Mission Bay",117335,102,493977
2012,"CPFV ANNUAL 2.pdf","Southern","Seal Beach-Long Beach-San Pedro",74457,56,509417
2013,"CPFV 2.pdf","Northern","Avila Beach-Morro Bay",21202,9,178942
2013,"CPFV 2.pdf","Northern","Fort Bragg-Eureka-Crescent City",12134,24,69711
2013,"CPFV 2.pdf","Northern","Monterey-Moss Landing-Santa Cruz",21943,19,203566
2013,"CPFV 2.pdf","Northern","Princeton-Bodega Bay",18827,32,139857
2013,"CPFV 2.pdf","Northern","San Francisco-SF Bay-Delta",46908,63,238285
2013,"CPFV 2.pdf","Southern","Newport Beach",58355,16,265926
2013,"CPFV 2.pdf","Southern","Oceanside-Dana Harbor",43388,24,112301
2013,"CPFV 2.pdf","Southern","Port Hueneme-Oxnard-Ventura-Santa Barbara",64307,32,488966
2013,"CPFV 2.pdf","Southern","Redondo-Marina del Rey-Malibu",47326,17,267375
2013,"CPFV 2.pdf","Southern","San Diego-Mission Bay",127559,106,551420
2013,"CPFV 2.pdf","Southern","Seal Beach-Long Beach-San Pedro",79740,58,527140
2014,"Annual CPFV 2.pdf","Northern","Avila Beach-Morro Bay",23651,11,204832
2014,"Annual CPFV 2.pdf","Northern","Fort Bragg-Eureka-Crescent City",12565,34,83141
2014,"Annual CPFV 2.pdf","Northern","Monterey-Moss Landing-Santa Cruz",23941,20,306834
2014,"Annual CPFV 2.pdf","Northern","Princeton-Bodega Bay",17883,29,158506
2014,"Annual CPFV 2.pdf","Northern","San Francisco-SF Bay-Delta",50238,74,250868
2014,"Annual CPFV 2.pdf","Southern","Newport Beach",65379,17,231728
2014,"Annual CPFV 2.pdf","Southern","Oceanside-Dana Harbor",49210,26,101353
2014,"Annual CPFV 2.pdf","Southern","Port Hueneme-Oxnard-Ventura-Santa Barbara",65357,36,548527
2014,"Annual CPFV 2.pdf","Southern","Redondo-Marina del Rey-Malibu",39036,18,215266
2014,"Annual CPFV 2.pdf","Southern","San Diego-Mission Bay",132737,120,591331
2014,"Annual CPFV 2.pdf","Southern","Seal Beach-Long Beach-San Pedro",91701,63,547062
2015,"Annual CPFV 2.pdf","Northern","Avila Beach-Morro Bay",24705,16,228580
2015,"Annual CPFV 2.pdf","Northern","Fort Bragg-Eureka-Crescent City",12877,30,96678
2015,"Annual CPFV 2.pdf","Northern","Monterey-Moss Landing-Santa Cruz",23458,18,282589
2015,"Annual CPFV 2.pdf","Northern","Princeton-Bodega Bay",18776,32,166071
2015,"Annual CPFV 2.pdf","Northern","San Francisco-SF Bay-Delta",50941,79,218851
2015,"Annual CPFV 2.pdf","Southern","Newport Beach",67876,19,198499
2015,"Annual CPFV 2.pdf","Southern","Oceanside-Dana Harbor",58116,23,114718
2015,"Annual CPFV 2.pdf","Southern","Port Hueneme-Oxnard-Ventura-Santa Barbara",63938,33,530184
2015,"Annual CPFV 2.pdf","Southern","Redondo-Marina del Rey-Malibu",48742,18,243458
2015,"Annual CPFV 2.pdf","Southern","San Diego-Mission Bay",141427,114,555898
2015,"Annual CPFV 2.pdf","Southern","Seal Beach-Long Beach-San Pedro",109967,68,439718
2016,"AnnualPortSideLogReport.pdf","Northern","Avila Beach-Morro Bay",26934,16,240537
2016,"AnnualPortSideLogReport.pdf","Northern","Fort Bragg-Eureka-Crescent City",10463,31,71586
2016,"AnnualPortSideLogReport.pdf","Northern","Monterey-Moss Landing-Santa Cruz",18217,16,183036
2016,"AnnualPortSideLogReport.pdf","Northern","Princeton-Bodega Bay",17413,30,162617
2016,"AnnualPortSideLogReport.pdf","Northern","San Francisco-SF Bay-Delta",45872,71,225071
2016,"AnnualPortSideLogReport.pdf","Southern","Newport Beach",49934,14,146850
2016,"AnnualPortSideLogReport.pdf","Southern","Oceanside-Dana Harbor",48378,22,106014
2016,"AnnualPortSideLogReport.pdf","Southern","Port Hueneme-Oxnard-Ventura-Santa Barbara",57105,34,452917
2016,"AnnualPortSideLogReport.pdf","Southern","Redondo-Marina del Rey-Malibu",43172,13,259507
2016,"AnnualPortSideLogReport.pdf","Southern","San Diego-Mission Bay",98656,98,310584
2016,"AnnualPortSideLogReport.pdf","Southern","Seal Beach-Long Beach-San Pedro",86081,58,417206
2017,"AnnualPortSideLogReport.pdf","Northern","Avila Beach-Morro Bay",27828,8,252768
2017,"AnnualPortSideLogReport.pdf","Northern","Fort Bragg-Eureka-Crescent City",8220,27,69673
2017,"AnnualPortSideLogReport.pdf","Northern","Monterey-Moss Landing-Santa Cruz",23188,20,200117
2017,"AnnualPortSideLogReport.pdf","Northern","Princeton-Bodega Bay",19756,35,171355
2017,"AnnualPortSideLogReport.pdf","Northern","San Francisco-SF Bay-Delta",46853,64,174506
2017,"AnnualPortSideLogReport.pdf","Southern","Newport Beach",44349,14,125172
2017,"AnnualPortSideLogReport.pdf","Southern","Oceanside-Dana Harbor",50792,26,111786
2017,"AnnualPortSideLogReport.pdf","Southern","Port Hueneme-Oxnard-Ventura-Santa Barbara",65862,34,612850
2017,"AnnualPortSideLogReport.pdf","Southern","Redondo-Marina del Rey-Malibu",32341,14,208065
2017,"AnnualPortSideLogReport.pdf","Southern","San Diego-Mission Bay",87523,86,321555
2017,"AnnualPortSideLogReport.pdf","Southern","Seal Beach-Long Beach-San Pedro",91922,54,446264
2018,"AnnualPortSideLogReport_07192019.pdf","Northern","Avila Beach-Morro Bay",28176,10,272110
2018,"AnnualPortSideLogReport_07192019.pdf","Northern","Fort Bragg-Eureka-Crescent City",12867,37,96812
2018,"AnnualPortSideLogReport_07192019.pdf","Northern","Monterey-Moss Landing-Santa Cruz",18602,15,172138
2018,"AnnualPortSideLogReport_07192019.pdf","Northern","Princeton-Bodega Bay",23281,35,200518
2018,"AnnualPortSideLogReport_07192019.pdf","Northern","San Francisco-SF Bay-Delta",54621,77,281408
2018,"AnnualPortSideLogReport_07192019.pdf","Southern","Newport Beach",48784,25,185376
2018,"AnnualPortSideLogReport_07192019.pdf","Southern","Oceanside-Dana Harbor",55107,33,129157
2018,"AnnualPortSideLogReport_07192019.pdf","Southern","Port Hueneme-Oxnard-Ventura-Santa Barbara",62737,30,621682
2018,"AnnualPortSideLogReport_07192019.pdf","Southern","Redondo-Marina del Rey-Malibu",37811,19,246264
2018,"AnnualPortSideLogReport_07192019.pdf","Southern","San Diego-Mission Bay",94551,101,388565
2018,"AnnualPortSideLogReport_07192019.pdf","Southern","Seal Beach-Long Beach-San Pedro",85415,61,541638
2019,"AnnualPortSideReport2019.pdf","Northern","Avila Beach-Morro Bay",26005,10,241903
2019,"AnnualPortSideReport2019.pdf","Northern","Fort Bragg-Eureka-Crescent City",13215,31,105356
2019,"AnnualPortSideReport2019.pdf","Northern","Monterey-Moss Landing-Santa Cruz",20025,14,174320
2019,"AnnualPortSideReport2019.pdf","Northern","Princeton-Bodega Bay",19546,22,194611
2019,"AnnualPortSideReport2019.pdf","Northern","San Francisco-SF Bay-Delta",54909,63,314022
2019,"AnnualPortSideReport2019.pdf","Southern","Newport Beach",43258,28,158688
2019,"AnnualPortSideReport2019.pdf","Southern","Oceanside-Dana Harbor",46727,31,133249
2019,"AnnualPortSideReport2019.pdf","Southern","Port Hueneme-Oxnard-Ventura-Santa Barbara",53967,34,577201
2019,"AnnualPortSideReport2019.pdf","Southern","Redondo-Marina del Rey-Malibu",37225,14,282233
2019,"AnnualPortSideReport2019.pdf","Southern","San Diego-Mission Bay",87164,106,319824
2019,"AnnualPortSideReport2019.pdf","Southern","Seal Beach-Long Beach-San Pedro",73833,59,442578
