"","year","comm_name_orig","California","North","South","Unknown","Total"
"142",2019,"Shark, sevengill","303","0","0","0","303"
"143",2019,"Shark, shortfin mako","18,902","0","757","29,665","49,324"
"144",2019,"Shark, soupfin","16,444","0","0","0","16,444"
"145",2019,"Shark, spiny dogfish","8,358","0","0","0","8,358"
"146",2019,"Shark, swell","539","0","0","0","539"
"147",2019,"Shark, thresher","66,753","0","0","3,902","70,655"
"148",2019,"Shark, unspecified","9,252","0","0","0","9,252"
"149",2019,"Shark, white","667","0","0","0","667"
"150",2019,"Sheephead, California","60,250","0","0","0","60,250"
"151",2019,"Sierra, Pacific","114","0","0","0","114"
"152",2019,"Skate, big","60,004","0","0","0","60,004"
"153",2019,"Skate, California","3,229","0","0","0","3,229"
"154",2019,"Skate, longnose","263,836","0","0","0","263,836"
"155",2019,"Skate, thornback","117","0","0","0","117"
"156",2019,"Skate, unspecified","5,138","0","0","0","5,138"
"157",2019,"Smelt, night","316,529","0","0","1,198","317,727"
"158",2019,"Smelt, surf","1,027","0","0","0","1,027"
"159",2019,"Smelt, whitebait","35","0","0","0","35"
"160",2019,"Smelts, true","91","0","0","0","91"
"161",2019,"Sole, curlfin","929","0","0","0","929"
"162",2019,"Sole, Dover","3,087,543","0","0","0","3,087,543"
"163",2019,"Sole, English","92,539","0","0","11","92,550"
"164",2019,"Sole, fantail","4,596","0","0","0","4,596"
"165",2019,"Sole, petrale","1,185,986","0","0","0","1,185,986"
"166",2019,"Sole, rex","139,281","0","0","0","139,281"
"167",2019,"Sole, rock","1,243","0","0","0","1,243"
"168",2019,"Sole, sand","13,831","0","0","0","13,831"
"169",2019,"Sole, slender","487","0","0","0","487"
"170",2019,"Sole, unspecified","1,271","0","0","0","1,271"
"171",2019,"Spearfish, shortbill","0","0","0","666","666"
"172",2019,"Stickleback, threespine","304","0","0","0","304"
"173",2019,"Stingray","1,142","0","0","0","1,142"
"174",2019,"Sunfish, ocean","182","0","0","0","182"
"175",2019,"Surfperch, barred","4,488","0","0","0","4,488"
"176",2019,"Surfperch, black","1,410","0","0","0","1,410"
"177",2019,"Surfperch, calico","1,971","0","0","0","1,971"
"178",2019,"Surfperch, pile","52","0","0","0","52"
"179",2019,"Surfperch, rainbow","168","0","0","0","168"
"180",2019,"Surfperch, redtail","6,088","0","0","74","6,162"
"181",2019,"Surfperch, rubberlip","188","0","0","0","188"
"182",2019,"Surfperch, unspecified","18","0","0","0","18"
"183",2019,"Surfperch, walleye","183","0","0","0","183"
"184",2019,"Swordfish","258,385","0","52","249,219","507,655"
"185",2019,"Thornyhead, longspine","396,098","0","0","36","396,134"
"186",2019,"Thornyhead, shortspine","511,765","0","0","232","511,997"
"187",2019,"Thornyheads","7,979","0","0","0","7,979"
"188",2019,"Tomcod, Pacific","114","0","0","0","114"
"189",2019,"Triggerfish","63","0","0","0","63"
"190",2019,"Trout, rainbow","2","0","0","0","2"
"191",2019,"Tuna, albacore","416,843","32,731","0","248,246","697,820"
"192",2019,"Tuna, bigeye","43,708","0","58,247","1,090,453","1,192,408"
"193",2019,"Tuna, blackfin","12","0","0","0","12"
"194",2019,"Tuna, bluefin","594,966","0","0","565","595,531"
"195",2019,"Tuna, skipjack","28,525","0","801","12,675","42,001"
"196",2019,"Tuna, skipjack, black","8","0","0","0","8"
"197",2019,"Tuna, yellowfin","812,325","0","15,020","171,589","998,934"
"198",2019,"Turbot","667","0","0","0","667"
"199",2019,"Turbot, hornyhead","219","0","0","0","219"
"200",2019,"Wahoo","4,559","0","4,997","77,474","87,030"
"201",2019,"Whitefish, ocean","21,644","0","0","84","21,728"
"202",2019,"Whiting, Pacific","5,345","0","0","0","5,345"
"203",2019,"Yellowtail","26,030","27","21","24","26,102"
"204",2019,"Crab, armed box","438","0","0","0","438"
"205",2019,"Crab, box","56,022","0","0","549","56,571"
"206",2019,"Crab, brown rock","53,536","0","0","0","53,536"
"207",2019,"Crab, claws","186","0","0","0","186"
"208",2019,"Crab, Dungeness","15,577,722","30,679","0","790","15,609,191"
"209",2019,"Crab, hermit","114","0","0","0","114"
"210",2019,"Crab, king","1,967","0","0","0","1,967"
"211",2019,"Crab, pelagic red","135","0","0","0","135"
"212",2019,"Crab, red rock","390,226","0","0","14","390,240"
"213",2019,"Crab, rock unspecified","71,577","0","0","0","71,577"
"214",2019,"Crab, shore","159","0","0","0","159"
"215",2019,"Crab, southern kelp","21","0","0","0","21"
"216",2019,"Crab, spider","77,928","0","0","0","77,928"
"217",2019,"Crab, spider/sheep claws","1,381","0","0","0","1,381"
"218",2019,"Crab, tanner","535","0","0","0","535"
"219",2019,"Crab, yellow rock","916,266","0","0","36","916,302"
"220",2019,"Crayfish, red swamp","230","0","0","122,010","122,240"
"221",2019,"Crayfish, signal","19,139","0","0","32,512","51,651"
"222",2019,"Crayfish, unspecified","28,935","0","0","103,259","132,194"
"223",2019,"Crustacean, unspecified","56","0","0","557","613"
"224",2019,"Lobster, California spiny","823,369","0","0","0","823,369"
"225",2019,"Prawn, ridgeback","448,114","0","0","2","448,116"
"226",2019,"Prawn, spot","414,732","0","0","0","414,732"
"227",2019,"Shrimp, bay","8,360","0","0","0","8,360"
"228",2019,"Shrimp, brine","0","0","0","799,989","799,989"
"229",2019,"Shrimp, coonstriped","99,319","0","0","0","99,319"
"230",2019,"Shrimp, mantis","199","0","0","0","199"
"231",2019,"Shrimp, ocean (pink)","2,521,300","0","0","0","2,521,300"
"232",2019,"Shrimp, unspecified","670","0","0","0","670"
"233",2019,"Bat star","138","0","0","0","138"
"234",2019,"Bryozoan","16","0","0","0","16"
"235",2019,"Sea cucumber, giant red","31,802","0","0","313","32,115"
"236",2019,"Sea cucumber, warty","83,854","0","0","0","83,854"
"237",2019,"Sea stars","116","0","0","0","116"
"238",2019,"Sea urchin, purple","12,777","0","0","0","12,777"
"239",2019,"Sea urchin, red","2,374,813","0","360","0","2,375,173"
"240",2019,"Limpet, keyhole","2,435","0","0","0","2,435"
"241",2019,"Mussel","4,455","0","0","0","4,455"
"242",2019,"Octopus, unspecified","2,237","0","0","0","2,237"
"243",2019,"Sea hare","547","0","0","0","547"
"244",2019,"Snail, sea","396","0","0","0","396"
"245",2019,"Snail, top","2,035","0","0","0","2,035"
"246",2019,"Snails, moon","577","0","0","0","577"
"247",2019,"Squid, market","27,198,474","0","0","0","27,198,474"
"248",2019,"Whelk, Kellet's","73,523","0","0","0","73,523"
"249",2019,"Algae, marine","5","0","0","0","5"
"250",2019,"Kelp, giant","14","0","0","0","14"
"251",2019,"Anemones","1,617","0","0","0","1,617"
"252",2019,"Jellyfish","85,546","0","0","0","85,546"
"253",2019,"Spiders, sea","96","0","0","0","96"
"254",2019,"Total Pounds","107,306,573","63,437","127,420","3,677,905","111,175,334"
"255",2018,"Anchovy, northern","38,364,968","0","0","0","38,364,968"
"256",2018,"Barracuda, California","24,927","0","0","0","24,927"
"257",2018,"Bass, giant sea","4,992","0","0","0","4,992"
"258",2018,"Bass, striped","14","0","0","0","14"
"259",2018,"Blacksmith","37","0","0","0","37"
"260",2018,"Bonito, Pacific","1,487,434","0","0","0","1,487,434"
"261",2018,"Bullhead, brown","6","0","0","0","6"
"262",2018,"Butterfish (Pacific pompano)","5,114","0","0","0","5,114"
"263",2018,"Cabezon","46,741","0","0","0","46,741"
"264",2018,"Carp","606","0","0","557","1,163"
"265",2018,"Corvina, shortfin","7","0","0","0","7"
"266",2018,"Croaker, white","51,018","0","0","0","51,018"
"267",2018,"Dolphin (fish)","2,316","0","743","22,386","25,445"
"268",2018,"Eel","215","0","0","0","215"
"269",2018,"Eel, California moray","2,212","0","0","0","2,212"
"270",2018,"Eel, wolf (wolf-eel)","79","0","0","0","79"
"271",2018,"Escolar","104","0","0","12,801","12,905"
"272",2018,"Fish, unspecified","6,338","0","534","333","7,205"
"273",2018,"Flounder, arrowtooth","53,652","0","0","0","53,652"
"274",2018,"Flounder, starry","7,450","0","0","0","7,450"
"275",2018,"Flounder, unspecified","127","0","0","0","127"
"276",2018,"Flyingfish","1,326","0","0","0","1,326"
"277",2018,"Goby, yellowfin","184","0","0","0","184"
"278",2018,"Greenling, kelp","7,809","0","0","0","7,809"
"279",2018,"Greenling, rock","31","0","0","0","31"
"280",2018,"Grenadier","44,766","0","0","0","44,766"
"281",2018,"Guitarfish, shovelnose","931","0","0","0","931"
"282",2018,"Hagfish, Pacific","585,763","0","0","0","585,763"
"283",2018,"Hagfish, unspecified","1,541,730","0","0","0","1,541,730"
"284",2018,"Halfmoon","16","0","0","0","16"
"285",2018,"Halibut, California","551,265","0","0","0","551,265"
"286",2018,"Halibut, Pacific","2,808","0","0","0","2,808"
"287",2018,"Halibut, unspecified","143","0","0","0","143"
"288",2018,"Herring, Pacific - roe","1,372,983","0","0","0","1,372,983"
"289",2018,"Jacksmelt","11,232","0","0","0","11,232"
"290",2018,"Lingcod","567,669","0","0","0","567,669"
"291",2018,"Lizardfish, California","33,310","0","0","0","33,310"
"292",2018,"Louvar","138","0","0","0","138"
"293",2018,"Mackerel, bullet","101","0","0","0","101"
"294",2018,"Mackerel, jack","141,202","0","0","0","141,202"
"295",2018,"Mackerel, Pacific","5,530,671","0","0","0","5,530,671"
"296",2018,"Mackerel, unspecified","11,345","0","0","0","11,345"
"297",2018,"Midshipman, plainfin","437","0","0","0","437"
"298",2018,"Mudsucker, longjaw","774","0","0","2,896","3,670"
"299",2018,"Oilfish","13","0","806","1,408","2,227"
"300",2018,"Opah","40,761","0","100,437","583,290","724,488"
"301",2018,"Opaleye","8","0","0","0","8"
"302",2018,"Pomfret","0","0","991","25,138","26,129"
"303",2018,"(eel)","501","0","0","0","501"
"304",2018,"Ratfish, spotted","8,802","0","0","0","8,802"
"305",2018,"Ray, bat","77,567","0","0","0","77,567"
"306",2018,"Ray, Pacific electric","313","0","0","0","313"
"307",2018,"Ray, unspecified","125","0","0","0","125"
"308",2018,"Rockfish, aurora","3,716","0","0","0","3,716"
"309",2018,"Rockfish, bank","59,382","0","0","0","59,382"
"310",2018,"Rockfish, black","98,337","0","0","0","98,337"
"311",2018,"Rockfish, black-and-yellow","33,492","0","0","0","33,492"
"312",2018,"Rockfish, blackgill","112,696","0","0","0","112,696"
"313",2018,"Rockfish, blue","27,959","0","0","0","27,959"
"314",2018,"Rockfish, bocaccio","410,642","0","0","0","410,642"
"315",2018,"Rockfish, brown","38,985","0","0","0","38,985"
"316",2018,"Rockfish, calico","17","0","0","0","17"
"317",2018,"Rockfish, canary","321,217","0","0","0","321,217"
"318",2018,"Rockfish, chilipepper","599,362","0","0","0","599,362"
"319",2018,"Rockfish, China","3,106","0","0","0","3,106"
"320",2018,"Rockfish, copper","31,410","0","0","0","31,410"
"321",2018,"Rockfish, cowcod","829","0","0","0","829"
"322",2018,"Rockfish, darkblotched","61,863","0","0","0","61,863"
"323",2018,"Rockfish, flag","394","0","0","0","394"
"324",2018,"Rockfish, gopher","64,401","0","0","0","64,401"
"325",2018,"Rockfish, grass","19,223","0","0","0","19,223"
"326",2018,"Rockfish, greenblotched","1,030","0","0","0","1,030"
"327",2018,"Rockfish, greenspotted","6,069","0","0","0","6,069"
"328",2018,"Rockfish, greenstriped","3,132","0","0","0","3,132"
"329",2018,"Rockfish, group bolina","374","0","0","0","374"
"330",2018,"nearshore","214","0","0","0","214"
"331",2018,"Rockfish, group nearshore","204","0","0","0","204"
"332",2018,"Rockfish, group red","1,363","0","0","0","1,363"
"333",2018,"Rockfish, group rosefish","4","0","0","0","4"
"334",2018,"Rockfish, group shelf","219,957","0","0","0","219,957"
"335",2018,"Rockfish, group slope","54,149","0","0","0","54,149"
"336",2018,"Rockfish, group small","6","0","0","0","6"
"337",2018,"Rockfish, honeycomb","149","0","0","0","149"
"338",2018,"Rockfish, kelp","1,595","0","0","0","1,595"
"339",2018,"Rockfish, Mexican","1,142","0","0","0","1,142"
"340",2018,"Rockfish, olive","1,056","0","0","0","1,056"
"341",2018,"","72","0","0","0","72"
"342",2018,"Rockfish, pink","1,517","0","0","0","1,517"
"343",2018,"Rockfish, quillback","5,781","0","0","0","5,781"
"344",2018,"Rockfish, redbanded","2,832","0","0","0","2,832"
"345",2018,"Rockfish, rosethorn","387","0","0","0","387"
"346",2018,"Rockfish, rosy","1,049","0","0","0","1,049"
"347",2018,"Rockfish, rougheye","575","0","0","0","575"
"348",2018,"Rockfish, shortbelly","1,189","0","0","0","1,189"
"349",2018,"Rockfish, shortraker","185","0","0","0","185"
"350",2018,"Rockfish, speckled","2,198","0","0","0","2,198"
"351",2018,"Rockfish, splitnose","53,561","0","0","0","53,561"
"352",2018,"Rockfish, squarespot","153","0","0","0","153"
"353",2018,"Rockfish, starry","3,007","0","0","0","3,007"
"354",2018,"Rockfish, stripetail","1,283","0","0","0","1,283"
"355",2018,"Rockfish, treefish","4,647","0","0","0","4,647"
"356",2018,"Rockfish, unspecified","28,804","0","0","0","28,804"
"357",2018,"Rockfish, vermilion","130,256","0","0","0","130,256"
"358",2018,"Rockfish, widow","525,378","0","0","0","525,378"
"359",2018,"Rockfish, yelloweye","2","0","0","0","2"
"360",2018,"Rockfish, yellowtail","44,257","0","0","0","44,257"
"361",2018,"Sablefish","3,040,652","0","0","0","3,040,652"
"362",2018,"Salmon","82","0","0","0","82"
"363",2018,"Salmon, Chinook","924,373","0","0","484","924,856"
"364",2018,"Salmon, pink","52","0","0","0","52"
"365",2018,"","1,000","0","0","0","1,000"
"366",2018,"Sanddab","49,917","0","0","0","49,917"
"367",2018,"Sanddab, Pacific","85,742","0","0","0","85,742"
"368",2018,"Sardine, Pacific","720,480","0","0","0","720,480"
"369",2018,"Sargo","47","0","0","0","47"
"370",2018,"Scorpionfish, California","3,491","0","0","0","3,491"
"371",2018,"Sculpin, staghorn","561","0","0","0","561"
"372",2018,"Seabass, white","237,991","0","0","0","237,991"
"373",2018,"Seaperch, striped","848","0","0","0","848"
"374",2018,"Senorita","75","0","0","0","75"
"375",2018,"Shad, American","881","0","0","0","881"
"376",2018,"Shad, threadfin","21,987","0","0","0","21,987"
"377",2018,"Shark, bigeye thresher","1,614","0","0","0","1,614"
"378",2018,"Shark, blacktip","17","0","0","0","17"
"379",2018,"Shark, brown smoothhound","347","0","0","0","347"
"380",2018,"Shark, horn","12","0","0","0","12"
"381",2018,"Shark, leopard","7,991","0","0","0","7,991"
"382",2018,"Shark, Pacific angel","36,171","0","0","0","36,171"
"383",2018,"Shark, pelagic thresher","231","0","0","0","231"
"384",2018,"Shark, sevengill","450","0","0","0","450"
"385",2018,"Shark, shortfin mako","25,009","0","6,665","12,557","44,231"
"386",2018,"Shark, sixgill","3","0","0","0","3"
"387",2018,"Shark, smooth hammerhead","246","0","0","0","246"
"388",2018,"Shark, soupfin","15,792","0","0","0","15,792"
"389",2018,"Shark, spiny dogfish","16,120","0","0","0","16,120"
"390",2018,"Shark, swell","387","0","0","0","387"
"391",2018,"Shark, thresher","58,089","0","0","0","58,089"
"392",2018,"Shark, unspecified","2,202","0","0","0","2,202"
"393",2018,"Shark, white","410","0","0","0","410"
"394",2018,"Sheephead, California","46,985","0","0","0","46,985"
"395",2018,"Skate, big","52,936","0","0","0","52,936"
"396",2018,"Skate, California","1,287","0","0","0","1,287"
"397",2018,"Skate, longnose","255,182","0","0","0","255,182"
"398",2018,"Skate, thornback","20","0","0","0","20"
"399",2018,"Skate, unspecified","17,371","0","0","0","17,371"
"400",2018,"Smelt, night","280,896","0","0","0","280,896"
"401",2018,"Smelt, surf","2,482","0","0","0","2,482"
"402",2018,"Sole, curlfin","2,387","0","0","0","2,387"
"403",2018,"Sole, Dover","3,544,523","0","0","0","3,544,523"
"404",2018,"Sole, English","134,649","0","0","0","134,649"
"405",2018,"Sole, fantail","3,850","0","0","0","3,850"
"406",2018,"Sole, petrale","1,313,414","0","0","0","1,313,414"
"407",2018,"Sole, rex","149,950","0","0","0","149,950"
"408",2018,"Sole, rock","2,203","0","0","0","2,203"
"409",2018,"Sole, sand","20,766","0","0","0","20,766"
"410",2018,"Sole, slender","197","0","0","0","197"
"411",2018,"Sole, unspecified","7,702","0","0","0","7,702"
"412",2018,"Stingray","4,316","0","0","0","4,316"
"413",2018,"Sucker","58","0","0","14","72"
"414",2018,"Surfperch, barred","10,320","0","0","21","10,341"
"415",2018,"Surfperch, black","2,284","0","0","0","2,284"
"416",2018,"Surfperch, calico","139","0","0","0","139"
"417",2018,"Surfperch, pile","203","0","0","0","203"
"418",2018,"Surfperch, rainbow","13","0","0","0","13"
"419",2018,"Surfperch, redtail","9,158","0","0","0","9,158"
"420",2018,"Surfperch, rubberlip","286","0","0","0","286"
"421",2018,"Surfperch, unspecified","11","0","0","0","11"
"422",2018,"Surfperch, walleye","194","0","0","0","194"
"423",2018,"Surfperch, white","126","0","0","0","126"
"424",2018,"Swordfish","341,711","0","28,594","565,630","935,935"
"425",2018,"Thornyhead, longspine","374,345","0","0","0","374,345"
"426",2018,"Thornyhead, shortspine","564,122","0","0","0","564,122"
"427",2018,"Thornyheads","2,919","0","0","0","2,919"
"428",2018,"Trawled fish, unspecified","4,856","0","0","0","4,856"
"429",2018,"Triggerfish","236","0","0","0","236"
"430",2018,"Tuna, albacore","305,425","13,659","0","18,401","337,485"
"431",2018,"Tuna, bigeye","1,826","0","90,416","1,261,661","1,353,903"
"432",2018,"Tuna, bluefin","135,564","0","0","3,731","139,295"
"433",2018,"Tuna, skipjack","2,466,165","0","55","12,439","2,478,659"
"434",2018,"Tuna, yellowfin","3,046,334","0","33,694","43,295","3,123,323"
"435",2018,"Turbot","464","0","0","0","464"
"436",2018,"Turbot, hornyhead","206","0","0","0","206"
"437",2018,"Wahoo","0","0","2,400","26,066","28,466"
"438",2018,"Whitefish, ocean","14,984","0","0","0","14,984"
"439",2018,"Whiting, Pacific","9,023","0","0","0","9,023"
"440",2018,"Yellowtail","40,353","0","82","0","40,435"
"441",2018,"Crab, armed box","473","0","0","0","473"
"442",2018,"Crab, box","65,665","0","0","0","65,665"
"443",2018,"Crab, brown rock","85,729","0","0","0","85,729"
"444",2018,"Crab, claws","671","0","0","0","671"
"445",2018,"Crab, Dungeness","18,805,626","0","0","0","18,805,626"
"446",2018,"Crab, king","7,204","0","0","0","7,204"
"447",2018,"Crab, red rock","457,407","0","0","0","457,407"
"448",2018,"Crab, rock unspecified","187,299","0","0","0","187,299"
"449",2018,"Crab, southern kelp","45","0","0","0","45"
"450",2018,"Crab, spider","74,863","0","0","0","74,863"
"451",2018,"Crab, spider/sheep claws","503","0","0","0","503"
"452",2018,"Crab, tanner","1,463","0","0","0","1,463"
"453",2018,"Crab, yellow rock","732,161","0","0","0","732,161"
"454",2018,"Crayfish, red swamp","1,227","0","0","0","1,227"
"455",2018,"Crayfish, signal","10,281","0","0","0","10,281"
"456",2018,"Crayfish, unspecified","154,515","0","0","580","155,095"
"457",2018,"Lobster, California spiny","870,289","0","0","263","870,552"
"458",2018,"Prawn, ridgeback","400,612","0","0","0","400,612"
"459",2018,"Prawn, spot","496,285","0","0","0","496,285"
"460",2018,"Shrimp, bay","20,781","0","0","0","20,781"
"461",2018,"Shrimp, brine","0","0","0","797,150","797,150"
"462",2018,"Shrimp, coonstriped","90,754","0","0","0","90,754"
"463",2018,"Shrimp, mantis","1","0","0","0","1"
