"SEASON","FISHERY_CODE","FISHERY_NAME","QUOTA_TYPE","QUOTA_HOLDERS","FIRST_QUARTILE_SHARE","MEDIAN_SHARE","THIRD_QUARTILE_SHARE","MAXIMUM_SHARE","GINI_COEFFICIENT","LOAD_DATE"
"2012/2013","BSS","BERING SEA SNOW CRAB","Processor QS",19,,3.42,,25.18,.671,"12/10/2021"
"2013/2014","BSS","BERING SEA SNOW CRAB","Processor QS",18,,3.76,,25.18,.653,"12/10/2021"
"2014/2015","BSS","BERING SEA SNOW CRAB","Processor QS",17,,3.42,,25.18,.678,"12/10/2021"
"2015/2016","BSS","BERING SEA SNOW CRAB","Processor QS",17,,3.42,,25.18,.678,"12/10/2021"
"2016/2017","BSS","BERING SEA SNOW CRAB","Processor QS",17,,3.42,,25.18,.678,"12/10/2021"
"2017/2018","BSS","BERING SEA SNOW CRAB","Processor QS",17,,3.42,,25.18,.678,"12/10/2021"
"2018/2019","BSS","BERING SEA SNOW CRAB","Processor QS",17,,3.42,,25.18,.678,"12/10/2021"
"2019/2020","BSS","BERING SEA SNOW CRAB","Processor QS",17,,3.42,,25.18,.678,"12/10/2021"
"2020/2021","BSS","BERING SEA SNOW CRAB","Processor QS",17,,3.42,,25.18,.678,"12/10/2021"
"Initial allocation","EAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - EAST","Crew QS",13,,8.2,,12.79,.253,"12/10/2021"
"2005/2006","EAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - EAST","Crew QS",11,,9.18,,20.14,.316,"12/10/2021"
"2006/2007","EAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - EAST","Crew QS",11,,9.18,,20.14,.316,"12/10/2021"
"2007/2008","EAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - EAST","Crew QS",11,,8.2,,20.14,.401,"12/10/2021"
"2008/2009","EAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - EAST","Crew QS",10,,9.36,,20.14,.388,"12/10/2021"
"2009/2010","EAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - EAST","Crew QS",11,,6.26,,20.14,.407,"12/10/2021"
"2010/2011","EAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - EAST","Crew QS",10,,8.55,,20.14,.407,"12/10/2021"
"2011/2012","EAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - EAST","Crew QS",10,,8.55,,20.14,.407,"12/10/2021"
"2012/2013","EAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - EAST","Crew QS",10,,8.55,,20.14,.407,"12/10/2021"
"2013/2014","EAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - EAST","Crew QS",10,,8.55,,20.14,.407,"12/10/2021"
"2014/2015","EAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - EAST","Crew QS",10,,8.55,,20.14,.407,"12/10/2021"
"2015/2016","EAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - EAST","Crew QS",9,,10.83,,20.14,.43,"12/10/2021"
"2016/2017","EAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - EAST","Crew QS",9,,10.83,,20.14,.43,"12/10/2021"
"2017/2018","EAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - EAST","Crew QS",9,,10.83,,20.14,.43,"12/10/2021"
"2018/2019","EAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - EAST","Crew QS",9,,10.83,,20.14,.43,"12/10/2021"
"2019/2020","EAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - EAST","Crew QS",9,,10.83,,20.14,.43,"12/10/2021"
"2020/2021","EAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - EAST","Crew QS",10,,8.55,,20,.491,"12/10/2021"
"Initial allocation","EAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - EAST","Owner QS",15,,5.9,,20.11,.428,"12/10/2021"
"2005/2006","EAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - EAST","Owner QS",16,,5.12,,20.01,.458,"12/10/2021"
"2006/2007","EAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - EAST","Owner QS",15,,5.97,,20.35,.428,"12/10/2021"
"2007/2008","EAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - EAST","Owner QS",15,,5.97,,20,.425,"12/10/2021"
"2008/2009","EAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - EAST","Owner QS",14,,7.02,,20,.388,"12/10/2021"
"2009/2010","EAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - EAST","Owner QS",17,,4.45,,20,.471,"12/10/2021"
"2010/2011","EAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - EAST","Owner QS",17,,4.45,,20,.471,"12/10/2021"
"2011/2012","EAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - EAST","Owner QS",17,,4.45,,20,.471,"12/10/2021"
"2012/2013","EAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - EAST","Owner QS",16,,4.92,,20,.436,"12/10/2021"
"2013/2014","EAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - EAST","Owner QS",24,,1.85,,20,.613,"12/10/2021"
"2014/2015","EAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - EAST","Owner QS",24,,1.85,,20,.617,"12/10/2021"
"2015/2016","EAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - EAST","Owner QS",24,,1.85,,20,.617,"12/10/2021"
"2016/2017","EAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - EAST","Owner QS",24,,1.85,,20,.617,"12/10/2021"
"2017/2018","EAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - EAST","Owner QS",24,,1.85,,20,.617,"12/10/2021"
"2018/2019","EAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - EAST","Owner QS",24,,1.85,,20,.617,"12/10/2021"
"2019/2020","EAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - EAST","Owner QS",24,,1.85,,20,.617,"12/10/2021"
"2020/2021","EAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - EAST","Owner QS",25,,1.63,,20,.626,"12/10/2021"
"Initial allocation","EAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - EAST","Processor QS",9,,3.55,,45.36,.708,"12/10/2021"
"2005/2006","EAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - EAST","Processor QS",8,,6.04,,45.91,.688,"12/10/2021"
"2006/2007","EAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - EAST","Processor QS",8,,6.04,,45.91,.688,"12/10/2021"
"2007/2008","EAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - EAST","Processor QS",9,,3.55,,45.36,.708,"12/10/2021"
"2008/2009","EAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - EAST","Processor QS",10,,5.24,,45.36,.676,"12/10/2021"
"2009/2010","EAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - EAST","Processor QS",10,,5.24,,45.36,.676,"12/10/2021"
"2010/2011","EAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - EAST","Processor QS",10,,5.24,,45.36,.676,"12/10/2021"
"2011/2012","EAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - EAST","Processor QS",10,,5.24,,45.36,.676,"12/10/2021"
"2012/2013","EAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - EAST","Processor QS",10,,5.24,,45.36,.676,"12/10/2021"
"2013/2014","EAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - EAST","Processor QS",10,,5.24,,45.36,.676,"12/10/2021"
"2014/2015","EAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - EAST","Processor QS",9,,6.93,,45.36,.647,"12/10/2021"
"2015/2016","EAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - EAST","Processor QS",9,,6.93,,45.36,.647,"12/10/2021"
"2016/2017","EAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - EAST","Processor QS",9,,6.93,,45.36,.647,"12/10/2021"
"2017/2018","EAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - EAST","Processor QS",10,,5.68,,45.36,.639,"12/10/2021"
"2018/2019","EAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - EAST","Processor QS",10,,5.68,,45.36,.639,"12/10/2021"
"2019/2020","EAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - EAST","Processor QS",10,,5.68,,45.36,.639,"12/10/2021"
"2020/2021","EAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - EAST","Processor QS",10,,5.68,,45.36,.639,"12/10/2021"
"Initial allocation","EBT","BERING SEA TANNER CRAB - EAST","Crew QS",166,.37,.56,.73,1.99,.303,"12/10/2021"
"2006/2007","EBT","BERING SEA TANNER CRAB - EAST","Crew QS",156,.37,.57,.82,2,.322,"12/10/2021"
"2007/2008","EBT","BERING SEA TANNER CRAB - EAST","Crew QS",154,.35,.57,.85,2,.336,"12/10/2021"
"2008/2009","EBT","BERING SEA TANNER CRAB - EAST","Crew QS",149,.4,.58,.87,2,.336,"12/10/2021"
"2009/2010","EBT","BERING SEA TANNER CRAB - EAST","Crew QS",150,.38,.57,.87,1.99,.34,"12/10/2021"
"2010/2011","EBT","BERING SEA TANNER CRAB - EAST","Crew QS",149,.36,.58,.87,1.99,.346,"12/10/2021"
"2011/2012","EBT","BERING SEA TANNER CRAB - EAST","Crew QS",149,.36,.58,.87,1.99,.346,"12/10/2021"
"2012/2013","EBT","BERING SEA TANNER CRAB - EAST","Crew QS",148,.35,.58,.87,1.99,.349,"12/10/2021"
"2013/2014","EBT","BERING SEA TANNER CRAB - EAST","Crew QS",146,.33,.58,.87,1.99,.37,"12/10/2021"
"2014/2015","EBT","BERING SEA TANNER CRAB - EAST","Crew QS",143,.35,.58,.88,1.99,.371,"12/10/2021"
"2015/2016","EBT","BERING SEA TANNER CRAB - EAST","Crew QS",141,.34,.59,.89,1.99,.374,"12/10/2021"
"2016/2017","EBT","BERING SEA TANNER CRAB - EAST","Crew QS",140,.33,.58,.92,1.99,.382,"12/10/2021"
"2017/2018","EBT","BERING SEA TANNER CRAB - EAST","Crew QS",125,.42,.62,1.24,1.99,.385,"12/10/2021"
"2018/2019","EBT","BERING SEA TANNER CRAB - EAST","Crew QS",122,.42,.63,1.28,1.99,.385,"12/10/2021"
"2019/2020","EBT","BERING SEA TANNER CRAB - EAST","Crew QS",117,.45,.63,1.31,1.99,.387,"12/10/2021"
"2020/2021","EBT","BERING SEA TANNER CRAB - EAST","Crew QS",112,.48,.69,1.34,1.99,.379,"12/10/2021"
"Initial allocation","EBT","BERING SEA TANNER CRAB - EAST","Owner QS",256,.14,.3,.52,3.87,.457,"12/10/2021"
"2006/2007","EBT","BERING SEA TANNER CRAB - EAST","Owner QS",244,.14,.31,.56,2.91,.449,"12/10/2021"
"2007/2008","EBT","BERING SEA TANNER CRAB - EAST","Owner QS",246,.14,.3,.56,3.63,.457,"12/10/2021"
"2008/2009","EBT","BERING SEA TANNER CRAB - EAST","Owner QS",239,.13,.3,.57,3.63,.473,"12/10/2021"
"2009/2010","EBT","BERING SEA TANNER CRAB - EAST","Owner QS",245,.12,.28,.54,4.96,.492,"12/10/2021"
"2010/2011","EBT","BERING SEA TANNER CRAB - EAST","Owner QS",243,.12,.28,.53,4.96,.504,"12/10/2021"
"2011/2012","EBT","BERING SEA TANNER CRAB - EAST","Owner QS",245,.12,.27,.53,4.97,.506,"12/10/2021"
"2012/2013","EBT","BERING SEA TANNER CRAB - EAST","Owner QS",246,.12,.27,.52,4.97,.502,"12/10/2021"
"2013/2014","EBT","BERING SEA TANNER CRAB - EAST","Owner QS",240,.12,.28,.53,4.97,.515,"12/10/2021"
"2014/2015","EBT","BERING SEA TANNER CRAB - EAST","Owner QS",240,.1,.27,.52,4.97,.536,"12/10/2021"
"2015/2016","EBT","BERING SEA TANNER CRAB - EAST","Owner QS",239,.1,.27,.52,4.97,.544,"12/10/2021"
"2016/2017","EBT","BERING SEA TANNER CRAB - EAST","Owner QS",237,.1,.27,.53,4.97,.547,"12/10/2021"
"2017/2018","EBT","BERING SEA TANNER CRAB - EAST","Owner QS",238,.1,.26,.53,4.97,.547,"12/10/2021"
"2018/2019","EBT","BERING SEA TANNER CRAB - EAST","Owner QS",231,.1,.27,.57,4.97,.543,"12/10/2021"
"2019/2020","EBT","BERING SEA TANNER CRAB - EAST","Owner QS",230,.11,.27,.57,4.97,.538,"12/10/2021"
"2020/2021","EBT","BERING SEA TANNER CRAB - EAST","Owner QS",229,.12,.27,.57,4.97,.54,"12/10/2021"
"Initial allocation","EBT","BERING SEA TANNER CRAB - EAST","Processor QS",23,,.83,,24.26,.734,"12/10/2021"
"2006/2007","EBT","BERING SEA TANNER CRAB - EAST","Processor QS",23,,.83,,24.26,.734,"12/10/2021"
"2007/2008","EBT","BERING SEA TANNER CRAB - EAST","Processor QS",22,,1.27,,24.26,.724,"12/10/2021"
"2008/2009","EBT","BERING SEA TANNER CRAB - EAST","Processor QS",21,,1.85,,24.26,.695,"12/10/2021"
"2009/2010","EBT","BERING SEA TANNER CRAB - EAST","Processor QS",21,,1.85,,24.26,.695,"12/10/2021"
"2010/2011","EBT","BERING SEA TANNER CRAB - EAST","Processor QS",21,,1.85,,24.26,.695,"12/10/2021"
"2011/2012","EBT","BERING SEA TANNER CRAB - EAST","Processor QS",21,,1.85,,24.26,.695,"12/10/2021"
"2012/2013","EBT","BERING SEA TANNER CRAB - EAST","Processor QS",21,,1.85,,24.26,.695,"12/10/2021"
"2013/2014","EBT","BERING SEA TANNER CRAB - EAST","Processor QS",21,,1.85,,24.26,.695,"12/10/2021"
"2014/2015","EBT","BERING SEA TANNER CRAB - EAST","Processor QS",19,,1.85,,24.37,.694,"12/10/2021"
"2015/2016","EBT","BERING SEA TANNER CRAB - EAST","Processor QS",19,,1.85,,24.37,.694,"12/10/2021"
"2016/2017","EBT","BERING SEA TANNER CRAB - EAST","Processor QS",19,,1.85,,24.37,.694,"12/10/2021"
"2017/2018","EBT","BERING SEA TANNER CRAB - EAST","Processor QS",19,,1.85,,24.37,.694,"12/10/2021"
"2018/2019","EBT","BERING SEA TANNER CRAB - EAST","Processor QS",18,,1.87,,24.37,.676,"12/10/2021"
"2019/2020","EBT","BERING SEA TANNER CRAB - EAST","Processor QS",18,,1.87,,24.37,.676,"12/10/2021"
"2020/2021","EBT","BERING SEA TANNER CRAB - EAST","Processor QS",19,,1.86,,23.92,.678,"12/10/2021"
"Initial allocation","PIK","PRIBILOF ISLANDS RED AND BLUE KING CRAB","Crew QS",40,,2.47,,4.81,.239,"12/10/2021"
"2005/2006","PIK","PRIBILOF ISLANDS RED AND BLUE KING CRAB","Crew QS",40,,2.41,,4.84,.239,"12/10/2021"
"2006/2007","PIK","PRIBILOF ISLANDS RED AND BLUE KING CRAB","Crew QS",39,,2.55,,4.84,.24,"12/10/2021"
"2007/2008","PIK","PRIBILOF ISLANDS RED AND BLUE KING CRAB","Crew QS",39,,2.55,,4.84,.24,"12/10/2021"
"2008/2009","PIK","PRIBILOF ISLANDS RED AND BLUE KING CRAB","Crew QS",39,,2.56,,4.84,.262,"12/10/2021"
"2009/2010","PIK","PRIBILOF ISLANDS RED AND BLUE KING CRAB","Crew QS",39,,2.6,,4.81,.261,"12/10/2021"
"2010/2011","PIK","PRIBILOF ISLANDS RED AND BLUE KING CRAB","Crew QS",39,,2.6,,4.81,.261,"12/10/2021"
"2011/2012","PIK","PRIBILOF ISLANDS RED AND BLUE KING CRAB","Crew QS",39,,2.6,,4.81,.261,"12/10/2021"
"2012/2013","PIK","PRIBILOF ISLANDS RED AND BLUE KING CRAB","Crew QS",39,,2.6,,4.81,.261,"12/10/2021"
"2013/2014","PIK","PRIBILOF ISLANDS RED AND BLUE KING CRAB","Crew QS",40,,2.54,,4.81,.27,"12/10/2021"
"2014/2015","PIK","PRIBILOF ISLANDS RED AND BLUE KING CRAB","Crew QS",39,,2.6,,4.81,.261,"12/10/2021"
"2015/2016","PIK","PRIBILOF ISLANDS RED AND BLUE KING CRAB","Crew QS",39,,2.6,,4.81,.261,"12/10/2021"
"2016/2017","PIK","PRIBILOF ISLANDS RED AND BLUE KING CRAB","Crew QS",39,,2.6,,4.81,.261,"12/10/2021"
"2017/2018","PIK","PRIBILOF ISLANDS RED AND BLUE KING CRAB","Crew QS",39,,2.6,,4.81,.261,"12/10/2021"
"2018/2019","PIK","PRIBILOF ISLANDS RED AND BLUE KING CRAB","Crew QS",39,,2.6,,4.81,.261,"12/10/2021"
