"FMP_AREA","GEAR","SECTOR","GROUNDFISH_TARGET_SPECIES","SPECIES","YEAR","RETCATCH_MT","PERCENT_CATCH_SUPPRESSED"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Vessels","Turbot","Turbot","2003",-9999,"100%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Processors","Turbot","Turbot","2003",1494,"0%"
"Bering Sea and Aleutian Islands","Pot","Catcher Vessels","All Target Species","All Groundfish","2003",18996,"<1%"
"Bering Sea and Aleutian Islands","Pot","Catcher Processors","All Target Species","All Groundfish","2003",1554,"<1%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Processors","Turbot","Pollock","2003",4,"0%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Processors","Turbot","Rockfish","2003",66,"0%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Vessels","Turbot","Rockfish","2003",-9999,"100%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Vessels","All Target Species","Other Groundfish","2003",585,"<1%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","All Target Species","Other Groundfish","2003",2785,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","All Target Species","Pacific Cod","2003",33632,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Vessels","All Target Species","Pacific Cod","2003",43475,"<1%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Flathead Sole","Atka Mackerel","2003",-9999,"100%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Flathead Sole","Other Flatfish","2003",43,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Flathead Sole","Flathead Sole","2003",5628,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","All Target Species","Flathead Sole","2003",9615,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Vessels","All Target Species","Flathead Sole","2003",635,"<1%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Atka Mackerel","Sablefish","2003",8,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Atka Mackerel","Turbot","2003",87,"0%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Processors","All Target Species","Yellowfin Sole","2003",65,"<1%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Vessels","All Target Species","Yellowfin Sole","2003",-9999,"100%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Processors","Arrowtooth","All Groundfish","2003",-9999,"100%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Processors","Arrowtooth","Arrowtooth","2003",-9999,"100%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Vessels","Turbot","Pacific Cod","2003",-9999,"100%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Processors","Turbot","Pacific Cod","2003",15,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Flathead Sole","Pollock","2003",1434,"0%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Processors","All Target Species","Sablefish","2003",459,"0%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Vessels","All Target Species","Sablefish","2003",581,"1-5%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Vessels","All Target Species","Turbot","2003",18,"50-75%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Processors","All Target Species","Turbot","2003",1751,"<1%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Vessels","Turbot","All Groundfish","2003",-9999,"100%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Processors","Turbot","Arrowtooth","2003",87,"0%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Vessels","Turbot","Arrowtooth","2003",-9999,"100%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Processors","Turbot","Other Flatfish","2003",-9999,"100%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Processors","Turbot","Flathead Sole","2003",-9999,"100%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Processors","Turbot","Other Groundfish","2003",8,"0%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Vessels","Sablefish","Turbot","2003",18,"0%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Processors","Sablefish","Turbot","2003",81,"0%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Processors","Turbot","All Groundfish","2003",1766,"<1%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","All Target Species","Atka Mackerel","2003",44549,"<1%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Vessels","All Target Species","Atka Mackerel","2003",423,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","All Target Species","Other Flatfish","2003",1594,"1-5%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Vessels","All Target Species","Other Flatfish","2003",91,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Flathead Sole","Other Groundfish","2003",291,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Flathead Sole","Pacific Cod","2003",1785,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","All Target Species","Arrowtooth","2003",3863,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Atka Mackerel","Yellowfin Sole","2003",1,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Flathead Sole","All Groundfish","2003",13096,"<1%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Flathead Sole","Arrowtooth","2003",929,"0%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Processors","All Target Species","Rex Sole","2003",0,"0%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Vessels","All Target Species","Rock Sole","2003",-9999,"100%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Processors","All Target Species","Rock Sole","2003",11,"<1%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Processors","All Target Species","Rockfish","2003",159,"<1%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Vessels","All Target Species","Rockfish","2003",68,"1-5%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Processors","Sablefish","Sablefish","2003",303,"0%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Vessels","Sablefish","Sablefish","2003",428,"0%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Processors","All Target Species","Pollock","2003",6391,"<1%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Vessels","All Target Species","Pollock","2003",-9999,"100%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Processors","Sablefish","Pollock","2003",-9999,"100%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Vessels","Sablefish","Rockfish","2003",40,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","All Target Species","Yellowfin Sole","2003",68625,"<1%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Arrowtooth","All Groundfish","2003",1999,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","All Target Species","Other Groundfish","2003",636,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Processors","All Target Species","Other Groundfish","2003",10355,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","All Target Species","Pacific Cod","2003",62393,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Processors","All Target Species","Pacific Cod","2003",142419,"<1%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Processors","Pacific Cod","Arrowtooth","2003",462,"0%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Processors","Pacific Cod","Atka Mackerel","2003",7,"0%"
"Bering Sea and Aleutian Islands","Pot","Catcher Vessels","All Target Species","Rock Sole","2003",-9999,"100%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Processors","Halibut","Turbot","2003",35,"0%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Vessels","Halibut","Turbot","2003",-9999,"100%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Vessels","Halibut","Yellowfin Sole","2003",-9999,"100%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Vessels","Pacific Cod","All Groundfish","2003",635,"<1%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Processors","Pacific Cod","All Groundfish","2003",121864,"0%"
"Bering Sea and Aleutian Islands","Pot","Catcher Vessels","All Target Species","Pollock","2003",2,"0%"
"Bering Sea and Aleutian Islands","Pot","Catcher Processors","All Target Species","Pollock","2003",8,"0%"
"Bering Sea and Aleutian Islands","Pot","Catcher Vessels","All Target Species","Flathead Sole","2003",0,"1-5%"
"Bering Sea and Aleutian Islands","Pot","Catcher Processors","All Target Species","Other Groundfish","2003",-9999,"100%"
"Bering Sea and Aleutian Islands","Pot","Catcher Vessels","All Target Species","Other Groundfish","2003",47,"1-5%"
"Bering Sea and Aleutian Islands","Pot","Catcher Vessels","All Target Species","Pacific Cod","2003",18233,"0%"
"Bering Sea and Aleutian Islands","Pot","Catcher Processors","All Target Species","Pacific Cod","2003",1547,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","All Target Species","Sablefish","2003",168,"<1%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Vessels","All Target Species","Sablefish","2003",8,"1-5%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","All Target Species","Turbot","2003",751,"<1%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Vessels","All Target Species","Turbot","2003",7,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","All Target Species","Flathead Sole","2003",635,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Processors","All Target Species","Flathead Sole","2003",9698,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","All Target Species","Atka Mackerel","2003",426,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Processors","All Target Species","Atka Mackerel","2003",44556,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Processors","All Target Species","Other Flatfish","2003",1601,"1-5%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","All Target Species","Other Flatfish","2003",91,"<1%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Vessels","Halibut","Pollock","2003",-9999,"100%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Processors","Halibut","Pollock","2003",1,"0%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Processors","Halibut","Rock Sole","2003",-9999,"100%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Vessels","Halibut","Rock Sole","2003",-9999,"100%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Vessels","Halibut","Rockfish","2003",26,"0%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Processors","Halibut","Rockfish","2003",19,"0%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Vessels","Halibut","Sablefish","2003",152,"0%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Processors","Halibut","Sablefish","2003",51,"0%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Processors","Halibut","Flathead Sole","2003",-9999,"100%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Processors","Halibut","Other Groundfish","2003",47,"0%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Vessels","Halibut","Other Groundfish","2003",4,"0%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Vessels","Halibut","Pacific Cod","2003",48,"0%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Processors","Halibut","Pacific Cod","2003",21,"0%"
"Bering Sea and Aleutian Islands","Pot","Catcher Vessels","All Target Species","Arrowtooth","2003",23,"<1%"
"Bering Sea and Aleutian Islands","Pot","Catcher Vessels","All Target Species","Atka Mackerel","2003",3,"1-5%"
"Bering Sea and Aleutian Islands","Pot","Catcher Vessels","All Target Species","Other Flatfish","2003",0,"10-25%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Vessels","All Target Species","Rockfish","2003",161,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","All Target Species","Rockfish","2003",12958,"<1%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Vessels","All Target Species","Pollock","2003",804408,"<1%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","All Target Species","Pollock","2003",664397,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Vessels","All Target Species","Rex Sole","2003",-9999,"100%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","All Target Species","Rex Sole","2003",68,"5-10%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","All Target Species","Rock Sole","2003",19997,"<1%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Vessels","All Target Species","Rock Sole","2003",490,"1-5%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Processors","All Target Species","All Groundfish","2003",988901,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","All Target Species","All Groundfish","2003",870945,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","All Target Species","Arrowtooth","2003",232,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Processors","All Target Species","Arrowtooth","2003",4465,"<1%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Processors","Halibut","Atka Mackerel","2003",-9999,"100%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Vessels","Halibut","Atka Mackerel","2003",0,"0%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Vessels","Halibut","Other Flatfish","2003",-9999,"100%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Processors","Halibut","Other Flatfish","2003",-9999,"100%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Vessels","Halibut","All Groundfish","2003",230,"1-5%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Vessels","Pacific Cod","Atka Mackerel","2003",2,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Pacific Cod","Other Flatfish","2003",339,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Vessels","Pacific Cod","Other Flatfish","2003",6,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Pollock, Pelagic","Pollock","2003",646620,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Vessels","Pollock, Pelagic","Pollock","2003",793211,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Vessels","Pacific Cod","All Groundfish","2003",41065,"<1%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Pacific Cod","All Groundfish","2003",26486,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Vessels","Pacific Cod","Arrowtooth","2003",2,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Pacific Cod","Arrowtooth","2003",775,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Vessels","Pollock, Pelagic","Other Groundfish","2003",359,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Pollock, Pelagic","Other Groundfish","2003",838,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Pollock, Pelagic","Pacific Cod","2003",2389,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Vessels","Pollock, Pelagic","Pacific Cod","2003",3357,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Other Flatfish","Sablefish","2003",28,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Other Flatfish","Turbot","2003",-9999,"100%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Other Flatfish","Yellowfin Sole","2003",-9999,"100%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Vessels","Pollock, Pelagic","Flathead Sole","2003",551,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Pollock, Pelagic","Flathead Sole","2003",595,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Other Flatfish","Pollock","2003",93,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Other Flatfish","Rock Sole","2003",-9999,"100%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Other Flatfish","Rockfish","2003",10,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Pollock, Pelagic","Atka Mackerel","2003",2,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Vessels","Pollock, Pelagic","Atka Mackerel","2003",143,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Pollock, Pelagic","Other Flatfish","2003",20,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Vessels","Pollock, Pelagic","Other Flatfish","2003",81,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Rockfish","Sablefish","2003",34,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Rockfish","Turbot","2003",198,"0%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Processors","Pacific Cod","Pollock","2003",6384,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Vessels","Pollock, Pelagic","All Groundfish","2003",798507,"<1%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Pollock, Pelagic","All Groundfish","2003",651452,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Vessels","Pollock, Pelagic","Arrowtooth","2003",193,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Pollock, Pelagic","Arrowtooth","2003",233,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Rockfish","Pollock","2003",418,"0%"
