"YEAR","FISHERY_CODE","FISHERY_NAME","QUOTA_TYPE","QLY_VESCOUNT","QLY_LBSLEASE","QLY_LBSLEASEMED","QLY_LBSLEASEAVG","QLY_COST_NOM","QLY_COST_REAL","QLY_COSTMED_NOM","QLY_COSTMED_REAL","QLY_COSTMEAN_NOM","QLY_COSTMEAN_REAL","QLY_PRICEMED_NOM","QLY_PRICEMED_REAL","QLY_PRICEMEAN_NOM","QLY_PRICEMEAN_REAL","QLY_LEASERATEMED","QLY_LEASERATEMEAN","LOAD_DATE","ADJUST_YR"
"2016","BSS","BERING SEA SNOW CRAB","CVC + CPC",36,925253,23928,25701,1271442,1364184,32721,35108,35318,37894,1.31,1.4,1.37,1.47,.46,.54,"12/10/2021",2020
"2016","BSS","BERING SEA SNOW CRAB","CVO B + CPO",45,3867737,45256,85950,5462553,5861005,69856,74951,121390,130245,1.31,1.41,1.41,1.52,.46,.46,"12/10/2021",2020
"2015","BSS","BERING SEA SNOW CRAB","CVO B + CPO",47,6288745,82376,133803,6470701,7018325,78130,84742,137674,149326,.98,1.06,1.03,1.12,.45,.46,"12/10/2021",2020
"2015","BSS","BERING SEA SNOW CRAB","CVC + CPC",37,1515744,37900,39888,1556935,1688701,39282,42606,42079,45641,.98,1.07,1.04,1.13,.46,.66,"12/10/2021",2020
"2015","BSS","BERING SEA SNOW CRAB","CDQ + ACA",7,4150070,509278,592867,4401958,4774502,540751,586516,628851,682072,1.03,1.12,1.06,1.15,.5,.56,"12/10/2021",2020
"2015","BSS","BERING SEA SNOW CRAB","CVO A",55,30362225,523300,552040,29528497,32027534,485201,526264,536882,582319,.93,1.01,.97,1.05,.36,.37,"12/10/2021",2020
"2014","BSS","BERING SEA SNOW CRAB","CVO A",57,29682643,442043,520748,32362233,35463233,489154,536026,567758,622162,1.12,1.23,1.09,1.19,.37,.38,"12/10/2021",2020
"2014","BSS","BERING SEA SNOW CRAB","CVC + CPC",37,1258304,31815,33113,1464504,1604835,38072,41720,39581,43374,1.22,1.33,1.18,1.29,.46,.48,"12/10/2021",2020
"2014","BSS","BERING SEA SNOW CRAB","CDQ + ACA",10,5367242,422745,536724,6338002,6945319,510427,559337,633800,694532,1.23,1.35,1.18,1.29,.49,.56,"12/10/2021",2020
"2014","BSS","BERING SEA SNOW CRAB","CVO B + CPO",48,5987686,75516,124743,7187369,7876074,101737,111485,149737,164085,1.21,1.33,1.2,1.32,.45,.43,"12/10/2021",2020
"2013","BSS","BERING SEA SNOW CRAB","CVO A",56,34352578,486626,613439,36888659,41184014,514115,573979,658726,735429,1.06,1.19,1.07,1.2,.37,.37,"12/10/2021",2020
"2013","BSS","BERING SEA SNOW CRAB","CDQ + ACA",11,6409214,563975,582656,7985709,8915574,747644,834700,725974,810507,1.24,1.39,1.25,1.39,.52,.59,"12/10/2021",2020
"2013","BSS","BERING SEA SNOW CRAB","CVC + CPC",41,1767023,35797,43098,2080068,2322273,39947,44598,50733,56641,1.13,1.26,1.18,1.31,.46,.47,"12/10/2021",2020
"2013","BSS","BERING SEA SNOW CRAB","CVO B + CPO",50,7740913,82908,154818,9536706,10647170,95904,107071,190734,212943,1.15,1.28,1.23,1.38,.45,.48,"12/10/2021",2020
"2012","BSS","BERING SEA SNOW CRAB","CVC + CPC",39,1879878,47826,46997,2004887,2278013,49486,56227,51407,58411,1.09,1.24,1.08,1.23,.46,.38,"12/10/2021",2020
"2012","BSS","BERING SEA SNOW CRAB","CDQ + ACA",11,6463574,563348,587598,7286148,8278740,661899,752070,662377,752613,1.12,1.27,1.13,1.28,.49,.58,"12/10/2021",2020
"2012","BSS","BERING SEA SNOW CRAB","CVO A",55,42796158,640323,778112,42541947,48337436,656148,745535,773490,878862,1,1.13,.99,1.13,.36,.36,"12/10/2021",2020
"2012","BSS","BERING SEA SNOW CRAB","CVO B + CPO",47,6989611,83968,148715,7804271,8867447,100241,113897,166048,188669,1.09,1.24,1.12,1.27,.41,.41,"12/10/2021",2020
"2020","BST","BERING SEA TANNER CRAB","CVO B + CPO",9,51365,3410,5707,61779,61779,3338,3338,6864,6864,.93,.93,1.2,1.2,.27,.4,"12/10/2021",2020
"2020","BST","BERING SEA TANNER CRAB","CVC + CPC",9,13676,1296,1520,15838,15838,1293,1293,1760,1760,1,1,1.16,1.16,.31,.55,"12/10/2021",2020
"2020","BST","BERING SEA TANNER CRAB","CDQ + ACA",1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"12/10/2021",2020
"2020","BST","BERING SEA TANNER CRAB","CVO A",17,487516,19382,28677,627316,627316,22866,22866,36901,36901,1,1,1.29,1.29,.31,.31,"12/10/2021",2020
"2019","BST","BERING SEA TANNER CRAB","CVO B + CPO",14,145522,4688,10394,214839,217337,6525,6601,15346,15524,1.43,1.45,1.48,1.49,.29,.37,"12/10/2021",2020
"2019","BST","BERING SEA TANNER CRAB","CVC + CPC",14,41671,1259,2977,60944,61653,1748,1768,4353,4404,1.43,1.45,1.46,1.48,.32,.35,"12/10/2021",2020
"2019","BST","BERING SEA TANNER CRAB","CVO A",15,691371,32045,46091,1035247,1047285,52898,53513,69016,69819,1.43,1.45,1.5,1.51,.28,.32,"12/10/2021",2020
"2019","BST","BERING SEA TANNER CRAB","CDQ + ACA",3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"12/10/2021",2020
"2018","BST","BERING SEA TANNER CRAB","CVO A",28,1394355,44255,49798,1760652,1813190,53012,54593,62880,64757,1.23,1.27,1.26,1.3,.27,.29,"12/10/2021",2020
"2018","BST","BERING SEA TANNER CRAB","CVC + CPC",22,53587,1660,2436,67320,69329,2001,2060,3060,3151,1.23,1.27,1.26,1.29,.28,.22,"12/10/2021",2020
"2018","BST","BERING SEA TANNER CRAB","CDQ + ACA",5,199265,43901,39853,279843,288193,59481,61256,55969,57639,1.28,1.32,1.4,1.45,.29,.32,"12/10/2021",2020
"2018","BST","BERING SEA TANNER CRAB","CVO B + CPO",26,244163,5436,9391,371644,382734,6921,7128,14294,14721,1.25,1.29,1.52,1.57,.27,.31,"12/10/2021",2020
"2017","BST","BERING SEA TANNER CRAB","CVC + CPC",14,31485,1905,2249,37530,39509,2016,2122,2681,2822,1.17,1.23,1.19,1.25,.27,.33,"12/10/2021",2020
"2017","BST","BERING SEA TANNER CRAB","CVO B + CPO",15,172202,7234,11480,213258,224503,7414,7805,14217,14967,1.17,1.23,1.24,1.3,.27,.32,"12/10/2021",2020
"2017","BST","BERING SEA TANNER CRAB","CDQ + ACA",4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"12/10/2021",2020
"2017","BST","BERING SEA TANNER CRAB","CVO A",15,828592,60066,55239,953874,1004172,52900,55689,63592,66945,1.12,1.18,1.15,1.21,.27,.24,"12/10/2021",2020
"2016","BST","BERING SEA TANNER CRAB","CVO A",37,7469872,130591,201888,6282272,6740517,110608,118676,169791,182176,.82,.87,.84,.9,.27,.32,"12/10/2021",2020
"2016","BST","BERING SEA TANNER CRAB","CDQ + ACA",7,829850,95688,118550,765366,821194,79140,84913,109338,117313,.9,.97,.92,.99,.29,.32,"12/10/2021",2020
"2016","BST","BERING SEA TANNER CRAB","CVC + CPC",24,440962,10365,18373,529733,568373,9158,9825,22072,23682,.87,.93,1.2,1.29,.28,.27,"12/10/2021",2020
"2016","BST","BERING SEA TANNER CRAB","CVO B + CPO",31,1124508,22609,36274,1135942,1218800,23857,25597,36643,39316,.88,.94,1.01,1.08,.27,.32,"12/10/2021",2020
"2015","BST","BERING SEA TANNER CRAB","CVO A",43,9486820,158328,220624,7154283,7759760,124429,134960,166379,180460,.81,.88,.75,.82,.27,.27,"12/10/2021",2020
"2015","BST","BERING SEA TANNER CRAB","CDQ + ACA",8,1341695,118887,167712,1180750,1280678,85488,92722,147594,160085,.65,.7,.88,.95,.29,.43,"12/10/2021",2020
"2015","BST","BERING SEA TANNER CRAB","CVC + CPC",24,381573,10903,15899,260966,283052,7892,8559,10874,11794,.8,.87,.68,.74,.28,.23,"12/10/2021",2020
"2015","BST","BERING SEA TANNER CRAB","CVO B + CPO",27,1527345,36730,56568,1199964,1301519,23658,25660,44443,48204,.81,.88,.79,.85,.27,.3,"12/10/2021",2020
"2014","BST","BERING SEA TANNER CRAB","CDQ + ACA",6,728514,114521,121419,584154,640129,90097,98730,97359,106688,.88,.96,.8,.88,.29,.28,"12/10/2021",2020
"2014","BST","BERING SEA TANNER CRAB","CVC + CPC",24,427602,6088,17817,182284,199751,4402,4823,7595,8323,.69,.76,.43,.47,.28,.36,"12/10/2021",2020
"2014","BST","BERING SEA TANNER CRAB","CVO B + CPO",25,819581,15934,32783,603723,661573,12674,13888,24149,26463,.67,.74,.74,.81,.28,.34,"12/10/2021",2020
"2014","BST","BERING SEA TANNER CRAB","CVO A",32,5255657,143479,164239,3433496,3762499,98774,108238,107297,117578,.67,.73,.65,.72,.26,.26,"12/10/2021",2020
"2013","BST","BERING SEA TANNER CRAB","CDQ + ACA",5,88008,24871,17602,74265,82912,15639,17460,14853,16582,1,1.12,.84,.94,.33,.4,"12/10/2021",2020
"2013","BST","BERING SEA TANNER CRAB","CVC + CPC",10,41622,2115,4162,31561,35236,1374,1534,3156,3524,.79,.88,.76,.85,.28,.41,"12/10/2021",2020
"2013","BST","BERING SEA TANNER CRAB","CVO B + CPO",13,130353,8276,10027,119307,133199,6533,7294,9177,10246,.79,.89,.92,1.02,.28,.34,"12/10/2021",2020
"2013","BST","BERING SEA TANNER CRAB","CVO A",16,776645,52728,48540,543840,607165,25230,28168,33990,37948,.73,.82,.7,.78,.23,.26,"12/10/2021",2020
"2020","BBR","BRISTOL BAY RED KING CRAB","CVC + CPC",33,60359,1546,1829,484841,484841,12661,12661,14692,14692,8.24,8.24,8.03,8.03,.62,.63,"12/10/2021",2020
"2020","BBR","BRISTOL BAY RED KING CRAB","CDQ + ACA",5,219586,47664,43917,1857498,1857498,392505,392505,371500,371500,8.24,8.24,8.46,8.46,.68,.68,"12/10/2021",2020
"2020","BBR","BRISTOL BAY RED KING CRAB","CVO A",36,1577712,33466,43825,12203104,12203104,256713,256713,338975,338975,7.7,7.7,7.73,7.73,.61,.58,"12/10/2021",2020
"2020","BBR","BRISTOL BAY RED KING CRAB","CVO B + CPO",35,203027,4353,5801,1630951,1630951,33328,33328,46599,46599,8.12,8.12,8.03,8.03,.61,.61,"12/10/2021",2020
"2019","BBR","BRISTOL BAY RED KING CRAB","CVC + CPC",35,92522,2544,2643,744460,753116,21803,22057,21270,21518,7.81,7.9,8.05,8.14,.64,.67,"12/10/2021",2020
"2019","BBR","BRISTOL BAY RED KING CRAB","CDQ + ACA",6,314864,54429,52477,2539889,2569422,423292,428214,423315,428237,7.96,8.05,8.07,8.16,.68,.68,"12/10/2021",2020
"2019","BBR","BRISTOL BAY RED KING CRAB","CVO A",42,2164441,34612,51534,16041339,16227865,260231,263257,381937,386378,7.28,7.36,7.41,7.5,.57,.55,"12/10/2021",2020
"2019","BBR","BRISTOL BAY RED KING CRAB","CVO B + CPO",42,365832,6995,8710,3009497,3044491,54533,55167,71655,72488,7.79,7.88,8.23,8.32,.56,.6,"12/10/2021",2020
"2018","BBR","BRISTOL BAY RED KING CRAB","CVC + CPC",35,109132,3003,3118,765013,787841,21501,22143,21858,22510,6.77,6.97,7.01,7.22,.62,.64,"12/10/2021",2020
"2018","BBR","BRISTOL BAY RED KING CRAB","CVO B + CPO",39,358369,5805,9189,2505328,2580087,38743,39899,64239,66156,6.81,7.02,6.99,7.2,.58,.69,"12/10/2021",2020
"2018","BBR","BRISTOL BAY RED KING CRAB","CDQ + ACA",6,357437,70880,59573,2538771,2614527,491335,505996,423129,435755,6.97,7.18,7.1,7.31,.66,.67,"12/10/2021",2020
"2018","BBR","BRISTOL BAY RED KING CRAB","CVO A",42,2503369,41083,59604,16553139,17047082,274853,283054,394122,405883,6.43,6.62,6.61,6.81,.58,.56,"12/10/2021",2020
"2017","BBR","BRISTOL BAY RED KING CRAB","CVO B + CPO",43,545684,8893,12690,3220304,3390111,51047,53739,74891,78840,5.81,6.12,5.9,6.21,.61,.56,"12/10/2021",2020
"2017","BBR","BRISTOL BAY RED KING CRAB","CVC + CPC",39,153265,3357,3930,922986,971655,22401,23582,23666,24914,5.77,6.08,6.02,6.34,.61,.69,"12/10/2021",2020
"2017","BBR","BRISTOL BAY RED KING CRAB","CDQ + ACA",6,550552,93718,91759,3272175,3444717,548166,577071,545363,574120,5.91,6.22,5.94,6.26,.63,.65,"12/10/2021",2020
"2017","BBR","BRISTOL BAY RED KING CRAB","CVO A",50,3709030,56491,74181,21613880,22753582,321087,338017,432278,455072,5.65,5.95,5.83,6.13,.51,.51,"12/10/2021",2020
"2016","BBR","BRISTOL BAY RED KING CRAB","CVO A",50,4433418,75257,88668,29615388,31775608,493651,529659,592308,635512,6.66,7.15,6.68,7.17,.5,.49,"12/10/2021",2020
"2016","BBR","BRISTOL BAY RED KING CRAB","CDQ + ACA",5,550412,120522,110082,4005376,4297538,846143,907863,801075,859508,7.02,7.53,7.28,7.81,.64,.67,"12/10/2021",2020
"2016","BBR","BRISTOL BAY RED KING CRAB","CVC + CPC",37,200507,4575,5419,1395883,1497702,37304,40025,37727,40478,6.97,7.48,6.96,7.47,.62,.39,"12/10/2021",2020
"2016","BBR","BRISTOL BAY RED KING CRAB","CVO B + CPO",43,609781,9767,14181,4445073,4769308,71700,76930,103374,110914,7.02,7.53,7.29,7.82,.49,.58,"12/10/2021",2020
"2015","BBR","BRISTOL BAY RED KING CRAB","CDQ + ACA",5,467896,99740,93579,2604963,2825425,543246,589222,520993,565085,5.45,5.91,5.57,6.04,.67,.68,"12/10/2021",2020
"2015","BBR","BRISTOL BAY RED KING CRAB","CVO A",49,5128509,90144,104663,26561623,28809570,443352,480873,542074,587950,4.96,5.38,5.18,5.62,.5,.51,"12/10/2021",2020
"2015","BBR","BRISTOL BAY RED KING CRAB","CVC + CPC",40,222104,5494,5553,1209160,1311493,30298,32862,30229,32787,5.39,5.84,5.44,5.9,.62,.61,"12/10/2021",2020
"2015","BBR","BRISTOL BAY RED KING CRAB","CVO B + CPO",42,696506,11071,16583,3817582,4140669,66634,72273,90895,98587,5.18,5.62,5.48,5.94,.61,.55,"12/10/2021",2020
"2014","BBR","BRISTOL BAY RED KING CRAB","CVO A",50,5229067,88405,104581,22262783,24396038,373570,409366,445256,487921,4.21,4.62,4.26,4.67,.52,.54,"12/10/2021",2020
"2014","BBR","BRISTOL BAY RED KING CRAB","CDQ + ACA",7,826414,117856,118059,3700244,4054807,503452,551694,528606,579258,4.47,4.89,4.48,4.91,.63,.9,"12/10/2021",2020
"2014","BBR","BRISTOL BAY RED KING CRAB","CVC + CPC",34,212794,6238,6259,927822,1016727,26687,29244,27289,29904,4.35,4.77,4.36,4.78,.66,.63,"12/10/2021",2020
"2014","BBR","BRISTOL BAY RED KING CRAB","CVO B + CPO",43,853618,13441,19852,3731388,4088935,62358,68333,86776,95092,4.34,4.75,4.37,4.79,.43,.49,"12/10/2021",2020
"2013","BBR","BRISTOL BAY RED KING CRAB","CDQ + ACA",8,713415,77399,89177,3460458,3863397,374230,417805,432557,482925,4.86,5.42,4.85,5.42,.67,.74,"12/10/2021",2020
"2013","BBR","BRISTOL BAY RED KING CRAB","CVO A",51,4425466,78749,86774,20263184,22622651,343387,383371,397317,443581,4.49,5.01,4.58,5.11,.45,.5,"12/10/2021",2020
