"YEAR","FMP_AREA","SPECIES_GROUP","CATCH_MT"
"2013","Bering Sea and Aleutian Islands","Pacific Cod",250347
"2013","Gulf of Alaska","Pacific Cod",68010
"2013","All Alaska","Pacific Cod",318357
"2013","Bering Sea and Aleutian Islands","Pollock",1273791
"2013","Bering Sea and Aleutian Islands","Atka Mackerel",23181
"2013","Gulf of Alaska","Atka Mackerel",1277
"2013","All Alaska","Atka Mackerel",24458
"2013","Bering Sea and Aleutian Islands","Flatfish",297343
"2013","Gulf of Alaska","Flatfish",33849
"2013","All Alaska","Flatfish",331192
"2013","All Alaska","Sablefish",14574
"2014","Gulf of Alaska","Sablefish",11128
"2014","All Alaska","Flatfish",323614
"2014","Bering Sea and Aleutian Islands","All Groundfish",1928230
"2014","Gulf of Alaska","All Groundfish",325320
"2014","All Alaska","All Groundfish",2253551
"2014","Gulf of Alaska","Pollock",142633
"2014","All Alaska","Pollock",1442857
"2014","Bering Sea and Aleutian Islands","Rockfish",36057
"2014","Gulf of Alaska","Rockfish",28868
"2014","All Alaska","Rockfish",64925
"2014","Bering Sea and Aleutian Islands","Sablefish",1135
"2014","Bering Sea and Aleutian Islands","Other Groundfish",34538
"2014","Gulf of Alaska","Other Groundfish",9495
"2014","All Alaska","Other Groundfish",44033
"2014","Bering Sea and Aleutian Islands","Pacific Cod",249281
"2014","Gulf of Alaska","Pacific Cod",84584
"2014","All Alaska","Pacific Cod",333865
"2014","Bering Sea and Aleutian Islands","Pollock",1300224
"2014","Bering Sea and Aleutian Islands","Atka Mackerel",30951
"2014","Gulf of Alaska","Atka Mackerel",1042
"2014","All Alaska","Atka Mackerel",31993
"2014","Bering Sea and Aleutian Islands","Flatfish",276045
"2014","Gulf of Alaska","Flatfish",47569
"2014","All Alaska","Sablefish",12263
"2015","Gulf of Alaska","Sablefish",11051
"2015","All Alaska","Flatfish",245880
"2015","Bering Sea and Aleutian Islands","All Groundfish",1914079
"2015","Gulf of Alaska","All Groundfish",323882
"2015","All Alaska","All Groundfish",2237961
"2015","Gulf of Alaska","Pollock",167548
"2015","All Alaska","Pollock",1490778
"2015","Bering Sea and Aleutian Islands","Rockfish",39645
"2015","Gulf of Alaska","Rockfish",28968
"2015","All Alaska","Rockfish",68613
"2015","Bering Sea and Aleutian Islands","Sablefish",641
"2015","Bering Sea and Aleutian Islands","Other Groundfish",36066
"2015","Gulf of Alaska","Other Groundfish",9030
"2015","All Alaska","Other Groundfish",45096
"2015","Bering Sea and Aleutian Islands","Pacific Cod",242018
"2015","Gulf of Alaska","Pacific Cod",79391
"2015","All Alaska","Pacific Cod",321408
"2015","Bering Sea and Aleutian Islands","Pollock",1323230
"2015","Bering Sea and Aleutian Islands","Atka Mackerel",53277
"2015","Gulf of Alaska","Atka Mackerel",1218
"2015","All Alaska","Atka Mackerel",54494
"2015","Bering Sea and Aleutian Islands","Flatfish",219203
"2015","Gulf of Alaska","Flatfish",26677
"2015","All Alaska","Sablefish",11692
"2016","Gulf of Alaska","Sablefish",9996
"2016","All Alaska","Flatfish",253130
"2016","Bering Sea and Aleutian Islands","All Groundfish",1968819
"2016","Gulf of Alaska","All Groundfish",323406
"2016","All Alaska","All Groundfish",2292225
"2016","Gulf of Alaska","Pollock",177129
"2016","All Alaska","Pollock",1532071
"2016","Bering Sea and Aleutian Islands","Rockfish",36766
"2016","Gulf of Alaska","Rockfish",33869
"2016","All Alaska","Rockfish",70635
"2016","Bering Sea and Aleutian Islands","Sablefish",877
"2016","Bering Sea and Aleutian Islands","Other Groundfish",35841
"2016","Gulf of Alaska","Other Groundfish",9246
"2016","All Alaska","Other Groundfish",45087
"2016","Bering Sea and Aleutian Islands","Pacific Cod",260831
"2016","Gulf of Alaska","Pacific Cod",64019
"2016","All Alaska","Pacific Cod",324851
"2016","Bering Sea and Aleutian Islands","Pollock",1354942
"2016","Bering Sea and Aleutian Islands","Atka Mackerel",54485
"2016","Gulf of Alaska","Atka Mackerel",1093
"2016","All Alaska","Atka Mackerel",55578
"2016","Bering Sea and Aleutian Islands","Flatfish",225076
"2016","Gulf of Alaska","Flatfish",28054
"2016","All Alaska","Sablefish",10874
"2017","Gulf of Alaska","Sablefish",11273
"2017","All Alaska","Flatfish",244204
"2017","Bering Sea and Aleutian Islands","All Groundfish",1968354
"2017","Gulf of Alaska","All Groundfish",320712
"2017","All Alaska","All Groundfish",2289066
"2017","Gulf of Alaska","Pollock",186157
"2017","All Alaska","Pollock",1547030
"2017","Bering Sea and Aleutian Islands","Rockfish",38046
"2017","Gulf of Alaska","Rockfish",31770
"2017","All Alaska","Rockfish",69816
"2017","Bering Sea and Aleutian Islands","Sablefish",1743
"2017","Bering Sea and Aleutian Islands","Other Groundfish",39338
"2017","Gulf of Alaska","Other Groundfish",8539
"2017","All Alaska","Other Groundfish",47876
"2017","Bering Sea and Aleutian Islands","Pacific Cod",253008
"2017","Gulf of Alaska","Pacific Cod",48595
"2017","All Alaska","Pacific Cod",301603
"2017","Bering Sea and Aleutian Islands","Pollock",1360874
"2017","Bering Sea and Aleutian Islands","Atka Mackerel",64446
"2017","Gulf of Alaska","Atka Mackerel",1075
"2017","All Alaska","Atka Mackerel",65520
"2017","Bering Sea and Aleutian Islands","Flatfish",210900
"2017","Gulf of Alaska","Flatfish",33304
"2017","All Alaska","Sablefish",13016
"2018","Gulf of Alaska","Sablefish",12954
"2018","All Alaska","Flatfish",237685
"2018","Bering Sea and Aleutian Islands","All Groundfish",1965789
"2018","Gulf of Alaska","All Groundfish",254486
"2018","All Alaska","All Groundfish",2220275
"2018","Bering Sea and Aleutian Islands","Pollock",1381161
"2018","Gulf of Alaska","Pollock",158063
"2018","All Alaska","Pollock",1539224
"2018","Bering Sea and Aleutian Islands","Rockfish",41665
"2018","Gulf of Alaska","Rockfish",34186
"2018","All Alaska","Rockfish",75852
"2018","Bering Sea and Aleutian Islands","Sablefish",2207
"2018","Bering Sea and Aleutian Islands","Other Groundfish",38132
"2018","Gulf of Alaska","Other Groundfish",6953
"2018","All Alaska","Other Groundfish",45085
"2018","Bering Sea and Aleutian Islands","Pacific Cod",220311
"2018","Gulf of Alaska","Pacific Cod",15132
"2018","All Alaska","Pacific Cod",235443
"2018","Bering Sea and Aleutian Islands","Atka Mackerel",70387
"2018","Gulf of Alaska","Atka Mackerel",1438
"2018","All Alaska","Atka Mackerel",71825
"2018","Bering Sea and Aleutian Islands","Flatfish",211925
"2018","Gulf of Alaska","Flatfish",25760
"2018","All Alaska","Sablefish",15161
"2019","Gulf of Alaska","Sablefish",13730
"2019","All Alaska","Flatfish",240204
"2019","Bering Sea and Aleutian Islands","All Groundfish",1959120
"2019","Gulf of Alaska","All Groundfish",223451
"2019","All Alaska","All Groundfish",2182571
"2019","Bering Sea and Aleutian Islands","Pollock",1411009
"2019","Gulf of Alaska","Pollock",120240
"2019","All Alaska","Pollock",1531249
"2019","Bering Sea and Aleutian Islands","Rockfish",54302
"2019","Gulf of Alaska","Rockfish",34196
"2019","All Alaska","Rockfish",88498
"2019","Bering Sea and Aleutian Islands","Sablefish",3797
"2019","Bering Sea and Aleutian Islands","Other Groundfish",26162
"2019","Gulf of Alaska","Other Groundfish",6482
"2019","All Alaska","Other Groundfish",32644
"2019","Bering Sea and Aleutian Islands","Pacific Cod",198040
"2019","Gulf of Alaska","Pacific Cod",15683
"2019","All Alaska","Pacific Cod",213723
"2019","Bering Sea and Aleutian Islands","Atka Mackerel",57471
"2019","Gulf of Alaska","Atka Mackerel",1254
"2019","All Alaska","Atka Mackerel",58725
"2019","Bering Sea and Aleutian Islands","Flatfish",208339
"2019","Gulf of Alaska","Flatfish",31865
"2019","All Alaska","Sablefish",17527
"2020","Bering Sea and Aleutian Islands","Atka Mackerel",58884
"2020","All Alaska","All Groundfish",2084400
"2020","All Alaska","Atka Mackerel",59491
"2020","Bering Sea and Aleutian Islands","Flatfish",211091
"2020","Gulf of Alaska","Flatfish",28760
"2020","All Alaska","Flatfish",239851
"2020","Bering Sea and Aleutian Islands","Other Groundfish",25025
"2020","Gulf of Alaska","Other Groundfish",4822
"2020","All Alaska","Other Groundfish",29848
"2020","Bering Sea and Aleutian Islands","Pacific Cod",168314
"2020","Gulf of Alaska","Pacific Cod",6713
"2020","All Alaska","Pacific Cod",175027
"2020","Bering Sea and Aleutian Islands","Pollock",1369746
"2020","Gulf of Alaska","Pollock",107471
"2020","All Alaska","Pollock",1477217
"2020","Bering Sea and Aleutian Islands","Rockfish",50761
"2020","Gulf of Alaska","Rockfish",32270
"2020","All Alaska","Rockfish",83032
"2020","Bering Sea and Aleutian Islands","Sablefish",6511
"2020","Gulf of Alaska","Sablefish",13424
"2020","All Alaska","Sablefish",19935
"2020","Bering Sea and Aleutian Islands","All Groundfish",1890333
"2020","Gulf of Alaska","All Groundfish",194067
"2020","Gulf of Alaska","Atka Mackerel",608
