"YEAR","FISHERY_CODE","FISHERY_NAME","HPY_VESCOUNT","HPY_CVCOUNT","HPY_CPCOUNT","HPY_PERMCOUNT","HPY_BUYERCOUNT","HPY_PROCCOUNT","HPY_SOLDMT","HPY_SOLDLB","HPY_SOLDLBMED","HPY_SOLDLBMED_SHARE","HPY_SOLDLBGINI","HPY_PURCHLBMED","HPY_PURCHLBMED_SHARE","HPY_EXV_NOM","HPY_EXV_REAL","HPY_EXVPR_NOM","HPY_EXVPR_REAL","HPY_PRODMT","HPY_PRODLB","HPY_WSV_NOM","HPY_WSV_REAL","HPY_WSPR_NOM","HPY_WSPR_REAL","LOAD_DATE","ADJUST_YR"
2010,"BSS","BERING SEA SNOW CRAB",68,66,2,87,13,12,21699.51,47839212,642930,.0134,.32,3297864,.069,61476489,72679575,1.29,1.52,14249.38,31414503,103003143,121773784,3.28,3.88,"12/10/2021",2020
2009,"BSS","BERING SEA SNOW CRAB",77,73,4,103,18,16,26164.86,57683635,599960,.0104,.32,2505395,.043,83657447,100058001,1.45,1.73,16314.57,35967463,123960081,148261732,3.45,4.12,"12/10/2021",2020
2008,"BSS","BERING SEA SNOW CRAB",78,74,4,108,17,16,28227.77,62231564,702727,.0113,.31,2961561,.048,106432093,128290735,1.71,2.06,18605.13,41017270,158180580,190667141,3.86,4.65,"12/10/2021",2020
2007,"BSS","BERING SEA SNOW CRAB",68,64,4,89,18,18,15768,34762471,447331,.0129,.34,1743337,.05,59575199,73181378,1.71,2.11,10276.89,22656654,89342611,109747270,3.94,4.84,"12/10/2021",2020
2006,"BSS","BERING SEA SNOW CRAB",78,74,4,106,13,13,17245.31,38019383,402307,.0106,.37,2268788,.06,42378959,53458539,1.11,1.41,11302.27,24917240,68691689,86650485,2.76,3.48,"12/10/2021",2020
2005,"BSS","BERING SEA SNOW CRAB",167,161,6,178,20,20,11278.32,24864435,131140,.0053,.24,862400,.035,42332069,55028735,1.7,2.21,7439.16,16400529,62967660,81853564,3.84,4.99,"12/10/2021",2020
2004,"BSS","BERING SEA SNOW CRAB",189,183,6,200,23,21,10744.48,23687517,113041,.0048,.26,605842,.026,48057257,64408144,2.03,2.72,7087.04,15624236,74622713,100012168,4.78,6.4,"12/10/2021",2020
2003,"BSS","BERING SEA SNOW CRAB",190,185,5,202,21,19,12478.62,27510643,127151,.0046,.27,970502,.035,50490534,68187924,1.84,2.48,8230.87,18145962,79616429,109562628,4.39,6.04,"12/10/2021",2020
2002,"BSS","BERING SEA SNOW CRAB",191,183,9,205,26,21,14485.94,31936016,149806,.0047,.31,354340,.011,44039779,60630957,1.38,1.9,9554.89,21064929,74635754,104645473,3.54,4.97,"12/10/2021",2020
2001,"BSS","BERING SEA SNOW CRAB",207,201,8,219,23,21,11238.75,24777202,88706,.0036,.4,625999,.025,38168506,54331479,1.54,2.19,7413.06,16342990,60725908,86441120,3.72,5.29,"12/10/2021",2020
2000,"BSS","BERING SEA SNOW CRAB",231,222,9,244,28,24,14882.62,32810551,132609,.004,.28,858867,.026,60758462,86378801,1.85,2.63,9816.54,21641770,75455436,109819876,3.49,5.07,"12/10/2021",2020
1999,"BSS","BERING SEA SNOW CRAB",241,232,10,298,37,31,87277.72,192414371,813753,.0042,.25,3791464,.02,189143328,275582851,.98,1.43,57568.2,126916112,366885811,546022928,2.89,4.3,"12/10/2021",2020
1998,"BSS","BERING SEA SNOW CRAB",230,219,12,276,44,33,112966.59,249048626,1050762,.0042,.23,1732416,.007,140814518,212574890,.57,.85,74512.52,164271947,332308943,501656635,2.02,3.05,"12/10/2021",2020
2020,"BST","BERING SEA TANNER CRAB",25,25,0,26,9,8,281.23,620002,12764,.0206,.6,39672,.064,2556918,2556918,4.12,4.12,192.56,424518,4733530,4733530,11.15,11.15,"12/10/2021",2020
2019,"BST","BERING SEA TANNER CRAB",18,17,1,22,10,10,535.44,1180438,50558,.0428,.37,126622,.107,5285100,5346554,4.48,4.53,366.62,808252,7289644,7374407,9.02,9.12,"12/10/2021",2020
2018,"BST","BERING SEA TANNER CRAB",30,29,1,34,14,12,1038.63,2289789,65405,.0286,.34,73757,.032,9507040,9790729,4.15,4.28,711.16,1567830,12273615,12639858,7.83,8.06,"12/10/2021",2020
2017,"BST","BERING SEA TANNER CRAB",16,16,0,21,11,11,638.01,1406577,92384,.0657,.3,71478,.051,5671653,5970719,4.03,4.24,436.85,963090,8017893,8440678,8.33,8.76,"12/10/2021",2020
2016,"BST","BERING SEA TANNER CRAB",46,45,1,63,12,12,4738.23,10446001,160289,.0153,.39,664273,.064,31557004,33858850,3.02,3.24,3244.29,7152430,45145335,48438348,6.31,6.77,"12/10/2021",2020
2015,"BST","BERING SEA TANNER CRAB",55,54,1,77,13,13,6793.82,14977804,201280,.0134,.45,587397,.039,39036323,42340021,2.61,2.83,4651.76,10255378,54700923,59330337,5.33,5.79,"12/10/2021",2020
2014,"BST","BERING SEA TANNER CRAB",40,39,1,53,13,12,4124.8,9093619,195016,.0214,.38,343448,.038,21730694,23812963,2.39,2.62,2824.27,6226447,36133973,39596387,5.8,6.36,"12/10/2021",2020
2013,"BST","BERING SEA TANNER CRAB",22,21,1,26,13,12,567.04,1250118,45513,.0364,.49,58568,.047,3086483,3445877,2.47,2.76,388.26,855962,5414838,6045348,6.33,7.06,"12/10/2021",2020
2010,"BST","BERING SEA TANNER CRAB",4,4,0,5,7,7,170,374784,101517,-9999,.25,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"12/10/2021",2020
2009,"BST","BERING SEA TANNER CRAB",18,17,1,24,11,10,969.96,2138405,91969,.043,.63,160667,.075,4144775,4957334,1.94,2.32,629.53,1387879,5226958,6251673,3.77,4.5,"12/10/2021",2020
2008,"BST","BERING SEA TANNER CRAB",30,29,1,38,11,10,1058.88,2334423,45521,.0195,.65,162222,.069,4390407,5292093,1.88,2.27,605.68,1335305,5803452,6995344,4.35,5.24,"12/10/2021",2020
2007,"BST","BERING SEA TANNER CRAB",29,28,1,40,9,9,1019.3,2247172,56024,.0249,.52,210589,.094,4062361,4990150,1.81,2.22,661.49,1458333,6351005,7801490,4.35,5.35,"12/10/2021",2020
2006,"BST","BERING SEA TANNER CRAB",45,43,2,56,9,9,449.63,991262,5936,.006,.72,73857,.075,1525019,1923721,1.54,1.94,326.49,719788,2493949,3145968,3.46,4.37,"12/10/2021",2020
2005,"BST","BERING SEA TANNER CRAB",4,3,1,5,5,4,116.5,256835,78575,-9999,.37,-9999,-9999,-9999,-9999,-9999,-9999,81.57,179836,706471,918363,3.93,5.11,"12/10/2021",2020
2020,"BBR","BRISTOL BAY RED KING CRAB",47,45,2,54,15,14,1197.43,2639882,47321,.0179,.32,105171,.04,32218557,32218557,12.2,12.2,808.5,1782426,38303815,38303815,21.49,21.49,"12/10/2021",2020
2019,"BBR","BRISTOL BAY RED KING CRAB",56,55,1,65,14,13,1711.58,3773397,57286,.0152,.33,141056,.037,44801365,45322307,11.87,12.01,1155.65,2547766,51420087,52017990,20.18,20.42,"12/10/2021",2020
2018,"BBR","BRISTOL BAY RED KING CRAB",55,53,2,62,15,14,1918.79,4230210,64227,.0152,.34,171006,.04,43948215,45259622,10.39,10.7,1295.55,2856202,51149932,52676237,17.91,18.44,"12/10/2021",2020
2017,"BBR","BRISTOL BAY RED KING CRAB",61,60,2,69,17,17,2970,6547722,86433,.0132,.32,150832,.023,60173680,63346643,9.19,9.67,2005.32,4420966,71941797,75735294,16.27,17.13,"12/10/2021",2020
2016,"BBR","BRISTOL BAY RED KING CRAB",63,62,2,70,17,17,3813.01,8406241,112627,.0134,.29,185080,.022,91248797,97904711,10.85,11.65,2574.51,5675823,103715912,111281209,18.27,19.61,"12/10/2021",2020
2015,"BBR","BRISTOL BAY RED KING CRAB",64,63,2,71,15,15,4433.55,9774300,134726,.0138,.26,285334,.029,78207598,84826414,8,8.68,2993.49,6599524,94769915,102790423,14.36,15.58,"12/10/2021",2020
2014,"BBR","BRISTOL BAY RED KING CRAB",63,62,2,72,17,17,4476.68,9869384,134034,.0136,.29,393180,.04,65519573,71797762,6.64,7.27,3022.62,6663724,81516732,89327794,12.23,13.41,"12/10/2021",2020
2013,"BBR","BRISTOL BAY RED KING CRAB",63,62,2,73,17,17,3864.16,8519021,122025,.0143,.29,340500,.04,60894691,67985335,7.15,7.98,2609.05,5751971,75558099,84356165,13.14,14.67,"12/10/2021",2020
2012,"BBR","BRISTOL BAY RED KING CRAB",64,63,2,74,17,16,3540.09,7804569,108534,.0139,.3,327805,.042,62359954,70855250,7.99,9.08,2390.24,5269579,76250895,86638555,14.47,16.44,"12/10/2021",2020
2011,"BBR","BRISTOL BAY RED KING CRAB",62,61,2,71,18,18,3531.86,7786426,109065,.014,.3,195483,.025,80975391,93777659,10.4,12.04,2405.94,5304197,100219580,116064369,18.89,21.88,"12/10/2021",2020
2010,"BBR","BRISTOL BAY RED KING CRAB",65,64,2,79,17,16,6683.53,14734655,214691,.0146,.28,391824,.027,108654684,128455226,7.37,8.72,4549.17,10029203,130083410,153788987,12.97,15.33,"12/10/2021",2020
2009,"BBR","BRISTOL BAY RED KING CRAB",70,69,2,86,16,15,7157.54,15779677,209285,.0133,.26,484257,.031,73501037,87910487,4.66,5.57,4719.14,10403914,94484837,113008038,9.08,10.86,"12/10/2021",2020
2008,"BBR","BRISTOL BAY RED KING CRAB",79,77,3,98,17,16,9128.99,20125966,240727,.012,.31,609841,.03,104415714,125860240,5.19,6.25,6036.66,13308558,128229425,154564726,9.64,11.61,"12/10/2021",2020
2007,"BBR","BRISTOL BAY RED KING CRAB",73,71,3,85,18,17,9148.41,20168789,259632,.0129,.32,517019,.026,89615294,110082229,4.44,5.46,5938.63,13092433,108415406,133176035,8.28,10.17,"12/10/2021",2020
2006,"BBR","BRISTOL BAY RED KING CRAB",81,79,3,100,15,15,7051.21,15545261,169274,.0109,.35,538902,.035,59474580,75023650,3.83,4.83,4158.66,9168267,68109337,85915883,7.43,9.37,"12/10/2021",2020
2005,"BBR","BRISTOL BAY RED KING CRAB",89,86,4,115,16,16,8227.84,18139268,177991,.0098,.37,502403,.028,81450332,105879748,4.49,5.84,5481.65,12084976,102031097,132633306,8.44,10.98,"12/10/2021",2020
2004,"BBR","BRISTOL BAY RED KING CRAB",251,243,8,268,25,23,6812.72,15019465,53789,.0036,.28,227150,.015,70204606,94090855,4.67,6.26,4538.86,10006460,91854259,123106534,9.18,12.3,"12/10/2021",2020
2003,"BBR","BRISTOL BAY RED KING CRAB",250,242,8,264,26,25,6980.55,15389482,48191,.0031,.35,294936,.019,78557456,106092557,5.1,6.89,4650.67,10252978,99786893,137319826,9.73,13.39,"12/10/2021",2020
2002,"BBR","BRISTOL BAY RED KING CRAB",241,234,9,253,24,20,4300.66,9481335,36090,.0038,.24,129362,.014,58722028,80844473,6.19,8.53,2865.24,6316777,72089095,101074846,11.41,16,"12/10/2021",2020
2001,"BBR","BRISTOL BAY RED KING CRAB",230,224,8,240,23,20,3762.63,8295179,29263,.0035,.34,100029,.012,39825392,56689997,4.8,6.83,2506.79,5526520,48402836,68899675,8.76,12.47,"12/10/2021",2020
2000,"BBR","BRISTOL BAY RED KING CRAB",244,238,8,255,22,20,3661.29,8071756,28457,.0035,.31,110772,.014,38302206,54453298,4.75,6.75,2439.27,5377669,37773225,54976170,7.02,10.22,"12/10/2021",2020
1999,"BBR","BRISTOL BAY RED KING CRAB",256,248,8,266,24,21,5229.38,11528804,37916,.0033,.29,214495,.019,72239486,105253321,6.27,9.13,3483.98,7680868,86318076,128464081,11.24,16.73,"12/10/2021",2020
1998,"BBR","BRISTOL BAY RED KING CRAB",274,263,11,281,28,22,6668.22,14700909,49342,.0034,.3,264631,.018,39018632,58902885,2.65,4.01,4442.59,9794228,53906546,81377817,5.5,8.31,"12/10/2021",2020
1998,"PIK","PRIBILOF ISLANDS RED AND BLUE KING CRAB",58,58,0,58,17,12,466.49,1028444,15608,.0152,.34,29126,.028,2434678,3675412,2.37,3.57,302.3,666461,3696684,5580549,5.55,8.37,"12/10/2021",2020
2015,"SMB","ST. MATTHEW ISLAND BLUE KING CRAB",3,3,0,3,4,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,35.07,77320,824094,893839,10.66,11.56,"12/10/2021",2020
2014,"SMB","ST. MATTHEW ISLAND BLUE KING CRAB",4,4,0,5,6,6,137.45,303030,74409,-9999,.36,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"12/10/2021",2020
2012,"SMB","ST. MATTHEW ISLAND BLUE KING CRAB",17,17,0,22,11,10,723.06,1594071,83706,.0525,.31,69918,.044,6727090,7643522,4.22,4.79,533.07,1175226,13847178,15733580,11.78,13.39,"12/10/2021",2020
2011,"SMB","ST. MATTHEW ISLAND BLUE KING CRAB",18,18,0,23,11,11,839.65,1851106,80153,.0433,.32,76197,.041,9733738,11272650,5.26,6.09,604.04,1331676,18840159,21818802,14.15,16.38,"12/10/2021",2020
2010,"SMB","ST. MATTHEW ISLAND BLUE KING CRAB",11,11,0,14,9,8,568.56,1253460,117302,.0936,.34,71948,.057,6076146,7183425,4.85,5.73,414.82,914511,11016565,13024154,12.05,14.24,"12/10/2021",2020
2009,"SMB","ST. MATTHEW ISLAND BLUE KING CRAB",7,7,0,7,6,6,204.29,450375,33846,.0752,.42,55138,.122,1316021,1574019,2.92,3.49,-9999,-9999,-9999,-9999,-9999,-9999,"12/10/2021",2020
1998,"SMB","ST. MATTHEW ISLAND BLUE KING CRAB",131,129,2,136,16,13,1337.21,2948045,20543,.007,.22,91945,.031,5553943,8384284,1.88,2.84,801.05,1766021,8468223,12783707,4.8,7.24,"12/10/2021",2020
2003,"WAI","WESTERN ALEUTIAN ISLANDS RED KING CRAB",30,28,2,30,10,9,215.48,475044,13180,.0277,.31,38961,.082,2423768,3273321,5.1,6.89,146.46,322899,3145325,4328379,9.74,13.4,"12/10/2021",2020
2002,"WAI","WESTERN ALEUTIAN ISLANDS RED KING CRAB",33,31,2,33,9,9,227.84,502312,14294,.0285,.3,41139,.082,3100964,4269195,6.17,8.5,154.87,341434,3880209,5440373,11.36,15.93,"12/10/2021",2020
1998,"WAI","WESTERN ALEUTIAN ISLANDS RED KING CRAB",1,0,1,1,1,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"12/10/2021",2020
