"YEAR","FISHERY_CODE","FISHERY_NAME","EMPY_VESCOUNT","EMPY_HCRPOSTOT","EMPY_HCREWPOSAVG","EMPY_HCREWPOSSD","EMPY_HCREWPOSMED","EMPY_HCREWPAY_NOM","EMPY_HCREWPAY_REAL","EMPY_HCREWPAYMED_NOM","EMPY_HCREWPAYMED_REAL","EMPY_HCAPPAY_NOM","EMPY_HCAPPAY_REAL","EMPY_HCAPPAYMED_NOM","EMPY_HCAPPAYMED_REAL","EMPY_HCREWPAYLBK","EMPY_HCREWPAYLBKMED","EMPY_LABORSHARE","EMPY_CREWSHARE","EMPY_CAPTAINSHARE","EMPY_PROCCOUNT","EMPY_PROCHR","EMPY_PROCHRMED","EMPY_PROCHRPERLBK","EMPY_PROCPAY_NOM","EMPY_PROCPAY_REAL","EMPY_PROCPAYMED_NOM","EMPY_PROCPAYMED_REAL","EMPY_PROCPAYPERHR_NOM","EMPY_PROCPAYPERHR_REAL","EMPY_PROCPAYPERLBK_NOM","EMPY_PROCPAYPERLBK_REAL","ADJUST_YR","LOAD_DATE"
"2010","AIG","ALEUTIAN ISLANDS GOLDEN KING CRAB",5,35,7,-9999,-9999,3017361,3567226,608607,719515,1715577,2028213,262541,310385,-9999,-9999,-9999,-9999,-9999,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2020,"12/10/2021"
"2009","AIG","ALEUTIAN ISLANDS GOLDEN KING CRAB",5,35,7,-9999,-9999,1773768,2121505,357242,427277,1043209,1247724,192672,230444,-9999,-9999,-9999,-9999,-9999,5,86469,15692,15.89,1189215,1422354,128106,153220,8.95,10.7,137.81,164.82,2020,"12/10/2021"
"2020","BSS","BERING SEA SNOW CRAB",59,417,7.07,3.56,6,18061206,18061206,270031,270031,7941055,7941055,123380,123380,4433.53,67.67,.21,.14,.07,8,351188,50527,13.87,5715450,5715450,401115,401115,14.88,14.88,202.66,202.66,2020,"12/10/2021"
"2019","BSS","BERING SEA SNOW CRAB",61,428,7.02,3.58,6,14672688,14843299,199903,202227,6345107,6418887,97383,98515,3577.19,49.63,.2,.13,.07,8,332585,45704,13.36,4575121,4628320,306423,309986,12.92,13.07,175.01,177.05,2020,"12/10/2021"
"2018","BSS","BERING SEA SNOW CRAB",63,436,6.92,3.21,6,10115287,10417125,138632,142769,4335474,4464844,65004,66944,2483.14,34.77,.2,.14,.07,8,232430,30482,12.39,2854394,2939568,163477,168355,12.06,12.42,149.44,153.9,2020,"12/10/2021"
"2017","BSS","BERING SEA SNOW CRAB",63,441,7,3.52,6,12390249,13043588,165079,173784,5254871,5531961,76779,80828,2953.51,41.41,.2,.14,.07,8,266393,34609,11.98,3228454,3398691,210048,221123,11.91,12.53,146.68,154.41,2020,"12/10/2021"
"2016","BSS","BERING SEA SNOW CRAB",68,463,6.81,2.49,6,14641224,15709192,189421,203237,6538959,7015927,93796,100638,5243.28,71.78,.2,.13,.06,8,447000,69395,12.96,5665509,6078765,537115,576294,11.95,12.82,156.11,167.5,2020,"12/10/2021"
"2015","BSS","BERING SEA SNOW CRAB",70,491,7.01,3.5,6,16973959,18410488,237681,257796,7685101,8335501,112634,122166,7952.72,116.01,.2,.13,.06,10,747395,95416,15.45,8628729,9358990,802843,870789,10.82,11.74,158.5,171.92,2020,"12/10/2021"
"2014","BSS","BERING SEA SNOW CRAB",70,480,6.86,2.92,6,17733065,19432275,237011,259722,7958703,8721318,109844,120369,7255.43,97.45,.2,.13,.06,10,590385,76009,12.08,6351224,6959808,459070,503058,10.64,11.66,122.55,134.3,2020,"12/10/2021"
"2013","BSS","BERING SEA SNOW CRAB",71,481,6.77,3.11,6,21927424,24480676,282132,314984,9980666,11142826,140771,157162,9132.92,119.71,.2,.13,.06,12,774123,63555,12.84,7955671,8882037,479775,535641,10,11.16,126.16,140.85,2020,"12/10/2021"
"2012","BSS","BERING SEA SNOW CRAB",72,502,6.97,3.61,6,26585810,30207595,365833,415670,11967428,13597751,171765,195165,11961.77,164.03,.21,.14,.07,13,1087255,77937,16,11759485,13361480,599951,681682,10.2,11.59,157.94,179.46,2020,"12/10/2021"
"2011","BSS","BERING SEA SNOW CRAB",68,453,6.66,2.87,6,19290437,22340269,272130,315154,8635170,10000397,126283,146248,7350.3,104.28,.21,.14,.07,14,554860,45689,13.9,5953673,6894954,344984,399526,10.22,11.83,139.79,161.89,2020,"12/10/2021"
"2010","BSS","BERING SEA SNOW CRAB",68,444,6.53,2.61,6,8842938,10454419,117047,138377,3969833,4693270,55998,66203,6625.45,88.79,.22,.15,.07,11,534168,50901,13.92,5344414,6318346,353249,417623,9.61,11.36,125.05,147.83,2020,"12/10/2021"
"2009","BSS","BERING SEA SNOW CRAB",77,536,6.96,4.12,6,12120493,14496645,138370,165497,5370618,6423496,68446,81864,7687.66,97.27,.22,.15,.07,14,600069,58413,13.44,6460659,7727234,296262,354342,9.93,11.87,122.73,146.79,2020,"12/10/2021"
"2020","BST","BERING SEA TANNER CRAB",25,163,6.52,1.19,6,384923,384923,12922,12922,162501,162501,6054,6054,92.92,2.47,.22,.15,.07,5,8000,887,-9999,109921,109921,13523,13523,15.18,15.18,-9999,-9999,2020,"12/10/2021"
"2019","BST","BERING SEA TANNER CRAB",18,139,7.69,5.12,6,922293,933017,39800,40262,411306,416089,15823,16006,201.69,10.61,.23,.16,.07,7,14291,1613,12.18,201697,204042,21986,22242,12.84,12.99,148.56,150.28,2020,"12/10/2021"
"2018","BST","BERING SEA TANNER CRAB",30,211,7.03,3.72,6,1400138,1441917,37935,39067,595385,613151,18428,18978,329.06,9.81,.22,.15,.07,7,29041,2008,10.37,345115,355413,22457,23127,11.48,11.83,123.01,126.68,2020,"12/10/2021"
"2017","BST","BERING SEA TANNER CRAB",16,100,6.25,1,6,968939,1020031,64357,67750,435620,458590,25379,26717,239.62,15.48,.22,.15,.07,5,19737,3249,12.4,219182,230739,33874,35660,10.68,11.24,140.52,147.93,2020,"12/10/2021"
"2016","BST","BERING SEA TANNER CRAB",46,296,6.42,1.14,6,4867275,5222306,78439,84161,2223820,2386031,39199,42058,1616.12,27.34,.24,.16,.08,7,144865,18437,11.56,1708394,1833008,199521,214075,11.79,12.65,136.53,146.49,2020,"12/10/2021"
"2015","BST","BERING SEA TANNER CRAB",55,365,6.63,2.19,6,5952473,6456238,113208,122789,2766420,3000546,47079,51064,2233.97,40.4,.23,.15,.07,8,230411,21840,13.06,2471535,2680704,207989,225591,10.47,11.36,134.4,145.78,2020,"12/10/2021"
"2014","BST","BERING SEA TANNER CRAB",41,279,6.8,2.62,6,3089011,3385005,69329,75972,1436280,1573907,31067,34043,1268.04,27.32,.21,.15,.07,8,122265,8511,11.96,1230204,1348084,79517,87136,9.64,10.56,117.33,128.57,2020,"12/10/2021"
"2013","BST","BERING SEA TANNER CRAB",22,156,7.09,3.52,6,438139,489156,14444,16126,205450,229373,7427,8292,198.93,6.92,.24,.17,.08,7,16584,1859,13.77,161380,180171,15515,17322,9.59,10.7,130.91,146.16,2020,"12/10/2021"
"2010","BST","BERING SEA TANNER CRAB",4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5,6425,695,-9999,60694,71754,6688,7907,9.62,11.38,-9999,-9999,2020,"12/10/2021"
"2009","BST","BERING SEA TANNER CRAB",14,102,7.29,5.2,6,504147,602982,26185,31319,309516,370195,14765,17659,256.98,13.71,.21,.15,.07,8,29321,4268,14.34,274052,327778,31606,37802,9.5,11.36,127.47,152.46,2020,"12/10/2021"
"2020","BBR","BRISTOL BAY RED KING CRAB",47,333,7.09,3.85,6,3525299,3525299,69695,69695,1625634,1625634,33251,33251,280.95,5.7,.15,.1,.05,8,31116,3747,15.71,545300,545300,51901,51901,14.94,14.94,223.2,223.2,2020,"12/10/2021"
"2019","BBR","BRISTOL BAY RED KING CRAB",56,370,6.61,3.33,6,4928916,4986228,79341,80264,2260781,2287069,36485,36909,407.23,6.81,.15,.1,.05,8,47294,6213,12.72,708752,716993,72792,73638,12.55,12.7,164.85,166.77,2020,"12/10/2021"
"2018","BBR","BRISTOL BAY RED KING CRAB",55,365,6.64,3.26,6,4977996,5126539,80771,83181,2292863,2361282,39578,40759,470.63,7.64,.17,.12,.05,9,55270,5376,11.5,743097,765271,47575,48995,12.19,12.55,147.56,151.97,2020,"12/10/2021"
"2017","BBR","BRISTOL BAY RED KING CRAB",61,419,6.86,2.98,6,7084436,7457998,104350,109852,3214032,3383508,47850,50373,761.56,11.87,.18,.12,.06,10,81305,8060,13.47,1035881,1090503,62677,65982,11.99,12.62,159.64,168.05,2020,"12/10/2021"
"2016","BBR","BRISTOL BAY RED KING CRAB",63,423,6.71,2.52,6,11318649,12144259,157671,169171,4893829,5250797,69662,74743,1018.18,14.77,.19,.13,.06,10,129775,8929,11.2,1697994,1821850,87492,93874,12.15,13.04,137.68,147.72,2020,"12/10/2021"
"2015","BBR","BRISTOL BAY RED KING CRAB",64,441,6.89,3.26,6,9200797,9979473,136940,148529,4314771,4679936,63151,68496,1114.42,16.97,.17,.11,.06,10,126912,14804,14.92,1526512,1655703,119218,129307,10.54,11.43,159.35,172.84,2020,"12/10/2021"
"2014","BBR","BRISTOL BAY RED KING CRAB",63,422,6.7,2.49,6,7730434,8471176,106342,116532,3565299,3906932,52508,57539,1113.59,15.67,.18,.12,.06,9,129980,21069,12.11,1405967,1540688,76187,83487,9.48,10.38,140.82,154.32,2020,"12/10/2021"
"2013","BBR","BRISTOL BAY RED KING CRAB",63,418,6.63,2.53,6,7461298,8330100,93390,104264,3550685,3964131,52583,58706,1021.99,13.13,.18,.12,.06,10,103964,10003,14.95,1180812,1318307,93253,104111,9.98,11.14,140.85,157.25,2020,"12/10/2021"
"2012","BBR","BRISTOL BAY RED KING CRAB",64,428,6.68,2.69,6,7853301,8923156,99873,113478,3536870,4018698,53158,60400,958.5,13.55,.2,.14,.06,12,100363,6507,13.74,1156430,1313970,66429,75478,10.63,12.08,132.05,150.04,2020,"12/10/2021"
"2011","BBR","BRISTOL BAY RED KING CRAB",62,413,6.66,3.23,6,10342791,11977994,150089,173818,4798076,5556655,81636,94543,942.64,14.07,.19,.13,.07,14,104377,6708,13.97,1202049,1392093,72736,84236,10.07,11.66,137.28,158.98,2020,"12/10/2021"
"2010","BBR","BRISTOL BAY RED KING CRAB",65,422,6.48,2.93,6,12412654,14674657,183962,217486,5911003,6988187,95134,112471,1630.31,24.96,.18,.12,.06,13,211560,20091,15.43,2276597,2691470,184116,217668,9.43,11.14,147.04,173.83,2020,"12/10/2021"
"2009","BBR","BRISTOL BAY RED KING CRAB",70,443,6.33,2.41,6,8893193,10636652,113789,136096,4211133,5036701,59713,71419,1848.95,24.5,.2,.12,.06,12,198901,16065,14.47,2101739,2513772,121234,145001,9.85,11.78,137.63,164.62,2020,"12/10/2021"
"2015","SMB","ST. MATTHEW ISLAND BLUE KING CRAB",3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2020,"12/10/2021"
"2014","SMB","ST. MATTHEW ISLAND BLUE KING CRAB",4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2020,"12/10/2021"
"2012","SMB","ST. MATTHEW ISLAND BLUE KING CRAB",17,106,6.24,.97,6,834990,948741,43116,48990,379582,431292,21973,24966,197.23,10.16,.18,.13,.06,6,21123,760,11.09,238297,270760,7168,8144,9.59,10.89,123.03,139.79,2020,"12/10/2021"
"2011","SMB","ST. MATTHEW ISLAND BLUE KING CRAB",17,112,6.56,1.12,6,1226732,1420679,57368,66438,575434,666411,31077,35990,232.83,10.69,.22,.14,.05,6,16748,839,15.1,145274,168242,7778,9007,9.12,10.56,143.96,166.72,2020,"12/10/2021"
"2010","SMB","ST. MATTHEW ISLAND BLUE KING CRAB",11,63,5.73,.65,6,864829,1022430,68000,80392,450615,532732,40652,48060,163.26,13.6,.2,.14,.06,5,18965,399,14.48,162610,192243,3820,4516,9.38,11.09,126.83,149.95,2020,"12/10/2021"
"2009","SMB","ST. MATTHEW ISLAND BLUE KING CRAB",7,39,5.57,.79,6,145189,173652,16722,20000,61303,73321,7211,8625,49.67,5.97,.17,.13,.06,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2020,"12/10/2021"
