"SEASON","FISHERY_CODE","FISHERY_NAME","QUOTA_TYPE","INITIALQSHOLDER_COUNT","INITIALQSHOLDER_SHARE","NEWQSHOLDER_COUNT","NEWQSHOLDER_SHARE","LOAD_DATE"
"2012/2013","EAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - EAST","Crew QS",6,76.96,4,23.04,"12/10/2021"
"2013/2014","EAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - EAST","Crew QS",6,76.96,4,23.04,"12/10/2021"
"2014/2015","EAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - EAST","Crew QS",5,72.45,5,27.55,"12/10/2021"
"2015/2016","EAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - EAST","Crew QS",5,72.45,4,27.55,"12/10/2021"
"2016/2017","EAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - EAST","Crew QS",4,57.23,5,42.77,"12/10/2021"
"2017/2018","EAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - EAST","Crew QS",3,50.97,6,49.03,"12/10/2021"
"2018/2019","EAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - EAST","Crew QS",3,50.97,6,49.03,"12/10/2021"
"2019/2020","EAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - EAST","Crew QS",2,40.14,7,59.86,"12/10/2021"
"2020/2021","EAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - EAST","Crew QS",2,20.14,8,79.86,"12/10/2021"
"Initial allocation","EAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - EAST","Owner QS",15,100,0,0,"12/10/2021"
"2005/2006","EAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - EAST","Owner QS",15,89.65,1,10.35,"12/10/2021"
"2006/2007","EAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - EAST","Owner QS",14,89.47,1,10.53,"12/10/2021"
"2007/2008","EAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - EAST","Owner QS",11,58.39,4,41.61,"12/10/2021"
"2008/2009","EAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - EAST","Owner QS",10,58.39,4,41.61,"12/10/2021"
"2009/2010","EAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - EAST","Owner QS",10,58.39,7,41.61,"12/10/2021"
"2010/2011","EAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - EAST","Owner QS",10,58.39,7,41.61,"12/10/2021"
"2011/2012","EAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - EAST","Owner QS",10,58.39,7,41.61,"12/10/2021"
"2012/2013","EAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - EAST","Owner QS",9,57.64,7,42.36,"12/10/2021"
"2013/2014","EAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - EAST","Owner QS",8,50.59,16,49.41,"12/10/2021"
"2014/2015","EAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - EAST","Owner QS",8,50.59,16,49.41,"12/10/2021"
"2015/2016","EAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - EAST","Owner QS",8,50.59,16,49.41,"12/10/2021"
"2016/2017","EAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - EAST","Owner QS",8,50.59,16,49.41,"12/10/2021"
"2017/2018","EAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - EAST","Owner QS",8,50.59,16,49.41,"12/10/2021"
"2018/2019","EAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - EAST","Owner QS",8,50.59,16,49.41,"12/10/2021"
"2019/2020","EAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - EAST","Owner QS",8,50.59,16,49.41,"12/10/2021"
"2020/2021","EAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - EAST","Owner QS",8,49.12,17,50.88,"12/10/2021"
