"FMP_AREA","GEAR","SUBAREA","GROUNDFISH_TARGET_SPECIES","SPECIES","YEAR","RETCATCH_MT","PERCENT_CATCH_SUPPRESSED"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Flathead Sole","2016",2018,"10-25%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Flathead Sole","2017",1770,"5-10%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Flathead Sole","2018",1829,"10-25%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Flathead Sole","2019",2098,"10-25%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Flathead Sole","2020",1692,"5-10%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Other Groundfish","2003",3385,"5-10%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Other Groundfish","2004",1650,"10-25%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Other Groundfish","2005",2097,"10-25%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Other Groundfish","2006",3001,"1-5%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Other Groundfish","2007",2032,"10-25%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Other Groundfish","2008",2368,"5-10%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Other Groundfish","2009",3193,"1-5%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Other Groundfish","2010",3123,"5-10%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Other Groundfish","2011",3341,"1-5%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Other Groundfish","2012",2961,"5-10%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Other Groundfish","2013",2888,"1-5%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Other Groundfish","2014",2133,"1-5%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Other Groundfish","2015",2139,"1-5%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Other Groundfish","2016",1637,"1-5%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Other Groundfish","2017",1277,"1-5%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Other Groundfish","2018",954,"10-25%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Other Groundfish","2019",1136,"10-25%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Other Groundfish","2020",825,"1-5%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Pacific Cod","2003",49858,"<1%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Pacific Cod","2004",54913,"<1%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Pacific Cod","2005",45916,"1-5%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Pacific Cod","2006",45712,"<1%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Pacific Cod","2007",49491,"1-5%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Pacific Cod","2008",50863,"5-10%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Pacific Cod","2009",46813,"1-5%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Pacific Cod","2010",75096,"<1%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Pacific Cod","2011",82613,"<1%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Pacific Cod","2012",76152,"1-5%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Pacific Cod","2013",57807,"5-10%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Pacific Cod","2014",79420,"<1%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Pacific Cod","2015",77181,"<1%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Pacific Cod","2016",62888,"<1%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Pacific Cod","2017",47955,"<1%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Pacific Cod","2018",12998,"10-25%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Pacific Cod","2019",14193,"1-5%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Pacific Cod","2020",4813,"5-10%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Pollock","2003",49317,"<1%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Pollock","2004",62349,"<1%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Pollock","2005",78018,"1-5%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Pollock","2006",69825,"<1%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Pollock","2007",51018,"<1%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Pollock","2008",44383,"5-10%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Pollock","2009",41407,"<1%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Pollock","2010",75451,"<1%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Pollock","2011",79502,"<1%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Pollock","2012",101613,"<1%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Pollock","2013",93638,"<1%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Pollock","2014",141087,"<1%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Pollock","2015",163284,"1-5%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Pollock","2016",175944,"<1%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Pollock","2017",184292,"<1%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Pollock","2018",155607,"<1%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Pollock","2019",118663,"<1%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Pollock","2020",106554,"<1%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Rex Sole","2003",3230,"1-5%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Rex Sole","2004",1127,"10-25%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Rex Sole","2005",1759,"10-25%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Rex Sole","2006",2915,"5-10%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Rex Sole","2007",1147,"50-75%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Rex Sole","2008",2494,"1-5%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Rex Sole","2009",4213,"10-25%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Rex Sole","2010",2746,"10-25%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Rex Sole","2011",2506,"10-25%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Rex Sole","2012",2094,"10-25%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Rex Sole","2013",3489,"1-5%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Rex Sole","2014",2613,"25-50%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Rex Sole","2015",1242,"25-50%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Rex Sole","2016",1433,"10-25%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Rex Sole","2017",1202,"10-25%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Rex Sole","2018",1136,"25-50%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Rex Sole","2019",1119,"25-50%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Rex Sole","2020",973,"10-25%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Rockfish","2003",18851,"5-10%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Rockfish","2004",18625,"5-10%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Rockfish","2005",17975,"5-10%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Rockfish","2006",20343,"5-10%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Rockfish","2007",20434,"5-10%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Rockfish","2008",19948,"5-10%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Rockfish","2009",20818,"<1%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Rockfish","2010",22121,"5-10%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Rockfish","2011",19613,"5-10%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Rockfish","2012",23940,"5-10%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Rockfish","2013",20415,"5-10%"
