"FMP_AREA","GEAR","SECTOR","SPECIES","YEAR","EXVES_VAL","PERCENT_VAL_SUPPRESSED"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Atka Mackerel","2004",12358486,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Atka Mackerel","2005",16042510,"0%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Atka Mackerel","2006",14811949,"0%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Atka Mackerel","2007",17362768,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Atka Mackerel","2008",21297960,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Atka Mackerel","2009",28862245,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Atka Mackerel","2010",29467538,"0%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Atka Mackerel","2011",29546755,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Atka Mackerel","2012",29985019,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Atka Mackerel","2013",16195989,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Atka Mackerel","2014",23752793,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Atka Mackerel","2015",29692658,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Atka Mackerel","2016",30140112,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Atka Mackerel","2017",50246762,"0%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Atka Mackerel","2018",53419631,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Atka Mackerel","2019",35499623,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Atka Mackerel","2020",32890595,"0%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Flathead Sole","2003",3659633,"0%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Flathead Sole","2004",5021510,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Flathead Sole","2005",6052983,"0%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Flathead Sole","2006",7776120,"0%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Flathead Sole","2007",6598147,"0%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Flathead Sole","2008",9590010,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Flathead Sole","2009",5748865,"0%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Flathead Sole","2010",6812661,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Flathead Sole","2011",5229012,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Flathead Sole","2012",4373280,"0%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Flathead Sole","2013",7704477,"0%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Flathead Sole","2014",5886852,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Flathead Sole","2015",3277406,"0%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Flathead Sole","2016",3848414,"0%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Flathead Sole","2017",3950363,"0%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Flathead Sole","2018",5712070,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Flathead Sole","2019",7306117,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Flathead Sole","2020",3003908,"0%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Kamchatka Flounder (BSAI)","2011",3693768,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Kamchatka Flounder (BSAI)","2012",4771174,"0%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Kamchatka Flounder (BSAI)","2013",2109037,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Kamchatka Flounder (BSAI)","2014",2397326,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Kamchatka Flounder (BSAI)","2015",1679251,"0%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Kamchatka Flounder (BSAI)","2016",2055750,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Kamchatka Flounder (BSAI)","2017",3412771,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Kamchatka Flounder (BSAI)","2018",1988111,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Kamchatka Flounder (BSAI)","2019",2280383,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Kamchatka Flounder (BSAI)","2020",3471205,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Northern Rockfish","2003",66965,"0%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Northern Rockfish","2004",138945,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Northern Rockfish","2005",344260,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Northern Rockfish","2006",393340,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Northern Rockfish","2007",440604,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Northern Rockfish","2008",412043,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Northern Rockfish","2009",568547,"0%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Northern Rockfish","2010",1406154,"0%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Northern Rockfish","2011",1678214,"0%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Northern Rockfish","2012",1046503,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Northern Rockfish","2013",564185,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Northern Rockfish","2014",868701,"0%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Northern Rockfish","2015",2220894,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Northern Rockfish","2016",1191993,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Northern Rockfish","2017",1475063,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Northern Rockfish","2018",1814441,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Northern Rockfish","2019",2605329,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Northern Rockfish","2020",1536644,"0%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Other Flatfish (BSAI)","2003",1005765,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Other Flatfish (BSAI)","2004",1249936,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Other Flatfish (BSAI)","2005",1826327,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Other Flatfish (BSAI)","2006",1366226,"0%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Other Flatfish (BSAI)","2007",2417857,"0%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Other Flatfish (BSAI)","2008",3051244,"0%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Other Flatfish (BSAI)","2009",3348677,"0%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Other Flatfish (BSAI)","2010",3137083,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Other Flatfish (BSAI)","2011",5776015,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Other Flatfish (BSAI)","2012",5493452,"0%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Other Flatfish (BSAI)","2013",4922951,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Other Flatfish (BSAI)","2014",5262503,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Other Flatfish (BSAI)","2015",4261908,"0%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Other Flatfish (BSAI)","2016",3957359,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Other Flatfish (BSAI)","2017",7837008,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Other Flatfish (BSAI)","2018",8261185,"0%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Other Flatfish (BSAI)","2019",7067515,"0%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Other Flatfish (BSAI)","2020",7287993,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Other Groundfish","2003",8527354,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Other Groundfish","2004",6761992,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Other Groundfish","2005",7394826,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Other Groundfish","2006",5014592,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Other Groundfish","2007",3355799,"0%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Other Groundfish","2008",4513108,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Other Groundfish","2009",1856198,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Other Groundfish","2010",936123,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Other Groundfish","2011",4489891,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Other Groundfish","2012",2669777,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Other Groundfish","2013",6631020,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Other Groundfish","2014",8614915,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Other Groundfish","2015",2956828,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Other Groundfish","2016",3414217,"0%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Other Groundfish","2017",5651443,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Other Groundfish","2018",7564520,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Other Groundfish","2019",6742865,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Other Groundfish","2020",6070311,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Other Rockfish","2003",711259,"0%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Other Rockfish","2004",648137,"0%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Other Rockfish","2005",574645,"0%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Other Rockfish","2006",679304,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Other Rockfish","2007",524551,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Other Rockfish","2008",715877,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Other Rockfish","2009",761537,"0%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Other Rockfish","2010",1152373,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Other Rockfish","2011",1352315,"0%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Other Rockfish","2012",1240701,"0%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Other Rockfish","2013",1123789,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Other Rockfish","2014",991070,"0%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Other Rockfish","2015",646333,"0%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Other Rockfish","2016",771099,"0%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Other Rockfish","2017",864957,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Other Rockfish","2018",795638,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Other Rockfish","2019",1116977,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Other Rockfish","2020",776016,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Pacific Cod","2003",132477444,"0%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Pacific Cod","2004",117632626,"0%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Pacific Cod","2005",127855576,"1-5%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Pacific Cod","2006",172921114,"0%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Pacific Cod","2007",158814640,"0%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Pacific Cod","2008",180847375,"0%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Pacific Cod","2009",88433977,"0%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Pacific Cod","2010",97765397,"0%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Pacific Cod","2011",121177079,"0%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Pacific Cod","2012",157030951,"0%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Pacific Cod","2013",143280088,"0%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Pacific Cod","2014",154779370,"0%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Pacific Cod","2015",143816978,"0%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Pacific Cod","2016",156293053,"0%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Pacific Cod","2017",177976744,"0%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Pacific Cod","2018",196220377,"0%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Pacific Cod","2019",187652284,"0%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Pacific Cod","2020",188306974,"0%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Pacific Ocean Perch","2003",3134725,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Pacific Ocean Perch","2004",3091474,"0%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Pacific Ocean Perch","2005",4731188,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Pacific Ocean Perch","2006",6153514,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Pacific Ocean Perch","2007",6843644,"0%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Pacific Ocean Perch","2008",6348216,"0%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Pacific Ocean Perch","2009",5600798,"0%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Pacific Ocean Perch","2010",8882997,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Pacific Ocean Perch","2011",17876897,"0%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Pacific Ocean Perch","2012",14932373,"0%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Pacific Ocean Perch","2013",14304014,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Pacific Ocean Perch","2014",16501717,"0%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Pacific Ocean Perch","2015",13838001,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Pacific Ocean Perch","2016",12031687,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Pacific Ocean Perch","2017",14557036,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Pacific Ocean Perch","2018",15520240,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Pacific Ocean Perch","2019",14028666,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Pacific Ocean Perch","2020",12459754,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Pollock","2003",298132828,"0%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Pollock","2004",310388986,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Pollock","2005",402434621,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Pollock","2006",389938191,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Pollock","2007",375458800,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Pollock","2008",415649059,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Pollock","2009",312234677,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Pollock","2010",304854155,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Pollock","2011",444556960,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Pollock","2012",472044846,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Pollock","2013",425211616,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Pollock","2014",428824951,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Pollock","2015",412721314,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Pollock","2016",374860280,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Pollock","2017",352892832,"0%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Pollock","2018",408240129,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Pollock","2019",448264464,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Pollock","2020",390019956,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Rock Sole (BSAI)","2003",9663638,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Rock Sole (BSAI)","2004",14387863,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Rock Sole (BSAI)","2005",14282240,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Rock Sole (BSAI)","2006",16456018,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Rock Sole (BSAI)","2007",14399751,"0%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Rock Sole (BSAI)","2008",21201569,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Rock Sole (BSAI)","2009",15744419,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Rock Sole (BSAI)","2010",18791258,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Rock Sole (BSAI)","2011",24964548,"0%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Rock Sole (BSAI)","2012",38845207,"0%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Rock Sole (BSAI)","2013",18722425,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Rock Sole (BSAI)","2014",16761845,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Rock Sole (BSAI)","2015",14237858,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Rock Sole (BSAI)","2016",15951718,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Rock Sole (BSAI)","2017",14517476,"0%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Rock Sole (BSAI)","2018",14209569,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Rock Sole (BSAI)","2019",11865299,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Rock Sole (BSAI)","2020",10762327,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Sablefish","2003",8856066,"0%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Sablefish","2004",6919769,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Sablefish","2005",10029085,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Sablefish","2006",10399941,"1-5%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Sablefish","2007",10493380,"1-5%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Sablefish","2008",11347003,"1-5%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Sablefish","2009",10833354,"0%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Sablefish","2010",11171386,"25-50%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Sablefish","2011",18352214,"1-5%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Sablefish","2012",9732800,"25-50%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Sablefish","2013",6999117,"25-50%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Sablefish","2014",6445897,"25-50%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Sablefish","2015",4957780,"0%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Sablefish","2016",3732462,"25-50%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Sablefish","2017",3890202,"50-75%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Sablefish","2018",4465116,"10-25%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Sablefish","2019",5539584,"5-10%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Sablefish","2020",5829523,"10-25%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Turbot (BSAI)","2003",1175936,"0%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Turbot (BSAI)","2004",418285,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Turbot (BSAI)","2005",695612,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Turbot (BSAI)","2006",545663,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Turbot (BSAI)","2007",279353,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Turbot (BSAI)","2008",1462327,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Turbot (BSAI)","2009",2848019,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Turbot (BSAI)","2010",2269409,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Turbot (BSAI)","2011",3248229,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Turbot (BSAI)","2012",3482485,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Turbot (BSAI)","2013",773531,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Turbot (BSAI)","2014",1496374,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Turbot (BSAI)","2015",1147619,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Turbot (BSAI)","2016",1965263,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Turbot (BSAI)","2017",2774291,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Turbot (BSAI)","2018",2286155,"0%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Turbot (BSAI)","2019",3527280,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Turbot (BSAI)","2020",2823153,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Yellowfin Sole (BSAI)","2003",18042721,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Yellowfin Sole (BSAI)","2004",17178510,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Yellowfin Sole (BSAI)","2005",31994158,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Yellowfin Sole (BSAI)","2006",35044368,"0%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Yellowfin Sole (BSAI)","2007",43342557,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Yellowfin Sole (BSAI)","2008",48449071,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Yellowfin Sole (BSAI)","2009",29434552,"0%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Yellowfin Sole (BSAI)","2010",35251061,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Yellowfin Sole (BSAI)","2011",56042754,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Yellowfin Sole (BSAI)","2012",54428566,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Yellowfin Sole (BSAI)","2013",54596442,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Yellowfin Sole (BSAI)","2014",42193038,"<1%"
