"FMP_AREA","HARVEST_SECTOR","SPECIES_GROUP","YEAR","RETAINED_CATCH_MT","EXVESSEL_VALUE"
"Bering Sea and Aleutian Islands","Catcher Vessels","Pacific Cod","2003",62393,37835182
"Gulf of Alaska","All Sectors","Pacific Cod","2003",50084,32658056
"Gulf of Alaska","Catcher Processors","Pacific Cod","2003",7365,4754542
"Gulf of Alaska","Catcher Vessels","Pacific Cod","2003",42719,27903514
"All Alaska","All Sectors","Pollock","2003",1524776,308645105
"All Alaska","Catcher Processors","Pollock","2003",671403,116560567
"All Alaska","Catcher Vessels","Pollock","2003",853373,192084537
"Bering Sea and Aleutian Islands","All Sectors","Pollock","2003",1475206,298131920
"Bering Sea and Aleutian Islands","Catcher Processors","Pollock","2003",670796,116432338
"Bering Sea and Aleutian Islands","Catcher Vessels","Pollock","2003",804410,181699582
"Bering Sea and Aleutian Islands","Catcher Vessels","Other Groundfish","2003",641,127449
"Gulf of Alaska","All Sectors","Other Groundfish","2004",2056,900666
"Gulf of Alaska","Catcher Processors","Other Groundfish","2004",284,286428
"Gulf of Alaska","Catcher Vessels","Other Groundfish","2004",1772,614238
"All Alaska","All Sectors","Pacific Cod","2004",265166,150091898
"All Alaska","Catcher Processors","Pacific Cod","2004",159956,93660892
"All Alaska","Catcher Vessels","Pacific Cod","2004",105210,56431006
"Bering Sea and Aleutian Islands","All Sectors","Pacific Cod","2004",209866,117621911
"Bering Sea and Aleutian Islands","Catcher Processors","Pacific Cod","2004",154113,89723486
"Gulf of Alaska","All Sectors","Flatfish","2004",12793,2360982
"Gulf of Alaska","Catcher Processors","Flatfish","2004",2871,547434
"Gulf of Alaska","Catcher Vessels","Flatfish","2004",9922,1813547
"All Alaska","All Sectors","Other Groundfish","2004",9368,7626104
"All Alaska","Catcher Processors","Other Groundfish","2004",6594,6519292
"All Alaska","Catcher Vessels","Other Groundfish","2004",2774,1106812
"Bering Sea and Aleutian Islands","All Sectors","Other Groundfish","2004",7312,6725438
"Bering Sea and Aleutian Islands","Catcher Processors","Other Groundfish","2004",6310,6232864
"Gulf of Alaska","All Sectors","Atka Mackerel","2004",468,133393
"Gulf of Alaska","Catcher Processors","Atka Mackerel","2004",467,133372
"Gulf of Alaska","Catcher Vessels","Atka Mackerel","2004",1,21
"All Alaska","All Sectors","Flatfish","2004",122248,41616097
"All Alaska","Catcher Processors","Flatfish","2004",110902,39119310
"All Alaska","Catcher Vessels","Flatfish","2004",11346,2496788
"Bering Sea and Aleutian Islands","All Sectors","Flatfish","2004",109455,39255116
"Bering Sea and Aleutian Islands","Catcher Processors","Flatfish","2004",108031,38571875
"Bering Sea and Aleutian Islands","Catcher Vessels","Flatfish","2004",1424,683240
"Gulf of Alaska","All Sectors","All Groundfish","2004",169179,128802942
"Gulf of Alaska","Catcher Processors","All Groundfish","2004",22273,16835831
"Gulf of Alaska","Catcher Vessels","All Groundfish","2004",146907,111967111
"All Alaska","All Sectors","Atka Mackerel","2004",49155,12491387
"All Alaska","Catcher Processors","Atka Mackerel","2004",48409,12302482
"All Alaska","Catcher Vessels","Atka Mackerel","2004",746,188904
"Bering Sea and Aleutian Islands","All Sectors","Atka Mackerel","2004",48687,12357994
"Bering Sea and Aleutian Islands","Catcher Processors","Atka Mackerel","2004",47942,12169111
"Bering Sea and Aleutian Islands","Catcher Vessels","Atka Mackerel","2004",745,188884
"Gulf of Alaska","All Sectors","Sablefish","2004",16096,74257583
"Gulf of Alaska","Catcher Processors","Sablefish","2004",2274,10127493
"Gulf of Alaska","Catcher Vessels","Sablefish","2004",13821,64130090
"All Alaska","All Sectors","All Groundfish","2004",2015755,625914174
"All Alaska","Catcher Processors","All Groundfish","2004",1019703,299677795
"All Alaska","Catcher Vessels","All Groundfish","2004",996052,326236379
"Bering Sea and Aleutian Islands","All Sectors","All Groundfish","2004",1846576,497111232
"Bering Sea and Aleutian Islands","Catcher Processors","All Groundfish","2004",997430,282841964
"Bering Sea and Aleutian Islands","Catcher Vessels","All Groundfish","2004",849146,214269267
"Gulf of Alaska","All Sectors","Rockfish","2004",19872,4705250
"Gulf of Alaska","Catcher Processors","Rockfish","2004",10239,1790495
"Gulf of Alaska","Catcher Vessels","Rockfish","2004",9634,2914755
"All Alaska","All Sectors","Sablefish","2004",17943,81149769
"All Alaska","Catcher Processors","Sablefish","2004",2857,11946639
"All Alaska","Catcher Vessels","Sablefish","2004",15086,69203129
"Bering Sea and Aleutian Islands","All Sectors","Sablefish","2004",1847,6892186
"Bering Sea and Aleutian Islands","Catcher Processors","Sablefish","2004",583,1819147
"Bering Sea and Aleutian Islands","Catcher Vessels","Sablefish","2004",1265,5073039
"Bering Sea and Aleutian Islands","Catcher Vessels","Pollock","2004",788582,179753726
"Gulf of Alaska","All Sectors","Pollock","2004",62594,13975082
"Gulf of Alaska","Catcher Processors","Pollock","2004",294,13202
"Gulf of Alaska","Catcher Vessels","Pollock","2004",62300,13961880
"All Alaska","All Sectors","Rockfish","2004",31035,8578008
"All Alaska","Catcher Processors","Rockfish","2004",21028,5483875
"All Alaska","Catcher Vessels","Rockfish","2004",10008,3094133
"Bering Sea and Aleutian Islands","All Sectors","Rockfish","2004",11163,3872758
"Bering Sea and Aleutian Islands","Catcher Processors","Rockfish","2004",10789,3693380
"Bering Sea and Aleutian Islands","Catcher Vessels","Rockfish","2004",374,179378
"Bering Sea and Aleutian Islands","Catcher Vessels","Pacific Cod","2004",55754,27898425
"Gulf of Alaska","All Sectors","Pacific Cod","2004",55300,32469987
"Gulf of Alaska","Catcher Processors","Pacific Cod","2004",5843,3937406
"Gulf of Alaska","Catcher Vessels","Pacific Cod","2004",49457,28532581
"All Alaska","All Sectors","Pollock","2004",1520838,324360911
"All Alaska","Catcher Processors","Pollock","2004",669956,130645304
"All Alaska","Catcher Vessels","Pollock","2004",850882,193715607
"Bering Sea and Aleutian Islands","All Sectors","Pollock","2004",1458244,310385828
"Bering Sea and Aleutian Islands","Catcher Processors","Pollock","2004",669662,130632102
"Bering Sea and Aleutian Islands","Catcher Vessels","Other Groundfish","2004",1002,492575
"Gulf of Alaska","All Sectors","Other Groundfish","2005",2321,756049
"Gulf of Alaska","Catcher Processors","Other Groundfish","2005",238,98117
"Gulf of Alaska","Catcher Vessels","Other Groundfish","2005",2083,657932
"All Alaska","All Sectors","Pacific Cod","2005",248377,159758912
"All Alaska","Catcher Processors","Pacific Cod","2005",153243,103884800
"All Alaska","Catcher Vessels","Pacific Cod","2005",95134,55874112
"Bering Sea and Aleutian Islands","All Sectors","Pacific Cod","2005",201933,130213649
"Bering Sea and Aleutian Islands","Catcher Processors","Pacific Cod","2005",151252,102604180
"Gulf of Alaska","All Sectors","Flatfish","2005",20577,5123178
"Gulf of Alaska","Catcher Processors","Flatfish","2005",6746,1846526
"Gulf of Alaska","Catcher Vessels","Flatfish","2005",13831,3276652
"All Alaska","All Sectors","Other Groundfish","2005",11312,8129558
"All Alaska","Catcher Processors","Other Groundfish","2005",8038,7071431
"All Alaska","Catcher Vessels","Other Groundfish","2005",3274,1058127
"Bering Sea and Aleutian Islands","All Sectors","Other Groundfish","2005",8991,7373509
"Bering Sea and Aleutian Islands","Catcher Processors","Other Groundfish","2005",7800,6973314
"Gulf of Alaska","All Sectors","Atka Mackerel","2005",617,189974
"Gulf of Alaska","Catcher Processors","Atka Mackerel","2005",616,189667
"Gulf of Alaska","Catcher Vessels","Atka Mackerel","2005",1,307
"All Alaska","All Sectors","Flatfish","2005",154248,62258683
"All Alaska","Catcher Processors","Flatfish","2005",138572,57983130
"All Alaska","Catcher Vessels","Flatfish","2005",15676,4275552
"Bering Sea and Aleutian Islands","All Sectors","Flatfish","2005",133671,57135505
"Bering Sea and Aleutian Islands","Catcher Processors","Flatfish","2005",131826,56136604
"Bering Sea and Aleutian Islands","Catcher Vessels","Flatfish","2005",1845,998901
"Gulf of Alaska","All Sectors","All Groundfish","2005",183439,134480294
"Gulf of Alaska","Catcher Processors","All Groundfish","2005",22905,17126843
"Gulf of Alaska","Catcher Vessels","All Groundfish","2005",160534,117353451
"All Alaska","All Sectors","Atka Mackerel","2005",58533,16208698
"All Alaska","Catcher Processors","Atka Mackerel","2005",57977,16057109
"All Alaska","Catcher Vessels","Atka Mackerel","2005",555,151589
"Bering Sea and Aleutian Islands","All Sectors","Atka Mackerel","2005",57916,16018724
"Bering Sea and Aleutian Islands","Catcher Processors","Atka Mackerel","2005",57362,15867441
"Bering Sea and Aleutian Islands","Catcher Vessels","Atka Mackerel","2005",554,151283
"Gulf of Alaska","All Sectors","Sablefish","2005",14562,71298057
"Gulf of Alaska","Catcher Processors","Sablefish","2005",2321,10922408
"Gulf of Alaska","Catcher Vessels","Sablefish","2005",12241,60375649
"All Alaska","All Sectors","All Groundfish","2005",2065374,763255494
"All Alaska","Catcher Processors","All Groundfish","2005",1053792,390558504
"All Alaska","Catcher Vessels","All Groundfish","2005",1011582,372696989
"Bering Sea and Aleutian Islands","All Sectors","All Groundfish","2005",1881935,628775200
"Bering Sea and Aleutian Islands","Catcher Processors","All Groundfish","2005",1030887,373431661
"Bering Sea and Aleutian Islands","Catcher Vessels","All Groundfish","2005",851047,255343539
"Bering Sea and Aleutian Islands","Catcher Vessels","Rockfish","2005",425,259131
"Gulf of Alaska","All Sectors","Rockfish","2005",19132,5828111
"Gulf of Alaska","Catcher Processors","Rockfish","2005",10705,2776808
"Gulf of Alaska","Catcher Vessels","Rockfish","2005",8427,3051302
"All Alaska","All Sectors","Sablefish","2005",17018,81325475
"All Alaska","Catcher Processors","Sablefish","2005",3144,13656439
"All Alaska","Catcher Vessels","Sablefish","2005",13873,67669035
"Bering Sea and Aleutian Islands","All Sectors","Sablefish","2005",2456,10027418
"Bering Sea and Aleutian Islands","Catcher Processors","Sablefish","2005",823,2734031
"Bering Sea and Aleutian Islands","Catcher Vessels","Sablefish","2005",1633,7293387
"Bering Sea and Aleutian Islands","Catcher Vessels","Pollock","2005",794719,218631173
"Gulf of Alaska","All Sectors","Pollock","2005",79785,21739664
"Gulf of Alaska","Catcher Processors","Pollock","2005",287,12697
"Gulf of Alaska","Catcher Vessels","Pollock","2005",79498,21726967
"All Alaska","All Sectors","Rockfish","2005",29216,11402274
"All Alaska","Catcher Processors","Rockfish","2005",20364,8091841
"All Alaska","Catcher Vessels","Rockfish","2005",8852,3310433
"Bering Sea and Aleutian Islands","All Sectors","Rockfish","2005",10084,5574163
"Bering Sea and Aleutian Islands","Catcher Processors","Rockfish","2005",9659,5315032
"Bering Sea and Aleutian Islands","Catcher Vessels","Pacific Cod","2005",50681,27609469
"Gulf of Alaska","All Sectors","Pacific Cod","2005",46444,29545262
"Gulf of Alaska","Catcher Processors","Pacific Cod","2005",1991,1280620
"Gulf of Alaska","Catcher Vessels","Pacific Cod","2005",44453,28264643
"All Alaska","All Sectors","Pollock","2005",1546670,424171895
"All Alaska","Catcher Processors","Pollock","2005",672453,183813755
"All Alaska","Catcher Vessels","Pollock","2005",874217,240358140
"Bering Sea and Aleutian Islands","All Sectors","Pollock","2005",1466884,402432231
"Bering Sea and Aleutian Islands","Catcher Processors","Pollock","2005",672165,183801058
"Bering Sea and Aleutian Islands","Catcher Vessels","Other Groundfish","2005",1191,400195
"Gulf of Alaska","All Sectors","Other Groundfish","2006",3047,1364235
"Gulf of Alaska","Catcher Processors","Other Groundfish","2006",364,356917
"Gulf of Alaska","Catcher Vessels","Other Groundfish","2006",2683,1007318
"All Alaska","All Sectors","Pacific Cod","2006",236233,212572755
"All Alaska","Catcher Processors","Pacific Cod","2006",141493,132833316
"All Alaska","Catcher Vessels","Pacific Cod","2006",94741,79739439
"Bering Sea and Aleutian Islands","All Sectors","Pacific Cod","2006",190237,172863616
"Bering Sea and Aleutian Islands","Catcher Processors","Pacific Cod","2006",136859,128546809
"Gulf of Alaska","All Sectors","Flatfish","2006",28784,8487297
"Gulf of Alaska","Catcher Processors","Flatfish","2006",8119,2547187
"Gulf of Alaska","Catcher Vessels","Flatfish","2006",20665,5940109
"All Alaska","All Sectors","Other Groundfish","2006",10414,6336966
"All Alaska","Catcher Processors","Other Groundfish","2006",6495,5055730
"All Alaska","Catcher Vessels","Other Groundfish","2006",3919,1281236
"Bering Sea and Aleutian Islands","All Sectors","Other Groundfish","2006",7367,4972731
"Bering Sea and Aleutian Islands","Catcher Processors","Other Groundfish","2006",6132,4698813
"Gulf of Alaska","All Sectors","Atka Mackerel","2006",431,110848
"Gulf of Alaska","Catcher Processors","Atka Mackerel","2006",431,110848
"Gulf of Alaska","Catcher Vessels","Atka Mackerel","2006",-9999,-9999
"All Alaska","All Sectors","Flatfish","2006",171421,70718455
"All Alaska","Catcher Processors","Flatfish","2006",147578,63026834
"All Alaska","Catcher Vessels","Flatfish","2006",23843,7691621
"Bering Sea and Aleutian Islands","All Sectors","Flatfish","2006",142637,62231158
"Bering Sea and Aleutian Islands","Catcher Processors","Flatfish","2006",139459,60479647
"Bering Sea and Aleutian Islands","Catcher Vessels","Flatfish","2006",3178,1751512
"Gulf of Alaska","All Sectors","All Groundfish","2006",183779,161791810
"Gulf of Alaska","Catcher Processors","All Groundfish","2006",28518,22504012
"Gulf of Alaska","Catcher Vessels","All Groundfish","2006",155261,139287797
"All Alaska","All Sectors","Atka Mackerel","2006",59278,14922194
"All Alaska","Catcher Processors","Atka Mackerel","2006",58721,14782008
"All Alaska","Catcher Vessels","Atka Mackerel","2006",557,140186
"Bering Sea and Aleutian Islands","All Sectors","Atka Mackerel","2006",58848,14811346
"Bering Sea and Aleutian Islands","Catcher Processors","Atka Mackerel","2006",58291,14671160
"Bering Sea and Aleutian Islands","Catcher Vessels","Atka Mackerel","2006",557,140186
"Bering Sea and Aleutian Islands","Catcher Vessels","Sablefish","2006",1499,7592279
"Gulf of Alaska","All Sectors","Sablefish","2006",13992,82152690
"Gulf of Alaska","Catcher Processors","Sablefish","2006",1836,10349561
"Gulf of Alaska","Catcher Vessels","Sablefish","2006",12156,71803129
"All Alaska","All Sectors","All Groundfish","2006",2071280,824395981
"All Alaska","Catcher Processors","All Groundfish","2006",1060881,410593378
"All Alaska","Catcher Vessels","All Groundfish","2006",1010400,413802603
"Bering Sea and Aleutian Islands","All Sectors","All Groundfish","2006",1887501,662604171
"Bering Sea and Aleutian Islands","Catcher Processors","All Groundfish","2006",1032363,388089366
"Bering Sea and Aleutian Islands","Catcher Vessels","All Groundfish","2006",855139,274514805
"Bering Sea and Aleutian Islands","Catcher Vessels","Rockfish","2006",567,357916
"Gulf of Alaska","All Sectors","Rockfish","2006",21477,9093961
"Gulf of Alaska","Catcher Processors","Rockfish","2006",12862,4772317
"Gulf of Alaska","Catcher Vessels","Rockfish","2006",8615,4321644
"All Alaska","All Sectors","Sablefish","2006",16155,92722128
"All Alaska","Catcher Processors","Sablefish","2006",2500,13326720
"All Alaska","Catcher Vessels","Sablefish","2006",13655,79395408
"Bering Sea and Aleutian Islands","All Sectors","Sablefish","2006",2164,10569438
"Bering Sea and Aleutian Islands","Catcher Processors","Sablefish","2006",665,2977159
"Bering Sea and Aleutian Islands","Catcher Vessels","Pollock","2006",794724,220082187
"Gulf of Alaska","All Sectors","Pollock","2006",70053,20873640
"Gulf of Alaska","Catcher Processors","Pollock","2006",274,80674
"Gulf of Alaska","Catcher Vessels","Pollock","2006",69779,20792965
"All Alaska","All Sectors","Rockfish","2006",33836,16316986
"All Alaska","Catcher Processors","Rockfish","2006",24654,11637426
"All Alaska","Catcher Vessels","Rockfish","2006",9182,4679560
"Bering Sea and Aleutian Islands","All Sectors","Rockfish","2006",12360,7223025
"Bering Sea and Aleutian Islands","Catcher Processors","Rockfish","2006",11792,6865109
"Bering Sea and Aleutian Islands","Catcher Vessels","Pacific Cod","2006",53378,44316808
"Gulf of Alaska","All Sectors","Pacific Cod","2006",45996,39709139
"Gulf of Alaska","Catcher Processors","Pacific Cod","2006",4634,4286508
"Gulf of Alaska","Catcher Vessels","Pacific Cod","2006",41362,35422631
"All Alaska","All Sectors","Pollock","2006",1543942,410806496
"All Alaska","Catcher Processors","Pollock","2006",679439,169931344
"All Alaska","Catcher Vessels","Pollock","2006",864503,240875153
"Bering Sea and Aleutian Islands","All Sectors","Pollock","2006",1473889,389932857
"Bering Sea and Aleutian Islands","Catcher Processors","Pollock","2006",679165,169850669
"Bering Sea and Aleutian Islands","Catcher Vessels","Other Groundfish","2006",1236,273918
"Gulf of Alaska","All Sectors","Flatfish","2007",28487,9247494
"Gulf of Alaska","Catcher Processors","Flatfish","2007",7204,2505980
"Gulf of Alaska","Catcher Vessels","Flatfish","2007",21283,6741514
"All Alaska","All Sectors","Other Groundfish","2007",9016,4700007
"All Alaska","Catcher Processors","Other Groundfish","2007",6314,3516986
"All Alaska","Catcher Vessels","Other Groundfish","2007",2702,1183022
"Bering Sea and Aleutian Islands","All Sectors","Other Groundfish","2007",6921,3355694
"Bering Sea and Aleutian Islands","Catcher Processors","Other Groundfish","2007",6083,3251643
"Gulf of Alaska","All Sectors","Atka Mackerel","2007",844,222667
"Gulf of Alaska","Catcher Processors","Atka Mackerel","2007",812,214126
"Gulf of Alaska","Catcher Vessels","Atka Mackerel","2007",32,8542
"All Alaska","All Sectors","Flatfish","2007",188130,75934142
"All Alaska","Catcher Processors","Flatfish","2007",162578,67251759
"All Alaska","Catcher Vessels","Flatfish","2007",25552,8682384
"Bering Sea and Aleutian Islands","All Sectors","Flatfish","2007",159642,66686648
"Bering Sea and Aleutian Islands","Catcher Processors","Flatfish","2007",155374,64745778
"Bering Sea and Aleutian Islands","Catcher Vessels","Flatfish","2007",4268,1940870
"Bering Sea and Aleutian Islands","Catcher Vessels","All Groundfish","2007",773924,262330247
"Gulf of Alaska","All Sectors","All Groundfish","2007",169443,176960989
"Gulf of Alaska","Catcher Processors","All Groundfish","2007",28761,25819593
"Gulf of Alaska","Catcher Vessels","All Groundfish","2007",140682,151141396
"All Alaska","All Sectors","Atka Mackerel","2007",56220,17181991
"All Alaska","Catcher Processors","Atka Mackerel","2007",56006,17117952
"All Alaska","Catcher Vessels","Atka Mackerel","2007",214,64039
"Bering Sea and Aleutian Islands","All Sectors","Atka Mackerel","2007",55376,16959324
"Bering Sea and Aleutian Islands","Catcher Processors","Atka Mackerel","2007",55194,16903826
"Bering Sea and Aleutian Islands","Catcher Vessels","Atka Mackerel","2007",182,55497
"Bering Sea and Aleutian Islands","Catcher Vessels","Sablefish","2007",1601,7879475
"Gulf of Alaska","All Sectors","Sablefish","2007",14047,85201730
"Gulf of Alaska","Catcher Processors","Sablefish","2007",1901,10946625
"Gulf of Alaska","Catcher Vessels","Sablefish","2007",12145,74255105
"All Alaska","All Sectors","All Groundfish","2007",1922837,816619753
"All Alaska","Catcher Processors","All Groundfish","2007",1008231,403148110
"All Alaska","Catcher Vessels","All Groundfish","2007",914606,413471643
"Bering Sea and Aleutian Islands","All Sectors","All Groundfish","2007",1753394,639658764
"Bering Sea and Aleutian Islands","Catcher Processors","All Groundfish","2007",979470,377328517
"Bering Sea and Aleutian Islands","Catcher Vessels","Rockfish","2007",733,355635
"Gulf of Alaska","All Sectors","Rockfish","2007",22075,9556647
"Gulf of Alaska","Catcher Processors","Rockfish","2007",12108,4639605
"Gulf of Alaska","Catcher Vessels","Rockfish","2007",9967,4917042
"All Alaska","All Sectors","Sablefish","2007",16312,96021278
"All Alaska","Catcher Processors","Sablefish","2007",2566,13886698
"All Alaska","Catcher Vessels","Sablefish","2007",13746,82134580
"Bering Sea and Aleutian Islands","All Sectors","Sablefish","2007",2266,10819547
"Bering Sea and Aleutian Islands","Catcher Processors","Sablefish","2007",665,2940073
"Bering Sea and Aleutian Islands","Catcher Vessels","Pollock","2007",715603,201954474
"Gulf of Alaska","All Sectors","Pollock","2007",51113,16268817
"Gulf of Alaska","Catcher Processors","Pollock","2007",297,92506
"Gulf of Alaska","Catcher Vessels","Pollock","2007",50816,16176312
"All Alaska","All Sectors","Rockfish","2007",39080,17327804
"All Alaska","Catcher Processors","Rockfish","2007",28380,12055127
"All Alaska","Catcher Vessels","Rockfish","2007",10700,5272677
"Bering Sea and Aleutian Islands","All Sectors","Rockfish","2007",17005,7771157
"Bering Sea and Aleutian Islands","Catcher Processors","Rockfish","2007",16273,7415522
"Bering Sea and Aleutian Islands","Catcher Vessels","Pacific Cod","2007",50698,50040246
"Gulf of Alaska","All Sectors","Pacific Cod","2007",50783,55119319
"Gulf of Alaska","Catcher Processors","Pacific Cod","2007",6208,7155410
"Gulf of Alaska","Catcher Vessels","Pacific Cod","2007",44575,47963910
"All Alaska","All Sectors","Pollock","2007",1391582,391721600
"All Alaska","Catcher Processors","Pollock","2007",625163,173590814
"All Alaska","Catcher Vessels","Pollock","2007",766419,218130785
"Bering Sea and Aleutian Islands","All Sectors","Pollock","2007",1340470,375452782
"Bering Sea and Aleutian Islands","Catcher Processors","Pollock","2007",624866,173498309
"Bering Sea and Aleutian Islands","Catcher Vessels","Other Groundfish","2007",839,104050
"Gulf of Alaska","All Sectors","Other Groundfish","2007",2095,1344313
"Gulf of Alaska","Catcher Processors","Other Groundfish","2007",232,265342
"Gulf of Alaska","Catcher Vessels","Other Groundfish","2007",1863,1078971
"All Alaska","All Sectors","Pacific Cod","2007",222497,213732931
"All Alaska","Catcher Processors","Pacific Cod","2007",127224,115728775
"All Alaska","Catcher Vessels","Pacific Cod","2007",95273,98004156
"Bering Sea and Aleutian Islands","All Sectors","Pacific Cod","2007",171714,158613612
"Bering Sea and Aleutian Islands","Catcher Processors","Pacific Cod","2007",121016,108573366
"Gulf of Alaska","All Sectors","Other Groundfish","2008",2414,2155624
"Gulf of Alaska","Catcher Processors","Other Groundfish","2008",256,139553
"Gulf of Alaska","Catcher Vessels","Other Groundfish","2008",2157,2016072
"All Alaska","All Sectors","Pacific Cod","2008",224356,245099679
"All Alaska","Catcher Processors","Pacific Cod","2008",123931,125484113
"All Alaska","Catcher Vessels","Pacific Cod","2008",100425,119615566
"Bering Sea and Aleutian Islands","All Sectors","Pacific Cod","2008",168651,180657105
"Bering Sea and Aleutian Islands","Catcher Processors","Pacific Cod","2008",117996,117840252
"Gulf of Alaska","All Sectors","Flatfish","2008",34818,10560211
"Gulf of Alaska","Catcher Processors","Flatfish","2008",8566,2704139
"Gulf of Alaska","Catcher Vessels","Flatfish","2008",26251,7856073
"All Alaska","All Sectors","Other Groundfish","2008",11274,6614370
"All Alaska","Catcher Processors","Other Groundfish","2008",7311,4374565
"All Alaska","Catcher Vessels","Other Groundfish","2008",3963,2239805
"Bering Sea and Aleutian Islands","All Sectors","Other Groundfish","2008",8861,4458745
"Bering Sea and Aleutian Islands","Catcher Processors","Other Groundfish","2008",7055,4235012
"Bering Sea and Aleutian Islands","Catcher Vessels","Atka Mackerel","2008",16,6003
"Gulf of Alaska","All Sectors","Atka Mackerel","2008",782,336850
"Gulf of Alaska","Catcher Processors","Atka Mackerel","2008",782,336547
"Gulf of Alaska","Catcher Vessels","Atka Mackerel","2008",1,303
"All Alaska","All Sectors","Flatfish","2008",268004,98324140
"All Alaska","Catcher Processors","Flatfish","2008",238095,88769093
"All Alaska","Catcher Vessels","Flatfish","2008",29908,9555047
"Bering Sea and Aleutian Islands","All Sectors","Flatfish","2008",233186,87763928
"Bering Sea and Aleutian Islands","Catcher Processors","Flatfish","2008",229529,86064954
