"rowid","year","comm_name_orig","January","February","March","April","May","June","July","August","September","October","November","December","Landings","extra1"
28,2000,"Grouper, broomtail","0","0","0","0","0","0","0","3","0","0","0","0","3",NA
29,2000,"Grunion, California","0","0","0","0","0","0","0","0","0","0","73","0","73",NA
30,2000,"Guitarfish, shovelnose","1,644","2,194","2,553","2,348","1,713","772","544","687","1,182","3,641","1,747","1,407","20,432",NA
31,2000,"Hagfishes","0","0","0","0","0","0","0","0","0","22","0","47","69",NA
32,2000,"Halfmoon","17","70","378","271","88","189","24","55","314","11","9","39","1,464",NA
33,2000,"Halibut, California","62,394","134,018","100,994","89,146","38,986","113,069","111,998","58,474","25,112","29,196","31,408","52,726","847,521",NA
34,2000,"Halibut, Pacific","0","0","0","0","0","0","289","0","0","0","0","0","289",NA
35,2000,"Halibut, unspecified","6,218","32","195","276","334","313","506","0","0","0","230","12","8,115",NA
36,2000,"Herring, Pacific - roe on kelp","137,257","48,269","3,331","218","0","0","0","0","0","0","1,065","667","190,807",NA
37,2000,"Herring, Pacific - roe","4,650,329","1,287,375","401,217","327","0","0","78","0","0","0","35,501","1,230,155","7,604,982",NA
38,2000,"Herring, Pacific","0","13","0","0","0","9,295","47,110","0","0","0","0","0","56,418",NA
39,2000,"Herring, round","0","0","56,430","37,109","0","0","0","0","0","0","0","0","93,539",NA
40,2000,"Jacksmelt","41","0","192","2,171","1,160","1,078","1,335","3,182","4,016","1,466","798","564","16,003",NA
41,2000,"Kelpfishes","0","0","0","0","0","0","0","190","0","0","0","0","190",NA
42,2000,"Lingcod","243","0","182","38","16,945","24,938","37,242","13,978","15,778","12,478","661","21","122,503",NA
43,2000,"Lizardfish, California","59","47","102","107","568","5","144","1","16","1","32","7","1,089",NA
44,2000,"Louvar","401","0","0","0","0","188","0","408","2,063","1,963","269","61","5,352",NA
45,2000,"Mackerel, Pacific","203,628","496,976","936,185","328,597","281,415","4,736,932","13,807,142","11,465,297","12,219,728","3,427,223","130,981","282,695","48,316,798",NA
46,2000,"Mackerel, bullet","471","0","0","0","0","0","0","0","0","0","0","0","471",NA
47,2000,"Mackerel, jack","77,680","212,069","240,916","205,809","233,125","1,254,405","121,094","27,866","14,072","124,669","102,853","183,954","2,798,511",NA
48,2000,"Mackerel, unspecified","0","0","0","0","0","8","0","0","0","0","473","0","481",NA
49,2000,"Midshipman, plainfin","30","0","5","0","0","0","0","0","0","0","0","25","60",NA
50,2000,"Mudsucker, longjaw","0","0","0","0","0","0","0","0","0","0","5","0","5",NA
51,2000,"Mullet, striped","0","142","0","0","19","0","0","0","0","0","0","0","161",NA
52,2000,"Oilfish","0","0","0","0","0","0","55","0","543","577","1,159","620","2,954",NA
53,2000,"Opah","38,057","120","95","0","2,207","2,080","521","6,263","16,463","18,981","13,686","28,750","127,223",NA
54,2000,"Opaleye","1,214","2,239","2,254","260","528","128","516","93","100","46","1","2","7,381",NA
55,2000,"Queenfish","30","0","0","0","71","0","390","3","122","0","0","255","871",NA
56,2000,"Ratfish, spotted","0","181","0","0","0","0","0","0","0","0","0","0","181",NA
57,2000,"Ray, Pacific electric","15","106","10","0","31","0","10","270","60","120","0","45","667",NA
58,2000,"Ray, bat","0","0","0","0","220","297","315","162","289","0","0","29","1,312",NA
59,2000,"Ray, unspecified","0","0","0","245","0","8","0","0","0","112","515","250","1,130",NA
60,2000,"Rockfish, China","574","145","318","435","927","1,345","2,058","2,067","1,967","1,177","766","568","12,350",NA
61,2000,"Rockfish, Pacific ocean perch","124","18","92","1,004","1,104","514","2,994","0","1,288","22","0","0","7,160",NA
62,2000,"Rockfish, aurora","70","0","925","122","101","41","54","37","75","18","0","81","1,524",NA
63,2000,"Rockfish, bank","9,712","2,756","735","4,012","5,182","22,274","3,726","18,694","16,667","41,455","32,339","22,874","180,425",NA
64,2000,"Rockfish, black-and-yellow","1,413","373","713","1,161","2,581","5,238","5,331","6,227","3,888","1,844","1,547","1,680","31,997",NA
65,2000,"Rockfish, black","3,146","1,348","2,032","3,517","7,247","9,961","15,923","17,300","22,645","12,988","11,314","3,182","110,603",NA
66,2000,"Rockfish, blackgill","5,717","3,350","6,670","9,614","4,368","7,412","8,216","14,956","7,940","7,392","13,647","9,812","99,094",NA
67,2000,"Rockfish, blue","183","410","136","288","761","721","1,790","2,167","3,524","2,859","1,625","3,314","17,777",NA
68,2000,"Rockfish, bocaccio","1,893","477","2,055","4,770","6,083","8,803","4,735","4,463","6,309","6,449","4,386","4,211","54,632",NA
69,2000,"Rockfish, bronzespotted","0","0","0","12","0","0","37","0","0","12","0","0","61",NA
70,2000,"Rockfish, brown","235","173","872","2,411","1,348","2,463","3,343","3,293","2,523","2,627","3,276","6,514","29,078",NA
71,2000,"Rockfish, canary","430","445","439","3,064","2,142","4,139","6,591","5,401","6,012","3,665","1,899","1,237","35,463",NA
72,2000,"Rockfish, chilipepper","44,580","18,952","83,441","111,186","60,609","116,281","52,015","103,845","112,044","79,637","104,321","91,304","978,216",NA
73,2000,"Rockfish, copper","796","184","763","591","1,759","3,015","2,341","2,823","2,499","2,849","1,743","2,604","21,967",NA
74,2000,"Rockfish, cowcod","48","69","49","145","118","224","171","314","283","118","21","62","1,622",NA
75,2000,"Rockfish, darkblotched","5,181","1,210","3,049","4,748","6,425","2,734","214","573","630","0","359","0","25,124",NA
76,2000,"Rockfish, flag","0","27","0","3","15","9","1","6","0","169","36","15","279",NA
77,2000,"Rockfish, gopher","3,316","824","3,189","3,617","4,881","8,806","6,657","10,628","8,004","7,179","9,167","11,622","77,890",NA
78,2000,"Rockfish, grass","763","408","1,701","3,847","4,177","7,194","8,536","13,975","10,164","4,736","3,237","4,057","62,794",NA
79,2000,"Rockfish, greenblotched","0","0","0","0","0","0","79","115","0","138","0","145","477",NA
80,2000,"Rockfish, greenspotted","265","49","301","4","991","1,258","1,242","931","608","507","57","264","6,478",NA
81,2000,"Rockfish, greenstriped","25","0","232","347","24","264","26","13","32","0","9","14","986",NA
82,2000,"Rockfish, group black/blue","0","0","0","0","0","0","0","48","0","0","0","0","48",NA
83,2000,"Rockfish, group bolina","1,439","808","798","482","1,167","7,901","4,331","13,749","7,491","7,107","9,953","12,224","67,449",NA
84,2000,"Rockfish, group canary/vermili","0","0","0","0","0","0","0","0","0","0","18","5","23",NA
85,2000,"Rockfish, group deepwater reds","15","0","20","0","38","180","0","0","0","0","0","18","271",NA
86,2000,"Rockfish, group gopher","748","597","46","38","297","940","1,291","3,834","2,230","1,068","381","590","12,059",NA
87,2000,"Rockfish, group nearshore","93","186","155","68","32","605","1,203","1,369","1,398","1,111","170","358","6,748",NA
88,2000,"Rockfish, group red","1,304","881","1,756","2,977","5,257","5,068","3,618","3,147","3,560","3,530","4,547","4,666","40,312",NA
89,2000,"Rockfish, group rosefish","22,041","10,901","6,950","14,613","12,065","15,600","5,663","18,831","28,533","15,166","26,659","11,569","188,591",NA
90,2000,"Rockfish, group shelf","224","10","846","2,047","9,619","9,131","4,546","6,148","3,389","3,519","2,602","964","43,043",NA
91,2000,"Rockfish, group slope","9,082","11,270","2,935","30,965","37,408","31,819","68,089","57,357","68,951","30,652","59,050","21,733","429,310",NA
92,2000,"Rockfish, group small","120","40","1,020","1,383","3,045","2,259","2,477","298","1,083","312","237","107","12,382",NA
93,2000,"Rockfish, kelp","126","49","123","128","160","239","326","358","240","101","158","210","2,218",NA
94,2000,"Rockfish, olive","0","0","328","0","88","367","333","604","157","95","72","143","2,186",NA
95,2000,"Rockfish, quillback","546","33","272","335","653","779","972","1,271","4,068","2,771","856","1,298","13,852",NA
96,2000,"Rockfish, redbanded","671","0","24","48","317","178","189","922","2,306","3,364","26","2,099","10,143",NA
97,2000,"Rockfish, rosethorn","0","0","15","0","23","27","20","9","52","83","0","58","286",NA
98,2000,"Rockfish, rosy","0","0","0","100","0","13","65","0","4","0","115","0","297",NA
99,2000,"Rockfish, shortbelly","0","0","0","3,640","4","5,066","0","0","0","0","0","0","8,710",NA
100,2000,"Rockfish, speckled","0","0","0","0","0","4","0","39","0","0","173","8","224",NA
101,2000,"Rockfish, splitnose","7,821","397","1,449","18,349","6,722","4,007","892","511","1,724","546","5,864","2,586","50,868",NA
102,2000,"Rockfish, starry","33","0","14","19","10","38","22","16","1","0","150","32","334",NA
103,2000,"Rockfish, stripetail","0","0","0","0","0","0","0","0","0","0","15","0","15",NA
104,2000,"Rockfish, swordspine","0","0","0","0","0","1,778","0","0","0","0","0","0","1,778",NA
105,2000,"Rockfish, treefish","0","1","176","254","270","654","690","473","457","235","202","308","3,720",NA
106,2000,"Rockfish, unspecified","1,595","4,010","2,555","5,176","2,659","4,717","3,450","10,612","7,438","2,147","2,625","3,564","50,549",NA
107,2000,"Rockfish, vermilion","1,313","511","637","569","1,787","2,278","3,103","2,664","3,670","2,149","1,812","2,358","22,851",NA
108,2000,"Rockfish, widow","97,320","45,537","159,382","122,271","49,589","131,410","145,636","125,204","243,679","265,120","181,626","42,457","1,609,230",NA
109,2000,"Rockfish, yelloweye","145","76","150","178","665","906","603","1,108","2,077","767","367","239","7,278",NA
110,2000,"Rockfish, yellowtail","358","404","174","520","27,075","28,684","18,916","5,673","16,487","9,626","1,197","1,552","110,665",NA
111,2000,"Sablefish","132,660","104,917","173,017","239,687","192,841","292,345","387,621","993,752","422,148","383,571","460,850","352,656","4,136,065",NA
112,2000,"Salmon, Chinook","0","0","0","0","1,889,484","1,535,869","585,850","342,439","775,337","8,945","0","0","5,137,923",NA
113,2000,"Salmon, Roe (Chinook, Coho)","0","0","0","0","0","1","21","101","185","0","0","1,260","1,567",NA
114,2000,"Salmon","0","0","0","0","171","0","165","0","221","0","0","0","557",NA
115,2000,"Sanddab, Pacific","0","4,311","0","0","0","0","2,987","3,014","100","0","0","34","10,446",NA
116,2000,"Sanddab","68,458","17,902","96,195","105,645","75,730","154,033","155,363","284,465","212,060","285,241","124,006","52,100","1,631,198",NA
117,2000,"Sardine, Pacific","13,872,554","18,428,692","21,744,435","8,784,292","4,354,590","2,920,979","3,770,973","6,348,966","11,738,897","9,875,772","5,217,641","11,135,164","118,192,953",NA
118,2000,"Scorpionfish, California","1,110","281","2,740","2,069","2,307","5,920","6,183","3,507","1,372","2,651","4,260","8,853","41,252",NA
119,2000,"Sculpin, staghorn","314","44","14","86","249","168","50","289","1,006","1,112","429","454","4,216",NA
120,2000,"Seabass, white","4,386","10,574","5,609","306","381","92,261","58,368","24,356","5,638","8,016","4,938","2,736","217,569",NA
121,2000,"Shad, American","0","0","0","0","0","0","0","2","0","0","4","0","6",NA
122,2000,"Shad, threadfin","5,391","0","0","0","0","18","598","2,717","7,488","8,229","13,384","14,416","52,241",NA
123,2000,"Shark, Pacific angel","7,363","6,399","3,419","2,369","1,414","2,311","1,166","1,058","911","3,622","1,500","5,886","37,417",NA
124,2000,"Shark, basking","0","0","0","0","76","0","0","0","0","0","0","0","76",NA
125,2000,"Shark, bigeye thresher","155","0","0","0","2,001","1,162","797","238","233","849","0","503","5,938",NA
126,2000,"Shark, blue","0","0","0","73","0","27","58","144","0","82","0","0","384",NA
127,2000,"Shark, brown smoothhound","329","174","431","126","137","443","65","418","95","131","1,433","773","4,554",NA
128,2000,"Shark, dusky","0","0","371","0","0","0","0","0","0","0","0","0","371",NA
129,2000,"Shark, gray smoothhound","0","650","33","0","30","25","3","44","0","56","52","0","893",NA
130,2000,"Shark, horn","0","21","0","0","0","0","0","0","0","44","0","0","65",NA
131,2000,"Shark, leopard","1,119","1,422","1,677","2,878","3,258","2,075","3,013","2,461","1,556","1,309","841","1,492","23,100",NA
132,2000,"Shark, pelagic thresher","0","0","70","0","18","7","0","85","745","2,331","788","161","4,205",NA
133,2000,"Shark, sevengill","4","0","7","12","7","0","0","10","0","0","0","0","40",NA
134,2000,"Shark, shortfin mako","6,690","964","1,527","349","419","8,019","19,454","14,938","20,897","23,996","13,867","10,504","121,624",NA
135,2000,"Shark, sixgill","0","0","0","0","0","0","15","0","0","0","0","0","15",NA
136,2000,"Shark, smooth hammerhead","0","0","0","0","0","50","0","0","0","0","0","0","50",NA
137,2000,"Shark, soupfin","4,451","4,072","1,963","2,377","3,554","11,645","9,143","6,776","2,942","1,188","5,327","5,025","58,462",NA
138,2000,"Shark, spiny dogfish","6,209","1,863","512","482","2,291","1,942","2,396","11,327","3,203","0","538","822","31,584",NA
139,2000,"Shark, thresher","29,126","3,219","86","743","78,254","38,652","45,240","13,526","14,412","11,996","41,310","48,850","325,414",NA
140,2000,"Shark, unspecified","773","157","1,151","4,621","550","667","18","527","536","76","1,555","1,085","11,716",NA
141,2000,"Shark, white","0","0","0","0","0","88","61","0","0","0","1,700","0","1,849",NA
142,2000,"Sharks, cow","0","0","0","75","0","0","80","30","0","188","0","0","373",NA
143,2000,"Sheephead, California","12,522","1,689","13,814","19,594","9,569","23,650","14,243","16,300","21,048","9,767","16,848","14,570","173,615",NA
144,2000,"Silversides","0","0","0","0","0","0","0","0","5","0","0","232","237",NA
145,2000,"Skate, California","1,779","0","0","0","0","0","0","0","0","0","0","3","1,782",NA
146,2000,"Skate, big","0","0","0","19","0","0","0","0","0","0","0","0","19",NA
147,2000,"Skate, unspecified","95,903","79,860","42,411","158,659","153,826","127,867","161,101","123,495","159,678","84,657","48,213","36,024","1,271,691",NA
148,2000,"Smelt, night","376","31,491","133,293","162,655","113,878","63,538","50,927","24,295","599","0","0","0","581,052",NA
149,2000,"Smelt, surf","0","748","2,728","15,550","45,677","69,350","78,888","12,209","2,089","1,558","7","0","228,804",NA
150,2000,"Smelts, true","0","0","0","180","0","9","0","2","0","200","0","0","391",NA
151,2000,"Sole, Dover","553,209","442,557","633,894","1,213,180","402,644","546,587","698,917","453,413","845,355","359,366","670,608","487,483","7,307,213",NA
152,2000,"Sole, English","22,580","11,582","25,606","95,429","46,977","61,299","59,366","88,099","94,090","94,559","47,699","28,052","675,338",NA
153,2000,"Sole, bigmouth","0","0","4","0","0","143","0","0","0","0","0","0","147",NA
154,2000,"Sole, butter","0","0","0","0","0","0","0","0","0","0","50","0","50",NA
155,2000,"Sole, fantail","0","0","0","65","264","0","155","8","0","36","0","107","635",NA
156,2000,"Sole, petrale","427,779","136,767","27,728","139,083","56,903","49,851","52,462","84,392","58,655","63,243","78,512","235,663","1,411,037",NA
157,2000,"Sole, rex","60,608","37,348","34,802","56,489","26,798","32,275","45,430","40,659","53,163","30,289","42,346","41,211","501,417",NA
158,2000,"Sole, rock","1,386","658","1,225","1,442","3,202","3,279","865","330","1,034","553","1,142","1,427","16,542",NA
159,2000,"Sole, sand","7,047","8,417","4,549","6,062","2,832","22,421","6,576","4,631","1,858","8,020","4,601","7,204","84,218",NA
160,2000,"Sole, unspecified","1,472","1,254","2,151","3,181","2,060","2,700","1,841","1,175","1,093","4,159","4,120","4,086","29,292",NA
161,2000,"Stickleback, threespine","9","13","13","6","7","11","7","9","16","9","12","12","123",NA
162,2000,"Stingray","0","0","0","0","0","0","0","0","0","0","300","178","478",NA
163,2000,"Surfperch, barred","2,152","440","970","2,991","0","0","277","396","552","514","457","744","9,493",NA
164,2000,"Surfperch, black","0","114","311","173","0","0","0","233","29","52","123","96","1,131",NA
165,2000,"Surfperch, pile","108","124","10","156","0","0","0","0","0","0","0","0","398",NA
166,2000,"Surfperch, rainbow","4","1","0","20","2","2","15","0","0","1","0","4","48",NA
167,2000,"Surfperch, redtail","1,873","367","679","4,081","0","0","8,553","8,040","2,860","543","96","601","27,692",NA
168,2000,"Surfperch, rubberlip","181","55","57","14","0","1,163","236","0","0","20","0","0","1,726",NA
169,2000,"Surfperch, shiner","0","0","0","0","0","0","0","82","0","0","0","0","82",NA
170,2000,"Surfperch, unspecified","1,038","384","2,670","2,131","171","75","347","637","1,162","660","1,979","1,488","12,741",NA
171,2000,"Surfperch, walleye","0","0","36","0","0","0","0","0","0","0","0","0","36",NA
172,2000,"Surfperch, white","500","632","101","1,656","0","0","0","0","0","0","0","0","2,888",NA
173,2000,"Swordfish","640,443","368,435","100,920","0","6,813","27,572","31,158","65,998","335,947","744,458","777,361","949,081","4,048,187",NA
174,2000,"Thornyhead, longspine","237,238","188,445","217,059","340,410","84,613","86,072","122,609","85,159","160,980","68,492","206,690","166,264","1,964,031",NA
175,2000,"Thornyhead, shortspine","96,516","56,011","69,584","95,790","34,017","28,308","45,199","35,780","49,451","20,871","68,811","47,556","647,893",NA
176,2000,"Thornyheads","5,584","1,981","36,954","8,467","11,819","11,498","9,937","8,559","12,687","5,242","32,938","30,121","175,785",NA
177,2000,"Tomcod, Pacific","0","0","0","0","0","0","0","0","32","41","0","0","73",NA
178,2000,"Topsmelt","0","0","0","0","0","0","220","60","80","621","0","0","981",NA
179,2000,"Triggerfish","0","0","0","0","3","0","0","0","0","0","0","0","3",NA
180,2000,"Tuna, albacore","11,000","2,119","675","0","145","74,019","311,361","149,083","1,545,410","1,894,060","127,607","35,207","4,150,686",NA
181,2000,"Tuna, bigeye","45,361","32,281","13,695","0","3,296","5,030","656","981","26,590","17,725","6,701","4,720","157,035",NA
182,2000,"Tuna, bluefin","12,777","1,839","293","0","0","77,412","333,064","149,061","32,222","22,901","34,485","15,170","679,223",NA
183,2000,"Tuna, skipjack, black","0","0","0","0","0","0","0","0","0","53","0","0","53",NA
184,2000,"Tuna, skipjack","0","314,630","83,118","1,221,202","0","496","0","724","9,248","1,253","0","88,888","1,719,559",NA
185,2000,"Tuna, unspecified","185","0","0","0","0","0","0","800","121","649","0","223","1,978",NA
186,2000,"Tuna, yellowfin","130,585","198,017","58,178","1,214,857","62,665","873","27,217","254,084","417,569","97,593","317","92,427","2,554,382",NA
187,2000,"Turbot","160","115","442","295","235","251","536","640","357","960","386","90","4,467",NA
188,2000,"Wahoo","0","0","0","0","0","213","27","0","222","0","0","0","462",NA
189,2000,"Whitefish, ocean","1,038","252","1,065","960","568","720","699","407","874","1,036","514","853","8,986",NA
190,2000,"Whiting, Pacific","5","0","20","888,142","6,119,297","3,500,977","478,759","2,118","424","2,524","48","191","10,992,504",NA
191,2000,"Yellowtail","259","2,377","264","1,593","2,512","16,734","32,744","30,470","10,154","12,267","386","300","110,060",NA
192,2000,"rustaceans","","","","","","","","","","","","","",NA
193,2000,"Crab, Dungeness","1,134,167","459,726","194,987","236,655","118,226","57,055","11,569","514","0","400","684,420","3,595,191","6,492,910",NA
194,2000,"Crab, box","37","19","467","1,198","37","533","63","97","0","27","67","446","2,991",NA
195,2000,"Crab, claws","354","69","49","309","116","152","100","191","34","46","124","165","1,707",NA
196,2000,"Crab, king","0","0","27","213","175","197","181","268","167","0","0","0","1,228",NA
197,2000,"Crab, pelagic red","0","0","0","0","0","0","0","0","0","10","0","0","10",NA
198,2000,"Crab, red rock","100","60","10","0","110","396","2","0","0","400","0","0","1,077",NA
199,2000,"Crab, rock unspecified","59,166","70,188","110,189","96,063","97,516","106,218","119,212","108,028","102,119","73,685","62,798","83,512","1,088,695",NA
200,2000,"Crab, sand","0","0","0","2","11","3","5","6","4","0","0","0","31",NA
201,2000,"Crab, shore","0","0","0","0","9","0","0","0","0","0","0","0","9",NA
202,2000,"Crab, spider","4,560","4,269","4,350","1,699","1,628","4,523","5,555","7,032","5,846","4,351","6,068","6,130","56,010",NA
203,2000,"Crab, tanner","0","0","22","0","0","0","0","0","0","0","0","0","22",NA
204,2000,"Crab, yellow rock","27","0","120","70","0","0","0","3","0","1,118","0","0","1,338",NA
205,2000,"Crayfish, red swamp","0","0","0","0","0","0","0","150","2,341","0","0","0","2,491",NA
206,2000,"Crayfish, signal","30","22","0","0","0","0","0","0","0","0","0","0","52",NA
207,2000,"Crayfish, unspecified","395","385","160","435","3,837","4,846","3,645","58,867","9,139","6,141","739","2,374","90,963",NA
208,2000,"Crustacean, unspecified","9","0","0","33","0","30","0","2","0","2","0","4","79",NA
209,2000,"Lobster, California spiny","68,059","66,139","33,419","64","0","427","0","107","0","306,090","139,440","91,960","705,704",NA
210,2000,"Prawn, ridgeback","252,907","140,542","191,581","214,679","158,804","1,399","873","222","785","260,610","182,303","160,302","1,565,009",NA
211,2000,"Prawn, spot","38,449","47,260","45,985","36,241","36,661","51,385","32,893","50,015","47,185","50,789","5,496","4,764","447,124",NA
212,2000,"Shrimp, bay","7,027","3,288","791","3,391","8,012","4,862","6,298","9,609","11,016","11,400","11,398","14,655","91,747",NA
213,2000,"Shrimp, brine","10,811","29,001","49,153","84,046","124,019","214,752","194,348","189,389","149,741","55,673","15,720","12,150","1,128,803",NA
214,2000,"Shrimp, coonstriped","120","0","8","0","6,420","19,371","17,941","17,912","12,117","11,744","735","0","86,369",NA
215,2000,"Shrimp, ghost","9","18","20","21","31","36","149","25","13","8","6","6","343",NA
216,2000,"Shrimp, mantis","241","231","970","1,325","1,480","248","11","0","0","13","102","720","5,342",NA
217,2000,"Shrimp, ocean (pink)","230","0","0","301,805","243,763","515,735","306,868","975,565","41,009","74,066","16","38","2,459,095",NA
218,2000,"Shrimp, unspecified","0","0","0","0","0","0","0","0","0","0","0","30","30",NA
219,2000,"chinoderms","","","","","","","","","","","","","",NA
220,2000,"Bryozoan","0","0","0","0","0","0","0","0","0","30","60","0","90",NA
221,2000,"Echinoderm, unspecified","0","5","0","0","20","0","10","10","80","0","0","0","125",NA
222,2000,"Sand dollar","0","0","30","0","0","0","0","0","0","27","5","0","62",NA
223,2000,"Sea cucumber, unspecified","6,193","17,591","74,863","75,555","71,360","201,048","89,468","76,903","17,994","3,186","4,015","4,284","642,459",NA
224,2000,"Sea stars","0","5","2","25","11","50","10","25","0","0","1","0","129",NA
225,2000,"Sea urchin, purple","5,122","1,041","1,702","246","450","1,736","1,161","210","150","12,485","6,219","5,737","36,259",NA
226,2000,"Sea urchin, red","1,614,643","408,268","929,990","1,463,892","1,116,282","1,119,269","365,625","1,411,647","1,462,842","1,658,487","1,665,044","1,950,165","15,166,155",NA
227,2000,"Sea urchin, white","0","0","0","55","210","155","905","993","825","40","0","0","3,183",NA
228,2000,"ollusks","","","","","","","","","","","","","",NA
229,2000,"Abalone, black","0","0","0","0","0","0","0","0","0","0","2","0","2",NA
230,2000,"Chiton, unspecified","0","0","0","0","0","0","0","0","0","0","0","2","2",NA
231,2000,"Clam, California jackknife","68","49","75","0","85","71","59","148","113","45","52","34","799",NA
232,2000,"Clam, rosy razor","0","3","0","0","0","0","0","0","0","0","0","0","3",NA
233,2000,"Clam, unspecified","0","0","26","105","0","0","0","0","0","0","0","31","162",NA
234,2000,"Limpet, unspecified","80","70","248","130","164  90",NA,"160","150","100","21","150","60","1,422",NA
235,2000,"Mussel","720","502","445","820","373  48",NA,"228","614","528","300","25","0","4,603",NA
236,2000,"Octopus, unspecified","313","228","493","337","131  64",NA,"99","749","814","625","243","411","4,505",NA
237,2000,"Sea hare","635","301","725","520","397  560",NA,"417","410","525","375","390","245","5,500",NA
238,2000,"Sea slug","0","0","0","0","0  0",NA,"0","25","0","0","0","0","25",NA
239,2000,"Snail, bubble","5","10","32","0","20  30",NA,"15","10","0","18","0","0","140",NA
240,2000,"Snail, sea","48","479","471","580","0  224",NA,"82","130","66","0","0","0","2,080",NA
241,2000,"Snail, top","1,352","4","2,128","2,763","1,480  6,532",NA,"6,384","1,015","2,519","457","1,355","164","26,153",NA
242,2000,"Snails, moon","452","1","62","71","0  0",NA,"2","0","304","55","70","215","1,231",NA
243,2000,"Squid, jumbo","3","0","0","365","71  0",NA,"0","0","586","0","0","0","1,025",NA
244,2000,"Squid, market","42,813,245","20,350,632","5,680,659","12,558,989","13,059,556  7,936,857",NA,"5,397,885","2,268,049","4,409,020","24,804,516","61,444,557","61,216,603","261,940,567",NA
245,2000,"Whelk, Kellet's","3,571","2,417","4,716","2,385","1,953  2,274",NA,"2,777","4,861","3,294","2,325","5,223","6,922","42,716",NA
246,2000,"lants","","","","","",NA,"","","","","","","",NA
247,2000,"Algae, marine","0","2","0","0","0  30",NA,"0","0","0","0","0","0","32",NA
248,2000,"Kelp","0","0","0","0","700  0",NA,"800","0","0","70","50","0","1,620",NA
249,2000,"orms","","","","","",NA,"","","","","","","",NA
250,2000,"Invertebrate Unspecified","0","0","40","0","0  5",NA,"100","0","0","30","55","0","230",NA
251,2000,"Invertebrates, colonial","102","151","37","131","75  4",NA,"75","1","83","105","125","25","914",NA
252,2000,"Sea pansy","0","0","1","0","0  0",NA,"0","0","0","0","0","0","1",NA
253,2000,"Tunicates","11","0","2","0","0  6",NA,"10","29","2","0","0","0","60",NA
254,2000,"Worms, marine","0","17","13","35","31  400",NA,"4","4","6","8","7","5","529",NA
255,2000,"Total Pounds:","71,026,545","45,903,854","34,844,121","33,657,288","31,458,188  29,264,508",NA,"29,987,345","27,868,434","36,917,555","46,440,616","80,728,664","85,730,871","553,827,990",NA
256,2001,"hes",NA,"","","","","","","","","","","","",""
