"year","filename","port","species","landings","value"
2017,"Table 17PUB.pdf","San Francisco","Sole, petrale",56515,54333
2017,"Table 17PUB.pdf","San Francisco","Lingcod",16522,53745
2017,"Table 17PUB.pdf","San Francisco","Rockfish, brown",7229,48263
2017,"Table 17PUB.pdf","San Francisco","Rockfish, bocaccio",79818,30605
2017,"Table 17PUB.pdf","San Francisco","Rockfish, gopher",2818,20919
2017,"Table 17PUB.pdf","San Francisco","Shrimp, bay",2767,19740
2017,"Table 17PUB.pdf","San Francisco","Tuna, albacore",6490,17174
2017,"Table 17PUB.pdf","San Francisco","Crab, rock unspecified",4969,16439
2017,"Table 17PUB.pdf","San Francisco","Shark, shortfin mako",15312,15223
2017,"Table 17PUB.pdf","San Francisco","Herring, Pacific - roe",74418,14884
2017,"Table 17PUB.pdf","San Francisco","Seabass, white",2680,13124
2017,"Table 17PUB.pdf","San Francisco","Sole, sand",9376,9602
2017,"Table 17PUB.pdf","San Francisco","Sole, Dover",14616,6182
2017,"Table 17PUB.pdf","San Francisco","Rockfish, bank",10146,6003
2017,"Table 17PUB.pdf","San Francisco","Shark, pelagic thresher",5805,5805
2017,"Table 17PUB.pdf","San Francisco","Thornyheads",650,4878
2017,"Table 17PUB.pdf","San Francisco","Dolphin (fish)",3878,4850
2017,"Table 17PUB.pdf","San Francisco","Rockfish, China",583,4492
2017,"Table 17PUB.pdf","San Francisco","Greenling, kelp",1312,4345
2017,"Table 17PUB.pdf","San Francisco","Rockfish, blackgill",3416,4311
2017,"Table 17PUB.pdf","San Francisco","Rockfish, copper",549,4048
2017,"Table 17PUB.pdf","San Francisco","Thornyhead, shortspine",2600,3989
2017,"Table 17PUB.pdf","San Francisco","Rockfish, vermilion",1304,3739
2017,"Table 17PUB.pdf","San Francisco","Flounder, starry",3952,3434
2017,"Table 17PUB.pdf","San Francisco","Rockfish, canary",1653,3397
2017,"Table 17PUB.pdf","San Francisco","Seaperch, striped",590,3245
2017,"Table 17PUB.pdf","San Francisco","Yellowtail",537,3220
2017,"Table 17PUB.pdf","San Francisco","Thornyhead, longspine",7812,3124
2017,"Table 17PUB.pdf","San Francisco","Rockfish, splitnose",16517,2627
2017,"Table 17PUB.pdf","San Francisco","Rockfish, yellowtail",1173,2562
2017,"Table 17PUB.pdf","San Francisco","Wahoo",2577,2506
2017,"Table 17PUB.pdf","San Francisco","Fish, unspecified",4063,2216
2017,"Table 17PUB.pdf","San Francisco","Oilfish",3049,2042
2017,"Table 17PUB.pdf","San Francisco","Pomfret",1869,2000
2017,"Table 17PUB.pdf","San Francisco","Rockfish, widow",1419,1736
2017,"Table 17PUB.pdf","San Francisco","Shark, thresher",552,1734
2017,"Table 17PUB.pdf","San Francisco","Sea urchin, red",328,1640
2017,"Table 17PUB.pdf","San Francisco","Surfperch, unspecified",359,1572
2017,"Table 17PUB.pdf","San Francisco","Anchovy, northern",512,1533
2017,"Table 17PUB.pdf","San Francisco","Cabezon",439,1361
2017,"Table 17PUB.pdf","San Francisco","Salmon, Roe (Chinook, Coho)",293,1336
2017,"Table 17PUB.pdf","San Francisco","Rockfish, black",489,1208
2017,"Table 17PUB.pdf","San Francisco","Bonito, Pacific",1006,1068
2017,"Table 17PUB.pdf","San Francisco","Skate, big",2936,1049
2017,"Table 17PUB.pdf","San Francisco","Rockfish, unspecified",416,953
2017,"Table 17PUB.pdf","San Francisco","Sanddab, Pacific",457,856
2017,"Table 17PUB.pdf","San Francisco","Shark, leopard",1006,797
2017,"Table 17PUB.pdf","San Francisco","Skate, unspecified",4773,629
2017,"Table 17PUB.pdf","San Francisco","Skate, longnose",4135,614
2017,"Table 17PUB.pdf","San Francisco","Rockfish, group small",230,518
2017,"Table 17PUB.pdf","San Francisco","Shark, unspecified",410,400
2017,"Table 17PUB.pdf","San Francisco","Crab, brown rock",66,396
2017,"Table 17PUB.pdf","San Francisco","Rockfish, quillback",51,352
2017,"Table 17PUB.pdf","San Francisco","Shark, spiny dogfish",3401,340
2017,"Table 17PUB.pdf","San Francisco","Rockfish, greenspotted",458,323
2017,"Table 17PUB.pdf","San Francisco","Sea hare",32,316
2017,"Table 17PUB.pdf","San Francisco","Rockfish, blue",61,289
2017,"Table 17PUB.pdf","San Francisco","Shark, soupfin",1353,279
2017,"Table 17PUB.pdf","San Francisco","Rockfish, group bolina",29,232
2017,"Table 17PUB.pdf","San Francisco","Rockfish, aurora",1159,232
2017,"Table 17PUB.pdf","San Francisco","Smelt, surf",30,227
2017,"Table 17PUB.pdf","San Francisco","Sole, rex",1007,225
2017,"Table 17PUB.pdf","San Francisco","Midshipman, plainfin",96,188
2017,"Table 17PUB.pdf","San Francisco","Croaker, white",68,154
2017,"Table 17PUB.pdf","San Francisco","Rockfish, rosy",50,146
2017,"Table 17PUB.pdf","San Francisco","Mudsucker, longjaw",67,138
2017,"Table 17PUB.pdf","San Francisco","Prickleback, monkeyface (eel)",12,120
2017,"Table 17PUB.pdf","San Francisco","Eel, wolf (wolf-eel)",32,96
2017,"Table 17PUB.pdf","San Francisco","Sculpin, staghorn",46,95
2017,"Table 17PUB.pdf","San Francisco","Tuna, skipjack",160,80
2017,"Table 17PUB.pdf","San Francisco","Surfperch, barred",7,70
2017,"Table 17PUB.pdf","San Francisco","Rockfish, group slope",70,70
2017,"Table 17PUB.pdf","San Francisco","Rockfish, group shelf",204,51
2017,"Table 17PUB.pdf","San Francisco","Rockfish, starry",16,48
2017,"Table 17PUB.pdf","San Francisco","Sanddab",74,29
2017,"Table 17PUB.pdf","San Francisco","Rockfish, greenstriped",471,27
2017,"Table 17PUB.pdf","San Francisco","Escolar",38,27
2017,"Table 17PUB.pdf","San Francisco","Flounder, unspecified",15,15
2017,"Table 17PUB.pdf","San Francisco","Rockfish, cowcod",163,15
2017,"Table 17PUB.pdf","San Francisco","Mackerel, unspecified",6,13
2017,"Table 17PUB.pdf","San Francisco","Rockfish, redbanded",23,5
2017,"Table 17PUB.pdf","San Francisco","Turbot",204,0
2017,"Table 17PUB.pdf","San Francisco","Rockfish, stripetail",6,0
2017,"Table 17PUB.pdf","San Francisco","Ratfish, spotted",283,0
2017,"Table 17PUB.pdf","San Francisco","Shad, American",17,0
2017,"Table 17PUB.pdf","San Francisco","Mackerel, Pacific",2,0
2017,"Table 17PUB.pdf","San Francisco","Octopus, unspecified",56,0
2017,"Table 17PUB.pdf","San Francisco","Ray, Pacific electric",268,0
2017,"Table 17PUB.pdf","San Francisco","Eel",13,0
2017,"Table 17PUB.pdf","San Francisco","Rockfish, darkblotched",4,0
2017,"Table 17PUB.pdf","San Francisco","Flounder, arrowtooth",547,0
2017,"Table 17PUB.pdf","San Francisco","Whiting, Pacific",4201,0
2017,"Table 17PUB.pdf","San Francisco","Rockfish, shortbelly",32,0
2017,"Table 17PUB.pdf","San Francisco","Crab, box",30,0
2017,"Table 17PUB.pdf","San Francisco","Rockfish, yelloweye",1,0
2017,"Table 17PUB.pdf","San Francisco","Grenadier",100,0
2017,"Table 17PUB.pdf","San Francisco","Sole, English",173,0
2017,"Table 17PUB.pdf","San Francisco","Port Totals:",5072623,14108102
2017,"Table 17PUB.pdf","Princeton-Half Moon","Crab, Dungeness",1644322,6788456
2017,"Table 17PUB.pdf","Princeton-Half Moon","Squid, market",3016876,1508438
2017,"Table 17PUB.pdf","Princeton-Half Moon","Prawn, spot",46133,712692
2017,"Table 17PUB.pdf","Princeton-Half Moon","Salmon, Chinook",67759,696860
2017,"Table 17PUB.pdf","Princeton-Half Moon","Halibut, California",109146,603281
2017,"Table 17PUB.pdf","Princeton-Half Moon","Sablefish",197600,297127
2017,"Table 17PUB.pdf","Princeton-Half Moon","Anchovy, northern",3442583,172129
2017,"Table 17PUB.pdf","Princeton-Half Moon","Sole, petrale",135251,129019
2017,"Table 17PUB.pdf","Princeton-Half Moon","Sea urchin, red",22230,90446
2017,"Table 17PUB.pdf","Princeton-Half Moon","Crab, rock unspecified",23026,63260
2017,"Table 17PUB.pdf","Princeton-Half Moon","Lingcod",10855,25493
2017,"Table 17PUB.pdf","Princeton-Half Moon","Sanddab",50314,25258
2017,"Table 17PUB.pdf","Princeton-Half Moon","Rockfish, chilipepper",29438,15713
2017,"Table 17PUB.pdf","Princeton-Half Moon","Crab, box",7737,15538
2017,"Table 17PUB.pdf","Princeton-Half Moon","Seabass, white",2494,12400
2017,"Table 17PUB.pdf","Princeton-Half Moon","Rockfish, blue",2736,11423
2017,"Table 17PUB.pdf","Princeton-Half Moon","Tuna, albacore",3466,10277
2017,"Table 17PUB.pdf","Princeton-Half Moon","Rockfish, brown",1915,9884
2017,"Table 17PUB.pdf","Princeton-Half Moon","Rockfish, bocaccio",15284,7668
2017,"Table 17PUB.pdf","Princeton-Half Moon","Flounder, starry",6836,6667
2017,"Table 17PUB.pdf","Princeton-Half Moon","Rockfish, canary",1740,5610
2017,"Table 17PUB.pdf","Princeton-Half Moon","Rockfish, vermilion",1074,4655
2017,"Table 17PUB.pdf","Princeton-Half Moon","Sole, sand",3482,3544
2017,"Table 17PUB.pdf","Princeton-Half Moon","Sanddab, Pacific",4309,2232
2017,"Table 17PUB.pdf","Princeton-Half Moon","Salmon, Roe (Chinook, Coho)",229,1890
2017,"Table 17PUB.pdf","Princeton-Half Moon","Thornyhead, shortspine",1256,1884
2017,"Table 17PUB.pdf","Princeton-Half Moon","Rockfish, yellowtail",481,1827
2017,"Table 17PUB.pdf","Princeton-Half Moon","Rockfish, black",332,1353
2017,"Table 17PUB.pdf","Princeton-Half Moon","Sole, English",3842,1335
2017,"Table 17PUB.pdf","Princeton-Half Moon","Skate, unspecified",6334,1147
2017,"Table 17PUB.pdf","Princeton-Half Moon","Prickleback, monkeyface (eel)",114,1142
2017,"Table 17PUB.pdf","Princeton-Half Moon","Turbot",1230,1034
2017,"Table 17PUB.pdf","Princeton-Half Moon","Skate, longnose",3152,529
2017,"Table 17PUB.pdf","Princeton-Half Moon","Rockfish, blackgill",989,468
2017,"Table 17PUB.pdf","Princeton-Half Moon","Sole, rock",649,438
2017,"Table 17PUB.pdf","Princeton-Half Moon","Shrimp, bay",167,430
2017,"Table 17PUB.pdf","Princeton-Half Moon","Rockfish, copper",92,428
2017,"Table 17PUB.pdf","Princeton-Half Moon","Sole, curlfin",520,405
2017,"Table 17PUB.pdf","Princeton-Half Moon","Rockfish, unspecified",107,335
2017,"Table 17PUB.pdf","Princeton-Half Moon","Octopus, unspecified",194,318
2017,"Table 17PUB.pdf","Princeton-Half Moon","Croaker, white",109,223
2017,"Table 17PUB.pdf","Princeton-Half Moon","Rockfish, cowcod",828,206
2017,"Table 17PUB.pdf","Princeton-Half Moon","Flounder, unspecified",185,187
2017,"Table 17PUB.pdf","Princeton-Half Moon","Whiting, Pacific",2173,166
2017,"Table 17PUB.pdf","Princeton-Half Moon","Jacksmelt",50,150
2017,"Table 17PUB.pdf","Princeton-Half Moon","Kelp, giant",10,150
2017,"Table 17PUB.pdf","Princeton-Half Moon","Thornyhead, longspine",153,149
2017,"Table 17PUB.pdf","Princeton-Half Moon","Rockfish, olive",29,121
2017,"Table 17PUB.pdf","Princeton-Half Moon","Crab, red rock",40,120
2017,"Table 17PUB.pdf","Princeton-Half Moon","Rockfish, quillback",24,97
2017,"Table 17PUB.pdf","Princeton-Half Moon","Rockfish, starry",47,88
2017,"Table 17PUB.pdf","Princeton-Half Moon","Rockfish, gopher",29,82
2017,"Table 17PUB.pdf","Princeton-Half Moon","Sole, Dover",251,79
2017,"Table 17PUB.pdf","Princeton-Half Moon","Rockfish, widow",35,76
2017,"Table 17PUB.pdf","Princeton-Half Moon","Skate, big",375,66
2017,"Table 17PUB.pdf","Princeton-Half Moon","Rockfish, greenspotted",109,63
2017,"Table 17PUB.pdf","Princeton-Half Moon","Flounder, arrowtooth",171,61
2017,"Table 17PUB.pdf","Princeton-Half Moon","Smelt, night",47,59
2017,"Table 17PUB.pdf","Princeton-Half Moon","Rockfish, rosy",15,56
2017,"Table 17PUB.pdf","Princeton-Half Moon","Bonito, Pacific",7,50
2017,"Table 17PUB.pdf","Princeton-Half Moon","Thornyheads",6,50
2017,"Table 17PUB.pdf","Princeton-Half Moon","Rockfish, China",13,49
2017,"Table 17PUB.pdf","Princeton-Half Moon","Shark, soupfin",36,36
2017,"Table 17PUB.pdf","Princeton-Half Moon","Greenling, kelp",14,21
