"CRAB_YEAR","AGENCY_CODE","PACFIN_GROUP_PORT_CODE","PORT_DESCRIPTION","NOV_ROUND_WEIGHT_MTONS","NOV_ROUND_WEIGHT_PPP","NOV_EXVESSEL_REVENUE","NOV_CONFIDENTIAL_FLAG","DEC_ROUND_WEIGHT_MTONS","DEC_ROUND_WEIGHT_PPP","DEC_EXVESSEL_REVENUE","DEC_CONFIDENTIAL_FLAG","JAN_ROUND_WEIGHT_MTONS","JAN_ROUND_WEIGHT_PPP","JAN_EXVESSEL_REVENUE","JAN_CONFIDENTIAL_FLAG","FEB_ROUND_WEIGHT_MTONS","FEB_ROUND_WEIGHT_PPP","FEB_EXVESSEL_REVENUE","FEB_CONFIDENTIAL_FLAG","MAR_ROUND_WEIGHT_MTONS","MAR_ROUND_WEIGHT_PPP","MAR_EXVESSEL_REVENUE","MAR_CONFIDENTIAL_FLAG","APR_ROUND_WEIGHT_MTONS","APR_ROUND_WEIGHT_PPP","APR_EXVESSEL_REVENUE","APR_CONFIDENTIAL_FLAG","MAY_ROUND_WEIGHT_MTONS","MAY_ROUND_WEIGHT_PPP","MAY_EXVESSEL_REVENUE","MAY_CONFIDENTIAL_FLAG","JUN_ROUND_WEIGHT_MTONS","JUN_ROUND_WEIGHT_PPP","JUN_EXVESSEL_REVENUE","JUN_CONFIDENTIAL_FLAG","JUL_ROUND_WEIGHT_MTONS","JUL_ROUND_WEIGHT_PPP","JUL_EXVESSEL_REVENUE","JUL_CONFIDENTIAL_FLAG","AUG_ROUND_WEIGHT_MTONS","AUG_ROUND_WEIGHT_PPP","AUG_EXVESSEL_REVENUE","AUG_CONFIDENTIAL_FLAG","SEP_ROUND_WEIGHT_MTONS","SEP_ROUND_WEIGHT_PPP","SEP_EXVESSEL_REVENUE","SEP_CONFIDENTIAL_FLAG","OCT_ROUND_WEIGHT_MTONS","OCT_ROUND_WEIGHT_PPP","OCT_EXVESSEL_REVENUE","OCT_CONFIDENTIAL_FLAG","TOTAL_ROUND_WEIGHT_MTONS","TOTAL_ROUND_WEIGHT_PPP","TOTAL_EXVESSEL_REVENUE","TOTAL_CONFIDENTIAL_FLAG"
"1981","O","BRA","BROOKINGS AREA PORTS",0,0,0,"",0,0,0,"",170.51,.81,305854,"",70.74,1,156458,"",41.57,1.2,109593,"",38.55,1.25,106122,"",18.09,1.25,49806,"",6.18,1.25,17001,"",.78,1.25,2155,"",.56,1.22,1511,"",,,,"*",0,0,0,"",346.99,.98,748499,"*"
"1981","O","CBA","COOS BAY AREA PORTS",0,0,0,"",0,0,0,"",185.37,.84,345204,"",102.66,1.02,229786,"",48.46,1.2,128186,"",48,1.25,132605,"",22.99,1.26,63811,"",9.83,1.29,27893,"",4.76,1.28,13387,"",9.31,1.27,26133,"",7.03,1.31,20241,"",.48,1.26,1336,"",438.91,1.02,988583,""
"1981","O","CLO","COLUMBIA RIVER PORTS (OREGON)",0,0,0,"",0,0,0,"",82.77,.84,153736,"",34.78,1.09,83856,"",29.05,1.09,69874,"",39.72,1.17,102308,"",18.78,1.17,48300,"",8.49,1.2,22522,"",16.79,1.03,38144,"",26.93,1,59511,"",15.58,1,34220,"",0,0,0,"",272.89,1.02,612472,""
"1981","O","NPA","NEWPORT AREA PORTS",0,0,0,"",0,0,0,"",248.33,.84,460526,"",89.81,1.13,223266,"",61.84,1.22,166915,"",57.41,1.28,161602,"",22.62,1.28,64052,"",14.4,1.3,41289,"",9.85,1.29,28080,"",8.02,1.28,22679,"",3.77,1.28,10635,"",1.07,1.44,3395,"",517.13,1.04,1182441,""
"1981","O","TLA","TILLAMOOK AREA PORTS",0,0,0,"",0,0,0,"",45.02,.86,85166,"",14.94,1.07,35335,"",15.63,1.05,36112,"",18.56,1.14,46609,"",13.3,1.15,33772,"",5.57,1.15,14188,"",6.73,1.19,17669,"",9.68,1.04,22298,"",5.41,1,11968,"",,,,"*",134.85,1.02,303119,"*"
"1981","O","XXX","WITHHELD FOR CONFIDENTIALITY**",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",,,,"*",,,,"*",0,0,0,"*"
"1981","W","CLW","COLUMBIA RIVER PORTS (WASHINGTON)",0,0,0,"",0,0,0,"",60.32,.83,110863,"",22.51,1,49816,"",14.27,1.01,31738,"",13.41,1.14,33565,"",11.85,1.23,32187,"",1.15,1.26,3204,"",1.34,1.25,3679,"",,,,"*",,,,"*",0,0,0,"",124.86,.96,265052,"*"
"1981","W","CWA","WASHINGTON COASTAL PORTS",0,0,0,"",0,0,0,"",114.08,.81,203066,"",44.86,.99,97896,"",50.23,1,110391,"",62.35,1.04,143492,"",48.39,1.06,112810,"",41.17,.9,81988,"",56.48,.81,101331,"",99.23,.86,189128,"",75.05,.85,140922,"",0,0,0,"",591.85,.91,1181025,""
"1981","W","NPS","NORTH PUGET SOUND PORTS",0,0,0,"",0,0,0,"",49.96,.69,76087,"",34.37,.75,57048,"",23.53,.79,41007,"",10.17,.82,18475,"",.73,.61,971,"",3.54,.85,6615,"",2.73,.99,5988,"",0,0,0,"",,,,"*",424.47,.84,786484,"",549.51,.82,992673,"*"
"1981","W","SPS","SOUTH PUGET SOUND PORTS",0,0,0,"",0,0,0,"",2.02,.76,3403,"",1.18,.84,2200,"",1.23,.86,2336,"",,,,"*",,,,"*",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",14.89,.86,28230,"",19.32,.85,36170,"*"
"1981","W","XXX","WITHHELD FOR CONFIDENTIALITY**",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",,,,"*",,,,"*",0,0,0,"",0,0,0,"",,,,"*",,,,"*",0,0,0,"",0,0,0,"*"
"1982","C","BDA","BODEGA BAY AREA PORTS",16.6,1.24,45219,"",4.47,1,9845,"",,,,"*",4.9,1.31,14109,"",2.7,1.34,7962,"",1.21,1.34,3576,"",,,,"*",1.16,1.17,2981,"",0,0,0,"",0,0,0,"",0,0,0,"",,,,"*",31.05,1.22,83693,"*"
"1982","C","BGA","FORT BRAGG AREA PORTS",0,0,0,"",66.5,.84,123866,"",24.21,1.02,54214,"",6.72,1.2,17841,"",2.04,1.3,5843,"",1.64,1.38,4989,"",,,,"*",,,,"*",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",101.11,.93,206753,"*"
"1982","C","CCA","CRESCENT CITY AREA PORTS",,,,"*",2328.53,.87,4457524,"",478.24,1.05,1102306,"",220.98,1.21,589093,"",27.1,1.26,75119,"",51.91,1.32,150823,"",11.05,1.39,33894,"",2.35,1.4,7243,"",.37,1.29,1042,"",0,0,0,"",0,0,0,"",0,0,0,"",3120.55,.93,6417046,"*"
"1982","C","ERA","EUREKA AREA PORTS",0,0,0,"",1053.83,.85,1973559,"",155.79,1.04,357391,"",133.1,1.2,352471,"",23.32,1.25,64341,"",64.5,1.37,194412,"",27.55,1.41,85610,"",5.85,1.36,17520,"",.83,1.38,2538,"",,,,"*",0,0,0,"",0,0,0,"",1464.77,.94,3047842,"*"
"1982","C","LAA","LOS ANGELES AREA PORTS",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",,,,"*",0,0,0,"",,,,"*",0,0,0,"*"
"1982","C","MNA","MONTEREY AREA PORTS",,,,"*",,,,"*",,,,"*",,,,"*",,,,"*",,,,"*",,,,"*",,,,"*",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"*"
"1982","C","MRA","MORRO BAY AREA PORTS",.44,.5,483,"",.52,.66,760,"",,,,"*",.45,.92,906,"",.04,1.47,115,"",,,,"*",,,,"*",,,,"*",,,,"*",,,,"*",,,,"*",0,0,0,"",1.44,.71,2264,"*"
"1982","C","SBA","SANTA BARBARA AREA PORTS",0,0,0,"",0,0,0,"",0,0,0,"",,,,"*",0,0,0,"",,,,"*",,,,"*",,,,"*",,,,"*",,,,"*",,,,"*",0,0,0,"",0,0,0,"*"
"1982","C","SFA","SAN FRANCISCO AREA PORTS",38.97,1.25,107200,"",5.73,1.07,13573,"",2.17,1.27,6063,"",2.93,1.36,8777,"",1.4,1.53,4718,"",2.38,1.7,8915,"",1.59,1.8,6329,"",2.13,1.77,8332,"",,,,"*",0,0,0,"",,,,"*",,,,"*",57.3,1.3,163908,"*"
"1982","C","XXX","WITHHELD FOR CONFIDENTIALITY**",,,,"*",,,,"*",3.44,1.13,8561,"",,,,"*",,,,"*",.18,1.44,556,"",3.97,1.36,11923,"",1.7,1.25,4687,"",.2,1.75,782,"",1.97,.81,3514,"",.19,.73,302,"",.59,1.33,1745,"",12.24,1.19,32070,"*"
"1982","O","BRA","BROOKINGS AREA PORTS",0,0,0,"",581.13,.87,1115178,"",161.09,1.03,366969,"",65.87,1.21,175326,"",26.35,1.28,74144,"",34.84,1.32,101700,"",17.78,1.4,54740,"",7.48,1.29,21238,"",2.35,1.3,6700,"",14.27,1.15,36035,"",19.96,1.08,47454,"",63.39,.8,111394,"",994.51,.96,2110878,""
"1982","O","CBA","COOS BAY AREA PORTS",.58,1.14,1448,"",416.29,.9,824157,"",176.71,1.04,405125,"",115.79,1.21,309341,"",52.65,1.28,148664,"",62.5,1.32,182015,"",36,1.36,108015,"",17.98,1.36,54067,"",13.2,1.36,39570,"",37.4,1.3,107224,"",277.7,1.04,639422,"",201.36,.84,374443,"",1408.15,1.03,3193491,""
"1982","O","CLO","COLUMBIA RIVER PORTS (OREGON)",0,0,0,"",140.53,.91,280395,"",40.18,1.02,90545,"",22.57,1.15,57128,"",20.35,1.22,54663,"",27.11,1.3,77663,"",20.89,1.18,54280,"",5.98,1.17,15362,"",4.14,1.13,10296,"",17.34,1.08,41203,"",86.92,.86,164550,"",92.52,.78,159941,"",478.53,.95,1006025,""
"1982","O","NPA","NEWPORT AREA PORTS",,,,"*",284.18,.93,580936,"",128.35,1.04,294789,"",75.95,1.21,203221,"",61.72,1.29,176196,"",56.34,1.33,165526,"",32.17,1.35,95954,"",21.55,1.27,60524,"",22.85,1.29,64778,"",23.33,1.26,64655,"",113.35,1.09,271815,"",149.06,.82,268016,"",968.87,1.05,2246410,"*"
"1982","O","TLA","TILLAMOOK AREA PORTS",,,,"*",22.35,.89,44000,"",7.23,1,15988,"",12.18,1.1,29576,"",9.67,1.21,25737,"",8.4,1.27,23543,"",10.52,1.13,26263,"",9.1,1.11,22349,"",8.66,1.11,21173,"",12.71,1.08,30344,"",7.54,.93,15429,"",10.12,.83,18603,"",118.48,1.05,273004,"*"
"1982","O","XXX","WITHHELD FOR CONFIDENTIALITY**",,,,"*",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"*"
"1982","W","CLW","COLUMBIA RIVER PORTS (WASHINGTON)",0,0,0,"",121.22,.91,242086,"",36.47,1.01,80813,"",,,,"*",,,,"*",8.55,1.27,23971,"",,,,"*",,,,"*",,,,"*",,,,"*",,,,"*",,,,"*",166.24,.95,346870,"*"
"1982","W","CWA","WASHINGTON COASTAL PORTS",0,0,0,"",267.75,.88,520657,"",112.4,1,246811,"",75.34,1.09,181211,"",57.83,1.16,148017,"",46.13,1.17,119138,"",63.5,1.2,167338,"",42.05,1.17,108896,"",29.53,.89,58082,"",83.85,.95,175707,"",140.09,.96,295124,"",0,0,0,"",918.47,1,2020980,""
"1982","W","NPS","NORTH PUGET SOUND PORTS",71.17,.91,142874,"",37.1,.91,74574,"",24.54,.94,51037,"",19.37,1,42676,"",16.47,1.06,38616,"",6.12,1.06,14366,"",1.71,.99,3735,"",6.34,.95,13223,"",,,,"*",,,,"*",,,,"*",372.45,.87,710884,"",555.27,.89,1091986,"*"
"1982","W","SPS","SOUTH PUGET SOUND PORTS",3.59,.9,7091,"",2.69,1.05,6230,"",2.39,1.23,6486,"",2.21,1.25,6099,"",4.41,1.38,13462,"",4.92,1.39,15062,"",,,,"*",,,,"*",0,0,0,"",,,,"*",,,,"*",2.77,1.07,6499,"",22.98,1.2,60928,"*"
"1982","W","XXX","WITHHELD FOR CONFIDENTIALITY**",0,0,0,"",0,0,0,"",0,0,0,"",,,,"*",,,,"*",0,0,0,"",,,,"*",,,,"*",,,,"*",6.99,1.07,16466,"",12.08,1,26573,"",,,,"*",19.07,1.02,43039,"*"
"1983","C","BDA","BODEGA BAY AREA PORTS",96.98,1.33,284888,"",12.36,1.16,31524,"",6.39,1.49,20951,"",3.32,1.56,11382,"",4.52,1.72,17176,"",4.53,1.73,17305,"",2.57,1.75,9954,"",2.88,1.83,11615,"",0,0,0,"",0,0,0,"",,,,"*",0,0,0,"",133.56,1.37,404794,"*"
"1983","C","BGA","FORT BRAGG AREA PORTS",0,0,0,"",32.26,1.07,75842,"",4.91,1.39,15093,"",.92,1.44,2917,"",.84,1.75,3236,"",2.06,1.88,8574,"",1.48,1.75,5730,"",1.13,1.91,4780,"",,,,"*",0,0,0,"",0,0,0,"",0,0,0,"",43.61,1.21,116173,"*"
"1983","C","CCA","CRESCENT CITY AREA PORTS",0,0,0,"",1252.91,1.03,2850457,"",154.8,1.39,474086,"",14.88,1.48,48633,"",52.52,1.67,193863,"",52.66,1.68,194787,"",6.32,1.65,22943,"",1.31,1.68,4863,"",,,,"*",0,0,0,"",0,0,0,"",0,0,0,"",1535.4,1.12,3789631,"*"
"1983","C","ERA","EUREKA AREA PORTS",,,,"*",401.55,1.05,931073,"",75.74,1.36,226851,"",5.02,1.56,17291,"",4.77,1.58,16647,"",54.92,1.57,189589,"",9.38,1.66,34274,"",1.03,1.61,3671,"",0,0,0,"",,,,"*",0,0,0,"",0,0,0,"",552.42,1.17,1419397,"*"
"1983","C","LAA","LOS ANGELES AREA PORTS",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",,,,"*",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"*"
"1983","C","MNA","MONTEREY AREA PORTS",,,,"*",.23,1.81,908,"",,,,"*",.41,1.8,1635,"",.58,1.96,2507,"",.24,2.03,1082,"",,,,"*",,,,"*",0,0,0,"",0,0,0,"",,,,"*",0,0,0,"",1.46,1.91,6132,"*"
"1983","C","MRA","MORRO BAY AREA PORTS",.02,1.04,44,"",.16,.79,278,"",,,,"*",,,,"*",,,,"*",0,0,0,"",.55,.68,830,"",.98,.69,1478,"",,,,"*",,,,"*",2.38,.62,3224,"",,,,"*",4.08,.65,5853,"*"
"1983","C","SBA","SANTA BARBARA AREA PORTS",,,,"*",0,0,0,"",,,,"*",,,,"*",.22,.32,153,"",,,,"*",,,,"*",,,,"*",,,,"*",0,0,0,"",,,,"*",,,,"*",.22,.32,153,"*"
"1983","C","SFA","SAN FRANCISCO AREA PORTS",74.27,1.34,220079,"",14.59,1.19,38259,"",6.42,1.43,20191,"",6.9,1.71,26029,"",14.14,1.95,60941,"",6.25,2.01,27666,"",3.69,1.91,15536,"",1.88,1.99,8289,"",,,,"*",0,0,0,"",,,,"*",,,,"*",128.15,1.48,416990,"*"
"1983","C","XXX","WITHHELD FOR CONFIDENTIALITY**",4.65,1.08,11090,"",0,0,0,"",.33,1.71,1232,"",,,,"*",,,,"*",,,,"*",,,,"*",,,,"*",2.74,1.58,9529,"",,,,"*",.47,1.56,1630,"",1.99,.68,2992,"",10.18,1.18,26471,"*"
"1983","O","BRA","BROOKINGS AREA PORTS",0,0,0,"",242.83,1.05,563097,"",38.66,1.41,120211,"",17.71,1.45,56515,"",21.07,1.55,72049,"",33.8,1.61,119776,"",6.92,1.57,23934,"",3.56,1.39,10907,"",15.8,1.32,46006,"",44.03,1.36,132022,"",46.68,1.33,136769,"",0,0,0,"",471.06,1.23,1281287,""
"1983","O","CBA","COOS BAY AREA PORTS",,,,"*",127,1.05,294807,"",33.85,1.43,106485,"",25.73,1.45,82358,"",30.44,1.55,104195,"",38.41,1.62,136832,"",7.54,1.57,26048,"",4.78,1.63,17205,"",11.49,1.51,38364,"",63.09,1.45,202028,"",68.29,1.46,220196,"",.91,1.4,2802,"",411.51,1.36,1231319,"*"
"1983","O","CLO","COLUMBIA RIVER PORTS (OREGON)",0,0,0,"",132.63,1.06,311183,"",67.6,1.43,213316,"",32.8,1.45,104866,"",29.93,1.55,102512,"",56.76,1.48,184903,"",21.5,1.45,68726,"",7.51,1.45,23964,"",12.54,1.32,36585,"",46.32,1.26,128294,"",19.66,1.25,54165,"",0,0,0,"",427.24,1.3,1228514,""
"1983","O","NPA","NEWPORT AREA PORTS",.53,1.33,1537,"",148.58,1.1,358866,"",75.4,1.43,237360,"",38.41,1.46,123331,"",49.64,1.63,178809,"",47.52,1.64,172237,"",10.44,1.47,33912,"",14.26,1.51,47319,"",52.16,1.48,170680,"",55.35,1.45,176787,"",70.75,1.36,211373,"",2.05,1.7,7711,"",565.08,1.38,1719922,""
"1983","O","TLA","TILLAMOOK AREA PORTS",,,,"*",15.1,1.04,34574,"",10.31,1.44,32831,"",9.36,1.45,29928,"",11.23,1.55,38299,"",16.04,1.46,51480,"",7.9,1.45,25215,"",7.3,1.42,22925,"",11.33,1.36,34019,"",5.89,1.28,16666,"",1.55,1.35,4620,"",,,,"*",96.01,1.37,290555,"*"
"1983","O","XXX","WITHHELD FOR CONFIDENTIALITY**",,,,"*",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",,,,"*",0,0,0,"*"
"1983","W","CLW","COLUMBIA RIVER PORTS (WASHINGTON)",0,0,0,"",122,1.03,276256,"",42.97,1.42,134783,"",18.51,1.45,59171,"",18.36,1.59,64527,"",37.32,1.49,122460,"",5.18,1.45,16567,"",2.83,1.45,9070,"",,,,"*",31.44,1.23,85353,"",,,,"*",0,0,0,"",278.62,1.25,768188,"*"
"1983","W","CWA","WASHINGTON COASTAL PORTS",0,0,0,"",372.83,1.03,845260,"",223.57,1.37,677247,"",132.74,1.45,422935,"",161.24,1.47,521667,"",249.69,1.46,806417,"",95.7,1.36,286880,"",41.18,1.12,101741,"",71.03,1.12,174794,"",130.67,1.15,331496,"",6.51,1.21,17320,"",0,0,0,"",1485.16,1.28,4185756,""
"1983","W","NPS","NORTH PUGET SOUND PORTS",45.17,.94,93545,"",26.44,1.01,59152,"",22.02,1.08,52621,"",20.06,1.14,50207,"",13.74,1.15,34860,"",14.34,1.3,41003,"",8.02,1.37,24130,"",17.1,1.34,50343,"",23.64,1.14,59448,"",24.55,1.25,67901,"",30.76,1.35,91831,"",405.81,1.26,1125809,"",651.64,1.22,1750850,""
"1983","W","SPS","SOUTH PUGET SOUND PORTS",1.91,1.15,4843,"",2.08,1.23,5637,"",5.7,1.31,16482,"",3.56,1.37,10775,"",7.29,1.56,25059,"",10.69,1.59,37529,"",,,,"*",,,,"*",,,,"*",0,0,0,"",,,,"*",13.38,1.43,42068,"",44.61,1.45,142392,"*"
"1983","W","XXX","WITHHELD FOR CONFIDENTIALITY**",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",,,,"*",,,,"*",,,,"*",0,0,0,"",,,,"*",0,0,0,"",0,0,0,"*"
"1984","C","BDA","BODEGA BAY AREA PORTS",50.23,1.62,179465,"",15.38,1.75,59298,"",15.77,1.95,67609,"",7.64,2.06,34701,"",2.56,2.07,11682,"",8.46,2.18,40603,"",7.87,2.22,38512,"",4.58,2.23,22463,"",2.07,2.22,10152,"",0,0,0,"",0,0,0,"",0,0,0,"",114.54,1.84,464485,""
"1984","C","BGA","FORT BRAGG AREA PORTS",,,,"*",48.13,1.5,159202,"",18.93,1.76,73268,"",5.35,1.83,21647,"",3.66,1.89,15203,"",4.22,2.01,18694,"",2.23,2.02,9954,"",2.07,2.39,10913,"",,,,"*",4.16,2.07,18980,"",0,0,0,"",0,0,0,"",88.75,1.68,327861,"*"
"1984","C","CA2","OTHER OR UNKNOWN CALIFORNIA PORTS",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",,,,"*",,,,"*",0,0,0,"",0,0,0,"*"
"1984","C","CCA","CRESCENT CITY AREA PORTS",0,0,0,"",1209.36,1.53,4075730,"",148.41,1.78,581667,"",32.95,1.83,133101,"",13.91,1.84,56497,"",41.01,1.82,164383,"",9.46,1.86,38762,"",.98,1.84,3989,"",,,,"*",3.8,1.6,13359,"",,,,"*",0,0,0,"",1459.88,1.57,5067489,"*"
"1984","C","ERA","EUREKA AREA PORTS",0,0,0,"",405.68,1.52,1361603,"",73.39,1.77,286723,"",20.72,1.9,86960,"",10,1.84,40655,"",39.59,1.9,165765,"",27.44,1.87,113256,"",4.44,1.84,18016,"",3.32,1.8,13148,"",4.09,1.69,15267,"",,,,"*",8.89,1.4,27380,"",597.56,1.62,2128774,"*"
"1984","C","LAA","LOS ANGELES AREA PORTS",0,0,0,"",0,0,0,"",0,0,0,"",,,,"*",,,,"*",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"*"
"1984","C","MNA","MONTEREY AREA PORTS",.43,1.92,1807,"",.3,2,1322,"",.51,1.59,1785,"",3.05,2.56,17205,"",1.73,2.5,9521,"",7.11,2.88,45164,"",.17,.99,360,"",,,,"*",0,0,0,"",,,,"*",,,,"*",,,,"*",13.29,2.63,77162,"*"
"1984","C","MRA","MORRO BAY AREA PORTS",.82,.7,1279,"",,,,"*",2.09,.62,2853,"",1.17,.76,1968,"",2.14,.73,3467,"",1.8,.67,2669,"",1.17,.74,1900,"",.97,.74,1567,"",,,,"*",1.17,.53,1378,"",.66,.75,1088,"",.8,1.08,1897,"",12.78,.71,20066,"*"
"1984","C","SBA","SANTA BARBARA AREA PORTS",,,,"*",,,,"*",,,,"*",,,,"*",,,,"*",,,,"*",,,,"*",0,0,0,"",0,0,0,"",,,,"*",0,0,0,"",,,,"*",0,0,0,"*"
"1984","C","SDA","SAN DIEGO AREA PORTS",0,0,0,"",,,,"*",,,,"*",,,,"*",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",,,,"*",0,0,0,"",0,0,0,"",,,,"*",0,0,0,"*"
