"X","Species","Pounds","Value","X.1"
"Rockfish, China",NA,"313","$934",""
"Greenling, kelp",NA,"263","$895",""
"Rockfish, copper",NA,"414","$827",""
"Sea urchin, red",NA,"609","$663",""
"Rockfish, grass",NA,"186","$551",""
"Rockfish, canary",NA,"103","$205",""
"Rockfish, vermilion",NA,"51","$109",""
"Rockfish, blue",NA,"53","$105",""
"Rockfish, quillback",NA,"52","$103",""
"Rockfish, black",NA,"45","$90",""
"Rockfish, brown",NA,"17","$34",""
"Rockfish, olive",NA,"13","$25",""
"Flounder, starry",NA,"2","$3",""
"",NA,"5,878","$18,752","Port Totals:"
"ER PORTS",NA,"","",""
"Lingcod",NA,"516","$789",""
"Crab, Dungeness",NA,"127","$667",""
"Tuna, albacore",NA,"480","$480",""
"Sea urchin, red",NA,"224","$224",""
"Rockfish, canary",NA,"140","$209",""
"Halibut, California",NA,"39","$195",""
"Rockfish, vermilion",NA,"23","$33",""
"Rockfish, yellowtail",NA,"8","$8",""
"",NA,"1,557","$2,604","Port Totals:"
"",NA,"4,758,204","$9,322,768","FORT BRAGG totals:"
