year,filename,area,port,species,landings,revenues
2018,Table 21mbPUB.pdf,Morro Bay,Morro Bay,"Rockfish, rosy",2,$3 
2018,Table 21mbPUB.pdf,Morro Bay,Morro Bay,"Rockfish, redbanded",2,$1 
2018,Table 21mbPUB.pdf,Morro Bay,Morro Bay,"Sole, curlfin",20,$0 
2018,Table 21mbPUB.pdf,Morro Bay,Morro Bay,"Sole, English",114,$0 
2018,Table 21mbPUB.pdf,Morro Bay,Morro Bay,"Rockfish, rosethorn",1,$0 
2018,Table 21mbPUB.pdf,Morro Bay,Morro Bay,"Rockfish, greenstriped",10,$0 
2018,Table 21mbPUB.pdf,Morro Bay,Morro Bay,"Rockfish, stripetail",305,$0 
2018,Table 21mbPUB.pdf,Morro Bay,Morro Bay,"Salmon, Roe (Chinook, Coho)",13,$0 
2018,Table 21mbPUB.pdf,Morro Bay,Morro Bay,"Shark, sevengill",115,$0 
2018,Table 21mbPUB.pdf,Morro Bay,Morro Bay,"Rockfish, Mexican",16,$0 
2018,Table 21mbPUB.pdf,Morro Bay,Morro Bay,"Rockfish, group shelf",20,$0 
2018,Table 21mbPUB.pdf,Morro Bay,Morro Bay,"Crab, brown rock",50,$0 
2018,Table 21mbPUB.pdf,Morro Bay,Morro Bay,"Flounder, arrowtooth",5,$0 
2018,Table 21mbPUB.pdf,Morro Bay,Morro Bay,"Skate, longnose",699,$0 
2018,Table 21mbPUB.pdf,Morro Bay,Morro Bay,Stingray,238,$0 
2018,Table 21mbPUB.pdf,Morro Bay,Morro Bay,"Sole, rex",57,$0 
2018,Table 21mbPUB.pdf,Morro Bay,Morro Bay,"Rockfish, shortbelly",3,$0 
2018,Table 21mbPUB.pdf,Morro Bay,Morro Bay,BAY,,
2018,Table 21mbPUB.pdf,Morro Bay,Morro Bay,"Prickleback, monkeyface (eel)",5,$0 
2018,Table 21mbPUB.pdf,Morro Bay,Morro Bay,"Crab, tanner","1,082",$0 
2018,Table 21mbPUB.pdf,Morro Bay,Morro Bay,"Rockfish, rougheye",13,$0 
2018,Table 21mbPUB.pdf,Morro Bay,Morro Bay,"Whiting, Pacific",571,$0 
2018,Table 21mbPUB.pdf,Morro Bay,Morro Bay,"Sole, slender",2,$0 
2018,Table 21mbPUB.pdf,Morro Bay,Morro Bay,Port Totals:,"1,332,436","$3,272,355 "
2018,Table 21mbPUB.pdf,Morro Bay,,,,
2018,Table 21mbPUB.pdf,Morro Bay,Avila/Port San Luis,"Crab, Dungeness","51,138","$286,222 "
2018,Table 21mbPUB.pdf,Morro Bay,Avila/Port San Luis,"Rockfish, gopher","23,481","$177,034 "
2018,Table 21mbPUB.pdf,Morro Bay,Avila/Port San Luis,"Rockfish, brown","24,319","$169,297 "
2018,Table 21mbPUB.pdf,Morro Bay,Avila/Port San Luis,"Hagfish, unspecified","108,504","$126,450 "
2018,Table 21mbPUB.pdf,Morro Bay,Avila/Port San Luis,"Halibut, California","15,765","$98,803 "
2018,Table 21mbPUB.pdf,Morro Bay,Avila/Port San Luis,"Prawn, spot","5,632","$87,222 "
2018,Table 21mbPUB.pdf,Morro Bay,Avila/Port San Luis,"Rockfish, black-and-yellow","8,463","$67,815 "
2018,Table 21mbPUB.pdf,Morro Bay,Avila/Port San Luis,"Hagfish, Pacific","44,075","$51,539 "
2018,Table 21mbPUB.pdf,Morro Bay,Avila/Port San Luis,"Crab, red rock","26,607","$48,931 "
2018,Table 21mbPUB.pdf,Morro Bay,Avila/Port San Luis,Cabezon,"9,367","$48,633 "
2018,Table 21mbPUB.pdf,Morro Bay,Avila/Port San Luis,"Rockfish, vermilion","15,323","$46,007 "
2018,Table 21mbPUB.pdf,Morro Bay,Avila/Port San Luis,"Crab, brown rock","23,448","$41,243 "
2018,Table 21mbPUB.pdf,Morro Bay,Avila/Port San Luis,"Rockfish, treefish","3,686","$36,746 "
2018,Table 21mbPUB.pdf,Morro Bay,Avila/Port San Luis,"Seabass, white","6,852","$36,565 "
2018,Table 21mbPUB.pdf,Morro Bay,Avila/Port San Luis,Lingcod,"14,335","$35,371 "
2018,Table 21mbPUB.pdf,Morro Bay,Avila/Port San Luis,"Crab, rock unspecified","15,989","$29,230 "
2018,Table 21mbPUB.pdf,Morro Bay,Avila/Port San Luis,"Lobster, California spiny","1,794","$28,704 "
2018,Table 21mbPUB.pdf,Morro Bay,Avila/Port San Luis,"Surfperch, barred","9,368","$28,575 "
2018,Table 21mbPUB.pdf,Morro Bay,Avila/Port San Luis,"Rockfish, grass","2,552","$25,243 "
2018,Table 21mbPUB.pdf,Morro Bay,Avila/Port San Luis,"Squid, market","26,641","$13,321 "
2018,Table 21mbPUB.pdf,Morro Bay,Avila/Port San Luis,"Rockfish, copper","2,128","$12,582 "
2018,Table 21mbPUB.pdf,Morro Bay,Avila/Port San Luis,"Crab, spider","6,005","$11,741 "
2018,Table 21mbPUB.pdf,Morro Bay,Avila/Port San Luis,"Salmon, Chinook",896,"$10,832 "
2018,Table 21mbPUB.pdf,Morro Bay,Avila/Port San Luis,AVILA/PORT SAN LUIS,,
2018,Table 21mbPUB.pdf,Morro Bay,Avila/Port San Luis,"Greenling, kelp",631,"$3,658 "
2018,Table 21mbPUB.pdf,Morro Bay,Avila/Port San Luis,"Whelk, Kellet's","4,106","$3,638 "
2018,Table 21mbPUB.pdf,Morro Bay,Avila/Port San Luis,"Sheephead, California",813,"$2,974 "
2018,Table 21mbPUB.pdf,Morro Bay,Avila/Port San Luis,"Crab, yellow rock","1,612","$2,418 "
2018,Table 21mbPUB.pdf,Morro Bay,Avila/Port San Luis,"Rockfish, canary",506,"$1,576 "
2018,Table 21mbPUB.pdf,Morro Bay,Avila/Port San Luis,"Rockfish, China",132,"$1,238 "
2018,Table 21mbPUB.pdf,Morro Bay,Avila/Port San Luis,"Rockfish, blue","1,255","$1,206 "
2018,Table 21mbPUB.pdf,Morro Bay,Avila/Port San Luis,"Rockfish, bocaccio","1,197","$1,088 "
2018,Table 21mbPUB.pdf,Morro Bay,Avila/Port San Luis,"Rockfish, black",452,$716 
2018,Table 21mbPUB.pdf,Morro Bay,Avila/Port San Luis,"Shark, Pacific angel",392,$646 
2018,Table 21mbPUB.pdf,Morro Bay,Avila/Port San Luis,"Rockfish, starry",88,$624 
2018,Table 21mbPUB.pdf,Morro Bay,Avila/Port San Luis,"Sole, sand",331,$567 
2018,Table 21mbPUB.pdf,Morro Bay,Avila/Port San Luis,"Rockfish, unspecified",140,$525 
2018,Table 21mbPUB.pdf,Morro Bay,Avila/Port San Luis,"Crab, spider/sheep claws",282,$423 
2018,Table 21mbPUB.pdf,Morro Bay,Avila/Port San Luis,"Shark, soupfin",216,$401 
2018,Table 21mbPUB.pdf,Morro Bay,Avila/Port San Luis,"Rockfish, speckled",188,$371 
2018,Table 21mbPUB.pdf,Morro Bay,Avila/Port San Luis,"Shark, leopard",129,$315 
2018,Table 21mbPUB.pdf,Morro Bay,Avila/Port San Luis,"Sole, unspecified",128,$244 
2018,Table 21mbPUB.pdf,Morro Bay,Avila/Port San Luis,"Rockfish, yellowtail",112,$215 
2018,Table 21mbPUB.pdf,Morro Bay,Avila/Port San Luis,"Rockfish, widow",148,$206 
2018,Table 21mbPUB.pdf,Morro Bay,Avila/Port San Luis,"Shark, sevengill",78,$195 
2018,Table 21mbPUB.pdf,Morro Bay,Avila/Port San Luis,"Rockfish, kelp",48,$179 
2018,Table 21mbPUB.pdf,Morro Bay,Avila/Port San Luis,"Rockfish, group red",68,$158 
2018,Table 21mbPUB.pdf,Morro Bay,Avila/Port San Luis,"Barracuda, California",74,$145 
2018,Table 21mbPUB.pdf,Morro Bay,Avila/Port San Luis,Sablefish,71,$142 
2018,Table 21mbPUB.pdf,Morro Bay,Avila/Port San Luis,"Shark, shortfin mako",107,$107 
2018,Table 21mbPUB.pdf,Morro Bay,Avila/Port San Luis,"Surfperch, calico",66,$104 
2018,Table 21mbPUB.pdf,Morro Bay,Avila/Port San Luis,"Rockfish, olive",70,$104 
2018,Table 21mbPUB.pdf,Morro Bay,Avila/Port San Luis,"Flounder, starry",23,$75 
2018,Table 21mbPUB.pdf,Morro Bay,Avila/Port San Luis,Turbot,39,$74 
2018,Table 21mbPUB.pdf,Morro Bay,Avila/Port San Luis,Yellowtail,23,$68 
2018,Table 21mbPUB.pdf,Morro Bay,Avila/Port San Luis,ORT SAN LUIS,,
2018,Table 21mbPUB.pdf,Morro Bay,Avila/Port San Luis,"Rockfish, chilipepper",48,$58 
2018,Table 21mbPUB.pdf,Morro Bay,Avila/Port San Luis,"Shark, spiny dogfish",31,$55 
2018,Table 21mbPUB.pdf,Morro Bay,Avila/Port San Luis,"Rockfish, flag",9,$52 
2018,Table 21mbPUB.pdf,Morro Bay,Avila/Port San Luis,"Octopus, unspecified",50,$50 
2018,Table 21mbPUB.pdf,Morro Bay,Avila/Port San Luis,"Bass, striped",14,$49 
2018,Table 21mbPUB.pdf,Morro Bay,Avila/Port San Luis,"Flounder, unspecified",12,$41 
2018,Table 21mbPUB.pdf,Morro Bay,Avila/Port San Luis,"Prickleback, monkeyface (eel)",13,$34 
2018,Table 21mbPUB.pdf,Morro Bay,Avila/Port San Luis,"Thornyhead, longspine",11,$22 
2018,Table 21mbPUB.pdf,Morro Bay,Avila/Port San Luis,"Surfperch, rubberlip",4,$11 
2018,Table 21mbPUB.pdf,Morro Bay,Avila/Port San Luis,"Sole, rock",3,$11 
2018,Table 21mbPUB.pdf,Morro Bay,Avila/Port San Luis,"Rockfish, greenspotted",5,$11 
2018,Table 21mbPUB.pdf,Morro Bay,Avila/Port San Luis,"Rockfish, squarespot",2,$4 
2018,Table 21mbPUB.pdf,Morro Bay,Avila/Port San Luis,"Whiting, Pacific",2,$2 
2018,Table 21mbPUB.pdf,Morro Bay,Avila/Port San Luis,"Mackerel, Pacific",9,$1 
2018,Table 21mbPUB.pdf,Morro Bay,Avila/Port San Luis,"Mackerel, unspecified",5,$1 
2018,Table 21mbPUB.pdf,Morro Bay,Avila/Port San Luis,"Sanddab, Pacific",2,$0 
2018,Table 21mbPUB.pdf,Morro Bay,Avila/Port San Luis,Port Totals:,"460,108","$1,542,907 "
2018,Table 21mbPUB.pdf,Morro Bay,,,,
2018,Table 21mbPUB.pdf,Morro Bay,All Other Ports,"Prawn, spot","10,039","$137,994 "
2018,Table 21mbPUB.pdf,Morro Bay,All Other Ports,"Sea cucumber, warty",960,"$4,320 "
2018,Table 21mbPUB.pdf,Morro Bay,All Other Ports,"Rockfish, brown",24,$166 
2018,Table 21mbPUB.pdf,Morro Bay,All Other Ports,"Rockfish, gopher",16,$124 
2018,Table 21mbPUB.pdf,Morro Bay,All Other Ports,"Rockfish, treefish",1,$12 
2018,Table 21mbPUB.pdf,Morro Bay,All Other Ports,"Rockfish, blue",4,$0 
2018,Table 21mbPUB.pdf,Morro Bay,All Other Ports,Port Totals:,"11,043","$142,616 "
2018,Table 21mbPUB.pdf,Morro Bay,All Other Ports,MORRO BAY totals:,"1,803,587","$4,957,877 "
