year,filename,area,port,species,landings_lb,revenues_usd
2148,Table 17PUB.pdf,San Francisco,Princeton-Half Moon,"Rockfish, bocaccio","75,441","$36,522 "
2149,Table 17PUB.pdf,San Francisco,Princeton-Half Moon,Lingcod,"18,460","$36,179 "
2150,Table 17PUB.pdf,San Francisco,Princeton-Half Moon,"Sanddab, Pacific","69,507","$23,241 "
2151,Table 17PUB.pdf,San Francisco,Princeton-Half Moon,"Rockfish, blue","3,626","$15,619 "
2152,Table 17PUB.pdf,San Francisco,Princeton-Half Moon,"Rockfish, brown","2,595","$12,859 "
2153,Table 17PUB.pdf,San Francisco,Princeton-Half Moon,Sanddab,"21,954","$9,426 "
2154,Table 17PUB.pdf,San Francisco,Princeton-Half Moon,"Croaker, white","6,008","$8,843 "
2155,Table 17PUB.pdf,San Francisco,Princeton-Half Moon,Butterfish (Pacific pompano),"3,279","$4,914 "
2156,Table 17PUB.pdf,San Francisco,Princeton-Half Moon,"Crab, box",820,"$4,628 "
2157,Table 17PUB.pdf,San Francisco,Princeton-Half Moon,"Crab, red rock","2,706","$4,452 "
2158,Table 17PUB.pdf,San Francisco,Princeton-Half Moon,"Sole, sand","3,768","$3,759 "
2159,Table 17PUB.pdf,San Francisco,Princeton-Half Moon,"Rockfish, vermilion",907,"$3,631 "
2160,Table 17PUB.pdf,San Francisco,Princeton-Half Moon,"Rockfish, canary","2,253","$3,628 "
2161,Table 17PUB.pdf,San Francisco,Princeton-Half Moon,"Flounder, starry","3,553","$3,190 "
2162,Table 17PUB.pdf,San Francisco,Princeton-Half Moon,"Rockfish, black",507,"$2,805 "
2163,Table 17PUB.pdf,San Francisco,Princeton-Half Moon,"Tuna, albacore","1,723","$2,671 "
2164,Table 17PUB.pdf,San Francisco,Princeton-Half Moon,"Seabass, white",345,"$2,158 "
2165,Table 17PUB.pdf,San Francisco,Princeton-Half Moon,"Prickleback, monkeyface (eel)",214,"$2,116 "
2166,Table 17PUB.pdf,San Francisco,Princeton-Half Moon,"Rockfish, yellowtail",483,"$2,075 "
2167,Table 17PUB.pdf,San Francisco,Princeton-Half Moon,"Sole, English","6,744","$1,641 "
2168,Table 17PUB.pdf,San Francisco,Princeton-Half Moon,"Rockfish, olive",256,"$1,115 "
2169,Table 17PUB.pdf,San Francisco,Princeton-Half Moon,"Rockfish, copper",134,$903 
2170,Table 17PUB.pdf,San Francisco,Princeton-Half Moon,"Skate, longnose","4,264",$848 
2171,Table 17PUB.pdf,San Francisco,Princeton-Half Moon,"Thornyhead, shortspine",164,$649 
2172,Table 17PUB.pdf,San Francisco,Princeton-Half Moon,"Rockfish, widow",289,$604 
2173,Table 17PUB.pdf,San Francisco,Princeton-Half Moon,"Sole, Dover",420,$585 
2174,Table 17PUB.pdf,San Francisco,Princeton-Half Moon,"Shrimp, bay",70,$490 
2175,Table 17PUB.pdf,San Francisco,Princeton-Half Moon,"Salmon, pink",52,$489 
2176,Table 17PUB.pdf,San Francisco,Princeton-Half Moon,TON-HALF MOON,,
2177,Table 17PUB.pdf,San Francisco,Princeton-Half Moon,"Sole, rock",852,$460 
2178,Table 17PUB.pdf,San Francisco,Princeton-Half Moon,"Rockfish, black-and-yellow",57,$418 
2179,Table 17PUB.pdf,San Francisco,Princeton-Half Moon,Jacksmelt,134,$353 
2180,Table 17PUB.pdf,San Francisco,Princeton-Half Moon,"Mudsucker, longjaw",34,$340 
2181,Table 17PUB.pdf,San Francisco,Princeton-Half Moon,"Sole, curlfin",479,$325 
2182,Table 17PUB.pdf,San Francisco,Princeton-Half Moon,"Octopus, unspecified",283,$303 
2183,Table 17PUB.pdf,San Francisco,Princeton-Half Moon,"Skate, unspecified","1,470",$294 
2184,Table 17PUB.pdf,San Francisco,Princeton-Half Moon,Cabezon,31,$288 
2185,Table 17PUB.pdf,San Francisco,Princeton-Half Moon,"Rockfish, unspecified",80,$249 
2186,Table 17PUB.pdf,San Francisco,Princeton-Half Moon,"Rockfish, cowcod",592,$243 
2187,Table 17PUB.pdf,San Francisco,Princeton-Half Moon,Grenadier,817,$204 
2188,Table 17PUB.pdf,San Francisco,Princeton-Half Moon,Turbot,210,$179 
2189,Table 17PUB.pdf,San Francisco,Princeton-Half Moon,"Salmon, Roe (Chinook, Coho)",194,$158 
2190,Table 17PUB.pdf,San Francisco,Princeton-Half Moon,"Rockfish, gopher",16,$149 
2191,Table 17PUB.pdf,San Francisco,Princeton-Half Moon,"Rockfish, China",14,$145 
2192,Table 17PUB.pdf,San Francisco,Princeton-Half Moon,"Shark, unspecified",82,$140 
2193,Table 17PUB.pdf,San Francisco,Princeton-Half Moon,"Flounder, arrowtooth",369,$138 
2194,Table 17PUB.pdf,San Francisco,Princeton-Half Moon,"Shark, soupfin",226,$110 
2195,Table 17PUB.pdf,San Francisco,Princeton-Half Moon,"Surfperch, barred",53,$102 
2196,Table 17PUB.pdf,San Francisco,Princeton-Half Moon,"Greenling, kelp",11,$60 
2197,Table 17PUB.pdf,San Francisco,Princeton-Half Moon,"Smelt, night",10,$48 
2198,Table 17PUB.pdf,San Francisco,Princeton-Half Moon,"Rockfish, quillback",5,$45 
2199,Table 17PUB.pdf,San Francisco,Princeton-Half Moon,"Crab, brown rock",19,$43 
2200,Table 17PUB.pdf,San Francisco,Princeton-Half Moon,"Rockfish, splitnose",312,$42 
2201,Table 17PUB.pdf,San Francisco,Princeton-Half Moon,"Rockfish, rosy",16,$37 
2202,Table 17PUB.pdf,San Francisco,Princeton-Half Moon,"Rockfish, greenspotted",158,$36 
2203,Table 17PUB.pdf,San Francisco,Princeton-Half Moon,"Rockfish, greenstriped","1,991",$33 
2204,Table 17PUB.pdf,San Francisco,Princeton-Half Moon,"Sole, rex","1,201",$31 
2205,Table 17PUB.pdf,San Francisco,Princeton-Half Moon,"Skate, big",140,$28 
2206,Table 17PUB.pdf,San Francisco,Princeton-Half Moon,"Thornyhead, longspine",30,$23 
2207,Table 17PUB.pdf,San Francisco,Princeton-Half Moon,"Rockfish, blackgill",12,$20 
2208,Table 17PUB.pdf,San Francisco,Princeton-Half Moon,TON-HALF MOON,,
2209,Table 17PUB.pdf,San Francisco,Princeton-Half Moon,"Rockfish, starry",3,$17 
2210,Table 17PUB.pdf,San Francisco,Princeton-Half Moon,"Shark, spiny dogfish",50,$15 
2211,Table 17PUB.pdf,San Francisco,Princeton-Half Moon,"Eel, wolf (wolf-eel)",24,$13 
2212,Table 17PUB.pdf,San Francisco,Princeton-Half Moon,"Rockfish, treefish",2,$6 
2213,Table 17PUB.pdf,San Francisco,Princeton-Half Moon,"Surfperch, redtail",3,$6 
2214,Table 17PUB.pdf,San Francisco,Princeton-Half Moon,"Rockfish, greenblotched",67,$5 
2215,Table 17PUB.pdf,San Francisco,Princeton-Half Moon,"Skate, California",16,$3 
2216,Table 17PUB.pdf,San Francisco,Princeton-Half Moon,"Mackerel, jack",16,$3 
2217,Table 17PUB.pdf,San Francisco,Princeton-Half Moon,"Rockfish, group shelf",545,$1 
2218,Table 17PUB.pdf,San Francisco,Princeton-Half Moon,"Rockfish, shortbelly",428,$1 
2219,Table 17PUB.pdf,San Francisco,Princeton-Half Moon,"Rockfish, stripetail",257,$0 
2220,Table 17PUB.pdf,San Francisco,Princeton-Half Moon,"Sole, slender",2,$0 
2221,Table 17PUB.pdf,San Francisco,Princeton-Half Moon,"Whiting, Pacific",714,$0 
2222,Table 17PUB.pdf,San Francisco,Princeton-Half Moon,"Shad, American",2,$0 
2223,Table 17PUB.pdf,San Francisco,Princeton-Half Moon,"Rockfish, redbanded",2,$0 
2224,Table 17PUB.pdf,San Francisco,Princeton-Half Moon,"Mackerel, unspecified",2,$0 
2225,Table 17PUB.pdf,San Francisco,Princeton-Half Moon,"Rockfish, yelloweye",1,$0 
2226,Table 17PUB.pdf,San Francisco,Princeton-Half Moon,"Rockfish, darkblotched",3,$0 
2227,Table 17PUB.pdf,San Francisco,Princeton-Half Moon,"Mackerel, Pacific",10,$0 
2228,Table 17PUB.pdf,San Francisco,Princeton-Half Moon,Port Totals:,"7,438,767","$8,826,996 "
2229,Table 17PUB.pdf,San Francisco,,,,
2230,Table 17PUB.pdf,San Francisco,Vallejo,"Crab, Dungeness","61,349","$246,494 "
2231,Table 17PUB.pdf,San Francisco,Vallejo,"Shrimp, bay","9,614","$61,736 "
2232,Table 17PUB.pdf,San Francisco,Vallejo,Sablefish,502,"$1,708 "
2233,Table 17PUB.pdf,San Francisco,Vallejo,"Sculpin, staghorn",528,"$1,338 "
2234,Table 17PUB.pdf,San Francisco,Vallejo,"Salmon, Chinook",123,$861 
2235,Table 17PUB.pdf,San Francisco,Vallejo,Lingcod,141,$354 
2236,Table 17PUB.pdf,San Francisco,Vallejo,"Midshipman, plainfin",133,$279 
2237,Table 17PUB.pdf,San Francisco,Vallejo,"Halibut, California",22,$163 
2238,Table 17PUB.pdf,San Francisco,Vallejo,"Goby, yellowfin",35,$101 
2239,Table 17PUB.pdf,San Francisco,Vallejo,VALLEJO,,
2240,Table 17PUB.pdf,San Francisco,Vallejo,"Rockfish, vermilion",26,$39 
2241,Table 17PUB.pdf,San Francisco,Vallejo,"Rockfish, yellowtail",5,$10 
2242,Table 17PUB.pdf,San Francisco,Vallejo,Port Totals:,"72,478","$313,082 "
2243,Table 17PUB.pdf,San Francisco,,,,
2244,Table 17PUB.pdf,San Francisco,Berkeley,"Crab, Dungeness","10,875","$64,511 "
2245,Table 17PUB.pdf,San Francisco,Berkeley,"Halibut, California","6,400","$50,890 "
2246,Table 17PUB.pdf,San Francisco,Berkeley,"Salmon, Chinook","3,950","$41,716 "
2247,Table 17PUB.pdf,San Francisco,Berkeley,"Squid, market","27,022","$13,511 "
2248,Table 17PUB.pdf,San Francisco,Berkeley,"Rockfish, brown","2,364","$10,629 "
