year,filename,area,port,species,landings_lb,revenues_usd
2018,Table 18PUB.pdf,Monterey,Moss Landing,"Shark, spiny dogfish",14,$0 
2018,Table 18PUB.pdf,Monterey,Moss Landing,"Skate, unspecified",140,$0 
2018,Table 18PUB.pdf,Monterey,Moss Landing,"Barracuda, California",8,$0 
2018,Table 18PUB.pdf,Monterey,Moss Landing,Port Totals:,"37,835,738","$8,378,233 "
2018,Table 18PUB.pdf,Monterey,,,,
2018,Table 18PUB.pdf,Monterey,Santa Cruz,"Crab, Dungeness","83,326","$1,121,181 "
2018,Table 18PUB.pdf,Monterey,Santa Cruz,"Salmon, Chinook","68,353","$692,388 "
2018,Table 18PUB.pdf,Monterey,Santa Cruz,"Halibut, California","17,302","$112,766 "
2018,Table 18PUB.pdf,Monterey,Santa Cruz,"Crab, rock unspecified","23,860","$43,685 "
2018,Table 18PUB.pdf,Monterey,Santa Cruz,"Seabass, white","5,243","$34,042 "
2018,Table 18PUB.pdf,Monterey,Santa Cruz,Sablefish,"11,755","$30,900 "
2018,Table 18PUB.pdf,Monterey,Santa Cruz,Lingcod,"6,072","$18,332 "
2018,Table 18PUB.pdf,Monterey,Santa Cruz,Jacksmelt,"10,706","$17,521 "
2018,Table 18PUB.pdf,Monterey,Santa Cruz,"Crab, red rock","5,300","$10,599 "
2018,Table 18PUB.pdf,Monterey,Santa Cruz,"Rockfish, bocaccio","3,230","$7,115 "
2018,Table 18PUB.pdf,Monterey,Santa Cruz,"Rockfish, yellowtail","2,537","$7,015 "
2018,Table 18PUB.pdf,Monterey,Santa Cruz,"Croaker, white","8,264","$5,812 "
2018,Table 18PUB.pdf,Monterey,Santa Cruz,Sanddab,"1,560","$5,154 "
2018,Table 18PUB.pdf,Monterey,Santa Cruz,"Rockfish, vermilion","1,460","$4,560 "
2018,Table 18PUB.pdf,Monterey,Santa Cruz,"Crab, yellow rock","2,089","$4,178 "
2018,Table 18PUB.pdf,Monterey,Santa Cruz,Butterfish (Pacific pompano),"1,497","$2,264 "
2018,Table 18PUB.pdf,Monterey,Santa Cruz,"Rockfish, canary",736,"$2,149 "
2018,Table 18PUB.pdf,Monterey,Santa Cruz,"Anchovy, northern","7,078","$1,780 "
2018,Table 18PUB.pdf,Monterey,Santa Cruz,"Hagfish, Pacific","1,617","$1,617 "
2018,Table 18PUB.pdf,Monterey,Santa Cruz,"Rockfish, widow",507,"$1,568 "
2018,Table 18PUB.pdf,Monterey,Santa Cruz,"Surfperch, barred",190,$570 
2018,Table 18PUB.pdf,Monterey,Santa Cruz,"Sole, petrale",151,$452 
2018,Table 18PUB.pdf,Monterey,Santa Cruz,SANTA CRUZ,,
2018,Table 18PUB.pdf,Monterey,Santa Cruz,"Rockfish, blackgill",127,$381 
2018,Table 18PUB.pdf,Monterey,Santa Cruz,"Octopus, unspecified",68,$342 
2018,Table 18PUB.pdf,Monterey,Santa Cruz,"Surfperch, walleye",128,$340 
2018,Table 18PUB.pdf,Monterey,Santa Cruz,"Thornyhead, shortspine",154,$308 
2018,Table 18PUB.pdf,Monterey,Santa Cruz,"Shark, soupfin",146,$276 
2018,Table 18PUB.pdf,Monterey,Santa Cruz,"Crab, brown rock",132,$264 
2018,Table 18PUB.pdf,Monterey,Santa Cruz,Grenadier,192,$230 
2018,Table 18PUB.pdf,Monterey,Santa Cruz,"Flounder, starry",92,$180 
2018,Table 18PUB.pdf,Monterey,Santa Cruz,"Shark, thresher",133,$118 
2018,Table 18PUB.pdf,Monterey,Santa Cruz,"Rockfish, chilipepper",42,$115 
2018,Table 18PUB.pdf,Monterey,Santa Cruz,"Rockfish, greenspotted",42,$110 
2018,Table 18PUB.pdf,Monterey,Santa Cruz,"Rockfish, brown",26,$54 
2018,Table 18PUB.pdf,Monterey,Santa Cruz,"Thornyhead, longspine",20,$40 
2018,Table 18PUB.pdf,Monterey,Santa Cruz,"Rockfish, unspecified",13,$37 
2018,Table 18PUB.pdf,Monterey,Santa Cruz,"Mackerel, jack",55,$36 
2018,Table 18PUB.pdf,Monterey,Santa Cruz,Turbot,10,$30 
2018,Table 18PUB.pdf,Monterey,Santa Cruz,"Rockfish, copper",9,$27 
2018,Table 18PUB.pdf,Monterey,Santa Cruz,"Mackerel, unspecified",30,$27 
2018,Table 18PUB.pdf,Monterey,Santa Cruz,"Ray, bat",45,$23 
2018,Table 18PUB.pdf,Monterey,Santa Cruz,"Flounder, unspecified",10,$20 
2018,Table 18PUB.pdf,Monterey,Santa Cruz,"Rockfish, bank",9,$18 
2018,Table 18PUB.pdf,Monterey,Santa Cruz,"Mackerel, Pacific",19,$12 
2018,Table 18PUB.pdf,Monterey,Santa Cruz,"Rockfish, rosy",4,$12 
2018,Table 18PUB.pdf,Monterey,Santa Cruz,"Rockfish, blue",4,$10 
2018,Table 18PUB.pdf,Monterey,Santa Cruz,"Sole, sand",2,$6 
2018,Table 18PUB.pdf,Monterey,Santa Cruz,"Sole, rock",5,$5 
2018,Table 18PUB.pdf,Monterey,Santa Cruz,"Rockfish, flag",1,$3 
