year,filename,area,port,species,landings_lb,revenues_usd
2018,Table 20PUB.pdf,Los Angeles,,"Squid, market",486,$243 
2018,Table 20PUB.pdf,Los Angeles,,"Rockfish, greenspotted",176,$226 
2018,Table 20PUB.pdf,Los Angeles,,"Rockfish, widow",35,$207 
2018,Table 20PUB.pdf,Los Angeles,,"Rockfish, starry",34,$204 
2018,Table 20PUB.pdf,Los Angeles,,"Crab, spider",83,$125 
2018,Table 20PUB.pdf,Los Angeles,,"Rockfish, bank",18,$108 
2018,Table 20PUB.pdf,Los Angeles,,"Rockfish, greenblotched",93,$93 
2018,Table 20PUB.pdf,Los Angeles,,"Crab, brown rock",32,$58 
2018,Table 20PUB.pdf,Los Angeles,,"Crab, red rock",20,$36 
2018,Table 20PUB.pdf,Los Angeles,,"Rockfish, greenstriped",17,$23 
2018,Table 20PUB.pdf,Los Angeles,,Sanddab,12,$12 
2018,Table 20PUB.pdf,Los Angeles,,"Sole, petrale",4,$4 
2018,Table 20PUB.pdf,Los Angeles,,"Rockfish, Mexican",3,$3 
2018,Table 20PUB.pdf,Los Angeles,,"Rockfish, speckled",3,$3 
2018,Table 20PUB.pdf,Los Angeles,,"Rockfish, honeycomb",3,$3 
2018,Table 20PUB.pdf,Los Angeles,,"Rockfish, flag",2,$2 
2018,Table 20PUB.pdf,Los Angeles,,"Rockfish, squarespot",2,$2 
