year,filename,area,port,species,landings,value
2018,Table21sdPUB.pdf,San Diego,San Diego,"Mackerel, bullet",38,$0 
2018,Table21sdPUB.pdf,San Diego,,Port Totals:,"1,142,940","$4,194,509 "
2018,Table21sdPUB.pdf,San Diego,,,,
2018,Table21sdPUB.pdf,San Diego,Point Loma,"Tuna, bigeye","611,489","$1,804,045 "
2018,Table21sdPUB.pdf,San Diego,Point Loma,Opah,"248,920","$257,438 "
2018,Table21sdPUB.pdf,San Diego,Point Loma,Swordfish,"61,061","$235,749 "
2018,Table21sdPUB.pdf,San Diego,Point Loma,"Sea urchin, red","39,002","$70,332 "
2018,Table21sdPUB.pdf,San Diego,Point Loma,"Lobster, California spiny","3,511","$49,951 "
2018,Table21sdPUB.pdf,San Diego,Point Loma,Wahoo,"11,488","$32,797 "
2018,Table21sdPUB.pdf,San Diego,Point Loma,POINT LOMA,,
2018,Table21sdPUB.pdf,San Diego,Point Loma,"Tuna, bluefin","7,103","$32,451 "
2018,Table21sdPUB.pdf,San Diego,Point Loma,"Tuna, yellowfin","8,504","$26,118 "
2018,Table21sdPUB.pdf,San Diego,Point Loma,Pomfret,"9,256","$25,315 "
2018,Table21sdPUB.pdf,San Diego,Point Loma,"Sea cucumber, warty","4,209","$12,908 "
2018,Table21sdPUB.pdf,San Diego,Point Loma,Dolphin (fish),"6,598","$11,352 "
2018,Table21sdPUB.pdf,San Diego,Point Loma,Escolar,"4,800","$4,800 "
2018,Table21sdPUB.pdf,San Diego,Point Loma,"Shark, shortfin mako","2,310","$2,511 "
2018,Table21sdPUB.pdf,San Diego,Point Loma,"Shark, Pacific angel","1,227","$2,454 "
2018,Table21sdPUB.pdf,San Diego,Point Loma,"Shark, thresher","3,241","$1,857 "
2018,Table21sdPUB.pdf,San Diego,Point Loma,"Tuna, albacore",973,"$1,529 "
2018,Table21sdPUB.pdf,San Diego,Point Loma,"Sea urchin, purple",611,"$1,222 "
2018,Table21sdPUB.pdf,San Diego,Point Loma,"Sheephead, California",245,"$1,115 "
2018,Table21sdPUB.pdf,San Diego,Point Loma,"Tuna, skipjack",977,$977 
2018,Table21sdPUB.pdf,San Diego,Point Loma,"Sea cucumber, giant red",151,$755 
2018,Table21sdPUB.pdf,San Diego,Point Loma,Yellowtail,247,$703 
2018,Table21sdPUB.pdf,San Diego,Point Loma,"Shark, leopard",370,$440 
2018,Table21sdPUB.pdf,San Diego,Point Loma,"Crab, spider",308,$400 
2018,Table21sdPUB.pdf,San Diego,Point Loma,"Shark, soupfin",145,$290 
2018,Table21sdPUB.pdf,San Diego,Point Loma,Oilfish,205,$205 
2018,Table21sdPUB.pdf,San Diego,Point Loma,"Ray, bat",115,$115 
2018,Table21sdPUB.pdf,San Diego,Point Loma,"Whelk, Kellet's",126,$101 
2018,Table21sdPUB.pdf,San Diego,Point Loma,"Snail, top",117,$97 
2018,Table21sdPUB.pdf,San Diego,Point Loma,"Whitefish, ocean",80,$93 
2018,Table21sdPUB.pdf,San Diego,Point Loma,"Guitarfish, shovelnose",50,$50 
2018,Table21sdPUB.pdf,San Diego,Point Loma,Cabezon,49,$49 
2018,Table21sdPUB.pdf,San Diego,Point Loma,"Skate, unspecified",13,$13 
2018,Table21sdPUB.pdf,San Diego,Point Loma,"Snail, tegula",79,$0 
2018,Table21sdPUB.pdf,San Diego,Point Loma,Port Totals:,"1,027,579","$2,578,231 "
2018,Table21sdPUB.pdf,San Diego,,,,
2018,Table21sdPUB.pdf,San Diego,Mission Bay,"Lobster, California spiny","85,454","$1,407,974 "
2018,Table21sdPUB.pdf,San Diego,Mission Bay,"Prawn, spot","14,541","$231,599 "
2018,Table21sdPUB.pdf,San Diego,Mission Bay,BAY,,
2018,Table21sdPUB.pdf,San Diego,Mission Bay,"Sea urchin, red","55,488","$88,996 "
2018,Table21sdPUB.pdf,San Diego,Mission Bay,"Sheephead, California","14,797","$75,051 "
2018,Table21sdPUB.pdf,San Diego,Mission Bay,"Tuna, bluefin","14,548","$71,823 "
2018,Table21sdPUB.pdf,San Diego,Mission Bay,"Crab, yellow rock","39,975","$64,027 "
2018,Table21sdPUB.pdf,San Diego,Mission Bay,"Sea cucumber, warty","10,582","$57,287 "
2018,Table21sdPUB.pdf,San Diego,Mission Bay,"Halibut, California","5,215","$28,589 "
2018,Table21sdPUB.pdf,San Diego,Mission Bay,Swordfish,"3,311","$25,833 "
2018,Table21sdPUB.pdf,San Diego,Mission Bay,Yellowtail,"8,265","$25,717 "
2018,Table21sdPUB.pdf,San Diego,Mission Bay,"Rockfish, vermilion","4,147","$14,205 "
2018,Table21sdPUB.pdf,San Diego,Mission Bay,"Tuna, yellowfin","3,492","$10,379 "
2018,Table21sdPUB.pdf,San Diego,Mission Bay,"Crab, rock unspecified","8,944","$10,147 "
2018,Table21sdPUB.pdf,San Diego,Mission Bay,"Crab, spider","9,361","$9,622 "
2018,Table21sdPUB.pdf,San Diego,Mission Bay,"Whelk, Kellet's","10,638","$8,312 "
2018,Table21sdPUB.pdf,San Diego,Mission Bay,"Rockfish, blackgill","1,981","$7,052 "
2018,Table21sdPUB.pdf,San Diego,Mission Bay,"Seabass, white",749,"$4,105 "
2018,Table21sdPUB.pdf,San Diego,Mission Bay,"Hagfish, unspecified",385,"$3,850 "
2018,Table21sdPUB.pdf,San Diego,Mission Bay,"Bonito, Pacific","1,927","$2,389 "
2018,Table21sdPUB.pdf,San Diego,Mission Bay,"Crab, red rock","1,530","$2,379 "
2018,Table21sdPUB.pdf,San Diego,Mission Bay,"Crab, brown rock","1,212","$1,844 "
2018,Table21sdPUB.pdf,San Diego,Mission Bay,Opah,909,"$1,661 "
2018,Table21sdPUB.pdf,San Diego,Mission Bay,"Rockfish, copper",440,"$1,525 "
2018,Table21sdPUB.pdf,San Diego,Mission Bay,"Shark, thresher",889,"$1,502 "
2018,Table21sdPUB.pdf,San Diego,Mission Bay,Dolphin (fish),523,"$1,450 "
2018,Table21sdPUB.pdf,San Diego,Mission Bay,"Rockfish, group shelf",469,"$1,259 "
2018,Table21sdPUB.pdf,San Diego,Mission Bay,"Whitefish, ocean",531,"$1,022 "
2018,Table21sdPUB.pdf,San Diego,Mission Bay,"Shark, shortfin mako",459,$883 
2018,Table21sdPUB.pdf,San Diego,Mission Bay,"Mackerel, Pacific",335,$730 
2018,Table21sdPUB.pdf,San Diego,Mission Bay,"Rockfish, bocaccio",286,$589 
2018,Table21sdPUB.pdf,San Diego,Mission Bay,Lingcod,170,$581 
2018,Table21sdPUB.pdf,San Diego,Mission Bay,Louvar,59,$531 
2018,Table21sdPUB.pdf,San Diego,Mission Bay,Triggerfish,225,$511 
2018,Table21sdPUB.pdf,San Diego,Mission Bay,BAY,NA,
2018,Table21sdPUB.pdf,San Diego,Mission Bay,Sanddab,145,$507 
2018,Table21sdPUB.pdf,San Diego,Mission Bay,"Rockfish, starry",147,$506 
2018,Table21sdPUB.pdf,San Diego,Mission Bay,Cabezon,87,$488 
2018,Table21sdPUB.pdf,San Diego,Mission Bay,Jacksmelt,88,$470 
2018,Table21sdPUB.pdf,San Diego,Mission Bay,"Rockfish, greenspotted",128,$444 
2018,Table21sdPUB.pdf,San Diego,Mission Bay,"Mackerel, jack",191,$444 
2018,Table21sdPUB.pdf,San Diego,Mission Bay,"Rockfish, honeycomb",146,$425 
2018,Table21sdPUB.pdf,San Diego,Mission Bay,"Barracuda, California",289,$411 
2018,Table21sdPUB.pdf,San Diego,Mission Bay,"Bass, giant sea",74,$332 
2018,Table21sdPUB.pdf,San Diego,Mission Bay,"Eel, California moray",107,$328 
2018,Table21sdPUB.pdf,San Diego,Mission Bay,"Rockfish, squarespot",104,$276 
2018,Table21sdPUB.pdf,San Diego,Mission Bay,"Mackerel, unspecified",148,$254 
2018,Table21sdPUB.pdf,San Diego,Mission Bay,"Rockfish, flag",75,$241 
2018,Table21sdPUB.pdf,San Diego,Mission Bay,"Surfperch, black",101,$226 
2018,Table21sdPUB.pdf,San Diego,Mission Bay,"Shark, pelagic thresher",66,$182 
2018,Table21sdPUB.pdf,San Diego,Mission Bay,"Crab, armed box",118,$158 
2018,Table21sdPUB.pdf,San Diego,Mission Bay,"Rockfish, speckled",46,$151 
2018,Table21sdPUB.pdf,San Diego,Mission Bay,"Rockfish, group red",38,$143 
2018,Table21sdPUB.pdf,San Diego,Mission Bay,Sargo,47,$140 
2018,Table21sdPUB.pdf,San Diego,Mission Bay,"Rockfish, unspecified",33,$124 
2018,Table21sdPUB.pdf,San Diego,Mission Bay,"Scorpionfish, California",38,$119 
2018,Table21sdPUB.pdf,San Diego,Mission Bay,"Octopus, unspecified",987,$73 
