"year","filename","port","species","landings_lb","landings_kg","landings_mt","value_usd"
2000,"landings00_table16pub.pdf","Crescent City","Rockfish, greenspotted",6,2.72155456793566,0.00272155456793566,8
2000,"landings00_table16pub.pdf","Crescent City","Sanddab, Pacific",20,9.07184855978553,0.00907184855978553,7
2000,"landings00_table16pub.pdf","Crescent City","Cod, Pacific",9,4.08233185190349,0.00408233185190349,6
2000,"landings00_table16pub.pdf","Crescent City","Rockfish, group gopher",2,0.907184855978553,0.000907184855978553,5
2000,"landings00_table16pub.pdf","Crescent City","Rockfish, greenstriped",8,3.62873942391421,0.00362873942391421,3
2000,"landings00_table16pub.pdf","Crescent City","Sole, unspecified",2,0.907184855978553,0.000907184855978553,1
2000,"landings00_table16pub.pdf","Crescent City","Mackerel, jack",297,134.716951112815,0.134716951112815,0
2000,"landings00_table16pub.pdf","Crescent City","Mackerel, Pacific",608,275.78419621748,0.27578419621748,0
2000,"landings00_table16pub.pdf","Crescent City","Shark, unspecified",121,54.8846837867024,0.0548846837867024,0
2000,"landings00_table16pub.pdf","Crescent City","Fish, unspecified",1318,597.834820089866,0.597834820089866,0
2000,"landings00_table16pub.pdf","Crescent City","Squid, market",916,415.490664038177,0.415490664038177,0
2000,"landings00_table16pub.pdf","Crescent City","Squid, jumbo",342,155.128610372333,0.155128610372332,0
2000,"landings00_table16pub.pdf","Crescent City","Halibut, Pacific",164,74.3891581902413,0.0743891581902413,0
2000,"landings00_table16pub.pdf","Crescent City","Rockfish, shortbelly",4886,2216.2526031556,2.2162526031556,0
2000,"landings00_table16pub.pdf","Crescent City","Shark, spiny dogfish",1107,502.126817784129,0.502126817784129,0
2000,"landings00_table16pub.pdf","Crescent City","Port Totals:",15613199,7082028.84308974,7082.02884308974,10496244
2000,"landings00_table16pub.pdf","Eureka","Shad, American",1,0.453592427989276,0.000453592427989276,NA
2000,"landings00_table16pub.pdf","Eureka","Crab, Dungeness",862810,391364.082793428,391.364082793428,1794656
2000,"landings00_table16pub.pdf","Eureka","Sablefish",724534,328643.136220782,328.643136220782,901531
2000,"landings00_table16pub.pdf","Eureka","Sole, petrale",617642,280157.734408153,280.157734408153,602491
2000,"landings00_table16pub.pdf","Eureka","Tuna, albacore",571713,259324.687783033,259.324687783033,512764
2000,"landings00_table16pub.pdf","Eureka","Sole, Dover",1331925,604151.094649617,604.151094649617,482284
2000,"landings00_table16pub.pdf","Eureka","Thornyhead, longspine",288646,130927.639969393,130.927639969393,293750
2000,"landings00_table16pub.pdf","Eureka","Rockfish, widow",358184,162469.550226911,162.469550226911,159466
2000,"landings00_table16pub.pdf","Eureka","Shrimp, ocean (pink)",399236,181090.426580727,181.090426580727,133705
2000,"landings00_table16pub.pdf","Eureka","Smelt, night",455820,206756.500526072,206.756500526072,125347
2000,"landings00_table16pub.pdf","Eureka","Thornyhead, shortspine",97626,44282.4143748811,44.2824143748811,124874
2000,"landings00_table16pub.pdf","Eureka","Whiting, Pacific",2539274,1151795.45899004,1151.79545899004,123996
2000,"landings00_table16pub.pdf","Eureka","Salmon, Chinook",56669,25704.6293017243,25.7046293017243,118708
2000,"landings00_table16pub.pdf","Eureka","Skate, unspecified",397750,180416.388232735,180.416388232735,78379
2000,"landings00_table16pub.pdf","Eureka","Smelt, surf",212649,96455.9762194916,96.4559762194916,54701
2000,"landings00_table16pub.pdf","Eureka","Rockfish, group slope",117954,53503.0412510471,53.5030412510471,51072
2000,"landings00_table16pub.pdf","Eureka","Sole, English",125168,56775.2570265617,56.7752570265617,45065
2000,"landings00_table16pub.pdf","Eureka","Thornyheads",38623,17519.1003462298,17.5191003462298,42014
2000,"landings00_table16pub.pdf","Eureka","Sole, rex",93713,42507.5072041591,42.5075072041591,40948
2000,"landings00_table16pub.pdf","Eureka","Surfperch, redtail",16947,7687.03087713427,7.68703087713427,19529
2000,"landings00_table16pub.pdf","Eureka","Lingcod",18992,8614.62739237234,8.61462739237234,19375
2000,"landings00_table16pub.pdf","Eureka","Rockfish, yellowtail",35377,16046.7393249766,16.0467393249766,16901
2000,"landings00_table16pub.pdf","Eureka","Grenadier",88965,40353.850356066,40.353850356066,13326
2000,"landings00_table16pub.pdf","Eureka","Crab, rock unspecified",8124,3684.98488498488,3.68498488498488,8661
2000,"landings00_table16pub.pdf","Eureka","Rockfish, group shelf",17444,7912.46631384494,7.91246631384494,7718
2000,"landings00_table16pub.pdf","Eureka","Rockfish, copper",3156,1431.53770273416,1.43153770273416,5818
2000,"landings00_table16pub.pdf","Eureka","Sanddab",16704,7576.80791713287,7.57680791713287,5660
2000,"landings00_table16pub.pdf","Eureka","Rockfish, canary",8566,3885.47273815614,3.88547273815614,5479
2000,"landings00_table16pub.pdf","Eureka","Rockfish, black",6888,3124.34464399014,3.12434464399014,5321
2000,"landings00_table16pub.pdf","Eureka","Rockfish, darkblotched",12226,5545.62102459689,5.54562102459689,5118
2000,"landings00_table16pub.pdf","Eureka","Cabezon",2234,1013.32548412804,1.01332548412804,5043
2000,"landings00_table16pub.pdf","Eureka","Rockfish, yelloweye",2176,987.017123304665,0.987017123304665,3947
2000,"landings00_table16pub.pdf","Eureka","Shark, leopard",4953,2246.64329583089,2.24664329583089,3213
2000,"landings00_table16pub.pdf","Eureka","Rockfish, chilipepper",7281,3302.60646818992,3.30260646818992,3086
2000,"landings00_table16pub.pdf","Eureka","Rockfish, China",623,282.588082637319,0.282588082637319,2702
