"year","filename","port","species","type","January","Feburary","March","April","May","June","July","August","September","October","November","December","Total"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","Total","landings","3,620,209","1,383,158","2,371,483","2,598,046","3,790,773","6,837,693","40,097,879","50,601,924","30,572,209","17,865,687","1,606,827","3,903,044","165,248,932"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","","value","6,929,021","1,773,508","2,207,822","1,761,865","2,405,964","2,020,635","6,868,814","8,588,264","5,467,906","3,861,934","860,103","7,312,503","50,058,339"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","Anchovy, northern","landings","","","","","","27,667","","","","165","21","45","27,898"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","","value","","","","","","4,108","","","","0","0","0","4,108"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","Cod, Pacific","landings","7,057","475","2,255","20,065","37,590","63,974","47,663","38,175","7,146","41,941","2,542","45,466","314,349"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","","value","4,213","259","1,337","11,179","22,008","34,918","26,099","22,050","3,624","22,638","1,392","24,147","173,864"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","Crab, Dungeness, ocean","landings","2,476,804","484,801","397,357","124,941","60,513","19,858","9,280","145","4","2","854","2,282,350","5,856,909"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","","value","6,280,213","1,309,463","1,203,629","458,903","261,305","60,873","26,587","445","0","0","0","6,359,235","15,960,653"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","Crab, Tanner","landings","11","4","26","5","1","","","","","","","","47"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","","value","0","0","0","0","0","","","","","","","","0"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","Eel Pout","landings","105","6","147","14","","","","1","","","","","273"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","","value","0","0","0","0","","","","0","","","","","0"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","Flounder, arrowtooth","landings","203,063","214,327","302,405","263,177","374,799","192,428","478,203","133,707","135,823","129,572","183,034","160,000","2,770,538"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","","value","22,785","24,883","33,416","29,217","38,571","21,203","53,416","14,971","14,053","12,180","17,734","15,244","297,673"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","Flounder, starry","landings","","","","520","515","606","452","932","117","4","110","1","3,257"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","","value","","","","207","192","214","165","326","41","1","44","0","1,190"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","Greenling sp.","landings","","","1","3","","5","2","2","","2","1","","16"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","","value","","","0","0","","0","0","0","","0","0","","0"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","Grenadier, Pacific","landings","8","236","333","446","303","4","145","1","2","","31","26","1,535"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","","value","0","18","3","0","0","0","0","0","0","","0","2","23"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","Grenadier, Unsp.","landings","","","5","","","11","","","","","","","16"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","","value","","","0","","","0","","","","","","","0"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","Hagfish sp","landings","97,789","47,345","50,995","51,789","37,290","","231,862","28,974","","19,781","1,000","8,041","574,866"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","","value","88,836","37,858","40,897","41,431","37,890","","185,564","26,077","","21,249","1,000","8,041","488,843"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","Halibut, Pacific","landings","","9","24","6","","11,804","3,004","587","143","127","","","15,704"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","","value","","0","0","0","","57,922","13,382","0","0","0","","","71,304"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","Herring, Pacific","landings","","","","","","","","","1","112","","","113"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","","value","","","","","","","","","0","0","","","0"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","Jellyfish","landings","","","","","","","85","472","194","97","1","","849"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","","value","","","","","","","0","0","0","0","0","","0"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","Lamprey, Pacific","landings","","","","","","","","","5","","","","5"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","","value","","","","","","","","","0","","","","0"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","Lingcod","landings","3,082","535","4,047","12,186","28,609","61,901","119,932","77,670","93,699","31,653","5,635","5,490","444,439"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","","value","2,337","394","2,983","8,823","20,889","43,568","83,805","54,646","66,451","21,422","3,926","3,957","313,201"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","Longnose Skate","landings","67,075","64,294","91,484","78,418","90,826","78,607","132,023","67,341","68,259","63,312","57,603","79,560","938,802"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","","value","28,158","26,353","38,119","33,694","36,538","30,847","49,631","27,017","19,433","23,654","22,479","29,606","365,529"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","Mackerel, jack","landings","","","","","","","74,684","73,908","11,801","94,021","4","3","254,421"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","","value","","","","","","","4,406","4,484","46","3,233","0","0","12,169"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","Mackerel, Pacific","landings","","","","","","3,187","618,567","325,735","9,158","7,091","","","963,738"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","","value","","","","","","154","54,215","25,008","107","298","","","79,782"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","Octopus","landings","2","","3","4","455","799","829","486","127","93","24","25","2,847"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","","value","0","","0","0","228","328","415","242","47","37","12","13","1,322"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","Pacific Ocean perch","landings","1,620","2,972","5,424","6,082","5,032","2,422","1,290","4,251","1,985","4,546","2,983","11,703","50,310"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","","value","852","1,534","2,623","3,140","2,589","1,124","611","1,093","907","2,024","1,438","6,005","23,940"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","Pollock, walleye","landings","","1","","","","33","","","1","","7","","42"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","","value","","0","","","","0","","","0","","0","","0"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","Ragfish","landings","","61","","","","","","2","3","","","","66"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","","value","","0","","","","","","0","0","","","","0"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","Ratfish","landings","509","7","36","40","294","279","120","82","24","179","209","1,113","2,892"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","","value","0","0","0","0","1","0","0","0","0","0","0","0","1"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","Rockfish, black","landings","","","","19","240","32","","29","","","6","7","333"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","","value","","","","10","271","22","","16","","","3","4","326"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","Rockfish, blue","landings","2","","","","","","","","","","","","2"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","","value","1","","","","","","","","","","","","1"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","Rockfish, canary","landings","104","13","10","214","998","1,044","903","1,312","849","1,929","427","162","7,965"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","","value","57","7","5","111","510","558","484","475","304","967","196","86","3,760"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","Rockfish, darkblotched","landings","10,132","4,768","9,276","10,622","8,124","528","1,021","557","1,554","6,049","4,566","16,621","73,818"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","","value","4,785","2,159","3,944","5,524","4,131","257","342","266","527","2,586","2,121","8,165","34,807"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","Rockfish, quillback","landings","40","","","","","8","37","61","34","10","","9","199"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","","value","6","","","","","4","21","33","14","6","","5","89"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","Rockfish, Shelf","landings","1,539","586","982","1,525","3,036","7,054","7,371","4,922","3,694","5,222","2,404","1,772","40,107"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","","value","623","132","353","631","1,027","2,416","2,670","1,614","890","1,369","760","542","13,027"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","Rockfish, shortbelly","landings","1","","","3","","","21","39","16","19","51","","150"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","","value","0","","","0","","","0","0","0","0","0","","0"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","Rockfish, Slope","landings","16,827","9,417","20,253","33,624","29,777","6,865","6,547","3,592","3,803","26,143","6,303","21,710","184,861"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","","value","5,581","3,954","9,960","15,442","14,572","3,433","3,110","1,681","1,642","12,160","2,479","8,961","82,975"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","Rockfish, widow","landings","12,456","1,501","219","1,872","1,828","9,246","18,301","72,174","11,762","119,448","179,581","149,108","577,496"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","","value","5,944","719","106","905","838","4,161","8,231","32,803","4,688","51,396","86,397","72,190","268,378"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","Rockfish, yelloweye","landings","","","","2","12","14","102","4","3","","4","","141"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","","value","","","","1","6","8","98","2","2","","2","","119"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","Rockfish, yellowtail","landings","117,470","11,407","3,746","33,902","61,004","146,700","47,315","29,914","13,861","386,850","335,382","42,836","1,230,387"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","","value","63,794","6,271","2,051","18,524","32,680","77,560","25,439","14,423","7,040","193,728","161,458","22,306","625,274"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","Sablefish","landings","61,123","46,160","76,151","88,180","83,375","61,142","174,841","184,222","99,636","199,465","66,719","75,107","1,216,121"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","","value","90,644","83,135","125,959","156,820","136,067","105,648","318,752","326,861","185,878","463,092","122,980","139,857","2,255,693"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","Salmon, chinook","landings","","","","4,620","2,914","10,793","928","10,748","8,782","1,611","29","","40,425"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","","value","","","","32,098","20,565","60,415","3,892","47,217","31,005","4,895","0","","200,087"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","Salmon, chum","landings","","","","","","","","","","19","","","19"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","","value","","","","","","","","","","0","","","0"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","Salmon, coho","landings","","","","","","","193","1,201","955","23","","","2,372"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","","value","","","","","","","452","2,482","2,159","38","","","5,131"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","Salmon, pink","landings","","","","","","","","5","","","","","5"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","","value","","","","","","","","0","","","","","0"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","Sanddab, Pacific","landings","170","1,141","2,512","32,451","38,549","35,554","29,628","27,866","14,816","22,719","9,645","1,833","216,884"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","","value","74","673","1,406","16,199","19,796","18,394","15,789","14,400","6,758","11,106","4,839","930","110,364"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","Sardine, Pacific","landings","","","","","","329,250","22,723,245","22,284,609","9,365,922","3,252,711","178","","57,955,915"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","","value","","","","","","24,941","2,409,419","2,460,235","1,034,479","369,704","0","","6,298,778"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","Sea anemone","landings","7","","1","","","","","1","","","","","9"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","","value","0","","0","","","","","0","","","","","0"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","Sea cucumber","landings","","","2","","","","","","","","","","2"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","","value","","","0","","","","","","","","","","0"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","Sea stars","landings","28","","55","","","","","1","","","","","84"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","","value","0","","0","","","","","0","","","","","0"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","Shad, American","landings","","","","","43","","145","32","85","222","71","17","615"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","","value","","","","","0","","0","0","0","0","0","0","0"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","Shark, blue","landings","","","","","","100","22","","","31","","","153"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","","value","","","","","","0","0","","","0","","","0"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","Shark, Brown Cat","landings","54","","9","20","35","","","14","","","","","132"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","","value","0","","0","0","0","","","0","","","","","0"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","Shark, other sp.","landings","","","","","","599","663","400","10","","","","1,672"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","","value","","","","","","0","0","0","0","","","","0"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","Shark, soupfin","landings","62","","","","","","","","","","","","62"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","","value","0","","","","","","","","","","","","0"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","Shark, spiny dogfish","landings","144","20","91","43","27","89","53","320","1,950","35,708","371","218","39,034"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","","value","0","0","0","0","0","0","0","0","0","2","0","0","2"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","Shark, thresher","landings","","","","","","","","","455","","","","455"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","","value","","","","","","","","","0","","","","0"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","Shrimp, pink","landings","","","","660,506","1,884,956","1,186,063","751,854","920,087","932,403","914,061","40,179","","7,290,109"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","","value","","","","333,969","1,017,737","589,274","360,516","408,222","411,292","437,000","19,334","","3,577,344"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","Shrimp, spot","landings","","","","","","","","","","","260","674","934"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","","value","","","","","","","","","","","3,705","9,520","13,225"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","Skates unsp.","landings","1,000","1,788","1,745","11,197","42,678","27,035","26,284","38,497","16,624","11,335","2,197","2,224","182,604"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","","value","58","488","265","4,510","17,997","10,996","10,238","15,254","6,230","4,685","743","647","72,111"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","Smelt (eulachon)","landings","","","","","","","2","4","1","","","","7"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","","value","","","","","","","0","0","0","","","","0"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","Smelt, other sp.","landings","","","","","","","3","31","14","","","","48"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","","value","","","","","","","0","0","0","","","","0"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","Snailfish, blacktail","landings","1","","1","","","","","","","","","","2"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","","value","0","","0","","","","","","","","","","0"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","Snails & chitons","landings","2","","","","","","","","","","","","2"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","","value","0","","","","","","","","","","","","0"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","Sole, butter","landings","","","","9","","17","7","86","10","2","","","131"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","","value","","","","0","","6","2","27","3","1","","","39"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","Sole, curlfin (turbot)","landings","7","","","","2","55","25","113","168","18","","","388"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","","value","0","","","","0","20","8","35","54","6","","","123"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","Sole, deepsea","landings","28","8","327","25","","","","","","","","","388"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","","value","0","0","0","0","","","","","","","","","0"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","Sole, Dover","landings","372,462","335,853","1,169,568","939,262","579,859","276,139","424,373","341,240","280,847","553,059","432,367","583,429","6,288,458"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","","value","162,433","147,279","509,778","415,037","261,414","128,983","196,390","152,657","127,437","243,255","195,561","264,927","2,805,151"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","Sole, English","landings","2,168","3,351","4,307","22,278","13,593","15,919","44,892","43,858","19,744","75,622","21,416","8,649","275,797"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","","value","748","1,193","1,498","7,466","4,563","5,305","13,632","12,713","5,649","21,864","6,651","2,795","84,077"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","Sole, flathead","landings","","1","224","1,113","1,315","2,646","5,067","4,282","3,307","3,251","404","16","21,626"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","","value","","0","80","390","405","810","1,516","1,148","977","898","120","5","6,349"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","Sole, petrale","landings","101,028","80,632","135,283","73,050","149,649","133,725","172,882","162,921","161,612","148,575","133,180","263,253","1,715,790"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","","value","137,259","96,123","190,401","111,968","241,198","214,576","265,465","248,585","225,338","180,424","156,478","281,405","2,349,220"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","Sole, rex","landings","15,980","8,684","19,354","23,534","45,973","48,820","77,806","99,072","48,397","84,371","31,892","27,957","531,840"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","","value","5,802","3,179","6,896","8,224","15,599","16,882","26,447","30,127","15,782","27,620","11,097","9,843","177,498"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","Sole, rock","landings","82","4","10","23","41","98","74","1,058","190","114","10","5","1,709"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","","value","30","1","4","8","15","33","25","367","59","37","3","2","584"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","Sole, sand","landings","","","","3,834","4,190","1,604","1,046","2,445","1,485","50","3,541","372","18,567"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","","value","","","","3,799","3,538","1,434","872","1,847","1,020","33","3,520","370","16,433"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","Sole, slender","landings","33","2","375","59","","","4","2","1","","","","476"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","","value","0","0","0","0","","","0","0","0","","","","0"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","Squid, Market","landings","","","35","20","54","","","27","","","","","136"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","","value","","","0","0","0","","","0","","","","","0"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","Squid, other sp.","landings","15","22","113","110","94","119","652","2,471","4,466","4,472","157","158","12,849"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","","value","3","6","24","2","11","19","24","79","222","348","34","40","812"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","Sunfish, ocean","landings","","","","","","","","","","8","","","8"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","","value","","","","","","","","","","0","","","0"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","Thornyhead, longspine","landings","15,330","21,279","26,365","33,724","13,221","3,229","9,411","5,636","2,844","10,683","10,413","45,089","197,224"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","","value","6,316","8,961","9,701","13,403","5,364","1,189","3,544","1,333","964","3,672","3,756","15,282","73,485"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","Thornyhead, shortspine","landings","32,706","35,550","42,268","53,107","56,230","18,573","31,051","17,122","21,706","76,439","58,643","63,457","506,852"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","","value","17,244","17,817","21,988","28,979","30,565","9,700","17,436","10,068","11,282","30,978","28,518","27,887","252,462"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","Tuna, albacore","landings","","","","","125,028","","616,403","984,459","622,071","239,923","","","2,587,884"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","","value","","","","","156,285","","1,175,684","1,598,262","1,028,500","387,301","","","4,346,032"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","Whiting, Pac. (hake)","landings","2,083","5,898","3,659","11,394","7,620","4,050,947","13,206,345","24,603,672","18,599,484","11,292,663","12,325","4,526","71,800,616"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","","value","225","649","396","1,251","595","488,316","1,509,965","3,028,602","2,252,970","1,306,018","1,313","484","8,590,784"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","Wolf-eel","landings","","","","","","","","55","","13","","","68"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","","value","","","","","","","","14","","0","","","14"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","Wrymouth, giant","landings","","","","8","81","101","221","292","156","151","47","12","1,069"
"2013","1_YR_LBS_$$_BY_PORT.pdf","02-ASTORIA","","value","","","","0","4","16","55","57","32","9","10","0","183"
"2013","1_YR_LBS_$$_BY_PORT.pdf","05-GEARHART-SEASIDE","Total","landings","625","958","10,845","15,729","11,789","8,961","3,193","4,242","291","3,838","512","2,454","63,437"
"2013","1_YR_LBS_$$_BY_PORT.pdf","05-GEARHART-SEASIDE","","value","1,835","2,897","38,892","46,849","33,808","26,041","11,859","6,671","437","10,544","1,472","7,487","188,792"
"2013","1_YR_LBS_$$_BY_PORT.pdf","05-GEARHART-SEASIDE","Clams, razor","landings","625","958","9,963","14,398","11,310","8,085","2,005","","","3,668","512","931","52,455"
"2013","1_YR_LBS_$$_BY_PORT.pdf","05-GEARHART-SEASIDE","","value","1,835","2,897","29,130","40,852","31,361","22,061","6,037","","","10,306","1,472","2,534","148,485"
"2013","1_YR_LBS_$$_BY_PORT.pdf","05-GEARHART-SEASIDE","Crab, Dungeness, ocean","landings","","","137","1,331","479","528","50","442","","","","1,523","4,490"
