"year","filename","species","type","January","Feburary","March","April","May","June","July","August","September","October","November","December","Total"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","Grenadier, Pacific","landings","3","1","6","","","2","","21","1","","","","34"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","","value","0","0","0","","","0","","0","0","","","","0"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","Grenadier, Unsp.","landings","","42","33","8","23","","","","231","26","1","","364"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","","value","","0","0","0","0","","","","0","0","0","","0"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","Halibut, Pacific","landings","16","","167","96","19","3,188","9,865","27,991","30","11","33","14","41,430"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","","value","0","","0","0","0","15,246","53,419","152,140","0","0","0","0","220,805"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","Herring, Pacific","landings","","","","","321","3","4,707","712","828","5,948","306","11","12,836"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","","value","","","","","0","0","0","21","20","2","4","0","47"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","King of Salmon","landings","","","","","12","","84","132","8","","","","236"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","","value","","","","","0","","0","0","0","","","","0"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","Lamprey, Pacific","landings","","","","","","1","4","2","","1","","","8"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","","value","","","","","","0","0","0","","0","","","0"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","Lingcod","landings","688","3,561","56,889","77,135","70,727","33,569","79,998","55,319","41,865","65,304","9,382","50,205","544,642"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","","value","693","3,618","53,444","66,909","67,413","31,956","79,335","52,680","41,085","60,764","8,728","52,635","519,260"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","Mackerel, jack","landings","","","3","","743","737","3,902","8,169","118,152","38,235","2,689","292","172,922"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","","value","","","0","","0","0","0","158","3,696","1,196","16","0","5,066"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","Mackerel, Pacific","landings","","","34","","262","3","17","24","6,518","12,539","","1","19,398"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","","value","","","0","","0","0","0","0","316","63","","0","379"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","Pacific Ocean perch","landings","1,486","3,766","16,369","5,937","16,030","4,010","5,997","5,238","3,931","9,093","5,833","13,920","91,610"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","","value","666","1,773","7,381","2,864","6,146","1,514","1,800","1,013","1,169","3,725","2,562","5,642","36,255"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","Pollock, walleye","landings","1","1","1","3","4","9","18","6,265","2,497","126","10","","8,935"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","","value","0","0","0","0","0","0","0","0","296","6","0","","302"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","Pomfret, Pacific","landings","","","","","","","2","","","","","","2"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","","value","","","","","","","0","","","","","","0"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","Ratfish","landings","201","80","286","1,141","63","49","68","56","18","259","19","68","2,308"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","","value","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","Rockfish, black","landings","","92","","836","665","14","1,104","91","209","15","","","3,026"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","","value","","46","","1,014","988","5","2,321","152","308","23","","","4,857"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","Rockfish, blue","landings","","","","","3","","","","3","","","","6"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","","value","","","","","5","","","","0","","","","5"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","Rockfish, canary","landings","","16","244","2,202","38,283","41,540","23,926","43,262","37,771","10,594","1,469","78","199,385"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","","value","","8","129","1,303","19,775","12,102","10,761","20,523","14,207","4,812","807","46","84,473"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","Rockfish, copper","landings","","","","","2","","","3","","1","","","6"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","","value","","","","","4","","","2","","0","","","6"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","Rockfish, darkblotched","landings","2,397","3,843","14,594","12,797","11,725","7,041","4,762","2,287","4,449","19,240","8,840","15,518","107,493"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","","value","837","1,351","6,301","6,339","4,640","2,087","1,119","868","1,377","7,075","4,608","7,849","44,451"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","Rockfish, quillback","landings","","","","","14","7","30","37","22","48","","","158"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","","value","","","","","7","4","32","20","13","29","","","105"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","Rockfish, Rougheye/blacks","landings","552","2,689","4,689","7,291","8,374","4,348","1,966","1,752","2,200","8,410","4,443","2,059","48,773"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","","value","313","1,427","2,387","3,758","4,432","2,047","745","979","1,260","4,746","2,421","1,138","25,653"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","Rockfish, Shelf","landings","28","52","1,122","4,456","10,766","10,672","9,153","8,396","15,855","9,145","1,485","1,249","72,379"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","","value","4","5","176","838","2,100","1,167","978","1,101","1,485","506","132","110","8,602"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","Rockfish, shortbelly","landings","","","","","3","685","1,053","342","108","33,957","1","4","36,153"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","","value","","","","","2","125","140","45","32","42","1","2","389"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","Rockfish, shortraker","landings","91","260","3,911","2,096","1,520","728","90","540","472","399","901","776","11,784"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","","value","55","144","2,189","1,218","886","380","45","308","278","232","506","408","6,649"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","Rockfish, Slope","landings","1,139","3,625","4,799","5,308","16,240","4,853","2,009","2,958","4,945","18,681","3,019","13,944","81,520"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","","value","263","1,083","985","1,743","7,286","1,829","650","965","1,760","2,997","1,130","4,039","24,730"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","Rockfish, tiger","landings","","","","","","","","4","","","","","4"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","","value","","","","","","","","2","","","","","2"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","Rockfish, widow","landings","11","4","1,578","38,589","1,122,654","1,810,355","1,245,789","884,976","430,047","372,213","449,694","1,500,039","7,855,949"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","","value","5","0","537","14,906","336,484","510,161","321,531","241,615","125,269","104,131","133,868","343,914","2,132,421"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","Rockfish, yelloweye","landings","","","32","10","28","6","32","47","18","1","4","13","191"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","","value","","","18","5","15","0","14","21","8","1","2","8","92"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","Rockfish, yellowtail","landings","7","23","11,907","176,109","450,707","760,147","746,464","915,174","468,830","172,391","73,632","50,418","3,825,809"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","","value","4","10","5,786","84,822","173,436","245,113","198,711","319,277","169,993","53,040","28,914","19,698","1,298,804"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","Sablefish","landings","32,278","73,042","111,026","106,509","176,222","139,120","89,937","109,371","228,368","207,870","141,027","256,441","1,671,211"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","","value","62,809","143,398","224,534","213,808","407,117","333,795","224,168","287,557","535,147","557,062","455,130","761,779","4,206,304"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","Salmon, chinook","landings","","","","10","13,406","6,084","1,946","3,360","2,994","749","56","18","28,623"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","","value","","","","0","116,303","50,853","4,260","15,879","17,567","0","0","0","204,862"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","Salmon, chum","landings","","","","","","","","","","25","","","25"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","","value","","","","","","","","","","0","","","0"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","Salmon, coho","landings","","","","","","4","93","785","712","4","","","1,598"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","","value","","","","","","0","135","2,008","1,707","0","","","3,850"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","Sanddab, Pacific","landings","","171","","1,525","8,440","4,438","10,572","4,012","1,961","1,132","9","8","32,268"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","","value","","85","","675","4,150","2,152","4,159","2,204","1,040","537","1","1","15,004"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","Sardine, Pacific","landings","","","1","","111","2","146","1","380","21","","","662"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","","value","","","0","","0","0","0","0","8","0","","","8"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","Saury, Pacific","landings","","","","","","","","","","2","1","","3"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","","value","","","","","","","","","","0","0","","0"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","Shad, American","landings","1","","2","2","407","89,018","41,611","118,358","74,364","24,010","9,460","190","357,423"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","","value","0","","0","0","0","4","614","2,753","3,564","1,118","288","0","8,341"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","Shark, blue","landings","","","","","61","","623","55","","12","","","751"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","","value","","","","","0","","0","0","","0","","","0"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","Shark, Brown Cat","landings","45","56","154","78","33","26","1","5","4","29","2","22","455"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","","value","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","Shark, other sp.","landings","","","","","","739","201","","","","","","940"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","","value","","","","","","0","0","","","","","","0"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","Shark, Pacific sleeper","landings","","","","","","156","273","","","","","","429"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","","value","","","","","","0","0","","","","","","0"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","Shark, shortfin mako","landings","","","","","","","62","","","41","","","103"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","","value","","","","","","","186","","","92","","","278"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","Shark, soupfin","landings","","","","","","106","243","","","","","","349"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","","value","","","","","","0","0","","","","","","0"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","Shark, spiny dogfish","landings","578","157","176","166","45","36","10,954","19,188","29,399","43,927","10,708","202","115,536"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","","value","0","4","0","0","0","0","0","3","1","1","0","0","9"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","Shark, thresher","landings","","","","","","","236","52","","","","","288"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","","value","","","","","","","0","44","","","","","44"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","Skate, Big","landings","","1,723","1,728","30,034","128,565","37,719","54,549","40,437","26,188","10,433","364","44","331,784"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","","value","","732","809","13,483","49,993","14,171","19,621","15,674","9,695","4,077","130","18","128,403"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","Skate, Longnose","landings","34,271","49,903","77,040","78,400","70,183","45,838","57,567","55,255","64,710","70,107","20,949","69,133","693,356"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","","value","14,676","20,637","30,323","28,644","26,421","15,253","18,717","18,969","21,608","24,988","6,823","22,996","250,055"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","Skates and rays","landings","","","","","","","","12","9","","5","","26"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","","value","","","","","","","","0","0","","0","","0"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","Skates unsp.","landings","924","900","1,256","1,137","199","168","149","169","213","268","159","503","6,045"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","","value","69","0","39","0","0","0","0","0","0","0","0","0","108"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","Smelt (eulachon)","landings","","","","","","","1","","1","","","1","3"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","","value","","","","","","","0","","0","","","0","0"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","Sole, butter","landings","","","","","","","","","3","2","","","5"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","","value","","","","","","","","","0","0","","","0"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","Sole, curlfin (turbot)","landings","","","","","5","55","9","8","9","7","1","1","95"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","","value","","","","","2","13","2","1","3","1","0","0","22"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","Sole, Dover","landings","219,428","673,564","1,127,042","895,439","427,404","339,406","349,971","279,205","478,119","492,422","212,098","571,968","6,066,066"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","","value","93,810","284,761","462,570","355,748","185,777","148,083","155,167","125,120","214,301","223,223","95,799","238,305","2,582,664"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","Sole, English","landings","1,433","4,102","8,702","17,616","14,766","7,846","13,384","6,602","7,262","8,039","2,186","3,119","95,057"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","","value","462","1,352","2,822","5,758","4,507","2,192","4,027","2,100","2,219","2,584","699","970","29,692"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","Sole, flathead","landings","","2","10","611","8,735","9,954","6,297","2,745","5,918","5,104","619","78","40,073"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","","value","","0","2","158","2,571","2,843","1,761","614","1,396","1,062","120","13","10,540"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","Sole, petrale","landings","209,908","246,204","268,602","96,802","229,405","176,579","227,815","138,585","125,048","200,516","80,865","268,156","2,268,485"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","","value","235,540","260,000","295,853","130,057","314,366","239,482","311,304","189,343","170,574","256,606","93,131","266,119","2,762,375"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","Sole, rex","landings","13,679","15,693","17,464","56,377","63,955","57,422","54,505","42,769","59,334","59,567","15,220","29,569","485,554"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","","value","5,183","5,721","6,357","20,196","21,918","16,831","17,146","14,424","19,091","18,571","5,414","10,516","161,368"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","Sole, rock","landings","","9","","86","76","96","415","1,221","345","70","3","","2,321"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","","value","","3","","27","21","32","135","389","106","19","1","","733"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","Sole, sand","landings","","709","","5,142","3,067","420","292","85","89","2","","","9,806"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","","value","","698","","4,788","3,009","247","158","40","73","1","","","9,014"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","Sole, slender","landings","","","","1,082","1","1","3","","2","","","","1,089"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","","value","","","","0","0","0","0","","0","","","","0"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","Sunfish, ocean","landings","","","","","","","","","","10","19","","29"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","","value","","","","","","","","","","0","0","","0"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","Thornyhead, longspine","landings","1,171","45,732","26,440","4,354","46,525","11,472","2,459","11,381","16,152","8,307","7,115","5,111","186,219"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","","value","459","12,577","7,473","1,448","14,724","2,952","2","3,166","5,405","2,270","2,232","1,374","54,082"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","Thornyhead, shortspine","landings","13,283","32,116","49,956","49,334","93,070","55,617","28,048","43,492","71,364","87,855","32,854","52,535","609,524"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","","value","5,972","16,294","28,635","25,645","47,651","30,891","13,575","20,319","34,123","41,884","17,090","25,742","307,821"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","Tomcod, Pacific","landings","","","","","","","","1","","","","","1"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","","value","","","","","","","","0","","","","","0"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","Tuna, albacore","landings","","","","","","3,627","160,354","231,509","83,206","5,969","","","484,665"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","","value","","","","","","7,286","330,908","578,954","245,124","18,593","","","1,180,865"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","Whiting, Pac. (hake)","landings","1,807","3,735","12,024","4,496","9,498,812","25,052,868","23,701,716","26,580,846","19,993,222","12,483,874","1,357,834","851","118,692,085"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","","value","56","144","333","170","780,470","1,983,760","1,911,509","2,154,878","1,589,103","979,524","97,108","0","9,497,055"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","Wolf-eel","landings","","","","","6","12","18","10","11","","","","57"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","","value","","","","","2","1","2","3","0","","","","8"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","Wrymouth, giant","landings","","","","23","28","68","96","56","29","56","18","","374"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","","value","","","","6","5","10","8","7","7","1","0","","44"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","Crustaceans","landings","2,973,391","1,044,251","177,667","95,569","698,744","694,877","725,847","440,168","29,305","482","1,190","1,107","6,882,598"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","","value","8,563,733","3,065,728","615,373","433,688","407,603","341,069","358,427","246,604","17,587","2,232","0","0","14,052,044"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","Crab, Dungeness, bay","landings","","","","","","","","","","480","","","480"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","","value","","","","","","","","","","2,232","","","2,232"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","Crab, Dungeness, ocean","landings","2,973,391","1,044,251","177,667","95,569","25,173","3,586","5,335","2,989","10","2","1,190","1,107","4,330,270"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","","value","8,563,733","3,065,728","615,373","433,688","114,622","14,833","22,377","16,311","0","0","0","0","12,846,665"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","Shrimp, pink","landings","","","","","673,571","691,291","720,512","437,179","29,295","","","","2,551,848"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","","value","","","","","292,981","326,236","336,050","230,293","17,587","","","","1,203,147"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","Molluscs","landings","76","324","349","593","3,990","3,705","2,041","1,260","743","1,436","42","73","14,632"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","","value","9","71","48","158","467","643","360","194","75","56","1","16","2,098"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","Clams, cockle","landings","","","","","","52","","","","","","","52"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","","value","","","","","","26","","","","","","","26"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","Octopus","landings","","","","40","646","807","667","204","35","","","","2,399"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","","value","","","","20","419","467","360","135","22","","","","1,423"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","Squid, Market","landings","","","","","","","","18","","","","","18"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","","value","","","","","","","","0","","","","","0"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","Squid, other sp.","landings","76","324","349","553","3,344","2,846","1,374","1,038","708","1,436","42","73","12,163"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","","value","9","71","48","138","48","150","0","59","53","56","1","16","649"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","Other Invertebrates","landings","","","","","87","61","140","162","52","44","2","3","551"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","","value","","","","","0","0","0","0","0","0","0","0","0"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","Jellyfish","landings","","","","","74","61","139","162","51","44","2","3","536"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","","value","","","","","0","0","0","0","0","0","0","0","0"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","Sea anemone","landings","","","","","","","1","","1","","","","2"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","","value","","","","","","","0","","0","","","","0"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","","landings","","","","","13","","","","","","","","13"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","","value","","","","","0","","","","","","","","0"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","Total","landings","3,578,953","2,331,907","2,198,737","1,989,905","13,338,111","29,511,668","27,766,339","30,165,363","22,514,526","14,646,129","2,527,652","3,026,537","153,595,827"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","","value","8,992,560","3,833,778","1,774,680","1,445,949","3,029,038","4,032,615","4,069,940","4,491,466","3,260,297","2,394,058","964,713","1,775,467","40,064,561"
"2017","BANDON AND PORT ORFORD 2017.pdf","","landings","13,608","10,005","20,348","51,822","57,370","50,971","66,812","85,795","79,596","56,171","47,704","79,123","619,325"
"2017","BANDON AND PORT ORFORD 2017.pdf","","value","41,686","31,499","59,374","149,132","164,456","162,097","265,854","225,044","224,766","220,522","147,994","220,754","1,913,178"
"2017","BANDON AND PORT ORFORD 2017.pdf","Cabezon","landings","1,624","1,167","1,495","2,219","4,770","3,272","2,450","7,786","6,591","3,646","2,031","8,968","46,019"
"2017","BANDON AND PORT ORFORD 2017.pdf","","value","6,370","4,864","5,976","8,102","17,330","12,616","10,140","26,506","21,867","12,046","7,192","30,970","163,979"
"2017","BANDON AND PORT ORFORD 2017.pdf","Flounder, arrowtooth","landings","12","15","51","72","97","216","588","142","185","237","36","26","1,677"
"2017","BANDON AND PORT ORFORD 2017.pdf","","value","1","2","6","8","10","22","59","14","19","24","4","3","172"
"2017","BANDON AND PORT ORFORD 2017.pdf","Flounder, starry","landings","","","","","","","","","7","","","","7"
"2017","BANDON AND PORT ORFORD 2017.pdf","","value","","","","","","","","","7","","","","7"
"2017","BANDON AND PORT ORFORD 2017.pdf","Greenling sp.","landings","1,300","567","858","1,122","1,604","981","897","1,967","1,230","742","426","3,658","15,352"
"2017","BANDON AND PORT ORFORD 2017.pdf","","value","6,395","2,870","4,482","5,704","8,048","4,787","4,086","8,814","5,577","3,570","1,966","17,025","73,324"
"2017","BANDON AND PORT ORFORD 2017.pdf","Hagfish sp","landings","","","","","221","22","140","153","339","75","349","30","1,329"
"2017","BANDON AND PORT ORFORD 2017.pdf","","value","","","","","22","2","14","15","34","8","35","3","133"
"2017","BANDON AND PORT ORFORD 2017.pdf","Halibut, Pacific","landings","","","","","","5,934","26,634","","","","","","32,568"
"2017","BANDON AND PORT ORFORD 2017.pdf","","value","","","","","","29,256","142,177","","","","","","171,433"
"2017","BANDON AND PORT ORFORD 2017.pdf","Irish Lord, red","landings","","","","","","","","","","3","","","3"
"2017","BANDON AND PORT ORFORD 2017.pdf","","value","","","","","","","","","","9","","","9"
"2017","BANDON AND PORT ORFORD 2017.pdf","Lingcod","landings","1,522","1,370","1,432","1,677","9,301","6,850","4,951","12,991","11,565","6,872","10,356","6,944","75,831"
"2017","BANDON AND PORT ORFORD 2017.pdf","","value","4,243","3,940","4,175","4,882","27,168","20,040","14,225","34,158","31,076","19,470","31,526","18,150","213,053"
"2017","BANDON AND PORT ORFORD 2017.pdf","Pacific Ocean perch","landings","","","13","2","","5","4","7","","7","","5","43"
"2017","BANDON AND PORT ORFORD 2017.pdf","","value","","","15","2","","6","5","8","","8","","6","50"
