"row_id","species","metric","year","table","category","Eureka","Fort.Bragg","Bodega.Bay","San.Francisco","Monterey","Morro.Bay","Santa.Barbara","Los.Angeles","San.Diego"
115,"Salmon","Value",1987,"Table 5a","Fish:","$75","$40,525","$323,333","$21,194","$10,597","$62,713","$5,877","$618","$276"
116,"Salmon, Chinook","Landings",1987,"Table 5a","Fish:","1,462,024","2,614,366","2,339,235","1,418,265","701,313","358,068","3,550","900","318"
117,"Salmon, Chinook","Value",1987,"Table 5a","Fish:","$4,124,407","$6,823,342","$6,501,798","$4,007,500","$1,998,996","$1,110,978","$11,212","$2,520","$1,034"
118,"Salmon, coho","Landings",1987,"Table 5a","Fish:","128,095","109,939","4,775","2,011","794","98","","",""
119,"Salmon, coho","Value",1987,"Table 5a","Fish:","$255,563","$220,721","$9,826","$3,869","$1,967","$319","","",""
120,"Salmon, pink","Landings",1987,"Table 5a","Fish:","1,039","2,367","34","9","","","","",""
121,"Salmon, pink","Value",1987,"Table 5a","Fish:","$798","$1,669","$28","$7","","","","",""
122,"Sanddab","Landings",1987,"Table 5a","Fish:","590,194","24,910","9,473","454,364","82,292","7,044","1,521","1,818","4,255"
123,"Sanddab","Value",1987,"Table 5a","Fish:","$218,201","$8,079","$3,465","$164,070","$25,394","$2,094","$623","$3,218","$4,134"
124,"Sardine, Pacific","Landings",1987,"Table 5a","Fish:","","","","581","104,843","","163,803","699,482","67"
125,"Sardine, Pacific","Value",1987,"Table 5a","Fish:","","","","$74","$5,197","","$11,001","$46,304","$34"
126,"Sargo","Landings",1987,"Table 5a","Fish:","","","","","","","","109",""
127,"Sargo","Value",1987,"Table 5a","Fish:","","","","","","","","$75",""
128,"Scorpionfish, California","Landings",1987,"Table 5a","Fish:","","","60","","","133","1,195","18,155","9,244"
129,"Scorpionfish, California","Value",1987,"Table 5a","Fish:","","","$30","","","$93","$1,128","$18,526","$10,550"
130,"Sculpin, staghorn","Landings",1987,"Table 5a","Fish:","","","","","","","","110",""
131,"Sculpin, staghorn","Value",1987,"Table 5a","Fish:","","","","","","","","$136",""
132,"Seabass, white","Landings",1987,"Table 5a","Fish:","","","","14","204","1,075","63,934","40,437","10,790"
133,"Seabass, white","Value",1987,"Table 5a","Fish:","","","","$32","$425","$2,298","$119,878","$77,834","$22,054"
134,"Shad, American","Landings",1987,"Table 5a","Fish:","","","","18,840","25","","55","407",""
135,"Shad, American","Value",1987,"Table 5a","Fish:","","","","$34,048","$3","","$26","$162",""
136,"Shad, threadfin","Landings",1987,"Table 5a","Fish:","","","","16,878","","","","",""
137,"Shad, threadfin","Value",1987,"Table 5a","Fish:","","","","$26,811","","","","",""
138,"Shark, bigeye thresher","Landings",1987,"Table 5a","Fish:","","","9","","3,095","4,206","730","1,414","15,850"
139,"Shark, bigeye thresher","Value",1987,"Table 5a","Fish:","","","$2","","$2,867","$2,519","$614","$1,719","$13,298"
140,"Shark, blue","Landings",1987,"Table 5a","Fish:","","22","","200","190","286","","2,115","597"
141,"Shark, blue","Value",1987,"Table 5a","Fish:","","$9","","$50","$77","$32","","$829","$323"
142,"Shark, brown smoothhound","Landings",1987,"Table 5a","Fish:","8","","246","13","3","50","7,383","2,467","2,736"
143,"Shark, brown smoothhound","Value",1987,"Table 5a","Fish:","$8","","$82","$6","$3","$28","$2,524","$2,017","$1,983"
144,"Shark, horn","Landings",1987,"Table 5a","Fish:","","","","","","","","53",""
145,"Shark, horn","Value",1987,"Table 5a","Fish:","","","","","","","","$1,607",""
146,"Shark, leopard","Landings",1987,"Table 5a","Fish:","1,631","","435","14,286","7,758","2,519","11,474","13,456","3,784"
147,"Shark, leopard","Value",1987,"Table 5a","Fish:","$1,591","","$263","$4,570","$5,555","$1,712","$7,332","$14,034","$3,191"
148,"Shark, Pacific angel","Landings",1987,"Table 5a","Fish:","","","54","12","6,961","64,318","768,310","74,931","25,551"
149,"Shark, Pacific angel","Value",1987,"Table 5a","Fish:","","","$27","$5","$3,240","$30,241","$459,456","$35,284","$14,337"
150,"Shark, pelagic thresher","Landings",1987,"Table 5a","Fish:","","","","","","","","","2,294"
151,"Shark, pelagic thresher","Value",1987,"Table 5a","Fish:","","","","","","","","","$1,842"
153,"Shark, salmon","Landings",1987,"Table 5a","Fish:","","","","255","","","","",""
154,"Shark, salmon","Value",1987,"Table 5a","Fish:","","","","$189","","","","",""
155,"Shark, sevengill","Landings",1987,"Table 5a","Fish:","","","","140","","","30","",""
156,"Shark, sevengill","Value",1987,"Table 5a","Fish:","","","","$98","","","$21","",""
157,"Shark, shortfin mako","Landings",1987,"Table 5a","Fish:","","","1,594","923","12,160","27,021","257,400","164,985","147,898"
158,"Shark, shortfin mako","Value",1987,"Table 5a","Fish:","","","$756","$847","$14,193","$26,498","$321,095","$172,609","$173,319"
159,"Shark, sixgill","Landings",1987,"Table 5a","Fish:","","55","","","","","","",""
160,"Shark, sixgill","Value",1987,"Table 5a","Fish:","","$110","","","","","","",""
161,"Shark, smooth hammerhead","Landings",1987,"Table 5a","Fish:","","","","60","","","","933","814"
162,"Shark, smooth hammerhead","Value",1987,"Table 5a","Fish:","","","","$6","","","","$567","$411"
163,"Shark, soupfin","Landings",1987,"Table 5a","Fish:","2,741","2,854","2,896","13,313","12,901","14,458","43,735","55,671","52,850"
164,"Shark, soupfin","Value",1987,"Table 5a","Fish:","$3,715","$3,743","$3,417","$11,033","$8,420","$10,374","$29,788","$50,428","$50,396"
165,"Shark, spiny dogfish","Landings",1987,"Table 5a","Fish:","","","20","10","283","6","46,084","7,382","150"
166,"Shark, spiny dogfish","Value",1987,"Table 5a","Fish:","","","$3","$1","$75","$2","$4,608","$520","$44"
167,"Shark, thresher","Landings",1987,"Table 5a","Fish:","12,639","","2,327","9,823","49,986","87,816","71,078","144,147","147,260"
168,"Shark, thresher","Value",1987,"Table 5a","Fish:","$18,971","","$2,045","$8,491","$76,764","$127,606","$110,551","$212,174","$230,566"
169,"Shark, unspecified","Landings",1987,"Table 5a","Fish:","55","","29,955","29,476","8,683","1,308","92,628","5,274","471"
170,"Shark, unspecified","Value",1987,"Table 5a","Fish:","$44","","$12,643","$15,137","$4,968","$954","$10,402","$6,271","$861"
171,"Shark, white","Landings",1987,"Table 5a","Fish:","","","","","","325","89","571","358"
172,"Shark, white","Value",1987,"Table 5a","Fish:","","","","","","$154","$77","$571","$296"
173,"Sharks, cow","Landings",1987,"Table 5a","Fish:","15","71","","252","","","20","",""
174,"Sharks, cow","Value",1987,"Table 5a","Fish:","$7","$71","","$76","","","$9","",""
175,"Sheephead, California","Landings",1987,"Table 5a","Fish:","","","","","15","151","20,575","10,068","2,056"
176,"Sheephead, California","Value",1987,"Table 5a","Fish:","","","","","$7","$90","$10,017","$8,688","$875"
177,"Sierra, Pacific","Landings",1987,"Table 5a","Fish:","","","52","","","","","",""
178,"Sierra, Pacific","Value",1987,"Table 5a","Fish:","","","$26","","","","","",""
179,"Silversides","Landings",1987,"Table 5a","Fish:","","","","1,573","","","","3,231","50"
180,"Silversides","Value",1987,"Table 5a","Fish:","","","","$552","","","","$679","$25"
181,"Skate, unspecified","Landings",1987,"Table 5a","Fish:","84,099","1,735","3,686","36,830","26,864","6,150","4,532","5,599","196"
182,"Skate, unspecified","Value",1987,"Table 5a","Fish:","$26,114","$451","$1,108","$10,346","$7,199","$1,464","$960","$2,093","$71"
183,"Smelt, night","Landings",1987,"Table 5a","Fish:","90","391","98","","","","","","2"
184,"Smelt, night","Value",1987,"Table 5a","Fish:","$27","$117","$49","","","","","","$2"
185,"Smelt, surf","Landings",1987,"Table 5a","Fish:","3,211","","1,496","526","545","","","",""
186,"Smelt, surf","Value",1987,"Table 5a","Fish:","$482","","$499","$295","$300","","","",""
187,"Smelt, whitebait","Landings",1987,"Table 5a","Fish:","458,298","1,344","26,224","113","1,841","","","",""
188,"Smelt, whitebait","Value",1987,"Table 5a","Fish:","$137,374","$407","$8,034","$56","$919","","","",""
189,"Smelts, true","Landings",1987,"Table 5a","Fish:","422,115","40","100","11,241","915","139","","68",""
190,"Smelts, true","Value",1987,"Table 5a","Fish:","$63,980","$6","$30","$4,454","$298","$42","","$12",""
192,"Sole, bigmouth","Landings",1987,"Table 5a","Fish:","","","","","","178","","",""
193,"Sole, bigmouth","Value",1987,"Table 5a","Fish:","","","","","","$45","","",""
194,"Sole, butter","Landings",1987,"Table 5a","Fish:","13,463","","","4,709","14,111","","12","10","489"
195,"Sole, butter","Value",1987,"Table 5a","Fish:","$3,225","","","$479","$2,430","","$6","$5","$124"
196,"Sole, Dover","Landings",1987,"Table 5a","Fish:","9,480,629","2,647,212","2,642,069","2,168,559","1,236,920","5,477,187","70,441","","630"
197,"Sole, Dover","Value",1987,"Table 5a","Fish:","$2,931,477","$810,231","$770,906","$584,658","$296,017","$956,741","$18,533","","$158"
198,"Sole, English","Landings",1987,"Table 5a","Fish:","1,268,212","341,480","195,211","570,844","372,760","63,851","99,384","369","2,648"
199,"Sole, English","Value",1987,"Table 5a","Fish:","$536,258","$118,635","$70,722","$236,252","$120,508","$26,360","$42,244","$129","$1,036"
200,"Sole, fantail","Landings",1987,"Table 5a","Fish:","","16,927","","12,957","","17","","",""
201,"Sole, fantail","Value",1987,"Table 5a","Fish:","","$1,425","","$4,588","","$7","","",""
202,"Sole, petrale","Landings",1987,"Table 5a","Fish:","593,048","305,088","78,895","346,629","218,552","152,008","120,054","563","1,012"
203,"Sole, petrale","Value",1987,"Table 5a","Fish:","$449,010","$217,174","$45,248","$263,417","$153,863","$143,328","$117,164","$466","$744"
204,"Sole, rex","Landings",1987,"Table 5a","Fish:","758,170","300,604","132,020","139,033","128,456","353,871","6,117","10","495"
205,"Sole, rex","Value",1987,"Table 5a","Fish:","$281,602","$106,769","$43,553","$49,604","$45,373","$119,907","$2,402","$7","$183"
206,"Sole, rock","Landings",1987,"Table 5a","Fish:","10","3,347","6","5,744","15","12","","","17"
207,"Sole, rock","Value",1987,"Table 5a","Fish:","$4","$1,399","$4","$2,326","$6","$11","","","$12"
208,"Sole, sand","Landings",1987,"Table 5a","Fish:","130,082","1,528","406","194,540","5,573","1,229","118","56","2,725"
209,"Sole, sand","Value",1987,"Table 5a","Fish:","$95,361","$1,055","$254","$142,790","$3,231","$640","$35","$22","$1,908"
210,"Sole, unspecified","Landings",1987,"Table 5a","Fish:","","20","","2,259","6,591","1,641","50,499","14,686","3,116"
211,"Sole, unspecified","Value",1987,"Table 5a","Fish:","","$7","","$860","$1,349","$611","$22,317","$6,872","$2,527"
212,"Stickleback, threespine","Landings",1987,"Table 5a","Fish:","","","498","2,051","","","","",""
213,"Stickleback, threespine","Value",1987,"Table 5a","Fish:","","","$3,474","$3,170","","","","",""
214,"Stingray","Landings",1987,"Table 5a","Fish:","","","","","265","","","33",""
215,"Stingray","Value",1987,"Table 5a","Fish:","","","","","$2,650","","","$331",""
216,"Sunfish, ocean","Landings",1987,"Table 5a","Fish:","","","","","","","","","245"
217,"Sunfish, ocean","Value",1987,"Table 5a","Fish:","","","","","","","","","$341"
218,"Surfperch, barred","Landings",1987,"Table 5a","Fish:","144","","","","","22,213","","",""
219,"Surfperch, barred","Value",1987,"Table 5a","Fish:","$36","","","","","$27,487","","",""
220,"Surfperch, black","Landings",1987,"Table 5a","Fish:","","","","","","41","","512",""
221,"Surfperch, black","Value",1987,"Table 5a","Fish:","","","","","","$26","","$94",""
222,"Surfperch, pile","Landings",1987,"Table 5a","Fish:","55","","","","","","","",""
223,"Surfperch, pile","Value",1987,"Table 5a","Fish:","$33","","","","","","","",""
224,"Surfperch, redtail","Landings",1987,"Table 5a","Fish:","22,769","9","50","42","171","5","","",""
225,"Surfperch, redtail","Value",1987,"Table 5a","Fish:","$19,192","$7","$25","$42","$145","$5","","",""
226,"Surfperch, shiner","Landings",1987,"Table 5a","Fish:","","","","","","45","","8",""
227,"Surfperch, shiner","Value",1987,"Table 5a","Fish:","","","","","","$17","","$6",""
228,"Surfperch, unspecified","Landings",1987,"Table 5a","Fish:","4,352","15,612","1,112","10,188","2,905","19,858","11,714","11,648","22,104"
229,"Surfperch, unspecified","Value",1987,"Table 5a","Fish:","$2,394","$4,665","$772","$11,192","$581","$23,995","$4,689","$9,473","$14,058"
231,"Surfperch, white","Landings",1987,"Table 5a","Rockfish:","","","","","","","","12",""
232,"Surfperch, white","Value",1987,"Table 5a","Rockfish:","","","","","","","","$10",""
233,"Swordfish","Landings",1987,"Table 5a","Rockfish:","","","21,812","85,297","393,127","412,216","196,262","817,759","814,469"
234,"Swordfish","Value",1987,"Table 5a","Rockfish:","","","$92,059","$312,862","$1,412,986","$1,055,535","$820,707","$3,406,179","$3,309,084"
235,"Thornyheads (unspecified)","Landings",1987,"Table 5a","Rockfish:","3,414,094","833,352","209,622","348,954","209,734","1,465,830","26,086","515",""
236,"Thornyheads (unspecified)","Value",1987,"Table 5a","Rockfish:","$1,127,663","$264,052","$66,749","$103,319","$53,816","$269,426","$7,152","$309",""
237,"Tomcod, Pacific","Landings",1987,"Table 5a","Rockfish:","186","","","","","","","",""
238,"Tomcod, Pacific","Value",1987,"Table 5a","Rockfish:","$61","","","","","","","",""
239,"Trawled fish for animal food","Landings",1987,"Table 5a","Rockfish:","63,875","","","190","","90","","",""
240,"Trawled fish for animal food","Value",1987,"Table 5a","Rockfish:","$38,964","","","$116","","$55","","",""
241,"Triggerfish","Landings",1987,"Table 5a","Rockfish:","","","","525","","","","",""
242,"Triggerfish","Value",1987,"Table 5a","Rockfish:","","","","$105","","","","",""
243,"Tuna, albacore","Landings",1987,"Table 5a","Rockfish:","253,440","66,305","67,849","451,799","1,343,265","423,823","5,107","828,005","71,889"
244,"Tuna, albacore","Value",1987,"Table 5a","Rockfish:","$187,766","$48,431","$45,177","$336,142","$974,002","$316,767","$3,930","$108,061","$56,436"
245,"Tuna, bigeye","Landings",1987,"Table 5a","Rockfish:","","","","","1,278","1,735","71","73,638","32,950"
246,"Tuna, bigeye","Value",1987,"Table 5a","Rockfish:","","","","","$1,783","$1,711","$106","$4,015","$62,534"
247,"Tuna, blackfin","Landings",1987,"Table 5a","Rockfish:","","","","","","","","12","1,142"
248,"Tuna, blackfin","Value",1987,"Table 5a","Rockfish:","","","","","","","","$9","$857"
249,"Tuna, bluefin","Landings",1987,"Table 5a","Rockfish:","","","","","140","567","150","1,677,117","136,065"
250,"Tuna, bluefin","Value",1987,"Table 5a","Rockfish:","","","","","$76","$423","$299","$2,120,241","$173,210"
251,"Tuna, skipjack","Landings",1987,"Table 5a","Rockfish:","","","","","","","","12,021,920","597,180"
252,"Tuna, skipjack","Value",1987,"Table 5a","Rockfish:","","","","","","","","$5,147","$331"
253,"Tuna, unspecified","Landings",1987,"Table 5a","Rockfish:","","","","182","1,183","2,361","518","272,247","7,294"
254,"Tuna, unspecified","Value",1987,"Table 5a","Rockfish:","","","","$95","$1,477","$2,251","$832","$432,592","$10,809"
255,"Tuna, yellowfin","Landings",1987,"Table 5a","Rockfish:","","","","321","405","1,845","775","48,554,580","2,591,073"
256,"Tuna, yellowfin","Value",1987,"Table 5a","Rockfish:","","","","$320","$257","$1,983","$1,170","$882,688","$27,906"
257,"Turbot","Landings",1987,"Table 5a","Rockfish:","36,781","1,725","435","2,484","53","864","155","","85"
258,"Turbot","Value",1987,"Table 5a","Rockfish:","$12,035","$568","$144","$696","$26","$325","$77","","$68"
259,"Wahoo","Landings",1987,"Table 5a","Rockfish:","","","","","","","","23,318","10"
260,"Wahoo","Value",1987,"Table 5a","Rockfish:","","","","","","","","$11,284","$10"
261,"Whitefish, ocean","Landings",1987,"Table 5a","Rockfish:","3,202","","","","","6","737","523","2,568"
262,"Whitefish, ocean","Value",1987,"Table 5a","Rockfish:","$256","","","","","$3","$351","$261","$1,895"
263,"Whiting, Pacific","Landings",1987,"Table 5a","Rockfish:","9,937,167","1,308","18,027","137","1,517","15","1,569","","220"
264,"Whiting, Pacific","Value",1987,"Table 5a","Rockfish:","$608,943","$78","$1,082","$34","$144","$4","$191","","$67"
265,"Yellowtail","Landings",1987,"Table 5a","Rockfish:","","","11","","208","129","17,144","19,936","19,425"
266,"Yellowtail","Value",1987,"Table 5a","Rockfish:","","","$4","","$312","$129","$15,800","$18,959","$20,439"
267,"Zebraperch","Landings",1987,"Table 5a","Rockfish:","","","","","","","","218",""
268,"Zebraperch","Value",1987,"Table 5a","Rockfish:","","","","","","","","$185",""
