Fish:,Eureka,Fort Bragg,Bodega Bay,San Francisco,Monterey,Morro Bay,Santa Barbara,Los Angeles,San Diego
"Flounder, starry","93,101",5,"2,277","84,113","23,588","7,085",139,,665
"","$41,411",$2,$996,"$36,169","$12,607","$3,218",$74,,$266
"Flounder, unspecified","9,353",16,"12,306","9,265","21,993","17,650",202,78,12
"","$4,392",$6,"$5,197","$3,602","$12,082","$8,160",$125,$63,$16
Flyingfish,,,,,,,,"179,528",
"",,,,,,,,"$74,548",
Garibaldi,,,,,,,,95,
"",,,,,,,,"$2,012",
"Goby, bluebanded",,,,,,,,18,
"",,,,,,,,$5,
"Greenling, kelp",,,,"1,315",245,18,,,
"",,,,$304,$80,$8,,,
Grenadiers,"105,770","13,004",,"8,330",,,,,
"","$16,903","$1,964",,$288,,,,,
Grouper,,,,17,,,,95,106
"",,,,$12,,,,$76,$69
"Guitarfish, shovelnose",,,,11,153,"2,914","38,849","12,770",339
"",,,,$5,$113,"$1,816","$14,723","$5,175",$133
Halfmoon,,,,,,,,915,"1,950"
"",,,,,,,,$641,"$1,172"
"Halibut, California","1,219",119,"6,704","91,043","94,318","227,151","380,424","308,112","79,506"
"","$2,237",$235,"$15,610","$205,733","$208,178","$480,576","$798,614","$672,703","$168,492"
"Halibut, Pacific",,"61,576",,480,,,,,
"",,"$121,957",,"$1,367",,,,,
"Halibut, unspecified",242,,,102,,24,28,,
"",$484,,,$291,,$49,$62,,
Herring roe on kelp,,,,"43,359",,,,,
"",,,,"$84,739",,,,,
"Herring, Pacific","143,202",,"1,648,162","16,655,186","49,727",,12,"66,860",
"","$96,676",,"$657,347","$4,868,238",$577,,$5,"$5,049",
Table 5a (continued) Fish:,Eureka,Fort Bragg,Bodega Bay,San Francisco,Monterey,Morro Bay,Santa Barbara,Los Angeles,San Diego
Jacksmelt,,,,515,391,,,209,
"",,,,$180,$51,,,$94,
Lingcod,"440,351","489,619","109,376","405,289","322,082","68,445","13,464","7,732","2,169"
"","$191,308","$168,198","$27,237","$157,073","$117,503","$31,487","$5,623","$3,917","$1,374"
"Lizardfish, California",,,,,,,,"4,770",
"",,,,,,,,"$1,974",
Louvar,,,,285,"1,987","2,489","1,180","1,752","3,980"
"",,,,$455,"$2,512","$3,619","$1,393","$2,211","$7,622"
"Mackerel, bullet",,,,,,,,"7,000",
"",,,,,,,,$350,
"Mackerel, jack",,3,,"1,097","462,329",,"17,565","17,198,581","1,793"
"",,$0.2,,$76,"$31,600",,"$1,640","$713,066",$967
"Mackerel, Pacific",,,,59,"708,621",,"3,050,790","55,618,278","14,980"
"",,,,$49,"$37,774",,"$203,916","$2,660,833","$5,085"
"Mackerel, unspecified",,38,425,"13,391","1,400,549","1,836","9,923,843","32,267,553","6,461"
"",,$7,$135,"$2,828","$72,755",$458,"$589,735","$1,033,747","$2,604"
"Midshipman, plainfin",,,,,,,,,37
"",,,,,,,,,$18
"Mudsucker, longjaw",,,,564,,,,,
"",,,,"$3,578",,,,,
"Mullet, striped",,,,,,,2,,"17,132"
"",,,,,,,$2,,"$12,832"
Opah,,10,203,"1,288","7,361","11,752","5,193","19,199","47,487"
"",,$4,$33,$490,"$2,633","$3,544","$2,309","$7,217","$23,588"
Opaleye,,,,,,14,17,"4,122",446
"",,,,,,$12,$4,"$3,292",$284
"Prickleback, monkeyface",28,,,,,,,,
"",$14,,,,,,,,
Queenfish,,,,,9,,,137,11
"",,,,,$4,,,$25,$6
"Ray, bat",,,,,,130,,1,
"",,,,,,$39,,$0.2,
"Ray, Pacific electric",,,,,,,,4,
"",,,,,,,,$2,
"Ray, unspecified",,,,,,,94,579,
"",,,,,,,$52,"$6,527",
Sablefish,"3,058,569","2,301,254","454,630","2,006,719","876,453","780,004","31,067","29,200","47,699"
"","$1,084,729","$994,582","$133,241","$607,237","$240,051","$147,023","$10,016","$22,576","$15,562"
Table 5a (continued) Fish:,Eureka,Fort Bragg,Bodega Bay,San Francisco,Monterey,Morro Bay,Santa Barbara,Los Angeles,San Diego
Salmon,49,"14,706","105,937","7,203","3,454","19,924","2,136",174,69
"",$75,"$40,525","$323,333","$21,194","$10,597","$62,713","$5,877",$618,$276
"Salmon, Chinook","1,462,024","2,614,366","2,339,235","1,418,265","701,313","358,068","3,550",900,318
"","$4,124,407","$6,823,342","$6,501,798","$4,007,500","$1,998,996","$1,110,978","$11,212","$2,520","$1,034"
"Salmon, coho","128,095","109,939","4,775","2,011",794,98,,,
"","$255,563","$220,721","$9,826","$3,869","$1,967",$319,,,
"Salmon, pink","1,039","2,367",34,9,,,,,
"",$798,"$1,669",$28,$7,,,,,
Sanddab,"590,194","24,910","9,473","454,364","82,292","7,044","1,521","1,818","4,255"
"","$218,201","$8,079","$3,465","$164,070","$25,394","$2,094",$623,"$3,218","$4,134"
"Sardine, Pacific",,,,581,"104,843",,"163,803","699,482",67
"",,,,$74,"$5,197",,"$11,001","$46,304",$34
Sargo,,,,,,,,109,
"",,,,,,,,$75,
"Scorpionfish, California",,,60,,,133,"1,195","18,155","9,244"
"",,,$30,,,$93,"$1,128","$18,526","$10,550"
"Sculpin, staghorn",,,,,,,,110,
"",,,,,,,,$136,
"Seabass, white",,,,14,204,"1,075","63,934","40,437","10,790"
"",,,,$32,$425,"$2,298","$119,878","$77,834","$22,054"
"Shad, American",,,,"18,840",25,,55,407,
"",,,,"$34,048",$3,,$26,$162,
"Shad, threadfin",,,,"16,878",,,,,
"",,,,"$26,811",,,,,
"Shark, bigeye thresher",,,9,,"3,095","4,206",730,"1,414","15,850"
"",,,$2,,"$2,867","$2,519",$614,"$1,719","$13,298"
"Shark, blue",,22,,200,190,286,,"2,115",597
"",,$9,,$50,$77,$32,,$829,$323
"Shark, brown smoothhound",8,,246,13,3,50,"7,383","2,467","2,736"
"",$8,,$82,$6,$3,$28,"$2,524","$2,017","$1,983"
"Shark, horn",,,,,,,,53,
"",,,,,,,,"$1,607",
"Shark, leopard","1,631",,435,"14,286","7,758","2,519","11,474","13,456","3,784"
"","$1,591",,$263,"$4,570","$5,555","$1,712","$7,332","$14,034","$3,191"
"Shark, Pacific angel",,,54,12,"6,961","64,318","768,310","74,931","25,551"
"",,,$27,$5,"$3,240","$30,241","$459,456","$35,284","$14,337"
"Shark, pelagic thresher",,,,,,,,,"2,294"
"",,,,,,,,,"$1,842"
Table 5a (continued) Fish:,Eureka,Fort Bragg,Bodega Bay,San Francisco,Monterey,Morro Bay,Santa Barbara,Los Angeles,San Diego
"Shark, salmon",,,,255,,,,,
"",,,,$189,,,,,
"Shark, sevengill",,,,140,,,30,,
"",,,,$98,,,$21,,
"Shark, shortfin mako",,,"1,594",923,"12,160","27,021","257,400","164,985","147,898"
"",,,$756,$847,"$14,193","$26,498","$321,095","$172,609","$173,319"
"Shark, sixgill",,55,,,,,,,
"",,$110,,,,,,,
"Shark, smooth hammerhead",,,,60,,,,933,814
"",,,,$6,,,,$567,$411
"Shark, soupfin","2,741","2,854","2,896","13,313","12,901","14,458","43,735","55,671","52,850"
"","$3,715","$3,743","$3,417","$11,033","$8,420","$10,374","$29,788","$50,428","$50,396"
"Shark, spiny dogfish",,,20,10,283,6,"46,084","7,382",150
"",,,$3,$1,$75,$2,"$4,608",$520,$44
"Shark, thresher","12,639",,"2,327","9,823","49,986","87,816","71,078","144,147","147,260"
"","$18,971",,"$2,045","$8,491","$76,764","$127,606","$110,551","$212,174","$230,566"
"Shark, unspecified",55,,"29,955","29,476","8,683","1,308","92,628","5,274",471
"",$44,,"$12,643","$15,137","$4,968",$954,"$10,402","$6,271",$861
"Shark, white",,,,,,325,89,571,358
"",,,,,,$154,$77,$571,$296
"Sharks, cow",15,71,,252,,,20,,
"",$7,$71,,$76,,,$9,,
"Sheephead, California",,,,,15,151,"20,575","10,068","2,056"
"",,,,,$7,$90,"$10,017","$8,688",$875
"Sierra, Pacific",,,52,,,,,,
"",,,$26,,,,,,
Silversides,,,,"1,573",,,,"3,231",50
"",,,,$552,,,,$679,$25
"Skate, unspecified","84,099","1,735","3,686","36,830","26,864","6,150","4,532","5,599",196
"","$26,114",$451,"$1,108","$10,346","$7,199","$1,464",$960,"$2,093",$71
"Smelt, night",90,391,98,,,,,,2
"",$27,$117,$49,,,,,,$2
"Smelt, surf","3,211",,"1,496",526,545,,,,
"",$482,,$499,$295,$300,,,,
"Smelt, whitebait","458,298","1,344","26,224",113,"1,841",,,,
"","$137,374",$407,"$8,034",$56,$919,,,,
"Smelts, true","422,115",40,100,"11,241",915,139,,68,
"","$63,980",$6,$30,"$4,454",$298,$42,,$12,
Table 5a (continued) Fish:,Eureka,Fort Bragg,Bodega Bay,San Francisco,Monterey,Morro Bay,Santa Barbara,Los Angeles,San Diego
"Sole, bigmouth",,,,,,178,,,
"",,,,,,$45,,,
"Sole, butter","13,463",,,"4,709","14,111",,12,10,489
"","$3,225",,,$479,"$2,430",,$6,$5,$124
"Sole, Dover","9,480,629","2,647,212","2,642,069","2,168,559","1,236,920","5,477,187","70,441",,630
"","$2,931,477","$810,231","$770,906","$584,658","$296,017","$956,741","$18,533",,$158
"Sole, English","1,268,212","341,480","195,211","570,844","372,760","63,851","99,384",369,"2,648"
"","$536,258","$118,635","$70,722","$236,252","$120,508","$26,360","$42,244",$129,"$1,036"
"Sole, fantail",,"16,927",,"12,957",,17,,,
"",,"$1,425",,"$4,588",,$7,,,
"Sole, petrale","593,048","305,088","78,895","346,629","218,552","152,008","120,054",563,"1,012"
"","$449,010","$217,174","$45,248","$263,417","$153,863","$143,328","$117,164",$466,$744
"Sole, rex","758,170","300,604","132,020","139,033","128,456","353,871","6,117",10,495
"","$281,602","$106,769","$43,553","$49,604","$45,373","$119,907","$2,402",$7,$183
"Sole, rock",10,"3,347",6,"5,744",15,12,,,17
"",$4,"$1,399",$4,"$2,326",$6,$11,,,$12
"Sole, sand","130,082","1,528",406,"194,540","5,573","1,229",118,56,"2,725"
"","$95,361","$1,055",$254,"$142,790","$3,231",$640,$35,$22,"$1,908"
"Sole, unspecified",,20,,"2,259","6,591","1,641","50,499","14,686","3,116"
"",,$7,,$860,"$1,349",$611,"$22,317","$6,872","$2,527"
"Stickleback, threespine",,,498,"2,051",,,,,
"",,,"$3,474","$3,170",,,,,
Stingray,,,,,265,,,33,
"",,,,,"$2,650",,,$331,
"Sunfish, ocean",,,,,,,,,245
"",,,,,,,,,$341
"Surfperch, barred",144,,,,,"22,213",,,
"",$36,,,,,"$27,487",,,
"Surfperch, black",,,,,,41,,512,
"",,,,,,$26,,$94,
"Surfperch, pile",55,,,,,,,,
"",$33,,,,,,,,
"Surfperch, redtail","22,769",9,50,42,171,5,,,
"","$19,192",$7,$25,$42,$145,$5,,,
"Surfperch, shiner",,,,,,45,,8,
"",,,,,,$17,,$6,
"Surfperch, unspecified","4,352","15,612","1,112","10,188","2,905","19,858","11,714","11,648","22,104"
"","$2,394","$4,665",$772,"$11,192",$581,"$23,995","$4,689","$9,473","$14,058"
Table 5a (continued) Fish:,Eureka,Fort Bragg,Bodega Bay,San Francisco,Monterey,Morro Bay,Santa Barbara,Los Angeles,San Diego
"Surfperch, white",,,,,,,,12,
"",,,,,,,,$10,
Swordfish,,,"21,812","85,297","393,127","412,216","196,262","817,759","814,469"
"",,,"$92,059","$312,862","$1,412,986","$1,055,535","$820,707","$3,406,179","$3,309,084"
Thornyheads (unspecified),"3,414,094","833,352","209,622","348,954","209,734","1,465,830","26,086",515,
"","$1,127,663","$264,052","$66,749","$103,319","$53,816","$269,426","$7,152",$309,
"Tomcod, Pacific",186,,,,,,,,
"",$61,,,,,,,,
Trawled fish for animal food,"63,875",,,190,,90,,,
"","$38,964",,,$116,,$55,,,
Triggerfish,,,,525,,,,,
"",,,,$105,,,,,
"Tuna, albacore","253,440","66,305","67,849","451,799","1,343,265","423,823","5,107","828,005","71,889"
"","$187,766","$48,431","$45,177","$336,142","$974,002","$316,767","$3,930","$108,061","$56,436"
"Tuna, bigeye",,,,,"1,278","1,735",71,"73,638","32,950"
"",,,,,"$1,783","$1,711",$106,"$4,015","$62,534"
"Tuna, blackfin",,,,,,,,12,"1,142"
"",,,,,,,,$9,$857
"Tuna, bluefin",,,,,140,567,150,"1,677,117","136,065"
"",,,,,$76,$423,$299,"$2,120,241","$173,210"
"Tuna, skipjack",,,,,,,,"12,021,920","597,180"
"",,,,,,,,"$5,147",$331
"Tuna, unspecified",,,,182,"1,183","2,361",518,"272,247","7,294"
"",,,,$95,"$1,477","$2,251",$832,"$432,592","$10,809"
"Tuna, yellowfin",,,,321,405,"1,845",775,"48,554,580","2,591,073"
"",,,,$320,$257,"$1,983","$1,170","$882,688","$27,906"
Turbot,"36,781","1,725",435,"2,484",53,864,155,,85
"","$12,035",$568,$144,$696,$26,$325,$77,,$68
Wahoo,,,,,,,,"23,318",10
"",,,,,,,,"$11,284",$10
"Whitefish, ocean","3,202",,,,,6,737,523,"2,568"
"",$256,,,,,$3,$351,$261,"$1,895"
"Whiting, Pacific","9,937,167","1,308","18,027",137,"1,517",15,"1,569",,220
"","$608,943",$78,"$1,082",$34,$144,$4,$191,,$67
Yellowtail,,,11,,208,129,"17,144","19,936","19,425"
"",,,$4,,$312,$129,"$15,800","$18,959","$20,439"
Zebraperch,,,,,,,,218,
"",,,,,,,,$185,
Table 5a (continued) Rockfish:,Eureka,Fort Bragg,Bodega Bay,San Francisco,Monterey,Morro Bay,Santa Barbara,Los Angeles,San Diego
"Rockfish, bank",,,,"66,427","2,000",,,,"12,230"
"",,,,"$27,002",$800,,,,"$5,741"
"Rockfish, black","24,786","3,227",55,"14,278",56,,,,
"","$10,073","$2,105",$55,"$3,201",$18,,,,
"Rockfish, black-and-yellow",,,,,162,,60,,
"",,,,,$67,,$36,,
"Rockfish, blackgill",,,,150,,"11,992","231,810","157,298","54,461"
"",,,,$15,,"$5,532","$122,159","$79,247","$30,228"
"Rockfish, blue",,,,21,"17,698",479,198,44,"3,295"
"",,,,$9,"$5,758",$203,$79,$11,"$1,549"
"Rockfish, brown",79,,,3,"9,051",120,4,,
"",$32,,,$1,"$3,643",$102,$4,,
"Rockfish, canary",542,"3,094",,232,,,,,
"",$271,"$1,982",,$137,,,,,
"Rockfish, chilipepper",,,,"2,348","3,394","1,820",,42,
"",,,,"$1,325","$1,171",$605,,$23,
"Rockfish, China",,,,"6,247","6,517",2,,,
"",,,,"$4,976","$3,108",$2,,,
"Rockfish, copper",,942,"3,457","1,383",,,6,,560
"",,$377,"$2,272",$898,,,$3,,$588
"Rockfish, copper (whitebelly)",,,,,,689,,,
"",,,,,,$646,,,
"Rockfish, cowcod",,,,652,"1,425","6,998","42,758","10,692","40,324"
"",,,,$183,$702,"$5,548","$34,976","$11,212","$39,468"
"Rockfish, group bocaccio/chilipepper",,"25,936","90,817","489,665","2,471,971","569,821","803,279","468,144","109,667"
"",,"$8,976","$45,004","$198,430","$890,112","$253,246","$329,471","$207,565","$61,913"
"Rockfish, group bolina",,80,"23,405","45,634","10,277","15,537","1,454",69,258
"",,$72,"$16,287","$49,276","$8,868","$7,933","$1,846",$41,$193
"Rockfish, group deepwater reds",,,,,"1,876",,,,
"",,,,,$814,,,,
"Rockfish, group gopher",,14,"3,230","7,536","51,529","33,162",223,9,
"",,$17,"$1,506","$4,328","$75,271","$32,030",$89,$10,
"Rockfish, group red","250,228","480,007","81,595","144,832","158,781","153,579","197,594","129,649","73,968"
"","$130,680","$170,945","$54,404","$75,197","$84,927","$125,076","$231,872","$134,747","$57,308"
"Rockfish, group rosefish","176,083","73,974","65,423","254,812","297,960","228,954","18,763",,"27,615"
"","$53,979","$22,344","$16,400","$74,999","$71,209","$53,747","$6,036",,"$8,387"
"Rockfish, group small","405,529","5,066","12,411","49,142","61,294","85,246","1,666",181,
"","$119,328","$1,578","$3,996","$12,003","$12,982","$27,321","$1,438",$181,
Table 5a (continued) Rockfish:,Eureka,Fort Bragg,Bodega Bay,San Francisco,Monterey,Morro Bay,Santa Barbara,Los Angeles,San Diego
"Rockfish, olive",,,,,,12,,,
"",,,,,,$5,,,
"Rockfish, Pacific ocean perch",,,13,,,127,32,217,
"",,,$7,,,$158,$13,$161,
"Rockfish, pink",,,,,,,,,13
"",,,,,,,,,$10
"Rockfish, rosy",,,,,,,"1,930",,"3,083"
"",,,,,,,$550,,"$1,038"
"Rockfish, speckled",,307,,,,,,,
"",,$184,,,,,,,
"Rockfish, splitnose",,,,,,760,"2,103",,841
"",,,,,,$304,"$3,090",,$252
"Rockfish, unspecified","4,990,081","1,919,965","1,254,687","2,046,797","2,459,749","1,106,290","1,028,451","115,626","895,073"
"","$1,656,019","$612,886","$422,682","$766,434","$816,764","$484,167","$528,560","$93,359","$514,355"
"Rockfish, vermilion",,,,10,32,,,,
"",,,,$6,$19,,,,
"Rockfish, widow","2,961,948","666,970","278,272","514,107","250,090","13,181",,,
"","$953,628","$212,098","$83,294","$196,068","$89,728","$5,931",,,
"Rockfish, yelloweye","15,725","33,044",507,"1,174",,,63,778,
"","$7,979","$22,851",$456,"$1,001",,,$40,$389,
"Rockfish, yellowtail","1,978","5,756",196,"171,928","3,380",47,,,
"",$701,"$3,970",$70,"$83,599","$1,617",$39,,,
"",,,,,,,,,
Crustaceans:,,,,,,,,,
"Crab, box",,,,,,,55,,75
"",,,,,,,$28,,$60
"Crab, claws",549,,21,"1,447","7,413","30,676","31,862","6,907","4,057"
"",$791,,$16,"$1,274","$10,807","$21,562","$9,771","$2,267","$1,047"
"Crab, Dungeness","4,143,626","374,461","907,506","1,401,375","18,276","3,726","4,649","3,431",20
"","$5,606,092","$526,430","$1,310,311","$2,244,755","$19,456","$3,660",$853,"$3,791",$5
"Crab, king",,,,,,,35,,103
"",,,,,,,$13,,$103
"Crab, rock unspecified","1,373","2,303","3,885","25,510","4,823","193,757","239,944","847,345","248,162"
"","$2,147","$2,851","$3,454","$45,934","$4,063","$179,477","$227,251","$773,664","$241,646"
"Crab, sand",50,,,,,,,,
"",$60,,,,,,,,
Table 5a (continued) Crustaceans:,Eureka,Fort Bragg,Bodega Bay,San Francisco,Monterey,Morro Bay,Santa Barbara,Los Angeles,San Diego
"Crab, shore",,,,,,,,8,
"",,,,,,,,$140,
"Crab, spider",,,,,,115,"45,039","45,241","9,152"
"",,,,,,$79,"$24,614","$21,020","$4,285"
"Crab, tanner",,,,3,,,,,3
"",,,,$2,,,,,$2
"Crustacean, unspecified",,,,40,,,,27,
"",,,,"$3,257",,,,$533,
"Lobster, California spiny",,,,,220,"2,858","112,277","146,849","187,284"
"",,,,,$535,"$14,197","$527,027","$711,688","$878,525"
"Prawn, ridgeback",,,,,,916,"219,947","18,824","2,170"
"",,,,,,"$1,131","$262,563","$19,261","$13,264"
"Prawn, spot",,,,120,"11,147","8,371","42,868","13,992","12,001"
"",,,,$369,"$58,175","$27,362","$173,650","$73,666","$84,293"
"Shrimp, bay",,,"13,622","91,546",,,,,
"",,,"$45,087","$211,956",,,,,
"Shrimp, brine",,,,"96,906",,,,,
"",,,,"$1,431",,,,,
"Shrimp, coonstriped",,,,,,,343,"1,483",475
"",,,,,,,"$1,115","$5,647",$716
"Shrimp, ghost",,,,,,39,,,16
"",,,,,,$314,,,$32
"Shrimp, Pacific Ocean","6,662,708","658,162","6,861","18,952",179,"658,293","18,012",,221
"","$4,652,400","$488,344","$4,249","$5,472",$126,"$277,905","$12,460",,$198
"Shrimp, red rock",,,,,,,,12,242
"",,,,,,,,$124,"$1,755"
"Shrimp, unspecified",,,,"15,990",906,,"1,685",160,"1,125"
"",,,,"$78,428","$5,292",,"$4,609",$750,"$8,381"
"",,,,,,,,,
Echinoderms:,,,,,,,,,
"Sea cucumber, unspecified",,,,,,,"102,700","4,878",100
"",,,,,,,"$19,921","$2,920",$80
Sea stars,,,,,,,,7,
"",,,,,,,,$66,
"Urchin, red","1,180","17,808,808","5,713,676","36,551",970,"2,565","12,555,845","9,099,099","842,956"
"",$295,"$3,666,550","$1,069,198","$7,009",$134,"$1,127","$3,915,168","$2,720,450","$414,530"
Table 5 a (continued) Echinoderms:,Eureka,Fort Bragg,Bodega Bay,San Francisco,Monterey,Morro Bay,Santa Barbara,Los Angeles,San Diego
"Urchin, white",,,,,,,,8,
"",,,,,,,,$1,
"",,,,,,,,,
Mollusks:,,,,,,,,,
Abalone,,,,721,,,575,254,
"",,,,"$3,631",,,"$3,312","$1,825",
"Abalone, black",,,"3,180",,,31,"235,356","70,507",712
"",,,"$8,903",,,$75,"$594,782","$168,447","$1,831"
"Abalone, green",,,,,,,756,"27,737",492
"",,,,,,,"$3,248","$130,866","$1,274"
"Abalone, pink",,,,,,,"10,535","20,654",408
"",,,,,,,"$41,245","$95,404","$1,571"
"Abalone, red",,,11,"110,002",161,"1,946","257,557","9,746","11,606"
"",,,$42,"$369,074",$392,"$6,313","$941,940","$35,801","$43,257"
"Abalone, threaded",,,,,,,8,,
"",,,,,,,$15,,
"Abalone, white",,,,,,,,2,
"",,,,,,,,$15,
"Clam, California jackknife",,,,,,,,252,
"",,,,,,,,$510,
"Clam, rosy razor",,,,,,,,81,
"",,,,,,,,$40,
"Clam, unspecified",,,19,"92,081",,"6,750",,"6,311",
"",,,$19,"$22,709",,"$4,725",,"$4,639",
"Limpet, unspecified",,,318,311,,"1,978",47,,
"",,,$318,$311,,"$1,978",$47,,
"Mollusk, unspecified",,,,,,,,2,
"",,,,,,,,$12,
Mussel,,,,418,,,,"1,114",45
"",,,,$232,,,,$668,$34
"Octopus, unspecified","11,326",708,278,"1,050",828,405,"1,467",320,60
"","$10,068",$546,$295,$887,$933,$377,$802,"$4,200",$64
Sea hare,,,,,,,,.3,
"",,,,,,,,$5,
Sea slug,,,,,,,,"1,384",
"",,,,,,,,"$30,222",
Table 5a (continued) Mollusks:,Eureka,Fort Bragg,Bodega Bay,San Francisco,Monterey,Morro Bay,Santa Barbara,Los Angeles,San Diego
"Snail, sea",,,,300,,"2,054","6,591","20,667",110
"",,,,$150,,"$2,564","$2,567","$9,114",$37
"Snails, moon",,,,27,,,,,
"",,,,$14,,,,,
"Squid, jumbo",,,,,,,26,,
"",,,,,,,$6,,
"Squid, market",,160,,"755,629","12,369,609",790,"18,972,407","11,952,280","6,025"
"",,$15,,"$24,782","$1,205,917",$40,"$1,447,615","$1,112,033","$1,436"
"Whelk, Kellet's",,,,,,,684,532,
"",,,,,,,$211,$171,
"",,,,,,,,,
Plants:,,,,,,,,,
"Algae, marine",43,,,,,,,,
"",$28,,,,,,,,
Kelp,,,,,29,,6,,"1,080"
"",,,,,$22,,$5,,$810
"",,,,,,,,,
Miscellaneous invertebrates:,,,,,,,,,
"Invertebrates, colonial",,,,,,,,18,
"",,,,,,,,$509,
"Worms, marine","1,224",,,,,,,,
"",$790,,,,,,,,
"",,,,,,,,,
Total pounds,"52,903,818","32,256,245","16,597,929","33,347,973","29,105,533","13,958,522","52,691,559","204,358,365","7,544,756"
Total ex-vessel value (dollars),"$25,856,760","$15,710,917","$11,937,051","$17,049,482","$9,523,186","$6,726,268","$13,645,652","$20,729,660","$6,891,439"
Fish:,Eureka,Fort Bragg,Bodega Bay,San Francisco,Monterey,Morro Bay,Santa Barbara,Los Angeles,San Diego
"Anchovy, northern",,,,"1,085,448","1,535,002",,"419,035","206,543","12,026"
"",,,,"$122,551","$124,812",,"$55,980","$17,687","$3,230"
"Barracuda, California",,,,,,7,"4,022","123,589","10,436"
"",,,,,,$7,"$3,764","$101,936","$7,318"
"Bass, giant sea",,,,,,220,"3,893","4,623","3,591"
"",,,,,,$386,"$5,019","$6,630","$4,795"
"Bass, kelp",,,,,,,,0.3,
"",,,,,,,,$0.2,
"Bass, rock",,,,,,7,,16,
"",,,,,,$3,,$8,
"Bonito, Pacific",,,,120,"1,938",20,"22,657","8,649,189","8,991"
"",,,,$45,"$1,772",$5,"$3,315","$1,263,844","$4,253"
Butterfish (Pacific pompano),,,1,"4,370","3,843",39,"11,305",772,84
"",,,$1,"$4,833","$3,374",$19,"$6,543",$529,$63
Cabezon,"3,219",5,302,"4,960","1,356","1,809",719,195,168
"","$1,127",$2,$149,"$2,560",$634,$605,$315,$135,$69
"Cod, Pacific","10,345",534,,116,7,15,,,
"","$3,000",$155,,$27,$5,$8,,,
"Corbina, California",,,,,13,,,,
"",,,,,$21,,,,
"Croaker, unspecified",,,,,46,,,,
"",,,,,$20,,,,
"Croaker, white","1,144",,"3,629","305,460","374,065",961,"157,706","289,505","3,280"
"","$2,716",,"$1,155","$109,676","$107,904",$333,"$73,641","$135,732","$2,156"
Dolphin (fish),,,,,,,,,377
"",,,,,,,,,$510
Eel,53,,,,59,5,,,
"",$22,,,,$50,$4,,,
"Eel, wolf (wolf-eel)","1,720",,15,162,55,92,,,
"",$572,,$5,$63,$39,$36,,,
"Fish, unspecified",554,87,54,"1,549","88,249","3,566","2,986","3,528",978
"",$231,$76,$44,$563,$102,"$1,968","$1,239","$8,894",$934
"Flounder, arrowtooth","75,503",244,,"4,250",,,,,
"","$10,840",$34,,"$1,573",,,,,
Table 5b (continued) Fish:,Eureka,Fort Bragg,Bodega Bay,San Francisco,Monterey,Morro Bay,Santa Barbara,Los Angeles,San Diego
"Flounder, starry","47,414",141,"10,029","95,572","35,635","28,586",18,,
"","$21,134",$63,"$4,157","$42,815","$21,268","$12,842",$5,,
"Flounder, unspecified",209,,"1,358","9,719","20,453","15,450",115,,145
"",$94,,$489,"$3,823","$10,741","$7,194",$72,,$36
