Fish:,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
"Flounder, unspecified","70,875","47,449","69,245","35,797","12,052","27,594","24,498","5,294","7,125","11,326","6,928","34,971","29,372"
"","$33,643","$22,449","$39,057","$18,458","$6,550","$17,237","$15,962","$4,010","$8,651","$14,723","$3,462","$18,282","$14,957"
Flyingfish,"179,528","107,032","107,369","83,889","77,638","19,720","26,476",254,,,,6,257
"","$74,548","$42,386","$41,373","$33,612","$34,496","$10,478","$13,122",$109,,,,$9,$162
Garibaldi,95,261,,43,,,,,25,,,,
"","$2,012","$6,969",,$128,,,,,$90,,,,
"Goby, bluebanded",18,32,,,,,120,,,,,,
"",$5,$37,,,,,$60,,,,,,
"Goby, yellowfin",,,,"3,869",379,"2,059","12,279","1,091",678,"1,367",60,731,290
"",,,,"$16,897","$2,052","$2,797","$12,960","$3,414","$2,069","$1,761",$360,"$2,378",$945
Table 4a (continued) Fish:,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
"Greenling, kelp","1,578","4,180","5,783","3,334","1,645","4,626","1,651","2,550","2,577","5,710","17,445","14,177","30,925"
"",$393,"$1,234","$2,990","$2,758","$1,121","$2,092","$3,718","$7,357","$5,018","$14,975","$50,590","$50,768","$123,107"
Grenadiers,"127,104","262,779","100,622","176,963","156,290","314,012","844,891","1,167,200","1,051,886","2,509,944","1,408,463","1,112,316","692,549"
"","$19,155","$40,107","$11,556","$26,455","$19,926","$30,374","$98,773","$158,516","$164,764","$352,865","$177,146","$155,492","$85,553"
Grouper,218,115,,,49,,383,40,,,,,2
"",$157,$152,,,$54,,$243,$20,,,,,$4
"Grouper, broomtail",,,,,,,,,29,,,,
"",,,,,,,,,$58,,,,
"Grunion, California",,,,,,"1,089",,,,,,,
"",,,,,,$327,,,,,,,
"Guitarfish, shovelnose","55,037","52,707","53,728","52,393","52,704","39,623","31,743","10,687","7,679","12,578","24,333","31,171","37,354"
"","$21,966","$22,669","$23,223","$20,142","$20,784","$15,558","$12,566","$6,929","$4,806","$10,447","$9,982","$14,369","$17,831"
Hagfish,,"690,655","2,642,540","4,900,596","303,228","405,374",473,"1,206",72,"182,445",86,523,206
"",,"$299,144","$1,061,859","$2,159,512","$158,993","$76,621",$144,$672,$72,"$36,718",$181,"$2,312",$117
Halfmoon,"2,865","4,321","5,205","5,038","3,383","1,435","2,845","2,067",757,541,169,43,37
"","$1,814","$3,694","$4,159","$4,011","$2,952","$1,189","$2,595","$1,821",$732,$606,$231,$39,$36
"Halibut, California","1,188,596","1,107,207","1,219,321","938,572","1,040,864","885,346","726,550","535,018","771,641","914,236","1,325,175","1,187,503","1,314,628"
"","$2,552,378","$2,469,965","$2,720,709","$2,157,683","$2,478,805","$2,138,355","$1,846,736","$1,520,105","$2,169,094","$2,488,430","$3,321,403","$2,814,031","$3,298,315"
"Halibut, Pacific","62,056","42,802",304,18,"4,583","2,102","3,625",371,"8,506","7,504","13,707","6,313","4,011"
"","$123,325","$73,506",$570,$44,"$11,638","$3,813","$6,502","$1,163","$20,826","$19,106","$28,485","$10,981","$8,648"
"Halibut, unspecified",395,,43,34,294,"8,204",,185,126,27,"2,239","13,273","39,120"
"",$886,,$115,$78,$833,"$18,374",,$546,$260,$36,"$5,100","$30,029","$95,914"
Herring roe on kelp,"43,359","15,877","87,584","185,750","143,971","127,872",,"67,855","56,229","255,162","339,267","82,411","86,695"
"","$84,739","$31,755","$175,167","$1,760,688","$1,247,241","$714,611",,"$135,710","$104,567","$807,208","$2,168,326","$140,202","$152,732"
"Herring, Pacific","18,563,149","19,050,726","20,494,005","16,393,533","16,196,408","13,931,446","8,479,520","168,660","6,055","548,083",52,250,
"","$5,627,892","$5,598,399","$4,772,588","$7,014,340","$8,323,371","$9,492,302","$2,068,727","$73,849",$209,"$403,171",$10,$3,
"Herring, roe",,,,,,,558,"6,335,797","10,282,009","11,379,679","20,164,390","4,429,243","5,024,647"
"",,,,,,,$278,"$2,821,352","$9,618,211","$14,255,042","$12,922,751","$562,264","$1,962,274"
"Herring, round",,,,,,"108,175","46,880","172,685","31,025","47,821","157,722","15,487","128,138"
"",,,,,,"$6,826","$2,858","$6,959","$1,786","$2,632","$21,595",$720,"$5,126"
"Jack, Pacific crevalle",,,,,,,,184,,,142,331,204
"",,,,,,,,$92,,,$142,$331,$140
"Jacks, unspecified",,,,,,5,,,,,5,,
"",,,,,,$5,,,,,$1,,
Jacksmelt,"1,115","9,357","5,751","3,635","4,786","3,279","3,223","15,084","5,391","36,662","40,766","2,537","2,538"
"",$326,"$3,614","$2,018","$1,593","$1,698","$2,529","$1,157","$9,469","$4,100","$21,595","$26,187","$1,472","$1,742"
Table 4a (continued) Fish:,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
Kahawai,,,308,,,,,,,,,,115
"",,,$154,,,,,,,,,,$57
"Kelpfish, giant",,,,,,,,,,,,27,50
"",,,,,,,,,,,,$50,$5
Kelpfishes,,,,304,,,,683,90,350,,52,
"",,,,$91,,,,"$3,415",$27,$70,,$180,
"Killifish, California",,,,,,,"2,745",,,,,,
"",,,,,,,$329,,,,,,
Lingcod,"1,858,526","1,958,599","2,790,918","2,346,140","1,736,081","1,351,684","1,519,826","1,251,353","1,185,454","1,065,951","1,132,240","331,245","326,138"
"","$703,720","$759,574","$1,084,893","$930,171","$709,849","$579,307","$657,535","$585,850","$615,110","$572,840","$606,657","$273,742","$293,391"
"Lizardfish, California","4,770","8,269","17,748","20,654","19,346","6,397","10,062","6,077","10,284","10,204",600,"1,778",110
"","$1,974","$2,429","$4,321","$4,520","$3,599",$819,"$1,987","$1,271","$3,005","$3,181",$265,$564,$168
Louvar,"11,673","10,916","8,196","14,099","6,147","17,498","15,020","5,191","5,300","9,512","6,343","11,201","8,509"
"","$17,811","$30,876","$18,173","$44,978","$16,372","$36,861","$40,578","$15,974","$17,425","$30,266","$23,722","$41,452","$31,197"
"Mackerel, bullet","7,000",,,,,,,19,,"3,673","267,738","52,068","12,473"
"",$350,,,,,,,$8,,$514,"$66,811","$12,615",$499
"Mackerel, jack","17,681,368","11,171,852","23,690,894","7,104,558","3,732,110","2,666,112","3,688,205","5,960,971","3,810,337","4,798,004","2,558,062","1,815,779","2,099,874"
"","$747,349","$729,168","$1,484,524","$441,288","$253,979","$247,797","$287,846","$377,037","$275,975","$294,867","$229,748","$259,452","$186,755"
"Mackerel, Pacific","59,392,728","66,418,632","46,444,496","68,511,114","69,840,213","40,948,030","26,010,602","22,063,343","19,014,939","21,157,770","40,560,810","45,227,148","19,152,855"
"","$2,907,656","$4,712,407","$3,159,159","$4,147,929","$5,303,462","$4,166,208","$1,503,579","$1,291,080","$1,264,231","$1,302,967","$2,724,257","$2,502,061","$1,088,514"
"Mackerel, unspecified","43,614,094","45,714,328","58,776,101","19,927,514","746,414","6,063",,30,,"8,120","2,094",,958
"","$1,702,269","$2,253,731","$3,309,826","$1,222,659","$70,239","$1,496",,$12,,"$2,026",$723,,$331
"Midshipman, plainfin",37,,,33,23,,,35,342,,794,60,149
"",$18,,,$18,$11,,,$28,$41,,$79,$30,$30
"Mudsucker, longjaw",564,116,44,,,184,14,10,,,,,
"","$3,578",$266,$611,,,$263,$70,$20,,,,,
"Mullet, striped","17,134","14,089","4,936","19,338","16,826","17,351","13,514","7,377","6,601","10,476","5,415","1,103",
"","$12,834","$10,593","$3,724","$13,205","$12,610","$13,907","$11,145","$5,057","$4,790","$5,835","$4,240",$846,
"Needlefish, California",,,,,,103,,,50,,,,
"",,,,,,$51,,,$25,,,,
Oilfish,,,,,,,,,,"3,166",285,767,"1,257"
"",,,,,,,,,,"$6,328",$570,"$1,041","$1,539"
Opah,"92,492","67,865","116,753","104,309","81,669","112,785","123,614","155,811","144,235","180,972","177,515","249,043","145,346"
"","$39,819","$35,053","$53,495","$56,644","$45,146","$50,449","$53,645","$69,597","$65,703","$84,480","$70,668","$98,075","$66,552"
Opaleye,"4,599","12,104","8,690","6,939","1,278","4,124","3,777","6,017",963,986,358,"1,717",939
"","$3,592","$8,246","$4,730","$4,037",$911,"$2,995","$4,821","$6,696",$584,$878,$345,"$1,989","$1,203"
Table 4a (continued) Fish:,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
"Prickleback, monkeyface",28,,,92,934,13,125,750,765,561,179,224,170
"",$14,,,$46,"$2,733",$7,$187,"$1,645","$2,265","$1,802",$523,$641,$512
Queenfish,157,122,191,"4,142",31,359,"40,146",374,"1,429",143,"27,877",128,399
"",$34,$43,$129,"$2,067",$8,$279,"$1,685",$327,"$1,012",$63,"$1,939",$348,$119
"Ratfish, spotted",,,,,,,,6,6,,735,94,465
"",,,,,,,,$23,$3,,$74,$39,$173
"Ray, bat",131,,,,,,"4,200",2,"1,099","3,154","3,280","6,935","2,205"
"",$39,,,,,,$420,$10,$352,$647,$690,"$2,565",$807
"Ray, Pacific electric",4,445,,,,,50,"1,326","3,539","2,088",942,747,"1,182"
"",$2,"$5,944",,,,,$16,"$3,746","$9,118","$11,672","$2,504","$3,580","$3,156"
"Ray, unspecified",673,"1,273",,,,,40,215,375,126,"7,168","2,463",204
"","$6,579","$15,213",,,,,$5,$68,$380,$136,"$1,304","$10,085",$202
Sablefish,"9,585,595","8,360,438","8,720,361","8,070,375","7,353,503","8,098,798","5,720,285","4,790,273","6,186,887","6,998,196","6,482,300","3,167,370","4,336,490"
"","$3,255,017","$3,369,697","$3,199,785","$3,576,442","$3,689,177","$4,402,494","$2,483,715","$3,390,335","$7,263,691","$8,560,698","$9,011,436","$3,390,291","$4,272,270"
Salema,,,,,,9,,,,,,,
"",,,,,,$4,,,,,,,
Salmon,"153,653","94,428","75,518","42,174","10,825","54,405","57,188","6,405","3,435","1,982","8,373","2,281","9,503"
"","$465,208","$241,802","$155,217","$125,545","$30,242","$152,694","$130,058","$14,440","$5,905","$4,112","$14,969","$6,853","$25,033"
"Salmon, Chinook","8,898,040","14,340,269","5,506,085","4,081,378","3,228,034","1,589,118","2,521,384","3,098,919","6,777,553","4,114,520","5,273,477","1,844,677","3,842,750"
"","$24,581,785","$40,915,169","$13,111,772","$11,292,561","$8,319,865","$4,346,400","$5,681,986","$6,424,015","$12,008,494","$5,950,430","$7,305,566","$3,036,193","$7,422,532"
"Salmon, chum",,,,6,,54,,2,13,,,,
"",,,,$12,,$36,,$21,$23,,,,
"Salmon, coho","245,711","320,051","231,987","313,145","461,722","11,926",480,"1,011","5,164",14,"1,458",102,327
"","$492,266","$706,923","$392,877","$620,749","$702,453","$19,650",$984,"$2,419","$9,073",$14,"$2,834",$177,$546
"Salmon, pink","3,449",269,"4,467",,185,,109,,50,7,,,
"","$2,502",$135,"$3,418",,$120,,$372,,$88,$6,,,
"Salmon, roe (Chinook and",,,,,,,,,,,,,
coho),,,,,,,,317,"1,435","1,994","3,651",291,868
"",,,,,,,,$321,"$2,192","$2,864","$3,041",$325,"$1,657"
Sanddab,"1,175,870","1,164,131","1,408,173","1,433,826","1,232,057","623,169","772,696","1,408,535","1,483,628","1,737,171","2,044,957","1,434,980","2,044,690"
"","$429,277","$403,702","$407,190","$436,387","$439,616","$236,521","$339,318","$518,173","$540,715","$595,826","$664,099","$465,006","$666,313"
"Sanddab, longfin",,,,,,,,,,,,,3
"",,,,,,,,,,,,,$1
"Sanddab, Pacific",,,,9,17,49,"1,210","91,278","9,908",958,"1,041","2,755","24,399"
"",,,,$3,$17,$49,$364,"$20,918","$1,145",$270,$212,"$1,186","$6,312"
"Sanddab, speckled",,,,,,,,,,,30,231,
"",,,,,,,,,,,$9,$74,
Table 4a (continued) Fish:,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
"Sardine, Pacific","968,776","2,619,999","1,844,620","3,668,980","16,727,151","39,571,922","33,830,484","25,669,551","88,905,577","71,778,045","95,339,046","94,700,718","131,157,672"
"","$62,610","$64,782","$131,446","$187,430","$892,770","$1,739,164","$1,541,446","$1,400,585","$3,577,735","$3,094,812","$4,351,379","$3,616,938","$5,088,319"
Sargo,109,"1,037",179,109,289,480,180,312,,,478,51,176
"",$75,$852,$117,$76,$202,$339,$150,$298,,,$496,$54,$210
"Saury, Pacific",,,,,,,,,53,,,,
"",,,,,,,,,$21,,,,
"Scorpionfish, California","28,786","29,829","42,450","86,189","63,827","77,323","58,877","113,123","90,770","76,649","83,472","112,824","86,688"
"","$30,327","$28,200","$61,199","$162,264","$104,810","$124,350","$94,620","$181,007","$146,466","$115,927","$137,073","$190,267","$203,566"
"Sculpin, staghorn",110,"4,920","2,684","5,730","5,087","5,238","5,198","3,557","1,838","1,711","2,221","3,097","2,723"
"",$136,"$7,830","$7,100","$14,289","$17,204","$12,666","$10,454","$7,358","$4,542","$7,009","$5,623","$4,801","$9,619"
"Sculpin, yellowchin",,,,,,,,,4,,,,
"",,,,,,,,,$2,,,,
"Seabass, white","116,454","107,600","116,022","133,661","163,784","125,149","100,060","78,932","73,293","96,162","58,554","164,415","247,844"
"","$222,521","$216,176","$248,660","$286,979","$341,799","$264,110","$206,040","$149,947","$163,941","$197,242","$128,095","$314,475","$426,548"
Senorita,,,,,,,,4,222,,,,
"",,,,,,,,$2,$129,,,,
"Shad, American","19,327","28,102","32,642","44,051","70,659","35,938","12,092",957,108,378,"1,014",797,5
"","$34,238","$45,917","$46,443","$75,385","$121,702","$60,259","$21,903","$1,433",$34,$132,$994,$804,$3
"Shad, threadfin","16,878","4,308","1,718","10,984","11,521","26,317","36,522","56,692","35,086","68,022","64,241","53,976","52,858"
"","$26,811","$7,641","$3,436","$17,505","$24,384","$49,278","$62,297","$97,760","$61,537","$109,958","$102,102","$74,269","$47,039"
"Shark, basking",,,,,81,,902,80,,,,,193
"",,,,,$49,,$902,$116,,,,,$199
"Shark, bigeye thresher","25,304","12,033","22,093","39,931","40,911","27,899","56,545","47,942","40,345","24,741","40,930","14,098","7,090"
"","$21,021","$9,634","$21,175","$34,607","$24,783","$14,758","$29,176","$34,066","$25,230","$16,432","$35,655","$9,773","$5,877"
"Shark, blacktip",,,,,,,"1,600",,,,,,34
"",,,,,,,$960,,,,,,$68
"Shark, blue","3,410","7,147","13,521","43,675","1,200","2,880",522,"24,828","7,360",320,236,"1,070",116
"","$1,321","$2,093","$3,309","$11,129",$515,"$1,750",$387,"$15,972","$2,610",$95,$65,$385,$29
"Shark, brown smoothhound","12,905","15,515","11,132","12,452","10,444","10,156","7,118","3,886",454,882,"2,676","5,020","9,518"
"","$6,650","$10,286","$5,586","$5,993","$5,299","$5,432","$4,428","$5,033",$587,$382,"$1,233","$3,805","$6,070"
"Shark, dusky",,,,,,526,,,,,,,
"",,,,,,$79,,,,,,,
"Shark, gray smoothhound",,20,412,606,68,87,,38,238,760,"1,007",83,"1,100"
"",,$22,$102,$341,$124,$38,,$13,$65,$207,$443,$78,"$1,318"
"Shark, horn",53,136,32,134,,1,,7,81,,69,,40
"","$1,607","$3,343",$64,$135,,$1,,$175,$111,,$17,,$20
Table 4a (continued) Fish:,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
"Shark, leopard","55,344","41,704","50,495","41,130","47,735","42,242","52,150","27,615","18,660","13,849","20,508","26,219","25,584"
"","$38,249","$34,895","$40,593","$29,702","$34,778","$32,176","$36,056","$19,533","$17,677","$11,223","$18,114","$24,322","$23,820"
"Shark, Pacific angel","940,136","491,284","268,841","250,895","181,748","123,554","66,654","23,230","19,711","17,995","33,673","55,342","53,396"
"","$542,591","$307,172","$166,148","$164,619","$119,567","$77,768","$43,741","$14,735","$12,550","$14,297","$29,423","$51,729","$50,869"
"Shark, pelagic thresher","2,294",773,249,"1,733",,638,684,210,"6,270","1,504","45,162","2,334","13,398"
"","$1,842",$822,$149,"$1,680",,$602,$416,$42,"$8,778","$1,557","$63,388","$2,666","$18,424"
"Shark, salmon",255,265,351,,22,,"15,453",168,263,,188,126,278
"",$189,$201,$176,,$11,,"$7,908",$168,$95,,$94,$139,$695
"Shark, sevengill",170,21,13,,15,77,,48,,89,40,30,174
"",$119,$20,$11,,$15,$37,,$38,,$58,$22,$22,$106
"Shark, shortfin mako","611,981","489,183","388,299","567,601","333,055","215,876","185,254","193,782","145,278","142,152","210,350","151,416","95,234"
"","$709,317","$650,342","$544,253","$740,895","$416,464","$230,773","$221,345","$245,255","$165,856","$163,069","$237,658","$173,544","$110,397"
"Shark, sixgill",55,20,,"1,086",17,,165,916,,,25,190,208
"",$110,$40,,$543,$8,,$165,$275,,,$16,$168,$200
"Shark, smooth hammerhead","1,807",537,158,"1,994",51,"5,031",922,648,,518,382,"1,803",
"",$984,$565,$79,"$1,264",$43,"$2,415",$411,$482,,$237,$221,"$1,158",
"Shark, soupfin","201,420","140,507","165,346","125,713","104,849","95,779","77,432","79,486","63,911","83,868","84,933","78,530","98,434"
"","$171,315","$128,878","$136,961","$103,276","$79,690","$71,883","$59,157","$68,910","$55,123","$70,654","$79,812","$65,759","$85,437"
"Shark, spiny dogfish","53,935","3,773","3,430","6,873","1,523","3,350","6,230","1,221",232,"1,320","8,405","14,996","77,752"
"","$5,253",$630,$803,"$1,304",$232,$469,"$1,587",$596,$52,"$2,462","$2,334","$7,093","$68,048"
"Shark, swell",,2,4,,,,,778,125,210,26,50,10
"",,$10,$20,,,,,$78,$96,$120,$13,$50,$5
"Shark, thresher","525,076","536,232","650,054","462,041","758,238","394,192","356,059","427,513","342,335","405,042","411,487","459,437","328,592"
"","$787,169","$817,859","$887,667","$637,978","$968,655","$459,971","$458,863","$583,587","$472,558","$585,543","$589,824","$604,971","$469,958"
"Shark, unspecified","167,849","44,227","22,769","18,184","10,704","6,966","9,773","12,445","25,076","9,485","12,919","11,797","13,354"
"","$51,280","$27,331","$14,853","$10,023","$5,917","$4,008","$6,141","$7,378","$22,637","$4,040","$12,680","$10,491","$5,860"
"Shark, white","1,343","2,196","1,345",265,121,957,,364,332,512,258,136,
"","$1,099","$1,014",$350,$256,$128,$345,,$285,"$1,492",$480,$258,$210,
"Sharks, cow",358,156,131,23,,557,47,122,81,,27,,
"",$162,$184,$96,$23,,$470,$59,$73,$81,,$11,,
"Sheephead, California","32,865","29,314","33,019","123,539","191,705","258,502","314,151","259,099","253,658","252,035","301,815","261,640","129,598"
"","$19,678","$29,820","$55,378","$457,787","$503,857","$603,259","$812,820","$749,345","$702,094","$693,805","$849,389","$690,653","$414,464"
"Sierra, Pacific",52,,,,,,,,,,,,
"",$26,,,,,,,,,,,,
Silversides,"4,854","1,973","1,707","1,451","7,546",381,"2,056",35,"1,200",162,130,34,24
"","$1,256",$705,$687,$773,"$1,940",$99,$818,$18,$392,$37,$44,$17,$6
Table 4a (continued) Fish:,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
"Skate, big",,,,,,,,,230,,534,"3,592","1,257"
"",,,,,,,,,$87,,$96,$647,$478
"Skate, California",,,,,,,,155,,,,,141
"",,,,,,,,$28,,,,,$56
"Skate, thornback",,,,,,,,,,18,70,"1,427",24
"",,,,,,,,,,$5,$28,"$1,070",$2
"Skate, unspecified","169,691","127,852","174,838","143,732","113,144","103,469","78,070","93,236","413,048","1,830,076","2,964,740","1,831,148","1,867,897"
"","$49,808","$37,917","$44,667","$39,537","$32,875","$31,563","$24,014","$29,635","$89,345","$392,291","$574,032","$385,361","$288,068"
"Smelt, night",581,"11,477","80,062","556,356","901,367","455,907","666,811","1,242,232","1,217,488","1,254,119","894,487","399,502","548,446"
"",$195,"$3,698","$24,026","$166,789","$262,272","$116,070","$136,094","$322,265","$367,017","$328,200","$211,463","$106,666","$165,079"
"Smelt, surf","5,778","11,058","189,765","286,295","419,288","393,537","433,715","665,020","803,179","819,301","847,022","103,397","11,611"
"","$1,575","$2,356","$28,709","$44,861","$67,893","$63,825","$68,839","$162,176","$243,773","$190,170","$192,921","$30,683","$3,577"
"Smelt, whitebait","487,819","449,070","394,581","52,675","26,761","53,910","8,864","1,610","5,855","1,995",40,,"1,519"
"","$146,790","$137,313","$120,070","$19,039","$8,550","$14,233","$2,697",$615,"$3,806","$1,082",$10,,$288
"Smelts, true","434,618","395,662","80,739","5,200","4,713",554,"3,486","3,584","5,829",,100,219,"1,794"
"","$68,822","$60,545","$13,002","$1,751","$1,373",$386,$879,"$3,233","$2,898",,$48,$153,$717
Snapper -Mexico-,,,,,,,,9,,,,,
"",,,,,,,,$4,,,,,
"Sole, bigmouth",178,,,,202,20,,,103,,3,,
"",$45,,,,$77,$20,,,$64,,$1,,
"Sole, butter","32,794","9,962","3,611","2,429","1,774",15,993,262,,"1,897",57,6,55
"","$6,269","$2,128",$539,$845,$537,$10,$325,$105,,"$1,648",$21,$2,$24
"Sole, Dover","23,723,647","18,071,140","17,027,320","13,933,131","17,021,228","19,054,146","14,426,111","9,888,498","13,417,995","14,107,539","11,693,676","7,900,722","8,434,519"
"","$6,368,720","$5,285,117","$4,484,889","$3,672,285","$5,059,314","$5,414,020","$3,924,129","$2,904,261","$4,293,648","$4,245,105","$3,360,089","$2,670,791","$2,800,814"
"Sole, English","2,914,757","2,351,349","2,321,579","1,967,038","1,789,770","1,268,119","1,044,544","1,019,534","1,101,103","1,281,212","1,430,131","940,527","840,107"
"","$1,152,143","$940,724","$873,285","$682,100","$664,297","$464,067","$367,102","$379,473","$426,130","$478,519","$493,343","$343,840","$290,949"
"Sole, fantail","29,901","67,589","93,253",317,"2,729","4,439","1,129",476,527,"1,534",224,"1,889",684
"","$6,020","$24,419","$36,779",$238,"$1,630","$2,446",$556,$380,$465,"$1,544",$207,"$1,398",$456
"Sole, petrale","1,815,848","1,752,935","1,853,223","1,495,649","1,620,124","1,172,949","1,021,859","1,211,845","1,305,154","1,803,639","1,836,090","1,042,122","1,247,391"
"","$1,390,414","$1,346,999","$1,450,391","$1,221,002","$1,331,403","$938,151","$824,601","$1,037,680","$1,193,853","$1,615,539","$1,635,933","$995,843","$1,165,621"
"Sole, rex","1,818,775","1,854,323","1,651,683","1,226,689","1,369,558","970,859","1,007,925","1,256,861","1,517,177","1,097,983","1,000,369","638,160","629,783"
