"SPECIES","CA_JETTY_TOTAL_MORTALITY_NUM","CA_JETTY_TOTAL_MORTALITY_MT","CA_BEACH_TOTAL_MORTALITY_NUM","CA_BEACH_TOTAL_MORTALITY_MT","CA_CHARTER_TOTAL_MORTALITY_NUM","CA_CHARTER_TOTAL_MORTALITY_MT","CA_PRIVATE_TOTAL_MORTALITY_NUM","CA_PRIVATE_TOTAL_MORTALITY_MT","OR_CHARTER_TOTAL_MORTALITY_NUM","OR_CHARTER_TOTAL_MORTALITY_MT","OR_PRIVATE_TOTAL_MORTALITY_NUM","OR_PRIVATE_TOTAL_MORTALITY_MT","WA_CHARTER_TOTAL_MORTALITY_NUM","WA_CHARTER_TOTAL_MORTALITY_MT","WA_PRIVATE_TOTAL_MORTALITY_NUM","WA_PRIVATE_TOTAL_MORTALITY_MT"
"Abalone Genus",,,,,,,,,,,27
"Black Croaker",666.584184421,.1804615259947,,,499.494376459,.127383245264,237.5874922665,.0656617556377
"Black Perch",26381.8210197707,6.7996865757815,14804.411170698,6.628295942213,743.2732757628,.1947976776221,9135.9892942037,4.3892828502384
"Black Rockfish",1492.878441786,1.1714900857813,1208.00002737,1.300810502392,37853.1294472119023380595398599899725181,34.80289569343223054946553821272500942418,121445.8308714400470692693683470017576244,106.021074731574569779039772211426293306,142417,152.352221568057749973785626433019768572,86613,95.07428296767521124647792189375380560653,156801.1782,196.44855826252,43323.3782,54.38531380933
"Blacksmith",887.048245425,.0913019052263,,,13483.7149905805,2.4011459689686,970.4689307289,.1781959270013
"Blue Rockfish",162.561676813,.088997320038,2578.31727161,1.700383036732,197925.0473631565979157280245040703659702,112.140886770238703835770191750404416185,80540.8264004675937237126009670337149759,42.37547247567386364158513711233361853637,,,,,454.595,.4870635966,1367.2267,1.46642724391
"Blue Shark",,,,,,,,,14,.1357205405405405405405405405405405405403,177,1.7158954054054054054054054054054054054
"Bluefin Tuna",,,,,,,,,1,.00727033333333333333333333333333333333333,14,.1017846666666666666666666666666666666666
"Bluntnose Sixgill Shark",,,,,,,0,0
"Bocaccio",,,,,73136.44873596745,74.1936616651654,18137.1192160624758591501608261384797696,18.13285288853625942384741267422831668644,53,.0989735696449124453096647734184973509703,11,.0143610904262753319357092941998602375961,171.67,.6550562080970149253731343283582089552246,160.8488,.6137648104208955223880597014925373134332
"Bonefish",3817.923577088,2.311478158129,7068.7305336,4.5593311941,,,0,0
"Bottomfish (Groundfish)",,,,,,,0,0
"Brown Irish Lord",,,,,,,,,0,0
"Brown Rockfish",1189.215654264,.3101743638543,142.845410102,.029454252286,44801.5185621224271062271062271062271062,25.99333771780912539682539682539682539682,55362.9844534655233333333333333333333332,33.90770708477283805555555555555555555556,16,.0220379065420560747663551401869158878504,15,.0162843532710280373831775700934579439252
"Brown Smoothhound",500.787889273,.383632458388,292.4974466,.2066981956,98.200396417,.182538936625,717.4993535059,1.005205579006
"Buffalo Sculpin",141.23919206,.062704918981,,,,,,,0,0,0,0
"Bull Sculpin",,,0,0
"Bullet Mackerel",,,,,0,0
"Butter Sole",80.619127555,.020960973164,,,,,,,,,2,.000888474418604651162790697674418604651163
"Butterfish Family",38.552735356,0
"Cabezon",1246.9211112113,1.3120066374863,1054.667182942,1.36180209479,1493.64886722175,3.1139583814974,7948.722495664466666666666666666666666667,14.40252100239818157894736842105263157894,2854,8.01782741288536066984239769466476206105,2899,8.12530608258878333001170866279374761985,293.5385,.77545961775,1632.7667,4.23628912363
"Calico Rockfish",,,,,1305.629932655956493658794531296642188846,.0664801523973284092178266115783706552072,40.62802289912,.00243768137394
"Calico Surfperch",1911.087724879,.401226021072,14517.893263798,4.587065922764
"California Butterflyray",550.570534,.7157416942
"California Corbina",14470.14787404,5.091254218144,11079.44888666,4.05114298831,,,283.516192483,.494094760069
"California Grunion",0,0
"California Halibut",6426.002189216,11.8228552912051,1135.390323544,2.42946084191,4807.120280274153418178865749198230016645,18.99096065790533525555149596070312182844,26646.9429415432578970414565716759820945,102.617547517817729879449410089469316822,0,0,0,0
"California Lizardfish",5770.097954922,.1816979862292,,,13.562505594,.000746363062,141.5807795777,.0295357050854
"California Moray",,,,,0,0,0,0
"California Needlefish",1187.737382705,.6058977147701,0,0,,,0,0
"California Scorpionfish",2376.203077502,1.052633357013,283.46736292,.20409650131,162517.9091906430402794863190036677541889,75.36867259259971117723953507988398040847,21745.2902599781708958813000683608199974,13.39969282317393378375007146777713236489
"California Sheephead",1266.2353679832,2.1350146430114,713.18344915,2.40880135111,15682.723153691,16.515737553241,8250.5702585038,13.9387454764754
"California Skate",0,0,,,0,0,12.977671432,.01142035086
"Canary Rockfish",,,,,14208.5726453307599176406630389059606385,6.8686051074979670591576274748877103099,13442.7488727967660803051152325160934536,7.18154077830579510108301863703731101008,1400,.9013355280785641670524981932532775121719,1622,1.02970755740451000024268995722199871188,72.1767,.06082838101,665.2018,.55746193475
"Cancer Genus",0,0,,,,,20.3306687876,0
"Chilipepper",,,,,12504.829259237,6.2178285179725,2567.5061373398,.6159218989328,1,.000829111111111111111111111111111111111111
"China Rockfish",,,,,9945.4482320339,5.8160342953056,12315.8978855072247086247086247086247087,7.87843070961172202797202797202797202795,1691,1.73963034626664693402098115730614180303,1251,1.31131563210451268584052285863614643643,227.0874,.19890152978,2160.3229,1.88594070188
"Cod Family",,,,,,,,,,,,,85.57,.273781215,29.9,.09566505
"Copper Rockfish",173.531462584,.0497868556704,,,44709.1622626975,38.68481121234154761904761904761904761904,34847.7797456705790476190476190476190476,30.57143076866993357142857142857142857144,1431,2.49062009817310537584681470257517221671,975,1.71939054371536097632400690426674577443,180.9543,.23349234828,725.3167,.93403134652
"Cow Shark Family",,,,,,,0,0
"Cowcod",,,,,119.7392803717,.2129567204827,244.4319108109,.366518111604
"Deacon/Blue Rockfish Unknown",,,,,,,,,16688,11.5874735460472156108730424960080127672,7538,5.18709801817349820603845431060713647038
"Diamond Turbot",799.323172724,.1784173729503,0,0,36.305203763,.012984449346,691.926335954,.3006924568498
"Dogfish Shark Family",,,,,,,0,0
"Dolphinfish",,,,,,,,,,,3,.014266455
"Dover Sole",,,,,,,36.173619016,.029541788863,,,2,.00136190476190476190476190476190476190476
"Drum Family",12771.061917661,2.842642575576,0,0,0,0,173.304369888,0
"Dungeness Crab",,,,,38,0,127.8043047597,0
"Eel Order",0,0
"Eelpout Family",,,,,,,7.1006671868,0
"English Sole",,,,,,,6.4796404002,.000777556848
"Fantail Sole",,,,,355.1778130995,.1495305894676,81.2320044281,.0158694802446
"Finescale Triggerfish",19.15647281,0,,,145.76211055,.225063362966,151.7661407889,.2409041144932
"Flag Rockfish",,,,,19637.476285062,7.6020931378841,5365.521509324866666666666666666666666667,2.24195928334362222222222222222222222222
"Flatfish Order",139.4029634185,.088537431365,0,0,97.426714896,.062426138712,468.7153298715,.9353655749246,11,,46,,362.0706,.091780004254055326194,148.908,.03774616572973025292
"Flyingfish Family",,,,,0,0,0,0
"Freckled Rockfish",,,,,135.55415177,.0146907639786,235.4294905369,.0288361637712
"Garibaldi",0,0,,,0,0,7.9494580088,0
"Giant Kelpfish",232.147438327,.0079985379584,,,23.668419296,.0081338594328,62.935442918,.0232629873649
"Giant Seabass",0,0,,,0,0,82.0620266222,.113926607883
"Goby Family",,,0,0
"Gopher Rockfish",81.831865527,.0175200052227,283.921244646,.202050992651,33784.6924261584029148524431543299467828,12.28265117966790429366231253023705853894,49164.0717930099738582885937985606162032,20.56776426651288205447348930769862297947,3,.002631340206185567010309278350515463917525,2,.00175422680412371134020618556701030927835
"Grass Rockfish",3781.119774821,1.5291565661796,5698.377126286,3.7877483268802,609.420280216,.278427092769,4349.997374581716666666666666666666666666,3.52442676278988333333333333333333333332,4,.00566745762711864406779661016949152542372,6,.00850118644067796610169491525423728813558
"Gray Smoothhound",769.45145462,0,446.11608137,.11599018116,38.9856576038,.0628431630705,177.4149884171,.511198138034
"Greenblotched Rockfish",,,,,549.895465861,.2575108852605,646.7623402929,.3796700836775
"Greenling Genus",191.08250236,.093152719902
"Greenspotted Rockfish",,,,,32976.3761504665789473684210526315789474,12.93268758803082631578947368421052631579,8976.080127204363157894736842105263157894,3.22954250873405263157894736842105263158,,,4,.00383636363636363636363636363636363636364
"Greenstriped Rockfish",,,,,2190.222774917,.6033530551811,922.5338780442,.1801187859512,6,.003208884807522774022920952101087275932996,6,.00318867469879518072289156626506024096386
"Halfbanded Rockfish",,,,,2718.6471244397,.2358313354768,384.3000175862,.0321414643292
"Halfmoon",6087.704573954,2.0059456194613,2207.3353541,.88619261716,16944.067075004,5.5366010267595,7323.3261812507,2.9060367228988
"Honeycomb Rockfish",,,,,16234.9356705609119810430015858610859024,2.26224304666936685559497291202596045431,4104.161258050692228739002932551319648093,.6410187459849464259530791788856304985338
"Horn Shark",0,0,,,,,53.9777514104,.1592673116601
"Hornyhead Turbot",,,,,5.5633253958,.0015020978569
"Jack Mackerel",24216.947293625,1.891475371455,,,5593.7072815595,1.1393228689265,3521.2463963276,.3171368350434,2,.00324862745098039215686274509803921568628,197,.265341652492197301977374767992866104665
"Jacksmelt",299514.655601276,52.6315249492578,36384.821995582,9.050039340502,138.045070914,.031499198327,9473.7403197935,1.9969078228788,,,481,.0881833333333333333333333333333333333334
"Kelp Bass",4171.206283675,2.4350520714265,3241.21472317,1.82054605243,149462.1327667048,93.1651838311406,69838.5126988782,60.3216281904826
"Kelp Greenling",1267.795630531,.7087639354927,8117.254728,5.230073340222,1550.3330797217,.926652479516,4337.381774001078888888888888888888888889,2.79030574497069666666666666666666666667,2670,2.0224858910837422064601773697521361917,1900,1.40729330341732967017188034437734901772,183.162,.12730076461,1807.8521,1.28968876903
"Kelp Perch",,,,,,,0,0
"Kelp Rockfish",162.872785264,.0742605464288,5100.9993385,2.8516581546,6023.7301112776,2.381359616484865,4945.416970013678571428571428571428571428,2.59937193776090714285714285714285714285
"Leopard Shark",1056.0941112594,3.575700439824,924.85953833,3.78287682693,460.383553937882608695652173913043478261,1.978214645105,3400.180494362362003796363943537996888859,14.33440347457900460773373008602778136507
"Lingcod",519.663850459,1.338920889854,369.417522268,1.80130132741,22502.1636292678628412181686321530938623,73.82729375584707404926716802410476106371,31995.1192099985536874890655659541045131,111.638334737157469562449970382046558055,12963,42.829251202739313035239177844159365824,15318,52.98737469868663423787417358141787297723,11772.1276,40.74934240635,8808.7142,30.50650207578
"Lizardfish Family",,,,,,,0,0
"Longfin Sanddab",,,,,285.8409427698,.0365937522554,250.8179672721,.0395456482933
"Longjaw Mudsucker",172.408290194,0,1162.63046025,0
"Longnose Skate",,,,,0,0,,,,,9,.0495642857142857142857142857142857142858
"Longspine Thornyhead",,,,,,,5.6598322062,0
"Lumptail Searobin",,,,,,,0,0
"Mackerel Family",,,,,0,0,71.091599823,.52045841101,4,,73
"Mexican Rockfish",,,,,,,43.687578658,.065531367987
"Midshipman Genus",,,,,,,0,0
"Monkeyface Prickleback",1605.7149124942,1.6861693122639,1495.850399214,.439659419658,,,53.357922527,.07091123363
"Northern Anchovy",208081.556014458,3.2711920924093,,,,,26563.5430059294,.1055756945985,,,21,.0003906
"Ocean Sunfish",,,,,,,,,11,.0319,0,0
"Ocean Whitefish",0,0,,,44508.538501755,24.6840084946786,15939.3713361834,11.1886724509062
"Olive Rockfish",364.88816496,.16784855588,,,59715.5644984040686716791979949874686717,42.72038193112425760233918128654970760234,25202.2988159561590941362888258570578142,17.40986320925531815343390854241857254193
"Opaleye",13238.2950366254,7.2682383026486,5026.72659034,1.415695641,471.8073663735,.328745336499,5936.6370164036,8.1921360236577
"Orangemouth Corvina",,,,,,,0,0
"Pacific (Chub) Mackerel",1142807.3162407094,187.0166343046524,1835.389547,0,69432.201179821,20.2632290200873,110387.8688778875,33.5338760850106,472,.2209158794691722964428716815681228211806,1341,.6188711207942510577335736375137394148208
"Pacific Angel Shark",230.37472533,2.7069030226,0,0,0,0,424.7384423123,5.005877072167
"Pacific Barracuda",1917.653429074,.01989354691,0,0,134658.424783793,316.522149311464,25055.6933521199,60.218782135002
"Pacific Bonito",68899.012208753,19.585406033777,,,55677.897542697,96.94823999313,16896.2030873435,27.7468416772081
"Pacific Cod",,,,,,,,,,,2,.00699214285714285714285714285714285714286,44.9001,.13951808073,59.8325,.18591752725
"Pacific Hagfish",,,,,,,0,0
"Pacific Hake",,,,,,,31.5218895685,.0245818650931,0,0,26,.0244981939799331103678929765886287625418
"Pacific Herring",26262.3557981795,1.5886432464165,,,,,,,0,0,360,.0378
"Pacific Pompano (Butterfish)",57.653276366,.0057653276366,,,,,27.819793151,.0027819793151
"Pacific Sanddab",7633.498775347,.6120191075875,,,75909.889285882030434782608695652173913,10.89656458107599021739130434782608695652,30943.3016789690947366241691184482946497,4.46549955866161661223711452544404489483,3,.000832631578947368421052631578947368421053,531,.1469309741063889670700816211652124964819
"Pacific Sardine",206567.85310601,11.5951546034241,,,48.713357448,.0031789932059,2246.4894898367,.0272408943215,,,37,.003597222222222222222222222222222222222217
"Pacific Staghorn Sculpin",4728.1635195937,.1030323831725,0,0,0,0,69.1114275013,.0002683325313,,,2,.002
"Petrale Sole",,,,,221.8960399793,.1464545961405,1185.4895722423,.9077742262086,10,.0121018538324420677361853832442067736185,18,.0217043466160657811511701454775458570525
"Pile Perch",2349.256709951,.96739690268,2606.16443743,1.615106284633,41.821021177,.0166541168658,270.671002077,.1409632997446,,,9,.0071775
"Pink Seaperch",,,,,,,20.362799191,.0016290239353
"Plainfin Midshipman",,,,,,,16.4615685752,.0035258901548
"Queenfish",161135.0886416474,12.9130289330972,,,116.44952734,.0091218796419,441.4146038363,.0285348282429
"Quillback Rockfish",,,,,8370.756806989,7.2088769703532,5662.6236417549,5.5009294581429,2294,2.88790044000621730833958488095490279391,1337,1.79288265192470105047792851786485011948,964.2617,1.162876089,1388.4579,1.65407179281
"Rainbow Seaperch",1372.5886584514,.182335465688,354.990694578,.061962626217,,,56.6237383316,.0194464836022
"Red Irish Lord",,,,,,,,,14,.0154377064765300059417706476530005941771,24,.0257208785015049238771514567078694368954
"Red Rock Crab",52.483537619,0,,,15.2,0,70.329129333,0
"Redbanded Rockfish",,,,,,,,,7,.0114831111111111111111111111111111111111,8,.0131235555555555555555555555555555555555
"Redtail Surfperch",301.904634541,.1221790079295,25593.012538016,17.434888242742,,,0,0,,,19,.01295
"Righteye Flounder Family",0,0,,,,,6.7675995252,.016918998813
"Rock Greenling",0,0,1253.56821429,.850726584553,,,261.9083825585,.1856334038906,4,.00355527272727272727272727272727272727272,20,.0177763636363636363636363636363636363638
"Rock Sole",,,,,757.1916560853,.5826542687325,230.8627809374,.2378188484028,1,.000901917808219178082191780821917808219178,2,.00180383561643835616438356164383561643836
"Rock Wrasse",587.1922660439,.1184727017105,,,74.321537933,.011374685811,279.8180852046,.0726321191623
"Rockfish Genus",397.943730123,.055948057613,0,0,164129.251304025323993564637394698029701,62.33934384552596452451468995680090761918,61164.9701105808507132715945599251703495,30.22207745471285045318931084140812187933,3,,3,,111.8359,.147836994569,47.226,.06242852166
"Rockpool Blenny",18.082441303,0
"Rockweed Gunnel",,,78.740934146,0
"Rosethorn Rockfish",,,,,,,,,27,.009435564705882352941176470588235294117647,13,.0046304
"Rosy Rockfish",,,,,34511.9437232450401423814369825952116256,5.4562174877017709280608239136167400692,8870.990562057921616732560645009345419742,1.4607982385009750747884126817095353347,19,.007753602529358626919602529358626919602532
"Round Stingray",790.71142581,.067875686513,0,0,0,0,0,0
"Rubberlip Seaperch",3809.678131966,1.6281179413283,584.001961766,.11660003979,148.236348813,.0525668838585,1856.5012235752,.9905747032603
"Sablefish",,,,,,,6.416161874,.0083410104362,438,1.91467289372179490412072594837205607371,396,1.78218190842578806816356246559656450016
"Salema",44554.334662013,1.995367239682,,,0,0,0,0
"Salmon Shark",,,,,,,,,1,.01,3,.03
"Sand Sole",8.8180043228,0,98.606184874,.018206298984,33.878429014,.021552671739,71.4437759711,.0387893062132,17,.0136247700534759358288770053475935828877,16,.012616895424836601307189542483660130719
"Sandbass Genus",42.506750892,0,0,0,0,0,94.832301635,0
"Sanddab Genus",1040.888860444,.0071575702704,0,0,5276.344995327650449679519446961307426426,.5612854872945998304666909318072108769785,20132.0062430160050507968607058596947374,1.78911017347965889498772208580095334394
"Sarcastic Fringehead",0,0,,,0,0,0,0
"Sargo",5764.0309122858,3.586138421261,255.99019128,.114527216782,140.118466326,.101953584849,3824.6248570675,2.976659354455
"Sculpin Family",154.0353584751,.0122983403682,1801.5556113,0,72.301832499,.011110381594,19.4855905339,.034599823961,0
"Senorita",1388.553267598,.3624584092859,,,40.961302156,.001843258597,84.8816175798,.0130586118803
"Seven Gill Shark",83.582860879,.50149716528,,,,,387.007899882713306385084969476983996041,1.0887553520576628224165429247098938569
"Sharpnose Seaperch",191.906407504,.0288747142582,1131.3235536,.14707206197,1376.340467205,.2760221805047,92.343034394,.0163163042031
"Shiner Perch",98049.1186657202,3.0100830257438,12447.952592158,.7257395722552,,,244.733698032,.0095681660555
"Shortfin Corvina",,,,,,,584.0757694357,.7002362425484
"Shortspine Combfish",,,,,74.74872786,.0022424618358
"Shovelnose Guitarfish",6284.887870481,21.905847838677,0,0,0,0,724.6205557752,2.9720066044936
"Silver Surfperch",1634.988235006,.1577204148376,2014.897693078,.2199022119004,,,14.996449442,.0016496094387,,,2,.0006
"Silvergray Rockfish",,,,,,,,,9,.0117533345675355450236966824644549763033
"Silverside Family",146957.745448287,2.3953769807611,106331.51055713,0,,,2150.7062990441,.0169593359307
"Skate And Ray Order",0,0,0,0,.465110983588235294117647058823529411764,.00198424372490196078431372549019607843137,47.26781400537818627450980392156862745098,.0969777179999020721925133689839572192514
"Skate Family",0,0,,,0,0,0,0,0,,18
"Smoothhound Genus",73.416990347,0,0,0,3.51494416817307692307692307692307692308,.003304337186164102564102564102564102564099,220.929448081505727116021233668292491823,.3595860321694547165253047605988782459369
"Soupfin Shark",,,,,,,11.1198884178,.134931712004
"Speckled Rockfish",,,,,14962.8768277375454545454545454545454546,5.95810162283577272727272727272727272727,2128.8381258266,.986667569277
"Speckled Sanddab",1100.2921525299,.0439209856966,,,217.664056527,.0061246240669,138.0025905151,.0042070562323
"Spiny Dogfish Shark",643.665176455,3.30640192674,0,0,106.46860329,.37921919243,625.289797952164337756960707780379911526,1.72390219169910663544106167056986729117,17,.03902764,23,.040039846
"Spiny Lobster",77.142985152,0,438.74616991,0,,,8297.4245284991,0
"Spotfin Croaker",26540.83136252,14.7794631161298,29731.1244186,18.980027595514,,,1840.433537507,1.6930454810981
"Spotfin Surfperch",291.01896572,.0081485310401
"Spotted Ratfish",,,,,0,0,0,0,0,0,0,0
"Spotted Sandbass",1655.541836632,.8176893183227,2059.68008,1.21070180599,48.713357448,.003175727994,8671.6745646518,4.9095090860848
"Squarespot Rockfish",,,,,10601.2379159776666666666666666666666667,1.53751970754513333333333333333333333333,667.7574091699,.1187017020711
"Squid Class",99.698352552,1.3210031713,,,1352.203463506,10.98884037191,1606.3483531575,20.264944997462
"Starry Flounder",87.130643882,.0448061151467,,,192.80488667,.10510064688,379.5145284176,.2573226265806,9,.0146942307692307692307692307692307692308,7,.0114021770682148040638606676342525399129
"Starry Rockfish",,,,,71371.40152686825,29.64112259970068846153846153846153846154,19329.6650391226204395604395604395604396,8.75521817063475546703296703296703296703
"Stickleback Family",,,,,,,0,0
"Stingray Genus",0,0,,,,,0,0
"Striped Bass",1759.9636187251,4.4929798383107,12137.464966889,31.677889230939,2170.393911898,4.365400106,5193.2109829804,12.527656031726
"Striped Mullet",2952.019071599,2.309395576107,4434.4480413,3.5475584331
"Striped Seaperch",10783.8049102183,3.909139612188,25417.776352712,11.62730126418,29.939864466,.014999872097,1121.7550094893,.5416553900939,8,.0057923076923076923076923076923076923077,97,.0676293761826408885232414644179350061704
"Stripetail Rockfish",,,1501.1117726,.30022235452,80.424555453,.028396054579
"Sturgeon Genus",66.541594326,1.0497181742,,,,,334.847113905,5.96023935748
"Surf Smelt",131.856187184,.0078520727957,61244.654615,0
"Surfperch Family",23113.0094936254,1.920612063328,6808.656559338,.82591397633,46.153808978,.0099286685894,356.3956045389,.0815910207399,,,,,0,0,54.38,.02879701057
"Swell Shark",,,,,0,0,0,0
"Swordspine Rockfish",,,,,51.2798,.0076792735674
"Thornback",180.563755943,.257340752947,97.499148868,.2242480424,0,0,64.6620212067,.36457897802
"Thresher Shark",,,,,,,,,,,0,0
"Tiger Rockfish",,,,,203.6938952657,.2545653375487,236.359793851,.259394485586,526,.6118409146499556181552688044923206363981,110,.1357067071537067933354614847085260454562,24.9891,.033657081,76.933,.1036155394
"Topsmelt",31080.050888266,4.525390748408,2486.2432427,0,,,786.7564074957,.2641336394685
"Treefish",0,0,,,12365.8054191455538461538461538461538461,4.84037514992358461538461538461538461538,4069.600242729651333333333333333333333332,1.83759226768099533333333333333333333334
"True Crabs",,,,,,,13.755281979,0
"Tunas (Non-Mackerel)",,,0,0,,,95.169262926,0
"Unidentified (Sharks)",198.91629518,0,0,0,9.60474179880158730158730158730158730159,.0172346308276031746031746031746031746032,884.6703481786919005064266583025496784,1.52983172716198791870306736272914926463,0,,29,,236.7738,.2996254378847844,441.8685,.559162554302853
"Unidentified (Surface Fish)",14.68840734,0,,,,,0,0
"Unidentified Fish",16942.712580251,4.9541500778005,2386.17397661,.17371446991,295.620350493,.2855366585699,391.9661281004,.3693358601373,0,,34,,1168.99,2.762149658086,1362.5,3.2193850325
"Vermilion Rockfish",,,,,123040.3973045168576007326007326007326007,122.554164578081192216117216117216117216,88444.4969698222810622710622710622710626,99.67014594807082950549450549450549450548,1287,2.79549379786377503352329319112459159459,1829,4.0581783518324689260819881801594497626,42.39,.076057119,418.308,.75247068162
"Walleye Surfperch",81090.1907798866,7.9634178906102,14362.116823118,2.27035523346,,,261.0327498884,.0645425025112
"White Croaker",53646.8326574674,7.4677399501556,23722.98113965,4.302490477972,2653.736290174,.6079148677358,254394.9784102105,34.8166594245961
"White Seabass",285.885327479,.306868395556,0,0,0,0,3646.5051387341,42.2070058595648
"White Seaperch",9975.473045667,1.5186657125952,5152.53888399,.975096346177,91.2373498123,.0141095773241,60.7233468991,.0093466065809
"White Sturgeon",53.363401894,.71076842627,215.42011348,2.541957339,96.402443333,1.470403921,370.3061559405,6.165441276754
"Widow Rockfish",,,,,13448.7161696793,8.4503515341494,337.260866465,.1119889639749,634,.4295403483540177586370286832139543062019,61,.0480108055507190907071099101337957931192
"Wolf-Eel",,,,,155.072472584,.33465566062,,,5,.0178727391304347826086956521739130434783,3,.010723643478260869565217391304347826087
"Yelloweye Rockfish",,,,,1329.495030282243589743589743589743589744,1.75581242390523461538461538461538461538,4648.856766527102215053763440860215053763,7.34714207113119354838709677419354838708,440,.5899915394702309808421463525664329409996,1110,1.5403872200495043601478496841383659252,133.9074,.4133721438,931.3951,2.8752166737
"Yellowfin Croaker",103975.116613217,24.2208561820272,52762.84336413,13.506456356792,224.669448135,.092062015577,2643.1958124707,1.1769155581578
"Yellowfin Goby",251.67125856,0,266.591537014,.0035660192256
"Yellowmouth Rockfish",,,,,,,,,0,0
"Yellowtail",,,,,20268.841597211,126.503300006271,14628.5983049629,93.493290926891,1,.00563883333333333333333333333333333333333,3,.0169165
"Yellowtail Rockfish",,,,,95155.1350467446178432191590086326928432,45.18167876682321306739069896964633806735,26221.5524196265982833490434744894654754,14.94739786774455728862030098385496243956,7657,5.91242079519551048520252854642160293385,1193,.8702271272423246917637130530693544861541,12630.4926,13.38071016125,965.1425,.9879770062
"Zebraperch",481.739092752,.393395192104,,,,,208.83888364,.14618721855
