"SPECIES","CA_JETTY_TOTAL_MORTALITY_NUM","CA_JETTY_TOTAL_MORTALITY_MT","CA_BEACH_TOTAL_MORTALITY_NUM","CA_BEACH_TOTAL_MORTALITY_MT","CA_CHARTER_TOTAL_MORTALITY_NUM","CA_CHARTER_TOTAL_MORTALITY_MT","CA_PRIVATE_TOTAL_MORTALITY_NUM","CA_PRIVATE_TOTAL_MORTALITY_MT","OR_CHARTER_TOTAL_MORTALITY_NUM","OR_CHARTER_TOTAL_MORTALITY_MT","OR_PRIVATE_TOTAL_MORTALITY_NUM","OR_PRIVATE_TOTAL_MORTALITY_MT","WA_CHARTER_TOTAL_MORTALITY_NUM","WA_CHARTER_TOTAL_MORTALITY_MT","WA_PRIVATE_TOTAL_MORTALITY_NUM","WA_PRIVATE_TOTAL_MORTALITY_MT"
"Albacore",,,,,,,,,86,.497781881578947368421052631578947368421,5271,29.72237510866411053655222521936015287435,9682.7,81.03548457,17730.15,148.385398365
"American Shad",93.63024939,0,,,,,,,,,3,.0001818
"Ocean Whitefish",78.07396068,.02832386362,,,202337.84710638,78.94774806587,50635.73002212,24.909429785267
"Olive Rockfish",280.87185497,.10150481685,,,29489.17455658,20.725328830627,22100.603419782,16.752133824579,,,23,.0199465217948717948717948717948717948718
"Opaleye",4364.49784223,1.33586576107,8358.781239,2.6798379127,160.0156547,.1093321303,3797.928478617,2.080056890978
"Pacific (Chub) Mackerel",251050.9051357,30.876060960322,0,0,12823.920594469,2.357136956316,80442.902724403,22.319284431281,6,.00390099120360437674318815704784381034113,85,.0382298391654151469641707788028320102982
"Pacific Angel Shark",,,,,,,9.101441506,0
"Pacific Barracuda",0,0,,,17309.374369827,27.004778320212,1282.134431262,2.07946913078
"Pacific Bonito",6829.31743201,8.90471168736,,,139100.15306224,229.70669207051,25675.915419039,31.958720966316
"Pacific Cod",,,,,,,,,,,52,.1817957142857142857142857142857142857147,26.56,.087297408,206.8656,.67992585408
"Pacific Golden-Eyed Tilefish",,,,,,,8.622551046,0
"Pacific Hagfish",,,,,,,0,0
"Pacific Hake",,,,,0,0,17.42315331,0,5,.00311955,183,.1378089
"Pacific Herring",1412.4288789,.125133125848,,,,,28738.39751771,2.441775927917,,,4,.00042
"Pacific Sanddab",224.30053049,.026418307796,,,45583.803739185,5.620997384319,38943.232923048,4.343598494054,12,.002088765555555555555555555555555555555556,1872,.4287658648441427853192559074912016088493
"Pacific Sardine",125652.30456062,5.606657606553,805.7302022,.05243612966,309.39036736,.014172142092,5799.744317009,.333712307412
"Pacific Staghorn Sculpin",1575.60216031,0,,,0,0,136.452320871,0
"Pacific Tomcod",,,,,,,0,0,,,4,.0006484
"Petrale Sole",,,,,262.537657547,.235116030944,2022.56506769,1.749066210397,631,.6888412408397043636197841084603160446107,3141,3.44546267980401163235272593970624431024
"Pile Perch",288.03223353,.14499115814,171.3661986,.08516707659,,,168.080791446,.093682814234,2,.001595,28,.02233
"Plainfin Midshipman",0,0
"Queenfish",1555.77417259,.006741435154,,,,,0,0
"Quillback Rockfish",,,,,2349.08791263,2.60181930678,4296.017228965,5.202091164919,2743,2.4534706969409520898268137371875096851,2928,2.92545320915324784342690953701460065991,437.9734,.5822629612,542.259,.7137899735
