"source","table","year","port_complex","category","type","comm_name_orig","comm_name","sci_name","landings_lb","landings_kg","value_usd"
"FB 173","Table 4",1977,"Eureka","Fish","Landings","Sole, sand","Sand sole","Psettichthys melanostictus",53323,24186.9090376722,15302
"FB 173","Table 4",1977,"Eureka","Fish","Landings","Surfperch","Surfperch","Embiotocidae spp.",26598,12064.6513996588,8666
"FB 173","Table 4",1977,"Eureka","Fish","Landings","Thornyhead","Thornyhead","Sebastolobus spp.",2338516,1060733.15033177,364459
"FB 173","Table 4",1977,"Eureka","Fish","Landings","Tuna, albacore","Albacore tuna","Thunnus alalunga",2031988,921694.370565074,1170762
"FB 173","Table 4",1977,"Eureka","Fish","Landings","Turbot","Turbot","Pleuronectidae spp.",6529,2961.50496234199,1808
"FB 173","Table 4",1977,"Eureka","Mollusks","Landings","Octopus","Octopus","Octopoda spp.",27471,12460.6375892934,8715
"FB 173","Table 4",1977,"Eureka","Mollusks","Landings","Oyster, giant Pacific","Pacific oyster","Crassostrea gigas",568810,258007.90896458,620003
"FB 173","Table 4",1977,"Eureka","Mollusks","Landings","Snail, sea","Sea snail","Gastropoda spp.",436,197.766298603324,29
"FB 173","Table 4",1977,"Eureka","Mollusks","Landings","Squid, market","Market squid","Doryteuthis opalescens",932,422.748142886006,120
"FB 173","Table 4",1977,"Los Angeles","Crustaceans","Landings","Crab, rock","Rock crab","Cancer spp.",510226,231434.650163257,172161
"FB 173","Table 4",1977,"Los Angeles","Crustaceans","Landings","Crustacean, miscellaneous","Crustacean","Crustacea spp.",2272,1030.56199639164,576
"FB 173","Table 4",1977,"Los Angeles","Crustaceans","Landings","Lobster, California spiny","California spiny lobster","Panulirus interruptus",88770,40265.3998326081,219297
"FB 173","Table 4",1977,"Los Angeles","Echinoderms","Landings","Echinoderm, miscellaneous","Echinoderm","Echinodermata spp.",1259,571.072866838499,161
"FB 173","Table 4",1977,"Los Angeles","Echinoderms","Landings","Sea urchin","Sea urchin","Strongylocentrotus spp.",1668650,756887.004964306,170163
"FB 173","Table 4",1977,"Los Angeles","Fish","Landings","Anchovy, northern","Northern anchovy","Engraulis mordax",175187124,79463552.9276184,3988655
"FB 173","Table 4",1977,"Los Angeles","Fish","Landings","Barracuda, California","California barracuda","Sphyraena argentea",66271,30060.0237952773,32091
"FB 173","Table 4",1977,"Los Angeles","Fish","Landings","Bass, giant sea","Giant sea bass","Stereolepis gigas",30874,14004.2126217409,13664
"FB 173","Table 4",1977,"Los Angeles","Fish","Landings","Bonito, Pacific","Pacific bonito","Sarda chiliensis",16951158,7688916.91444985,3270316
"FB 173","Table 4",1977,"Los Angeles","Fish","Landings","Butterfish, Pacific","Pacific pompano (butterfish)","Peprilus simillimus",8774,3979.81996317791,3582
"FB 173","Table 4",1977,"Los Angeles","Fish","Landings","Cabezon","Cabezon","Scorpaenichthys marmoratus",138,62.5957550625201,37
"FB 173","Table 4",1977,"Los Angeles","Fish","Landings","Croaker, white","White croaker (kingfish)","Genyonemus lineatus",206820,93811.9859567421,26153
"FB 173","Table 4",1977,"Los Angeles","Fish","Landings","Dolphinfish","Common dolphinfish","Coryphaena hippurus",124,56.2454610706703,38
"FB 173","Table 4",1977,"Los Angeles","Fish","Landings","Fish, miscellaneous","Fish","Osteichthyes spp.",1391,630.947067333083,634
"FB 173","Table 4",1977,"Los Angeles","Fish","Landings","Flounder, miscellaneous","Flounder","Pleuronectidae spp.",52,23.5868062554424,18
"FB 173","Table 4",1977,"Los Angeles","Fish","Landings","Flyingfish","Flyingfish","Exocoetidae spp.",83871,38043.2505278886,26866
"FB 173","Table 4",1977,"Los Angeles","Fish","Landings","Grouper","Grouper","Epinephelinae spp.",5768,2616.32112464215,1443
"FB 173","Table 4",1977,"Los Angeles","Fish","Landings","Hake, Pacific","Pacific hake (whiting)","Merluccius productus",5,2.26796213994638,2
"FB 173","Table 4",1977,"Los Angeles","Fish","Landings","Halfmoon","Halfmoon","Medialuna californiensis",31474,14276.3680785345,11390
"FB 173","Table 4",1977,"Los Angeles","Fish","Landings","Halibut, California","California halibut","Paralichthys californicus",74566,33822.5729854484,71860
"FB 173","Table 4",1977,"Los Angeles","Fish","Landings","Lingcod","Lingcod","Ophiodon elongatus",1203,545.671690871099,352
"FB 173","Table 4",1977,"Los Angeles","Fish","Landings","Mackerel","Mackerel","Scombridae spp.",100538230,45603379.8514443,4843384
"FB 173","Table 4",1977,"Los Angeles","Fish","Landings","Mullet, striped","Striped mullet","Mugil cephalus",3780,1714.57937779946,1172
"FB 173","Table 4",1977,"Los Angeles","Fish","Landings","Queenfish","Queenfish","Seriphus politus",18110,8214.5588708858,1957
"FB 173","Table 4",1977,"Los Angeles","Fish","Landings","Rockfish","Rockfish","Sebastes spp.",479576,217532.042245385,168598
"FB 173","Table 4",1977,"Los Angeles","Fish","Landings","Sablefish","Sablefish","Anoplopoma fimbria",1614426,732291.409149015,206103
"FB 173","Table 4",1977,"Los Angeles","Fish","Landings","Salmon","Salmon","Oncorhynchus spp.",867,393.264635066703,2623
"FB 173","Table 4",1977,"Los Angeles","Fish","Landings","Sanddab, Pacific","Pacific sanddab","Citharichthys sordidus",166,75.2963430462199,75
"FB 173","Table 4",1977,"Los Angeles","Fish","Landings","Sardine, Pacific","Pacific sardine","Sardinops sagax",3837,1740.43414619485,191
"FB 173","Table 4",1977,"Los Angeles","Fish","Landings","Sculpin","California scorpionfish","Scorpaena guttata",2458,1114.93018799764,1370
"FB 173","Table 4",1977,"Los Angeles","Fish","Landings","Seabass, white","White seabass","Atractoscion nobilis",574663,260662.785445602,422935
"FB 173","Table 4",1977,"Los Angeles","Fish","Landings","Shark, bonito","Shortfin mako shark","Isurus oxyrinchus",12292,5575.55812484418,2791
"FB 173","Table 4",1977,"Los Angeles","Fish","Landings","Shark, common thresher","Common thresher shark","Alopias vulpinus",81271,36863.9102151165,27631
"FB 173","Table 4",1977,"Los Angeles","Fish","Landings","Shark, miscellaneous","Shark","Selachimorpha spp.",327863,148716.174217848,65466
"FB 173","Table 4",1977,"Los Angeles","Fish","Landings","Shark, soupfin","Soupfin shark","Galeorhinus galeus",6631,3007.77138999689,2404
"FB 173","Table 4",1977,"Los Angeles","Fish","Landings","Sheephead, California","California sheephead","Semicossyphus pulcher",4043,1833.87418636064,1108
"FB 173","Table 4",1977,"Los Angeles","Fish","Landings","Skate","Skate","Rajidae spp.",210,95.254409877748,55
"FB 173","Table 4",1977,"Los Angeles","Fish","Landings","Smelt, top or jack","Top or jack smelt","Atherinops affinis, Atherinopsis californiensis",11987,5437.21243430746,1709
"FB 173","Table 4",1977,"Los Angeles","Fish","Landings","Sole, English","English sole","Parophrys vetulus",23,10.4326258437534,4
"FB 173","Table 4",1977,"Los Angeles","Fish","Landings","Sole, miscellaneous","Sole","Pleuronectiformes spp.",704,319.329069304451,221
"FB 173","Table 4",1977,"Los Angeles","Fish","Landings","Surfperch","Surfperch","Embiotocidae spp.",15404,6987.13776074681,5150
"FB 173","Table 4",1977,"Los Angeles","Fish","Landings","Swordfish","Swordfish","Xiphias gladius",310474,140828.655487543,759164
"FB 173","Table 4",1977,"Los Angeles","Fish","Landings","Tuna, albacore","Albacore tuna","Thunnus alalunga",1889045,856856.508131003,1107556
"FB 173","Table 4",1977,"Los Angeles","Fish","Landings","Tuna, bigeye","Bigeye tuna","Thunnus obesus",1242435,563559.108268857,482100
"FB 173","Table 4",1977,"Los Angeles","Fish","Landings","Tuna, bluefin","Bluefin tuna","Thunnus thynnus",4733921,2147270.72029942,1956380
"FB 173","Table 4",1977,"Los Angeles","Fish","Landings","Tuna, skipjack","Skipjack tuna","Katsuwonus pelamis",45966739,20850164.7497594,15813982
"FB 173","Table 4",1977,"Los Angeles","Fish","Landings","Tuna, skipjack, black","Black skipjack tuna","Euthynnus lineatus",543075,246334.707830276,54313
"FB 173","Table 4",1977,"Los Angeles","Fish","Landings","Tuna, yellowfin","Yellowfin tuna","Thunnus albacares",116726589,52946296.9154164,45112988
"FB 173","Table 4",1977,"Los Angeles","Fish","Landings","Turbot","Turbot","Pleuronectidae spp.",23,10.4326258437534,7
"FB 173","Table 4",1977,"Los Angeles","Fish","Landings","Wahoo","Wahoo","Acanthocybium solandri",4065,1843.85321977641,2173
"FB 173","Table 4",1977,"Los Angeles","Fish","Landings","Yellowtail","Yellowtail (amberjack)","Seriola lalandi",1669059,757072.524267354,343947
"FB 173","Table 4",1977,"Los Angeles","Mollusks","Landings","Abalone, black","Black abalone","Haliotis cracherodii",83605,37922.5949420434,48967
"FB 173","Table 4",1977,"Los Angeles","Mollusks","Landings","Abalone, green","Green abalone","Haliotis fulgens",65529,29723.4582137093,82555
"FB 173","Table 4",1977,"Los Angeles","Mollusks","Landings","Abalone, pink","Pink abalone","Haliotis corrugata",85900,38963.5895642788,107546
"FB 173","Table 4",1977,"Los Angeles","Mollusks","Landings","Abalone, red","Red abalone","Haliotis rufescens",12328,5591.8874522518,12014
"FB 173","Table 4",1977,"Los Angeles","Mollusks","Landings","Abalone, white","White abalone","Haliotis sorenseni",10248,4648.4152020341,13515
"FB 173","Table 4",1977,"Los Angeles","Mollusks","Landings","Mollusk, miscellaneous","Mollusk","Mollusca spp.",92,41.7305033750134,32
"FB 173","Table 4",1977,"Los Angeles","Mollusks","Landings","Octopus","Octopus","Octopoda spp.",143,64.8637172024665,63
"FB 173","Table 4",1977,"Los Angeles","Mollusks","Landings","Snail, sea","Sea snail","Gastropoda spp.",15811,7171.74987893845,3164
"FB 173","Table 4",1977,"Los Angeles","Mollusks","Landings","Squid, market","Market squid","Doryteuthis opalescens",18387169,8340280.63055915,824595
"FB 173","Table 4",1977,"Monterey","Crustaceans","Landings","Crab, Dungeness","Dungeness crab","Metacarcinus magister",8058,3655.04778473759,5664
"FB 173","Table 4",1977,"Monterey","Crustaceans","Landings","Crab, rock","Rock crab","Cancer spp.",29,13.154180411689,15
"FB 173","Table 4",1977,"Monterey","Crustaceans","Landings","Prawn, spot","California spot prawn","Pandalus platyceros",13506,6126.21933242317,37955
"FB 173","Table 4",1977,"Monterey","Crustaceans","Landings","Shrimp, Pacific ocean","Ocean (pink) shrimp","Pandalus jordani",2120,961.615947337266,6521
"FB 173","Table 4",1977,"Monterey","Echinoderms","Landings","Sea urchin","Sea urchin","Strongylocentrotus spp.",4213,1910.98489911882,331
"FB 173","Table 4",1977,"Monterey","Fish","Landings","Anchovy, northern","Northern anchovy","Engraulis mordax",17693580,8025673.9120225,379425
"FB 173","Table 4",1977,"Monterey","Fish","Landings","Bonito, Pacific","Pacific bonito","Sarda chiliensis",252,114.305291853298,76
"FB 173","Table 4",1977,"Monterey","Fish","Landings","Butterfish, Pacific","Pacific pompano (butterfish)","Peprilus simillimus",32444,14716.3527336841,29760
"FB 173","Table 4",1977,"Monterey","Fish","Landings","Cabezon","Cabezon","Scorpaenichthys marmoratus",3345,1517.26667162413,547
"FB 173","Table 4",1977,"Monterey","Fish","Landings","Croaker, white","White croaker (kingfish)","Genyonemus lineatus",184322,83607.0635118394,26816
"FB 173","Table 4",1977,"Monterey","Fish","Landings","Dolphinfish","Common dolphinfish","Coryphaena hippurus",26,11.7934031277212,13
"FB 173","Table 4",1977,"Monterey","Fish","Landings","Fish, miscellaneous","Fish","Osteichthyes spp.",394,178.715416627775,37
"FB 173","Table 4",1977,"Monterey","Fish","Landings","Flounder, miscellaneous","Flounder","Pleuronectidae spp.",68000,30844.2851032708,18497
"FB 173","Table 4",1977,"Monterey","Fish","Landings","Hake, Pacific","Pacific hake (whiting)","Merluccius productus",1158,525.260031611582,23
"FB 173","Table 4",1977,"Monterey","Fish","Landings","Halibut, California","California halibut","Paralichthys californicus",14913,6764.42387860408,15506
"FB 173","Table 4",1977,"Monterey","Fish","Landings","Herring, Pacific","Pacific herring","Clupea pallasii pallasii",167177,75830.2213339632,10646
"FB 173","Table 4",1977,"Monterey","Fish","Landings","Lingcod","Lingcod","Ophiodon elongatus",174947,79354.6344994399,32526
"FB 173","Table 4",1977,"Monterey","Fish","Landings","Mackerel","Mackerel","Scombridae spp.",383442,173926.387773064,23283
"FB 173","Table 4",1977,"Monterey","Fish","Landings","Rockfish","Rockfish","Sebastes spp.",5051097,2291139.35223935,913016
"FB 173","Table 4",1977,"Monterey","Fish","Landings","Sablefish","Sablefish","Anoplopoma fimbria",5008409,2271776.39867334,657712
"FB 173","Table 4",1977,"Monterey","Fish","Landings","Salmon","Salmon","Oncorhynchus spp.",602578,273324.818072922,1220713
"FB 173","Table 4",1977,"Monterey","Fish","Landings","Sanddab, Pacific","Pacific sanddab","Citharichthys sordidus",74105,33613.4668761453,17851
"FB 173","Table 4",1977,"Monterey","Fish","Landings","Seabass, white","White seabass","Atractoscion nobilis",10466,4747.29835133577,12173
"FB 173","Table 4",1977,"Monterey","Fish","Landings","Shark, bonito","Shortfin mako shark","Isurus oxyrinchus",355,161.025311936193,45
"FB 173","Table 4",1977,"Monterey","Fish","Landings","Shark, common thresher","Common thresher shark","Alopias vulpinus",264,119.748400989169,58
"FB 173","Table 4",1977,"Monterey","Fish","Landings","Shark, miscellaneous","Shark","Selachimorpha spp.",81261,36859.3742908366,11012
"FB 173","Table 4",1977,"Monterey","Fish","Landings","Shark, Pacific angel","Pacific angel shark","Squatina californica",37,16.7829198356032,7
"FB 173","Table 4",1977,"Monterey","Fish","Landings","Shark, soupfin","Soupfin shark","Galeorhinus galeus",11231,5094.29655874756,1705
"FB 173","Table 4",1977,"Monterey","Fish","Landings","Skate","Skate","Rajidae spp.",77995,35377.9414210236,6770
"FB 173","Table 4",1977,"Monterey","Fish","Landings","Smelt, top or jack","Top or jack smelt","Atherinops affinis, Atherinopsis californiensis",29424,13346.5036011565,1569
"FB 173","Table 4",1977,"Monterey","Fish","Landings","Smelt, true","True smelt","Osmeridae spp.",7431,3370.64533238831,1254
"FB 173","Table 4",1977,"Monterey","Fish","Landings","Smelt, whitebait","Whitebait smelt","Allosmerus elongatus",13341,6051.37658180494,2917
"FB 173","Table 4",1977,"Monterey","Fish","Landings","Sole, Dover","Dover sole","Microstomus pacificus",2721374,1234394.64012689,443402
"FB 173","Table 4",1977,"Monterey","Fish","Landings","Sole, English","English sole","Parophrys vetulus",321162,145676.651357892,63915
"FB 173","Table 4",1977,"Monterey","Fish","Landings","Sole, miscellaneous","Sole","Pleuronectiformes spp.",1939,879.515717871207,613
"FB 173","Table 4",1977,"Monterey","Fish","Landings","Sole, petrale","Petrale sole","Eopsetta jordani",252877,114703.092412644,80443
"FB 173","Table 4",1977,"Monterey","Fish","Landings","Sole, rex","Rex sole","Glyptocephalus zachirus",91003,41278.2717243081,17201
"FB 173","Table 4",1977,"Monterey","Fish","Landings","Sole, sand","Sand sole","Psettichthys melanostictus",3091,1402.05419491485,837
"FB 173","Table 4",1977,"Monterey","Fish","Landings","Surfperch","Surfperch","Embiotocidae spp.",55,24.9475835394102,14
"FB 173","Table 4",1977,"Monterey","Fish","Landings","Swordfish","Swordfish","Xiphias gladius",377,171.004345351957,1131
"FB 173","Table 4",1977,"Monterey","Fish","Landings","Thornyhead","Thornyhead","Sebastolobus spp.",371789,168640.675209705,58181
"FB 173","Table 4",1977,"Monterey","Fish","Landings","Tuna, albacore","Albacore tuna","Thunnus alalunga",4020333,1823592.60679541,2318754
"FB 173","Table 4",1977,"Monterey","Fish","Landings","Tuna, skipjack","Skipjack tuna","Katsuwonus pelamis",1641,744.345174330403,567
"FB 173","Table 4",1977,"Monterey","Fish","Landings","Turbot","Turbot","Pleuronectidae spp.",237,107.501405433459,71
"FB 173","Table 4",1977,"Monterey","Mollusks","Landings","Mussel","Mussel","Mytilidae spp.",45,20.4116592595174,23
"FB 173","Table 4",1977,"Monterey","Mollusks","Landings","Octopus","Octopus","Octopoda spp.",1906,864.547167747561,941
"FB 173","Table 4",1977,"Monterey","Mollusks","Landings","Snail, sea","Sea snail","Gastropoda spp.",NA,NA,NA
"FB 173","Table 4",1977,"Monterey","Mollusks","Landings","Squid, market","Market squid","Doryteuthis opalescens",4468975,2027093.22087338,462281
"FB 173","Table 4",1977,"San Diego","Crustaceans","Landings","Crab, rock","Rock crab","Cancer spp.",79119,35887.7793100836,25641
"FB 173","Table 4",1977,"San Diego","Crustaceans","Landings","Lobster, California spiny","California spiny lobster","Panulirus interruptus",113945,51684.5892072381,271521
"FB 173","Table 4",1977,"San Diego","Echinoderms","Landings","Sea urchin","Sea urchin","Strongylocentrotus spp.",1415719,642159.41856055,126855
"FB 173","Table 4",1977,"San Diego","Fish","Landings","Anchovy, northern","Northern anchovy","Engraulis mordax",1258,570.61927441051,437
"FB 173","Table 4",1977,"San Diego","Fish","Landings","Barracuda, California","California barracuda","Sphyraena argentea",5815,2637.63996875764,2680
"FB 173","Table 4",1977,"San Diego","Fish","Landings","Bass, giant sea","Giant sea bass","Stereolepis gigas",17356,7872.55018018188,8857
"FB 173","Table 4",1977,"San Diego","Fish","Landings","Bonito, Pacific","Pacific bonito","Sarda chiliensis",5588426,2534867.7179784,1086584
"FB 173","Table 4",1977,"San Diego","Fish","Landings","Butterfish, Pacific","Pacific pompano (butterfish)","Peprilus simillimus",1443,654.533873588526,686
"FB 173","Table 4",1977,"San Diego","Fish","Landings","Cabezon","Cabezon","Scorpaenichthys marmoratus",24,10.8862182717426,8
"FB 173","Table 4",1977,"San Diego","Fish","Landings","Croaker, white","White croaker (kingfish)","Genyonemus lineatus",7439,3374.27407181223,2670
"FB 173","Table 4",1977,"San Diego","Fish","Landings","Dolphinfish","Common dolphinfish","Coryphaena hippurus",10154,4605.77751380311,2757
"FB 173","Table 4",1977,"San Diego","Fish","Landings","Fish, miscellaneous","Fish","Osteichthyes spp.",2324,1054.14880264708,792
"FB 173","Table 4",1977,"San Diego","Fish","Landings","Flounder, miscellaneous","Flounder","Pleuronectidae spp.",12,5.44310913587132,4
"FB 173","Table 4",1977,"San Diego","Fish","Landings","Flyingfish","Flyingfish","Exocoetidae spp.",129,58.5134232106166,45
"FB 173","Table 4",1977,"San Diego","Fish","Landings","Grouper","Grouper","Epinephelinae spp.",1761,798.776265689116,1009
"FB 173","Table 4",1977,"San Diego","Fish","Landings","Halfmoon","Halfmoon","Medialuna californiensis",9236,4189.37966490896,3602
"FB 173","Table 4",1977,"San Diego","Fish","Landings","Halibut, California","California halibut","Paralichthys californicus",41501,18824.539353983,35663
"FB 173","Table 4",1977,"San Diego","Fish","Landings","Lingcod","Lingcod","Ophiodon elongatus",760,344.73024527185,184
"FB 173","Table 4",1977,"San Diego","Fish","Landings","Mackerel","Mackerel","Scombridae spp.",17381,7883.88999088161,4867
"FB 173","Table 4",1977,"San Diego","Fish","Landings","Mullet, striped","Striped mullet","Mugil cephalus",2954,1339.91203228032,1215
"FB 173","Table 4",1977,"San Diego","Fish","Landings","Rockfish","Rockfish","Sebastes spp.",992521,450200.010220345,334273
"FB 173","Table 4",1977,"San Diego","Fish","Landings","Sablefish","Sablefish","Anoplopoma fimbria",7577,3436.86982687475,1334
"FB 173","Table 4",1977,"San Diego","Fish","Landings","Salmon","Salmon","Oncorhynchus spp.",35,15.8757349796247,48
"FB 173","Table 4",1977,"San Diego","Fish","Landings","Sanddab, Pacific","Pacific sanddab","Citharichthys sordidus",185,83.9145991780161,118
"FB 173","Table 4",1977,"San Diego","Fish","Landings","Sardine, Pacific","Pacific sardine","Sardinops sagax",739,335.204804284075,390
"FB 173","Table 4",1977,"San Diego","Fish","Landings","Sculpin","California scorpionfish","Scorpaena guttata",114276,51834.7283009025,51356
"FB 173","Table 4",1977,"San Diego","Fish","Landings","Seabass, white","White seabass","Atractoscion nobilis",564644,256118.242909577,404786
"FB 173","Table 4",1977,"San Diego","Fish","Landings","Shark, bonito","Shortfin mako shark","Isurus oxyrinchus",2646,1200.20556445963,655
"FB 173","Table 4",1977,"San Diego","Fish","Landings","Shark, common thresher","Common thresher shark","Alopias vulpinus",11844,5372.34871710499,2570
"FB 173","Table 4",1977,"San Diego","Fish","Landings","Shark, miscellaneous","Shark","Selachimorpha spp.",136798,62050.536964077,47333
"FB 173","Table 4",1977,"San Diego","Fish","Landings","Shark, soupfin","Soupfin shark","Galeorhinus galeus",28203,12792.6672465816,9915
"FB 173","Table 4",1977,"San Diego","Fish","Landings","Sheephead, California","California sheephead","Semicossyphus pulcher",1075,487.611860088472,275
"FB 173","Table 4",1977,"San Diego","Fish","Landings","Smelt, top or jack","Top or jack smelt","Atherinops affinis, Atherinopsis californiensis",418,189.601634899518,106
"FB 173","Table 4",1977,"San Diego","Fish","Landings","Sole, English","English sole","Parophrys vetulus",76,34.473024527185,27
"FB 173","Table 4",1977,"San Diego","Fish","Landings","Sole, miscellaneous","Sole","Pleuronectiformes spp.",758,343.823060415871,297
"FB 173","Table 4",1977,"San Diego","Fish","Landings","Surfperch","Surfperch","Embiotocidae spp.",25419,11529.8659270594,9671
"FB 173","Table 4",1977,"San Diego","Fish","Landings","Swordfish","Swordfish","Xiphias gladius",127741,57942.3503437781,334000
"FB 173","Table 4",1977,"San Diego","Fish","Landings","Tuna, albacore","Albacore tuna","Thunnus alalunga",5157050,2339198.8307621,2970517
"FB 173","Table 4",1977,"San Diego","Fish","Landings","Tuna, bigeye","Bigeye tuna","Thunnus obesus",2097710,951505.372117385,855982
"FB 173","Table 4",1977,"San Diego","Fish","Landings","Tuna, bluefin","Bluefin tuna","Thunnus thynnus",2205879,1000570.01146056,855947
"FB 173","Table 4",1977,"San Diego","Fish","Landings","Tuna, skipjack","Skipjack tuna","Katsuwonus pelamis",35651036,16171039.9795731,12646319
"FB 173","Table 4",1977,"San Diego","Fish","Landings","Tuna, skipjack, black","Black skipjack tuna","Euthynnus lineatus",292771,132798.708734848,24383
"FB 173","Table 4",1977,"San Diego","Fish","Landings","Tuna, yellowfin","Yellowfin tuna","Thunnus albacares",78869600,35774653.358543,30719008
"FB 173","Table 4",1977,"San Diego","Fish","Landings","Wahoo","Wahoo","Acanthocybium solandri",8386,3803.82610111807,3584
"FB 173","Table 4",1977,"San Diego","Fish","Landings","Yellowtail","Yellowtail (amberjack)","Seriola lalandi",145169,65847.5591787753,37032
"FB 173","Table 4",1977,"San Diego","Mollusks","Landings","Abalone, black","Black abalone","Haliotis cracherodii",18978,8608.27709838049,9136
"FB 173","Table 4",1977,"San Diego","Mollusks","Landings","Abalone, green","Green abalone","Haliotis fulgens",28519,12936.0024538262,31778
"FB 173","Table 4",1977,"San Diego","Mollusks","Landings","Abalone, miscellaneous","Abalone","Haliotis spp.",27,12.2469955557105,27
"FB 173","Table 4",1977,"San Diego","Mollusks","Landings","Abalone, pink","Pink abalone","Haliotis corrugata",81374,36910.6302351994,91303
"FB 173","Table 4",1977,"San Diego","Mollusks","Landings","Abalone, red","Red abalone","Haliotis rufescens",44694,20272.8599765527,46633
"FB 173","Table 4",1977,"San Diego","Mollusks","Landings","Abalone, threaded","Threaded abalone","Haliotis assimilis",19,8.61825613179625,19
"FB 173","Table 4",1977,"San Diego","Mollusks","Landings","Abalone, white","White abalone","Haliotis sorenseni",5823,2641.26870818156,8825
"FB 173","Table 4",1977,"San Diego","Mollusks","Landings","Octopus","Octopus","Octopoda spp.",110,49.8951670788204,54
"FB 173","Table 4",1977,"San Diego","Mollusks","Landings","Snail, sea","Sea snail","Gastropoda spp.",271,122.923547985094,79
"FB 173","Table 4",1977,"San Diego","Mollusks","Landings","Squid, market","Market squid","Doryteuthis opalescens",21096,9568.98586086177,1937
"FB 173","Table 4",1977,"San Francisco","Crustaceans","Landings","Crab, Dungeness","Dungeness crab","Metacarcinus magister",299304,135762.028066902,178594
"FB 173","Table 4",1977,"San Francisco","Crustaceans","Landings","Crab, rock","Rock crab","Cancer spp.",216,97.9759644456837,93
