Licenses,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
DRIFT GILL NET (VESSEL),Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.
DUNGENESS CRAB PERMIT,N/A,N/A,"$             80,500","$             53,475","$             52,875",N/A,N/A,N/A,N/A,N/A
DUNGENESS CRAB VESSEL PERMIT (R),N/A,N/A,N/A,N/A,N/A,"$           122,800","$           124,800","$           122,800","$           121,800","$           120,800"
DUNGENESS CRAB VESSEL PERMIT (NR),N/A,N/A,N/A,N/A,N/A,"$             26,800","$             29,600","$             30,400","$             28,800","$             28,000"
EXPERIMENTAL DRIFT GILL NET - SWORDFISH,"$                  5,500","$               6,600","$               4,500","$               4,950","$               6,270",N/A,N/A,N/A,N/A,N/A
FINFISH TRAP PERMIT,N/A,N/A,N/A,N/A,N/A,N/A,"$             34,760","$             21,780","$             21,560","$             17,380"
GENERAL GILL/TRAMMEL NET PERMIT,"$              145,290","$           143,180","$             94,000","$             95,700","$           101,640","$             99,000","$             90,090","$             72,270","$             84,150","$             80,850"
HERRING GILL NET PERMIT(R),"$                66,200","$             87,185","$             64,600","$             83,210","$             85,595","$             86,655","$             84,800","$             84,800","$             89,570","$             89,570"
HERRING GILL NET PERMIT(NR),"$                26,700","$             36,400","$             29,100","$             85,000","$             97,000","$             99,000","$           106,000","$           108,000","$           120,000","$           122,000"
HERRING STAMP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"$             41,500","$             41,500","$             41,500"
HERRING ROUND HAUL PERMIT (R),"$                  7,500","$             10,400","$             10,000","$             10,400","$             10,000","$               8,800","$               8,400","$               7,600",N/A,N/A
HERRING ROUND HAUL PERMIT (NR),"$                  8,500","$             10,560","$               8,000","$               9,900","$               9,240","$               8,580","$               9,240","$               9,240",N/A,N/A
LOBSTER PERMIT,"$                  2,915","$               1,000",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LOBSTER OPERATOR PERMIT,"$                82,115","$             93,750","$             70,200","$             71,815","$           122,695","$           112,625","$             78,970","$             64,395","$             72,610","$             70,490"
NEARSHORE FISHERY PERMIT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"$           148,000"
PINK SHRIMP TRAWL PERMIT,"$                  3,300","$               4,400",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PINK SHRIMP (INDIVIDUAL),N/A,N/A,N/A,N/A,"$             87,495","$             49,875","$             47,595","$             36,480","$             33,630","$             30,210"
PINK SHRIMP (VESSEL),N/A,N/A,N/A,N/A,"$               2,280","$             37,620","$             36,765","$             34,770","$             32,205","$             30,495"
SALMON VESSEL PERMIT,"$              101,190","$             97,440","$             93,681","$             82,230","$             74,100","$             70,320","$             66,630","$             62,280","$             56,970","$             54,000"
SEA CUCUMBER,N/A,N/A,"$             33,500","$             26,500","$             32,250","$             32,250","$             33,500",N/A,N/A,N/A
SEA CUCUMBER DIVING PERMIT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"$             27,750","$             28,500","$             25,750"
SEA CUCUMBER TRAWL PERMIT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"$               9,000","$               9,000","$               9,000"
SEA URCHIN DIVING PERMIT,"$              151,500","$           186,080","$           134,250","$           165,990","$           186,780","$           182,160","$           171,930","$           156,420","$           153,450","$           142,890"
Late Fees,,,,,,,,,,
LIMITED ENTRY LATE FEE,N/A,N/A,N/A,$                  900,"$               1,750","$               2,750","$               2,700","$               5,550","$               4,300","$               4,950"
MARKET SQUID/LIGHT VESSEL LATE FEE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"$             17,500","$               7,000"
Nonrestrictive Permits,,,,,,,,,,
ABALONE CREW MEMBER PERMIT,N/A,N/A,N/A,"$               6,006","$               6,402","$              6,534","$               4,653","$               2,475",N/A,N/A
ANCHOVY TAKE PERMIT,N/A,N/A,"$               2,646","$               1,920","$               2,310","$               3,480","$               3,810","$               3,660","$               4,560","$               4,620"
BAY SHRIMP PERMIT,N/A,N/A,"$               1,386",$                  870,"$               1,020","$               1,110",$                  870,$                  960,$                  990,"$               1,020"
CRAYFISH PERMIT,N/A,N/A,"$               1,560","$               1,530","$               1,290","$               1,290","$               1,440","$               1,200","$               1,500","$               1,560"
FISH LANDED OUTSIDE CALIFORNIA PERMIT,N/A,N/A,N/A,N/A,$                  690,$                  525,$                  750,$                  360,$                  390,$                  300
GENERAL GILLNET CREWMEMBER,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.
GHOST SHRIMP PERMIT,N/A,N/A,N/A,N/A,N/A,N/A,$                  720,$                  840,$                  750,$                  660
HAGFISH PERMIT,N/A,N/A,"$               1,750",$                 500,$                 250,N/A,N/A,N/A,N/A,N/A
MRP GILL/TRAMMEL PERMIT,N/A,N/A,"$             59,500","$           110,000",N/A,N/A,N/A,N/A,N/A,N/A
MRP STAMP,N/A,N/A,$                 822,$                  663,N/A,N/A,N/A,N/A,N/A,N/A
INLAND/FRESHWATER FISH PERMIT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$                  330,$                  690,$                  600
KELP HARVESTER LICENSE,$                     400,"$               2,080","$               1,500","$               7,400",$                  100,"$               3,600","$               4,500","$               5,100","$               5,400","$               4,300"
LOBSTER CREWMEMBER PERMIT,N/A,N/A,N/A,N/A,N/A,N/A,"$             15,635","$             15,750","$             23,500","$             20,375"
MARINE AQUARIA COLLECTOR PERMIT,N/A,N/A,N/A,"$               7,590","$               4,950","$               3,300","$               1,980","$               2,310","$               2,310","$               2,640"
PACIFIC MACKEREL,N/A,N/A,"$               3,570","$               2,670","$              2,700","$               4,440","$              4,590","$              4,890","$               5,190","$              5,190"
SARDINE,N/A,N/A,"$               2,940","$              2,280","$               2,490","$              4,470","$               4,740","$              4,710","$               5,370","$              6,120"
SARDINE LIVE BAIT,N/A,N/A,"$               1,080",$                 900,"$               1,140","$              1,800",$                      -,N/A,N/A,N/A
SEA URCHIN APPRENTICE PERMIT,"$                16,000","$             24,090","$             19,500","$             26,400","$            12,210",N/A,N/A,N/A,N/A,N/A
SEA URCHIN CREWMEMBER PERMIT,N/A,N/A,N/A,N/A,"$             10,170","$             14,370","$             10,800","$               8,790","$               7,230","$               7,380"
SHRIMP/PRAWN TRAWL PERMIT,N/A,N/A,"$               5,220","$               9,090","$               3,120","$              4,380","$               4,200","$              4,200","$              3,390","$               3,570"
SPOT & RIDGEBACK PRAWN PERMIT,"$                  1,650","$               2,150","$               2,190","$               2,550","$               5,220","$               6,330","$               6,750","$               7,020","$               6,630","$               6,150"
SWORDFISH PERMIT,"$                16,000","$             17,490","$             13,500","$             14,190","$             15,840","$             17,160","$             14,850","$             11,880","$               9,570","$             13,200"
TIDAL INVERTEBRATE PERMIT,N/A,N/A,"$             12,300","$               9,000","$               8,790","$             13,410","$             14,400","$             14,790","$             12,900","$             11,460"
TRAP PERMIT,"$                24,510","$             25,911","$             22,775","$             22,505","$             26,075","$             38,360","$             33,215","$             32,130","$             33,145","$             28,945"
Permit Transfers,,,,,,,,,,
ABALONE DIVING PERMIT,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.
DUNGENESS CRAB PERMIT,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.
DRIFT GILL NET SHARK/SWORDFISH PERMIT,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.
DRIFT GILL NET (VESSEL),Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.
GENERAL GILL/TRAMMEL NET PERMIT,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.
HERRING,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.
MARKET SQUID LIGHT BOAT OWNER'S PERMIT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"$           132,500","$           127,500"
MARKET SQUID VESSEL PERMIT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"$           607,500","$           555,000"
SALMON VESSEL PERMIT,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.
SEA CUCUMBER,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.,Not Avail.
TOTAL COMMERCIAL FISHING,"$           3,614,540","$        3,895,416","$        2,893,315","$        3,489,877","$        3,535,567","$        3,571,964","$        3,925,533","$        3,395,095","$        4,331,335","$        3,988,785"
