"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,-,,-,,-,,-,,-,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",Sub Total – Bear Tags,,"$1,388,166",,"$1,486,399",,"$143,385",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",Resident Wild Pig Tag,,"$1,004,040",,"$917,561",,"$44,756",,-,,-,,-,,-,,-,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",Non-Resident Wild Pig Tag,,"$76,000",,"$65,574",,"$4,976",,-,,-,,-,,-,,-,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",Lifetime Wild Pig Tags,,$0,,$0,,$0,,-,,-,,-,,-,,-,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,-,,-,,-,,-,,-,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",Sub Total - Wild Pig Tags,,"$1,080,040",,"$983,135",,"$49,732",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",Duck Validation,,"$1,444,864",,"$1,433,749",,"$84,352",,-,,-,,-,,-,,-,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",Collector Duck Stamp,,"$5,789",,"$2,408",,$0,,-,,-,,-,,-,,-,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",Lifetime Duck Validation,,$0,,$0,,$0,,-,,-,,-,,-,,-,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",Waterfowl Reservation Application,,"$1,547,673",,"$1,550,978",,$0,,-,,-,,-,,-,,-,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",1-Day Type A Wildlife Area Permit,,"$214,668",,"$214,654",,$0,,-,,-,,-,,-,,-,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",2-Day Type A Wildlife Area Pass,,"$652,154",,"$485,886",,$0,,-,,-,,-,,-,,-,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",Type A Wildlife Area Season Pass,,"$930,091",,"$979,106",,"$30,046",,-,,-,,-,,-,,-,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",Type B Wildlife Area Season Pass,,"$49,988",,"$37,629",,"$1,140",,-,,-,,-,,-,,-,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",Upland Game Bird Validation,,"$1,547,664",,"$1,476,872",,"$173,280",,-,,-,,-,,-,,-,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",Collector Upland Game Bird Stamp,,$732,,$527,,$0,,-,,-,,-,,-,,-,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",Lifetime Upland Game Bird Validation,,$0,,$0,,$0,,-,,-,,-,,-,,-,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",Harvest Information Program Validation,,$0,,$0,,$0,,-,,-,,-,,-,,-,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,-,,-,,-,,-,,-,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",Sub Total - Game Bird Hunting,,"$6,393,622",,"$6,181,808",,"$288,818",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lifetime Hunting Package - Age 0 to 9,"$143,126","$129,216","$33,473",-,-,-,-,-,-,-,,,,,,,,,,
Lifetime Hunting Package - Age 10 to 39,"$173,185","$213,210","$40,530",-,-,-,-,-,-,-,,,,,,,,,,
Lifetime Hunting Package - Age 40 to 61,"$117,332","$142,890","$36,477",-,-,-,-,-,-,-,,,,,,,,,,
Lifetime Hunting Package - Age 62 and Over,"$27,183","$33,733","$11,745",-,-,-,-,-,-,-,,,,,,,,,,
Lifetime Hunting Privilege Package - Big Game,"$154,242","$155,487",$0,-,-,-,-,-,-,-,,,,,,,,,,
Lifetime Hunting Privilege Package - Game Bird,"$81,090","$91,462","$20,956",-,-,-,-,-,-,-,,,,,,,,,,
Sub Total – Lifetime Packages,"$696,156","$765,997","$143,181",-,-,-,-,-,-,-,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,
TOTAL HUNTING,"$30,178,422","$30,097,706","$2,360,562",-,-,-,-,-,-,-,,,,,,,,,,
