Licenses,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
NEARSHORE FISHERY PERMIT - S. CENTRAL COAST (T),"$33,007","$32,275","$32,524","$32,007","$32,371","$32,794","$32,097","$32,189","$33,132","$34,213"
NEARSHORE FISHERY PERMIT - S. CENTRAL COAST (NT),"$3,174","$3,873","$3,983","$3,405","$3,444","$3,489","$3,489","$3,499","$3,601","$3,719"
NEARSHORE FISHERY PERMIT - SOUTH COAST (T),"$30,468","$29,693","$29,205","$29,283","$27,550","$27,910","$27,910","$27,290","$28,090","$29,006"
NEARSHORE FISHERY PERMIT - SOUTH COAST (NT),"$8,887","$9,037","$9,293","$8,853","$8,954","$7,675","$7,675","$7,697","$7,923","$8,181"
NEARSHORE TRAP ENDORSEMENT - N. CENTRAL COAST (T),$476,$484,$498,$510,$516,$523,$523,$524,$539,$556
NEARSHORE TRAP ENDORSEMENT - N. CENTRAL COAST (NT),$0,$0,$0,$0,$0,$0,$0,$0,$0,N/A
NEARSHORE TRAP ENDORSEMENT - NORTH COAST (T),$0,$0,$0,$0,$0,$0,$0,$0,$0,N/A
NEARSHORE TRAP ENDORSEMENT - NORTH COAST (NT),$0,$0,$0,$0,$0,$0,$0,$0,$0,N/A
NEARSHORE TRAP ENDORSEMENT - S. CENTRAL COAST (T),"$1,524","$1,451","$1,493","$1,530","$1,549","$1,568","$1,568","$1,571","$1,616","$1,669"
NEARSHORE TRAP ENDORSEMENT - S. CENTRAL COAST (NT),$286,$387,$398,$408,$413,$418,$418,$419,$431,$445
NEARSHORE TRAP ENDORSEMENT - SOUTH COAST (T),"$2,953","$2,999","$3,085","$3,060","$3,098","$2,926","$2,926","$2,933","$3,017","$3,226"
NEARSHORE TRAP ENDORSEMENT - SOUTH COAST (NT),$857,$677,$697,$612,$620,$523,$418,$524,$539,$556
NORTHERN PINK SHRIMP TRAWL (VESSEL) (T),"$41,877","$42,578","$42,456","$43,560","$44,064","$44,648","$44,648","$44,768","$46,072","$47,568"
NORTHERN PINK SHRIMP TRAWL (VESSEL) (NT),"$1,904","$1,937","$1,991","$2,043","$2,066","$2,093","$2,093","$2,099","$2,161","$1,488"
SALMON VESSEL PERMIT,"$47,082","$46,035","$46,587","$47,392","$46,819","$47,219","$46,134","$45,215","$44,677","$45,880"
SEA CUCUMBER DIVING PERMIT,"$27,579","$27,391","$27,825","$28,220","$28,208","$28,926","$28,577","$28,659","$28,780","$28,606"
SEA CUCUMBER TRAWL PERMIT,"$5,389","$5,156","$5,300","$5,440","$5,504","$5,576","$5,576","$5,592","$5,396","$5,201"
SEA URCHIN DIVING PERMIT,"$129,394","$130,705","$133,514","$137,471","$138,168","$139,992","$134,006","$135,755","$128,318","$128,577"
SOUTHERN ROCK CRAB TRAP PERMIT,"$39,094","$39,114","$40,548","$41,602","$41,389","$41,594","$41,594","$40,681","$41,506","$42,851"
"SPOT PRAWN TRAP VESSEL PERMIT, TIER 1","$5,389","$5,478","$5,631","$5,780","$5,848","$5,925","$5,925","$5,942","$6,116","$6,316"
"SPOT PRAWN TRAP VESSEL PERMIT, TIER 2",$951,$967,$994,$680,$688,$697,$349,$350,$360,$372
"SPOT PRAWN TRAP VESSEL PERMIT, TIER 3","$10,152","$10,322","$7,961","$8,168","$8,262","$8,372","$8,372","$6,995","$8,639","$8,919"
Late Fees,,,,,,,,,,
LIMITED ENTRY LATE FEE (1 TO 30 DAYS),"$9,246","$7,221","$7,840","$6,325","$6,984","$10,768","$24,043","$29,748","$28,319","$9,435"
LIMITED ENTRY LATE FEE (31 TO 60 DAYS),"$6,962","$7,351","$7,000","$5,171","$4,939","$7,945","$23,834","$42,185","$18,210","$8,458"
LIMITED ENTRY LATE FEE (61 OR MORE DAYS),"$35,343","$33,759","$30,800","$31,598","$34,875","$41,819","$74,803","$37,792","$52,267","$42,043"
Nonrestrictive Permits,,,,,,,,,,
ANCHOVY TAKE PERMIT,"$2,850","$3,216","$2,743","$2,567","$3,011","$2,964","$2,630","$2,630","$2,537","$2,403"
BAY SHRIMP PERMIT,$874,"$1,124",$914,$897,$784,$793,$710,$668,$516,$490
COONSTRIPE SHRIMP VESSEL PERMIT,"$4,763","$5,708","$4,876","$3,672","$4,233","$4,076","$3,553","$3,981","$3,771","$3,449"
CRAYFISH PERMIT,"$1,786","$3,061","$3,776","$3,749","$2,599","$2,797","$2,422","$2,881","$2,881","$3,293"
FISH LANDED OUTSIDE CALIFORNIA PERMIT,$95,$96,$138,$304,$205,$208,$166,$145,$191,$154
GHOST SHRIMP PERMIT,$456,$620,$755,$571,$454,$543,$334,$585,$516,$445
GOLDEN & RIDGEBACK PRAWN PERMIT,"$2,204","$2,751","$2,862","$2,730","$2,970","$3,382","$2,714","$3,048","$2,537","$3,115"
INLAND/FRESHWATER FISH PERMIT,"$1,406","$1,318",$557,$530,$619,$668,$626,$626,$473,$534
KELP HARVESTER LICENSE,"$4,690","$5,934","$4,514","$4,905","$4,133","$4,743","$4,325","$4,900","$5,040","$5,355"
LOBSTER CREWMEMBER PERMIT,"$32,861","$36,176","$38,014","$41,371","$40,307","$43,102","$39,961","$38,150","$35,100","$35,107"
MARINE AQUARIA COLLECTOR PERMIT,"$5,025","$4,258","$4,378","$7,188","$7,727","$7,368","$6,908","$5,541","$3,802","$4,908"
NORTHERN ROCK CRAB TRAP PERMIT,"$10,634","$9,540","$8,502","$8,388","$14,249","$14,781","$11,344","$13,445","$19,866","$16,848"
SEA URCHIN CREWMEMBER PERMIT,"$7,296","$8,564","$9,103","$10,065","$10,725","$9,728","$8,225","$7,098","$6,407","$5,429"
SOUTHERN PINK SHRIMP TRAWL PERMIT,$722,$581,$596,$571,$743,$710,$919,"$1,211",$731,$668
SWORDFISH PERMIT,"$25,544","$23,416","$19,261","$16,622","$17,726","$19,341","$23,946","$25,396","$26,614","$30,917"
TANNER CRAB TRAP VESSEL PERMIT,"$11,901","$12,101",$0,$0,$0,"$13,085",$0,$0,"$13,503",$0
TIDAL INVERTEBRATE PERMIT,"$8,930","$9,106","$9,381","$9,332","$9,364","$10,229","$9,686","$8,225","$8,170","$8,277"
TRAP PERMIT,"$38,671","$40,363","$37,293","$35,622","$38,745","$43,316","$40,082","$40,631","$40,448","$39,218"
Permit Transfers,,,,,,,,,,
DEEPER NEARSHORE FISHING PERMIT TRANSFER,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"$61,500","$25,500"
DRIFT GILL NET PERMIT TRANSFER,"$6,000",$0,$0,"$3,000","$3,000","$9,000","$1,500","$7,500","$1,500","$1,500"
DRIFT GILL NET VESSEL PERMIT TRANSFER,$130,$0,$0,$130,$0,$520,$0,$260,$0,$0
DUNGENESS CRAB PERMIT TRANSFER,"$6,400","$8,600","$15,000","$7,000","$8,200","$11,200","$7,400","$9,800","$10,800","$9,000"
DUNGENESS CRAB CHANGE OF OWNERSHIP,$0,$0,$200,"$5,600","$4,400","$2,800","$1,800","$4,800","$4,400","$3,000"
GENERAL GILL NET TRANSFER,$600,$200,$200,$400,$300,$700,$100,$700,$100,$400
HERRING BOAT TRANSFER,$400,$0,$0,$0,$0,$0,$0,$0,$0,$0
HERRING PERMIT TRANSFER,"$5,000",$0,"$5,000","$11,000","$3,000","$1,000","$3,000",$0,"$1,000","$1,000"
HERRING SUBSTITUTE TRANSFER,$150,$100,$550,$150,$200,$150,$400,$150,$0,$50
LOBSTER OPERATOR PERMIT TRANSFER,"$8,000","$9,500","$5,000","$8,500","$6,500","$5,500","$5,500","$10,500","$5,500","$8,000"
MARKET SQUID BRAIL PERMIT TRANSFER,"$3,500","$1,500","$3,500","$2,500","$2,000","$3,000","$2,500","$4,500","$2,500","$2,000"
MARKET SQUID BRAIL PERMIT TRANSFER (OWNERSHIP CHANGE),$0,$0,$0,"$4,000","$2,000","$1,500","$1,000","$2,500","$2,000",$0
MARKET SQUID BRAIL UPGRADE,"$6,000","$18,000","$7,500","$3,000",$0,$0,"$1,500",$0,$0,"$1,500"
MARKET SQUID LIGHTBOAT TRANSFER,"$3,000","$5,500","$4,500","$1,500","$1,000","$2,500","$2,000","$3,000","$2,000","$1,500"
MARKET SQUID VESSEL PERMIT TRANSFER,"$3,500","$5,000","$9,000","$5,500","$3,500","$2,500","$4,000","$3,000","$3,500","$3,000"
MARKET SQUID VESSEL PERMIT (OWNERSHIP CHANGE),$0,$0,$0,"$3,500","$1,500","$5,000","$1,500","$1,000",$500,"$2,000"
NEARSHORE FISHERY PERMIT TRANSFER,$0,"$1,500","$1,500","$2,000","$2,000",$0,"$1,000",$500,"$6,500","$16,500"
NEARSHORE FISHERY TRAP ENDORSEMENT TRANSFER,$0,$150,$150,$225,$375,$0,$75,$150,$375,$600
NORTHERN PINK SHRIMP TRAWL (VESSEL) (NEW OWNER),"$1,000","$2,000","$3,000","$1,000","$3,000",$0,"$1,000","$1,000","$1,000","$1,000"
NORTHERN PINK SHRIMP TRAWL (VESSEL) (SAME OWNER),$0,$0,$0,$0,$0,$0,$400,$0,$0,$0
NORTHERN PINK SHRIMP TRAWL (VESSEL) (TEMP),$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
SALMON VESSEL TRANSFER,"$4,400","$6,600","$12,200","$12,000","$7,200","$6,000","$5,400","$6,400","$6,600","$7,200"
SEA CUCUMBER PERMIT TRANSFER,$600,"$1,000",$400,"$1,400","$1,400",$400,$600,$400,$800,$200
SOUTHERN ROCK CRAB TRAP PERMIT TRANSFER,"$5,000","$5,000","$6,000","$6,000","$5,000","$5,000","$6,000","$6,000","$5,000","$5,000"
SPOT PRAWN TRAP VESSEL (CHANGE OF OWNER),$0,$0,$0,$50,$0,$0,$0,$50,$50,$0
SPOT PRAWN TRAP VESSEL (SAME OWNER),$400,$200,$0,$200,$400,$800,$600,$600,$400,$400
TOTAL COMMERCIAL FISHING,"$3,900,429","$4,096,196","$4,224,514","$5,702,486","$3,939,038","$5,386,989","$3,947,489","$5,227,770","$4,391,241","$5,941,864"
