"comm_name_orig","comm_name","sci_name","level","category","type","class","order","family","genus","species"
"Pacific (Chub) Mackerel","Pacific (chub) mackerel","Scomber japonicus","species","Coastal pelagics","fish","Actinopteri","Scombriformes","Scombridae","Scomber","japonicus"
"California Scorpionfish","California scorpionfish","Scorpaena guttata","species",NA,"fish","Actinopteri","Perciformes/Scorpaenoidei","Scorpaenidae","Scorpaena","guttata"
"Cabezon","Cabezon","Scorpaenichthys marmoratus","species","Roundfish","fish","Actinopteri","Perciformes/Cottoidei","Cottidae","Scorpaenichthys","marmoratus"
"Pacific Ocean Perch","Pacific ocean perch rockfish","Sebastes alutus","species","Rockfish","fish","Actinopteri","Perciformes/Scorpaenoidei","Sebastidae","Sebastes","alutus"
"Kelp Rockfish","Kelp rockfish","Sebastes atrovirens","species","Rockfish","fish","Actinopteri","Perciformes/Scorpaenoidei","Sebastidae","Sebastes","atrovirens"
"Brown Rockfish","Brown rockfish","Sebastes auriculatus","species","Rockfish","fish","Actinopteri","Perciformes/Scorpaenoidei","Sebastidae","Sebastes","auriculatus"
"Redbanded Rockfish","Redbanded rockfish","Sebastes babcocki","species","Rockfish","fish","Actinopteri","Perciformes/Scorpaenoidei","Sebastidae","Sebastes","babcocki"
"Silvergray Rockfish","Silvergray rockfish","Sebastes brevispinis","species","Rockfish","fish","Actinopteri","Perciformes/Scorpaenoidei","Sebastidae","Sebastes","brevispinis"
"Gopher Rockfish","Gopher rockfish","Sebastes carnatus","species","Rockfish","fish","Actinopteri","Perciformes/Scorpaenoidei","Sebastidae","Sebastes","carnatus"
"Copper Rockfish","Copper rockfish","Sebastes caurinus","species","Rockfish","fish","Actinopteri","Perciformes/Scorpaenoidei","Sebastidae","Sebastes","caurinus"
"Greenspotted Rockfish","Greenspotted rockfish","Sebastes chlorostictus","species","Rockfish","fish","Actinopteri","Perciformes/Scorpaenoidei","Sebastidae","Sebastes","chlorostictus"
"Black And Yellow Rockfish","Black-and-yellow rockfish","Sebastes chrysomelas","species","Rockfish","fish","Actinopteri","Perciformes/Scorpaenoidei","Sebastidae","Sebastes","chrysomelas"
"Starry Rockfish","Starry rockfish","Sebastes constellatus","species","Rockfish","fish","Actinopteri","Perciformes/Scorpaenoidei","Sebastidae","Sebastes","constellatus"
"Darkblotched Rockfish","Darkblotched rockfish","Sebastes crameri","species","Rockfish","fish","Actinopteri","Perciformes/Scorpaenoidei","Sebastidae","Sebastes","crameri"
"Calico Rockfish","Calico rockfish","Sebastes dallii","species","Rockfish","fish","Actinopteri","Perciformes/Scorpaenoidei","Sebastidae","Sebastes","dallii"
"Deacon Rockfish","Deacon rockfish","Sebastes diaconus","species","Rockfish","fish","Actinopteri","Perciformes/Scorpaenoidei","Sebastidae","Sebastes","diaconus"
"Greenstriped Rockfish","Greenstriped rockfish","Sebastes elongatus","species","Rockfish","fish","Actinopteri","Perciformes/Scorpaenoidei","Sebastidae","Sebastes","elongatus"
"Swordspine Rockfish","Swordspine rockfish","Sebastes ensifer","species","Rockfish","fish","Actinopteri","Perciformes/Scorpaenoidei","Sebastidae","Sebastes","ensifer"
"Widow Rockfish","Widow rockfish","Sebastes entomelas","species","Rockfish","fish","Actinopteri","Perciformes/Scorpaenoidei","Sebastidae","Sebastes","entomelas"
"Yellowtail Rockfish","Yellowtail rockfish","Sebastes flavidus","species","Rockfish","fish","Actinopteri","Perciformes/Scorpaenoidei","Sebastidae","Sebastes","flavidus"
"Bronzespotted Rockfish","Bronzespotted rockfish","Sebastes gilli","species","Rockfish","fish","Actinopteri","Perciformes/Scorpaenoidei","Sebastidae","Sebastes","gilli"
"Chilipepper","Chilipepper rockfish","Sebastes goodei","species","Rockfish","fish","Actinopteri","Perciformes/Scorpaenoidei","Sebastidae","Sebastes","goodei"
"Rosethorn Rockfish","Rosethorn rockfish","Sebastes helvomaculatus","species","Rockfish","fish","Actinopteri","Perciformes/Scorpaenoidei","Sebastidae","Sebastes","helvomaculatus"
"Squarespot Rockfish","Squarespot rockfish","Sebastes hopkinsi","species","Rockfish","fish","Actinopteri","Perciformes/Scorpaenoidei","Sebastidae","Sebastes","hopkinsi"
"Shortbelly Rockfish","Shortbelly rockfish","Sebastes jordani","species","Rockfish","fish","Actinopteri","Perciformes/Scorpaenoidei","Sebastidae","Sebastes","jordani"
"Freckled Rockfish","Freckled rockfish","Sebastes lentiginosus","species","Rockfish","fish","Actinopteri","Perciformes/Scorpaenoidei","Sebastidae","Sebastes","lentiginosus"
"Cowcod","Cowcod rockfish","Sebastes levis","species","Rockfish","fish","Actinopteri","Perciformes/Scorpaenoidei","Sebastidae","Sebastes","levis"
"Mexican Rockfish","Mexican rockfish","Sebastes macdonaldi","species","Rockfish","fish","Actinopteri","Perciformes/Scorpaenoidei","Sebastidae","Sebastes","macdonaldi"
"Quillback Rockfish","Quillback rockfish","Sebastes maliger","species","Rockfish","fish","Actinopteri","Perciformes/Scorpaenoidei","Sebastidae","Sebastes","maliger"
"Black Rockfish","Black rockfish","Sebastes melanops","species","Rockfish","fish","Actinopteri","Perciformes/Scorpaenoidei","Sebastidae","Sebastes","melanops"
"Vermilion Rockfish","Vermilion rockfish","Sebastes miniatus","species","Rockfish","fish","Actinopteri","Perciformes/Scorpaenoidei","Sebastidae","Sebastes","miniatus"
"Blue Rockfish","Blue rockfish","Sebastes mystinus","species","Rockfish","fish","Actinopteri","Perciformes/Scorpaenoidei","Sebastidae","Sebastes","mystinus"
"China Rockfish","China rockfish","Sebastes nebulosus","species","Rockfish","fish","Actinopteri","Perciformes/Scorpaenoidei","Sebastidae","Sebastes","nebulosus"
"Tiger Rockfish","Tiger rockfish","Sebastes nigrocinctus","species","Rockfish","fish","Actinopteri","Perciformes/Scorpaenoidei","Sebastidae","Sebastes","nigrocinctus"
"Speckled Rockfish","Speckled rockfish","Sebastes ovalis","species","Rockfish","fish","Actinopteri","Perciformes/Scorpaenoidei","Sebastidae","Sebastes","ovalis"
"Bocaccio","Bocaccio rockfish","Sebastes paucispinis","species","Rockfish","fish","Actinopteri","Perciformes/Scorpaenoidei","Sebastidae","Sebastes","paucispinis"
"Chameleon Rockfish","Chameleon rockfish","Sebastes phillipsi","species","Rockfish","fish","Actinopteri","Perciformes/Scorpaenoidei","Sebastidae","Sebastes","phillipsi"
"Canary Rockfish","Canary rockfish","Sebastes pinniger","species","Rockfish","fish","Actinopteri","Perciformes/Scorpaenoidei","Sebastidae","Sebastes","pinniger"
"Redstripe Rockfish","Redstripe rockfish","Sebastes proriger","species","Rockfish","fish","Actinopteri","Perciformes/Scorpaenoidei","Sebastidae","Sebastes","proriger"
"Grass Rockfish","Grass rockfish","Sebastes rastrelliger","species","Rockfish","fish","Actinopteri","Perciformes/Scorpaenoidei","Sebastidae","Sebastes","rastrelliger"
"Yellowmouth Rockfish","Yellowmouth rockfish","Sebastes reedi","species","Rockfish","fish","Actinopteri","Perciformes/Scorpaenoidei","Sebastidae","Sebastes","reedi"
"Rosy Rockfish","Rosy rockfish","Sebastes rosaceus","species","Rockfish","fish","Actinopteri","Perciformes/Scorpaenoidei","Sebastidae","Sebastes","rosaceus"
"Greenblotched Rockfish","Greenblotched rockfish","Sebastes rosenblatti","species","Rockfish","fish","Actinopteri","Perciformes/Scorpaenoidei","Sebastidae","Sebastes","rosenblatti"
"Yelloweye Rockfish","Yelloweye rockfish","Sebastes ruberrimus","species","Rockfish","fish","Actinopteri","Perciformes/Scorpaenoidei","Sebastidae","Sebastes","ruberrimus"
"Flag Rockfish","Flag rockfish","Sebastes rubrivinctus","species","Rockfish","fish","Actinopteri","Perciformes/Scorpaenoidei","Sebastidae","Sebastes","rubrivinctus"
"Bank Rockfish","Bank rockfish","Sebastes rufus","species","Rockfish","fish","Actinopteri","Perciformes/Scorpaenoidei","Sebastidae","Sebastes","rufus"
"Stripetail Rockfish","Stripetail rockfish","Sebastes saxicola","species","Rockfish","fish","Actinopteri","Perciformes/Scorpaenoidei","Sebastidae","Sebastes","saxicola"
"Halfbanded Rockfish","Halfbanded rockfish","Sebastes semicinctus","species","Rockfish","fish","Actinopteri","Perciformes/Scorpaenoidei","Sebastidae","Sebastes","semicinctus"
"Olive Rockfish","Olive rockfish","Sebastes serranoides","species","Rockfish","fish","Actinopteri","Perciformes/Scorpaenoidei","Sebastidae","Sebastes","serranoides"
"Treefish","Treefish rockfish","Sebastes serriceps","species","Rockfish","fish","Actinopteri","Perciformes/Scorpaenoidei","Sebastidae","Sebastes","serriceps"
"Pinkrose Rockfish","Pinkrose rockfish","Sebastes simulator","species","Rockfish","fish","Actinopteri","Perciformes/Scorpaenoidei","Sebastidae","Sebastes","simulator"
"Honeycomb Rockfish","Honeycomb rockfish","Sebastes umbrosus","species","Rockfish","fish","Actinopteri","Perciformes/Scorpaenoidei","Sebastidae","Sebastes","umbrosus"
"Shortspine Thornyhead","Shortspine thornyhead","Sebastolobus alascanus","species",NA,"fish","Actinopteri","Perciformes/Scorpaenoidei","Sebastidae","Sebastolobus","alascanus"
"Longspine Thornyhead","Longspine thornyhead","Sebastolobus altivelis","species",NA,"fish","Actinopteri","Perciformes/Scorpaenoidei","Sebastidae","Sebastolobus","altivelis"
"California Sheephead","California sheephead","Semicossyphus pulcher","species",NA,"fish","Actinopteri","Eupercaria/misc","Labridae","Semicossyphus","pulcher"
"Yellowtail","Yellowtail","Seriola lalandi","species","Tunas + large pelagics","fish","Actinopteri","Carangiformes","Carangidae","Seriola","lalandi"
"Queenfish","Queenfish","Seriphus politus","species",NA,"fish","Actinopteri","Eupercaria/misc","Sciaenidae","Seriphus","politus"
