calcom_code,description,port_complex, INPFC,,,
557,MADERA,OCA,UNK,,,
558,FRESNO,OCA,UNK,,,
559,CHOWCHILLA,OCA,UNK,,,
560,DOS PALOS,MNT,MNT,,,
581,HOLLISTER,MNT,MNT,,,
584,LUCIA,MNT,MNT,,,
585,PEBBLE BEACH,MNT,MNT,,,
586,POINT LOBOS,MNT,MNT,,,
587,PACIFIC GROVE,MNT,MNT,,,
588,SEASIDE,MNT,MNT,,,
589,CARMEL,MNT,MNT,,,
590,SALINAS,MNT,MNT,,,
591,CAPITOLA,MNT,MNT,,,
594,WATSONVILLE,MNT,MNT,,,
596,DAVENPORT,MNT,MNT,,,
598,MARINA,MNT,MNT,,,
599,APTOS,MNT,MNT,,,
6,MRO, OSB, Catch Recon Only,2,UNK,
601,ARROYO GRANDE,MRO,CON,,,
603,CAYUCOS,MRO,CON,,,
604,GAVIOTA,OSB,CON,,,
607,OCEANO,MRO,CON,,,
610,PISMO BEACH,MRO,CON,,,
612,SANTA MARIA,MRO,CON,,,
614,GOLETA,OSB,CON,,,
616,SUMMERLAND,MRO,CON,,,
618,GUADALUPE,OSB,CON,,,
619,CONCEPTION,MRO,CON,,,
620,POINT ARGUELLO,MRO,CON,,,
621,SURF,OSB,CON,,,
623,SANTA CRUZ ISLAND,OSB,CON,,,
628,POINT MUGU,OSB,CON,,,
629,SHELL BEACH,OSB,CON,,,
630,RINCON,OSB,CON,,,
631,NIPOMO,MRO,CON,,,
632,CAMBRIA,MRO,CON,,,
634,SOLROMAR,OCA,CON,,,
635,CARPENTERIA,OSB,CON,,,
638,GROVER CITY,MRO,CON,,,
639,LOMPOC,MRO,CON,,,
640,SIMI VALLEY,OSB,CON,,,
641,PORTERVILLE,OCA,UNK,,,
642,DELANO,OCA,UNK,,,
643,BAKERSFIELD,OCA,UNK,,,
644,KERNVILLE,OCA,UNK,,,
645,SOLVANG,OSB,CON,,,
646,TULARE,OCA,UNK,,,
647,SHAFTER,OCA,UNK,,,
648,BAYWOOD PARK,MRO,CON,,,
649,OILDALE,OCA,UNK,,,
650,OJAI,OCA,CON,,,
651,WESTLAKE VILLAGE,MRO,CON,,,
652,LAKE ISABELLA,OCA,UNK,,,
653,ATASCADERO,MRO,CON,,,
654,RIDGECREST,OCA,UNK,,,
655,SANTA PAULA,OSB,CON,,,
656,TAFT,OCA,UNK,,,
657,MOJAVE,OCA,UNK,,,
701,GLENDALE,OLA,CON,,,
702,SOUTH GATE,OLA,CON,,,
