Licenses,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
Game Bird Club Seals,"$       15,155","$       12,855","$       10,818","$       12,165","$       12,044","$       14,281","$       13,560","$       11,540","$       12,728","$        13,641"
Guide License (R),"$       49,559","$       44,063","$       43,984","$       46,673","$       49,949","$       57,632","$       61,480","$       66,240","$       69,020","$        75,454"
Guide License (NR),"$         6,919","$         5,152","$         6,075","$         5,985","$         4,388","$         6,283","$         7,955","$         9,180","$         8,016","$          9,353"
Licensed Guide Employee Registration,$            550,$            420,$            670,$            460,$            640,$            720,$            630,$            930,$            720,$             640
"Licensed Game Bird Club, Zone A - 500 acres or less","$       14,391","$       16,598","$       11,933","$       10,660","$         9,461","$         9,870","$         9,979","$         8,736","$         8,931","$        10,485"
"Licensed Game Bird Club, Zone A - over 500 acres","$       20,910","$       22,124","$       13,475","$       14,482","$       15,134","$       13,720","$       12,707","$       12,239","$       11,895","$        13,341"
"Licensed Game Bird Club, Zone B - 500 acres or less",N/A,N/A,"$         6,472","$         7,790","$         6,938","$         7,140","$         6,874","$         6,496","$         5,725","$          6,990"
"Licensed Game Bird Club, Zone B - over 500 acres",N/A,N/A,"$         8,894","$         7,378","$         7,567","$         7,560","$         8,570","$         8,358","$         7,930","$          9,308"
Lic. Domesticated Migratory Game Bird Shooting Area,$            591,$            514,$            754,$            656,$            560,$            344,$            472,$            366,$            374,$             508
Native Reptile Captive Propagation Permit,N/A,N/A,N/A,N/A,N/A,N/A,$            621,"$         3,861","$         3,614","$          3,688"
Native Reptile & Amphibian Permit (Take by Biol. Supply House),N/A,N/A,N/A,N/A,N/A,N/A,N/A,$            179,$            122,$               62
Organizational Field Trial Permit,"$         8,281","$         8,100","$         7,056","$         6,400","$         9,025","$         7,569","$         9,409","$         9,801","$         9,604","$          8,100"
"Restricted Species Permit - Animal Care, Detrimental",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$            290,"$          6,479"
"Restricted Species Permit - Animal Care, Welfare",N/A,N/A,N/A,N/A,N/A,N/A,"$         1,188","$         1,972","$         1,772","$          1,833"
Restricted Species Permit - Application Fee (Amended or Renewal),N/A,N/A,N/A,N/A,N/A,N/A,"$         7,560","$         9,990","$       12,120","$        11,834"
"Restricted Species Permit - AZA, Detrimental",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$                 -,"$          6,185"
Restricted Species Permit - Breeding,N/A,N/A,N/A,N/A,N/A,N/A,"$         5,480","$         8,781","$         9,843","$          8,835"
Restricted Species Permit - Broker/Dealer (R),N/A,N/A,N/A,N/A,N/A,N/A,$                 -,$            283,$            290,$                 -
Restricted Species Permit - Broker/Dealer (NR),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$                 -,$             589
Restricted Species Permit - Clearinghouse,N/A,N/A,N/A,N/A,N/A,N/A,$              33,$              34,N/A,N/A
Restricted Species Permit - Detrimental Species,N/A,N/A,N/A,N/A,N/A,N/A,"$       16,166","$       23,510","$       16,212",N/A
Restricted Species Permit - Exhibiting (R),N/A,N/A,N/A,N/A,N/A,N/A,"$       18,906","$       33,140","$       34,740","$        38,285"
Restricted Species Permit - Exhibiting (NR), N/A,N/A,N/A,N/A,N/A,N/A,"$         6,850","$         9,631","$       11,870","$        22,981",
Restricted Species Permit - Inspection Fee (Except Aquaculture & Fish),N/A,N/A,N/A,N/A,N/A,N/A,"$         1,200",$            400,"$         1,800","$          1,526"
Restricted Species Permit - Native Species Exhibiting,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$            579,"$          1,767"
"Restricted Species Permit - Research, Detrimental",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$            579,"$          9,719"
Restricted Species Permit - Shelter,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$            139,$             247
Restricted Species Permit - Single Event Breeding,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$              70,$             141
Scientific Collecting Permit (R),"$         8,184","$       35,984","$       18,306","$       34,792","$       24,009","$       35,459","$       24,566","$       35,506","$       23,226","$        35,739"
Scientific Collecting Permit (NR),"$         2,977","$         4,851","$         6,897","$         5,580","$         5,040","$         4,378","$         8,098","$         6,725","$         5,189","$          5,853"
Scientific Collecting Permit (Student),"$         1,980","$         3,013","$         3,000","$         2,695","$         3,188","$         3,213","$         4,108","$         4,084","$         4,522","$          4,161"
Suction Dredge - Inspection Fee (R),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$            266,$             812
Suction Dredge - Inspection Fee (NR),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$            152,$             465
Suction Dredge - Standard (R),"$     1 14,785","$     1 05,525","$     1 11,623","$     1 51,760","$     1 45,619","$     1 41,010","$     1 28,497","$     1 47,200","$     1 19,906","$        98,807"
Suction Dredge - Standard (NR),"$       37,154","$       29,644","$       41,925","$       44,611","$       48,678","$       49,746","$       48,942","$       64,859","$       50,800","$        48,340"
Suction Dredge - Special (R),$            639,"$       92,480","$       20,378","$       83,521","$     1 75,825","$     2 29,523","$     1 46,563","$     4 43,479",N/A,N/A
Suction Dredge - Special (NR),N/A,N/A,N/A,N/A,"$       62,938","$       65,600","$     1 39,788","$     2 24,065",N/A,N/A
Trapping License (Junior),$            389,$            231,$            122,$            164,$            126,$            151,$              45,$            138,$              94,$                 -
Trapping License (R),"$       27,294","$       20,270","$       19,542","$       16,170","$       18,449","$       14,778","$       17,821","$       18,564","$         9,450","$          6,626"
Trapping License (NR),$            830,$            869,"$         1,215",$            616,$            948,$            646,$            666,$            689,$            704,$                 -
TOTAL MISCELLANEOUS,"392,239","520,316","413,778","566,789","724,761","815,837","863,473","1,318,554","587,730","612,301"
