"source","year","type","harvest_lb","harvest_t","harvest_kg","harvest_mt"
"FB 170",1952,"Reported",220317000,110158.5,99934122.9573134,99934.1229573134
"FB 170",1953,"Reported",253298000,126649,114894054.824828,114894.054824828
"FB 170",1954,"Reported",212431000,106215.5,96357093.07019,96357.0930701899
"FB 170",1955,"Reported",248126000,124063,112548074.787267,112548.074787267
"FB 170",1956,"Reported",235631000,117815.5,106880437.399541,106880.437399541
"FB 170",1957,"Reported",188414500,94207.25,85463390.5233855,85463.3905233855
"FB 170",1958,"Reported",228123000,114061.5,103474865.450198,103474.865450198
"FB 170",1959,"Reported",179198200,89599.1,81282946.6293079,81282.9466293079
"FB 170",1960,"Reported",240599600,120299.8,109134156.737249,109134.156737249
"FB 170",1961,"Reported",258512000,129256,117259085.744364,117259.085744364
"FB 170",1962,"Reported",280465600,140232.8,127217072.471469,127217.072471469
"FB 170",1963,"Reported",242063600,121031.8,109798216.051825,109798.216051825
"FB 170",1964,"Reported",254507500,127253.75,115442674.866481,115442.674866481
"FB 170",1965,"Reported",270258000,135129,122586982.403526,122586.982403526
"FB 170",1966,"Reported",238927800,119463.9,108375840.916136,108375.840916136
"FB 170",1967,"Reported",262990000,131495,119290272.6369,119290.2726369
"FB 170",1968,"Reported",269706700,134853.35,122336916.897975,122336.916897975
"FB 170",1969,"Reported",262478400,131239.2,119058214.75074,119058.21475074
"FB 170",1970,"Reported",254078000,127039,115247856.918659,115247.856918659
"FB 170",1971,"Reported",311118000,155559,141120769.011168,141120.769011168
"FB 170",1972,"Reported",325022000,162511,147427518.129931,147427.518129931
"FB 170",1973,"Reported",306160000,153080,138871857.753197,138871.857753197
"FB 170",1974,"Reported",340362240,170181.12,154385734.837469,154385.734837469
"FB 170",1975,"Reported",343195200,171597.6,155670744.042265,155670.744042265
"FB 170",1976,"Reported",316742960,158371.48,143672208.27491,143672.20827491
"NOAA FOSS",1977,"Reported",261193100,130596.55,118475212.403046,118475.212403046
"NOAA FOSS",1978,"Reported",338057040,169028.52,153340113.572468,153340.113572468
"NOAA FOSS",1979,"Reported",342040560,171020.28,155147008.081212,155147.008081212
"NOAA FOSS",1980,"Reported",295271600,147635.8,133932961.960278,133932.961960278
"NOAA FOSS",1981,"Reported",146127900,73063.95,66282508.9579742,66282.5089579742
"NOAA FOSS",1982,"Reported",173006000,86503,78474211.5967127,78474.2115967127
"NOAA FOSS",1983,"Reported",10541200,5270.6,4781408.50192056,4781.40850192056
"NOAA FOSS",1984,"Reported",92958000,46479,42165044.9210272,42165.0449210272
"NOAA FOSS",1985,"Reported",174599400,87299.7,79196965.7714709,79196.9657714709
"NOAA FOSS",1986,"Reported",113664880,56832.44,51557528.8963097,51557.5288963097
"NOAA FOSS",1987,"Reported",186528720,93264.36,84608014.9945319,84608.0149945319
"NOAA FOSS",1988,"Reported",181230000,90615,82204555.7244966,82204.5557244966
"NOAA FOSS",1989,"Reported",265521240,132760.62,120438423.934323,120438.423934323
"NOAA FOSS",1990,"Reported",302878420,151439.21,137383357.913356,137383.357913356
"NOAA FOSS",1991,"Reported",255009360,127504.68,115670314.762391,115670.314762391
"NOAA FOSS",1992,"Reported",182493080,91246.54,82777479.2484412,82777.4792484412
"NOAA FOSS",1993,"Reported",185880820,92940.41,84314132.4604376,84314.1324604376
"NOAA FOSS",1994,"Reported",162012760,81006.38,73487761.1736439,73487.7611736439
"NOAA FOSS",1995,"Reported",162268060,81134.03,73603563.3205096,73603.5633205096
"NOAA FOSS",1996,"Reported",129783460,64891.73,58868794.7342491,58868.7947342491
"NOAA FOSS",1997,"Reported",154032002,77016.001,69867749.7752291,69867.7497752291
"NOAA FOSS",1998,"Reported",55836200,27918.1,25326877.5276948,25326.8775276948
"NOAA FOSS",1999,"Reported",173983500,86991.75,78917598.1950723,78917.5981950723
"NOAA FOSS",2000,"Reported",92400000,46200,41911940.3462091,41911.9403462091
"NOAA FOSS",2001,"Reported",76088989,38044.4945,34513389.2637593,34513.3892637593
"NOAA FOSS",2002,"Reported",103736000,51868,47053864.1098956,47053.8641098956
"NOAA FOSS",2003,"Reported",103736000,51868,47053864.1098956,47053.8641098956
"CDFW website",2004,"Estimated",84800000,42400,38464637.8934906,38464.6378934906
"CDFW website",2005,"Estimated",145142857.14,72571.42857,65835700.9754333,65835.7009754333
"CDFW website",2006,"Estimated",8e+06,4000,3628739.42391421,3628.73942391421
"CDFW website",2007,"Estimated",8914285.714,4457.142857,4043452.50080338,4043.45250080338
"CDFW website",2008,"Estimated",8914285.714,4457.142857,4043452.50080338,4043.45250080338
"CDFW website",2009,"Estimated",8914285.714,4457.142857,4043452.50080338,4043.45250080338
"CDFW website",2010,"Estimated",8e+06,4000,3628739.42391421,3628.73942391421
"CDFW website",2011,"Estimated",6171428.572,3085.714286,2799313.27013587,2799.31327013587
"CDFW website",2012,"Estimated",5257142.858,2628.571429,2384600.1932467,2384.6001932467
"CDFW website",2013,"Estimated",7085714.286,3542.857143,3214026.34702504,3214.02634702504
"CDFW website",2014,"Estimated",8e+06,4000,3628739.42391421,3628.73942391421
"CDFW website",2015,"Estimated",7085714.286,3542.857143,3214026.34702504,3214.02634702504
"CDFW website",2016,"Estimated",7085714.286,3542.857143,3214026.34702504,3214.02634702504
"CDFW website",2017,"Estimated",6171428.572,3085.714286,2799313.27013587,2799.31327013587
"CDFW website",2018,"Estimated",5257142.858,2628.571429,2384600.1932467,2384.6001932467
"CDFW website",2019,"Estimated",2514285.714,1257.142857,1140460.96167201,1140.46096167201
