"waters","comm_name","comm_name_orig","sci_name","year","landings_n"
"Mexico","Blue rockfish","Rockfish, blue","Sebastes mystinus",2009,2
"Mexico","Blue rockfish","Rockfish, blue","Sebastes mystinus",2010,157
"Mexico","Blue rockfish","Rockfish, blue","Sebastes mystinus",2011,36
"Mexico","Blue rockfish","Rockfish, blue","Sebastes mystinus",2012,52
"Mexico","Blue rockfish","Rockfish, blue","Sebastes mystinus",2013,286
"Mexico","Blue rockfish","Rockfish, blue","Sebastes mystinus",2014,194
"Mexico","Blue rockfish","Rockfish, blue","Sebastes mystinus",2015,228
"Mexico","Blue rockfish","Rockfish, blue","Sebastes mystinus",2016,57
"Mexico","Blue rockfish","Rockfish, blue","Sebastes mystinus",2017,28
"Mexico","Blue rockfish","Rockfish, blue","Sebastes mystinus",2018,12
"Mexico","Blue rockfish","Rockfish, blue","Sebastes mystinus",2019,12
"Mexico","Blue shark","Shark, blue","Prionace glauca",2000,9
"Mexico","Blue shark","Shark, blue","Prionace glauca",2001,72
"Mexico","Blue shark","Shark, blue","Prionace glauca",2002,0
"Mexico","Blue shark","Shark, blue","Prionace glauca",2003,0
"Mexico","Blue shark","Shark, blue","Prionace glauca",2004,0
"Mexico","Blue shark","Shark, blue","Prionace glauca",2005,0
"Mexico","Blue shark","Shark, blue","Prionace glauca",2006,7
"Mexico","Blue shark","Shark, blue","Prionace glauca",2007,0
"Mexico","Blue shark","Shark, blue","Prionace glauca",2008,0
"Mexico","Blue shark","Shark, blue","Prionace glauca",2009,0
"Mexico","Blue shark","Shark, blue","Prionace glauca",2010,0
"Mexico","Blue shark","Shark, blue","Prionace glauca",2011,0
"Mexico","Blue shark","Shark, blue","Prionace glauca",2012,0
"Mexico","Blue shark","Shark, blue","Prionace glauca",2013,0
"Mexico","Blue shark","Shark, blue","Prionace glauca",2014,0
"Mexico","Blue shark","Shark, blue","Prionace glauca",2015,0
"Mexico","Blue shark","Shark, blue","Prionace glauca",2016,16
"Mexico","Blue shark","Shark, blue","Prionace glauca",2017,0
"Mexico","Blue shark","Shark, blue","Prionace glauca",2018,0
"Mexico","Blue shark","Shark, blue","Prionace glauca",2019,0
"Mexico","Bluefin tuna","Tuna, bluefin","Thunnus thynnus",2000,19045
"Mexico","Bluefin tuna","Tuna, bluefin","Thunnus thynnus",2001,14346
"Mexico","Bluefin tuna","Tuna, bluefin","Thunnus thynnus",2002,20030
"Mexico","Bluefin tuna","Tuna, bluefin","Thunnus thynnus",2003,19475
"Mexico","Bluefin tuna","Tuna, bluefin","Thunnus thynnus",2004,2873
"Mexico","Bluefin tuna","Tuna, bluefin","Thunnus thynnus",2005,5025
"Mexico","Bluefin tuna","Tuna, bluefin","Thunnus thynnus",2006,6014
"Mexico","Bluefin tuna","Tuna, bluefin","Thunnus thynnus",2007,833
"Mexico","Bluefin tuna","Tuna, bluefin","Thunnus thynnus",2008,6866
"Mexico","Bluefin tuna","Tuna, bluefin","Thunnus thynnus",2009,8817
"Mexico","Bluefin tuna","Tuna, bluefin","Thunnus thynnus",2010,8131
"Mexico","Bluefin tuna","Tuna, bluefin","Thunnus thynnus",2011,28419
"Mexico","Bluefin tuna","Tuna, bluefin","Thunnus thynnus",2012,34369
"Mexico","Bluefin tuna","Tuna, bluefin","Thunnus thynnus",2013,56710
"Mexico","Bluefin tuna","Tuna, bluefin","Thunnus thynnus",2014,7851
"Mexico","Bluefin tuna","Tuna, bluefin","Thunnus thynnus",2015,272
"Mexico","Bluefin tuna","Tuna, bluefin","Thunnus thynnus",2016,1123
"Mexico","Bluefin tuna","Tuna, bluefin","Thunnus thynnus",2017,3713
"Mexico","Bluefin tuna","Tuna, bluefin","Thunnus thynnus",2018,2867
"Mexico","Bluefin tuna","Tuna, bluefin","Thunnus thynnus",2019,2884
"Mexico","Cabezon","Cabezon","Scorpaenichthys marmoratus",2000,26
"Mexico","Cabezon","Cabezon","Scorpaenichthys marmoratus",2001,47
"Mexico","Cabezon","Cabezon","Scorpaenichthys marmoratus",2002,41
"Mexico","Cabezon","Cabezon","Scorpaenichthys marmoratus",2003,110
"Mexico","Cabezon","Cabezon","Scorpaenichthys marmoratus",2004,74
"Mexico","Cabezon","Cabezon","Scorpaenichthys marmoratus",2005,21
"Mexico","Cabezon","Cabezon","Scorpaenichthys marmoratus",2006,19
"Mexico","Cabezon","Cabezon","Scorpaenichthys marmoratus",2007,22
"Mexico","Cabezon","Cabezon","Scorpaenichthys marmoratus",2008,11
"Mexico","Cabezon","Cabezon","Scorpaenichthys marmoratus",2009,6
"Mexico","Cabezon","Cabezon","Scorpaenichthys marmoratus",2010,16
"Mexico","Cabezon","Cabezon","Scorpaenichthys marmoratus",2011,24
"Mexico","Cabezon","Cabezon","Scorpaenichthys marmoratus",2012,47
"Mexico","Cabezon","Cabezon","Scorpaenichthys marmoratus",2013,49
"Mexico","Cabezon","Cabezon","Scorpaenichthys marmoratus",2014,46
"Mexico","Cabezon","Cabezon","Scorpaenichthys marmoratus",2015,14
"Mexico","Cabezon","Cabezon","Scorpaenichthys marmoratus",2016,2
"Mexico","Cabezon","Cabezon","Scorpaenichthys marmoratus",2017,0
"Mexico","Cabezon","Cabezon","Scorpaenichthys marmoratus",2018,1
"Mexico","Cabezon","Cabezon","Scorpaenichthys marmoratus",2019,1
"Mexico","California barracuda","Barracuda, California","Sphyraena argentea",2000,10702
"Mexico","California barracuda","Barracuda, California","Sphyraena argentea",2001,13370
"Mexico","California barracuda","Barracuda, California","Sphyraena argentea",2002,16191
"Mexico","California barracuda","Barracuda, California","Sphyraena argentea",2003,16677
"Mexico","California barracuda","Barracuda, California","Sphyraena argentea",2004,14902
"Mexico","California barracuda","Barracuda, California","Sphyraena argentea",2005,10797
"Mexico","California barracuda","Barracuda, California","Sphyraena argentea",2006,7307
"Mexico","California barracuda","Barracuda, California","Sphyraena argentea",2007,17417
"Mexico","California barracuda","Barracuda, California","Sphyraena argentea",2008,7821
"Mexico","California barracuda","Barracuda, California","Sphyraena argentea",2009,9356
"Mexico","California barracuda","Barracuda, California","Sphyraena argentea",2010,7917
"Mexico","California barracuda","Barracuda, California","Sphyraena argentea",2011,6361
"Mexico","California barracuda","Barracuda, California","Sphyraena argentea",2012,6227
"Mexico","California barracuda","Barracuda, California","Sphyraena argentea",2013,4003
"Mexico","California barracuda","Barracuda, California","Sphyraena argentea",2014,2017
"Mexico","California barracuda","Barracuda, California","Sphyraena argentea",2015,504
"Mexico","California barracuda","Barracuda, California","Sphyraena argentea",2016,721
"Mexico","California barracuda","Barracuda, California","Sphyraena argentea",2017,484
"Mexico","California barracuda","Barracuda, California","Sphyraena argentea",2018,894
"Mexico","California barracuda","Barracuda, California","Sphyraena argentea",2019,894
"Mexico","California halibut","Halibut, California","Paralichthys californicus",2000,48
"Mexico","California halibut","Halibut, California","Paralichthys californicus",2001,155
"Mexico","California halibut","Halibut, California","Paralichthys californicus",2002,154
"Mexico","California halibut","Halibut, California","Paralichthys californicus",2003,119
"Mexico","California halibut","Halibut, California","Paralichthys californicus",2004,108
"Mexico","California halibut","Halibut, California","Paralichthys californicus",2005,188
"Mexico","California halibut","Halibut, California","Paralichthys californicus",2006,40
"Mexico","California halibut","Halibut, California","Paralichthys californicus",2007,415
"Mexico","California halibut","Halibut, California","Paralichthys californicus",2008,111
"Mexico","California halibut","Halibut, California","Paralichthys californicus",2009,114
"Mexico","California halibut","Halibut, California","Paralichthys californicus",2010,209
"Mexico","California halibut","Halibut, California","Paralichthys californicus",2011,98
"Mexico","California halibut","Halibut, California","Paralichthys californicus",2012,234
"Mexico","California halibut","Halibut, California","Paralichthys californicus",2013,241
"Mexico","California halibut","Halibut, California","Paralichthys californicus",2014,206
"Mexico","California halibut","Halibut, California","Paralichthys californicus",2015,126
"Mexico","California halibut","Halibut, California","Paralichthys californicus",2016,39
"Mexico","California halibut","Halibut, California","Paralichthys californicus",2017,15
"Mexico","California halibut","Halibut, California","Paralichthys californicus",2018,51
"Mexico","California halibut","Halibut, California","Paralichthys californicus",2019,51
"Mexico","California scorpionfish","Scorpionfish, California","Scorpaena guttata",2000,5981
"Mexico","California scorpionfish","Scorpionfish, California","Scorpaena guttata",2001,7184
"Mexico","California scorpionfish","Scorpionfish, California","Scorpaena guttata",2002,4564
"Mexico","California scorpionfish","Scorpionfish, California","Scorpaena guttata",2003,11065
"Mexico","California scorpionfish","Scorpionfish, California","Scorpaena guttata",2004,4265
"Mexico","California scorpionfish","Scorpionfish, California","Scorpaena guttata",2005,17751
"Mexico","California scorpionfish","Scorpionfish, California","Scorpaena guttata",2006,4787
"Mexico","California scorpionfish","Scorpionfish, California","Scorpaena guttata",2007,4965
"Mexico","California scorpionfish","Scorpionfish, California","Scorpaena guttata",2008,6788
"Mexico","California scorpionfish","Scorpionfish, California","Scorpaena guttata",2009,11853
"Mexico","California scorpionfish","Scorpionfish, California","Scorpaena guttata",2010,9545
"Mexico","California scorpionfish","Scorpionfish, California","Scorpaena guttata",2011,10829
"Mexico","California scorpionfish","Scorpionfish, California","Scorpaena guttata",2012,3766
"Mexico","California scorpionfish","Scorpionfish, California","Scorpaena guttata",2013,7467
"Mexico","California scorpionfish","Scorpionfish, California","Scorpaena guttata",2014,1990
"Mexico","California scorpionfish","Scorpionfish, California","Scorpaena guttata",2015,418
"Mexico","California scorpionfish","Scorpionfish, California","Scorpaena guttata",2016,683
"Mexico","California scorpionfish","Scorpionfish, California","Scorpaena guttata",2017,231
"Mexico","California scorpionfish","Scorpionfish, California","Scorpaena guttata",2018,244
"Mexico","California scorpionfish","Scorpionfish, California","Scorpaena guttata",2019,244
"Mexico","California sheephead","Sheephead, California","Semicossyphus pulcher",2000,966
"Mexico","California sheephead","Sheephead, California","Semicossyphus pulcher",2001,994
"Mexico","California sheephead","Sheephead, California","Semicossyphus pulcher",2002,681
"Mexico","California sheephead","Sheephead, California","Semicossyphus pulcher",2003,1134
"Mexico","California sheephead","Sheephead, California","Semicossyphus pulcher",2004,695
"Mexico","California sheephead","Sheephead, California","Semicossyphus pulcher",2005,867
"Mexico","California sheephead","Sheephead, California","Semicossyphus pulcher",2006,660
"Mexico","California sheephead","Sheephead, California","Semicossyphus pulcher",2007,511
"Mexico","California sheephead","Sheephead, California","Semicossyphus pulcher",2008,809
"Mexico","California sheephead","Sheephead, California","Semicossyphus pulcher",2009,651
"Mexico","California sheephead","Sheephead, California","Semicossyphus pulcher",2010,655
"Mexico","California sheephead","Sheephead, California","Semicossyphus pulcher",2011,1064
"Mexico","California sheephead","Sheephead, California","Semicossyphus pulcher",2012,506
"Mexico","California sheephead","Sheephead, California","Semicossyphus pulcher",2013,766
"Mexico","California sheephead","Sheephead, California","Semicossyphus pulcher",2014,664
"Mexico","California sheephead","Sheephead, California","Semicossyphus pulcher",2015,599
"Mexico","California sheephead","Sheephead, California","Semicossyphus pulcher",2016,241
"Mexico","California sheephead","Sheephead, California","Semicossyphus pulcher",2017,351
"Mexico","California sheephead","Sheephead, California","Semicossyphus pulcher",2018,666
"Mexico","California sheephead","Sheephead, California","Semicossyphus pulcher",2019,669
"Mexico","Chinook salmon","Salmon, king (Chinook)","Oncorhynchus tshawytscha",2000,4
"Mexico","Chinook salmon","Salmon, king (Chinook)","Oncorhynchus tshawytscha",2001,0
"Mexico","Chinook salmon","Salmon, king (Chinook)","Oncorhynchus tshawytscha",2002,1
"Mexico","Chinook salmon","Salmon, king (Chinook)","Oncorhynchus tshawytscha",2003,0
"Mexico","Chinook salmon","Salmon, king (Chinook)","Oncorhynchus tshawytscha",2004,0
"Mexico","Chinook salmon","Salmon, king (Chinook)","Oncorhynchus tshawytscha",2005,6
"Mexico","Chinook salmon","Salmon, king (Chinook)","Oncorhynchus tshawytscha",2006,10
"Mexico","Chinook salmon","Salmon, king (Chinook)","Oncorhynchus tshawytscha",2007,0
"Mexico","Chinook salmon","Salmon, king (Chinook)","Oncorhynchus tshawytscha",2008,0
"Mexico","Chinook salmon","Salmon, king (Chinook)","Oncorhynchus tshawytscha",2009,0
"Mexico","Chinook salmon","Salmon, king (Chinook)","Oncorhynchus tshawytscha",2010,0
"Mexico","Chinook salmon","Salmon, king (Chinook)","Oncorhynchus tshawytscha",2011,0
"Mexico","Chinook salmon","Salmon, king (Chinook)","Oncorhynchus tshawytscha",2012,0
"Mexico","Chinook salmon","Salmon, king (Chinook)","Oncorhynchus tshawytscha",2013,0
"Mexico","Chinook salmon","Salmon, king (Chinook)","Oncorhynchus tshawytscha",2014,0
"Mexico","Chinook salmon","Salmon, king (Chinook)","Oncorhynchus tshawytscha",2015,0
"Mexico","Chinook salmon","Salmon, king (Chinook)","Oncorhynchus tshawytscha",2016,0
"Mexico","Chinook salmon","Salmon, king (Chinook)","Oncorhynchus tshawytscha",2017,0
"Mexico","Chinook salmon","Salmon, king (Chinook)","Oncorhynchus tshawytscha",2018,0
"Mexico","Chinook salmon","Salmon, king (Chinook)","Oncorhynchus tshawytscha",2019,0
"Mexico","Coho salmon","Salmon, silver (coho)","Oncorhynchus kisutch",2001,0
"Mexico","Common dolphinfish","Dolphinfish","Coryphaena hippurus",2000,12101
"Mexico","Common dolphinfish","Dolphinfish","Coryphaena hippurus",2001,2799
"Mexico","Common dolphinfish","Dolphinfish","Coryphaena hippurus",2002,2408
"Mexico","Common dolphinfish","Dolphinfish","Coryphaena hippurus",2003,3137
"Mexico","Common dolphinfish","Dolphinfish","Coryphaena hippurus",2004,7560
"Mexico","Common dolphinfish","Dolphinfish","Coryphaena hippurus",2005,5956
"Mexico","Common dolphinfish","Dolphinfish","Coryphaena hippurus",2006,34393
"Mexico","Common dolphinfish","Dolphinfish","Coryphaena hippurus",2007,6075
"Mexico","Common dolphinfish","Dolphinfish","Coryphaena hippurus",2008,23016
"Mexico","Common dolphinfish","Dolphinfish","Coryphaena hippurus",2009,16500
"Mexico","Common dolphinfish","Dolphinfish","Coryphaena hippurus",2010,1764
"Mexico","Common dolphinfish","Dolphinfish","Coryphaena hippurus",2011,8118
"Mexico","Common dolphinfish","Dolphinfish","Coryphaena hippurus",2012,29713
"Mexico","Common dolphinfish","Dolphinfish","Coryphaena hippurus",2013,15493
"Mexico","Common dolphinfish","Dolphinfish","Coryphaena hippurus",2014,17281
"Mexico","Common dolphinfish","Dolphinfish","Coryphaena hippurus",2015,22233
"Mexico","Common dolphinfish","Dolphinfish","Coryphaena hippurus",2016,3443
"Mexico","Common dolphinfish","Dolphinfish","Coryphaena hippurus",2017,12600
"Mexico","Common dolphinfish","Dolphinfish","Coryphaena hippurus",2018,8917
"Mexico","Common dolphinfish","Dolphinfish","Coryphaena hippurus",2019,9259
"Mexico","Croaker","Croaker, unspecified","Sciaenidae spp.",2000,0
"Mexico","Croaker","Croaker, unspecified","Sciaenidae spp.",2001,0
"Mexico","Croaker","Croaker, unspecified","Sciaenidae spp.",2002,0
"Mexico","Croaker","Croaker, unspecified","Sciaenidae spp.",2003,0
"Mexico","Croaker","Croaker, unspecified","Sciaenidae spp.",2004,0
"Mexico","Croaker","Croaker, unspecified","Sciaenidae spp.",2005,0
"Mexico","Croaker","Croaker, unspecified","Sciaenidae spp.",2006,0
"Mexico","Croaker","Croaker, unspecified","Sciaenidae spp.",2007,0
"Mexico","Croaker","Croaker, unspecified","Sciaenidae spp.",2008,841
"Mexico","Croaker","Croaker, unspecified","Sciaenidae spp.",2009,8
"Mexico","Croaker","Croaker, unspecified","Sciaenidae spp.",2010,0
"Mexico","Croaker","Croaker, unspecified","Sciaenidae spp.",2011,0
"Mexico","Croaker","Croaker, unspecified","Sciaenidae spp.",2012,0
"Mexico","Croaker","Croaker, unspecified","Sciaenidae spp.",2013,0
"Mexico","Croaker","Croaker, unspecified","Sciaenidae spp.",2014,1
"Mexico","Croaker","Croaker, unspecified","Sciaenidae spp.",2015,2
"Mexico","Croaker","Croaker, unspecified","Sciaenidae spp.",2016,30
"Mexico","Croaker","Croaker, unspecified","Sciaenidae spp.",2017,0
"Mexico","Croaker","Croaker, unspecified","Sciaenidae spp.",2018,21
"Mexico","Croaker","Croaker, unspecified","Sciaenidae spp.",2019,21
"Mexico","Fish","Fishes, unspecified","Osteichthyes spp.",2000,630
"Mexico","Fish","Fishes, unspecified (jumbo squid included)","Osteichthyes spp.",2001,182
"Mexico","Fish","Fishes, unspecified","Osteichthyes spp.",2002,303
"Mexico","Fish","Fishes, unspecified","Osteichthyes spp.",2003,1036
"Mexico","Fish","Fishes, unspecified","Osteichthyes spp.",2004,992
"Mexico","Fish","Fishes, unspecified","Osteichthyes spp.",2005,451
"Mexico","Fish","Fishes, unspecified","Osteichthyes spp.",2006,1252
"Mexico","Fish","Fishes, unspecified","Osteichthyes spp.",2007,376
"Mexico","Fish","Fishes, unspecified","Osteichthyes spp.",2008,619
"Mexico","Fish","Fishes, unspecified","Osteichthyes spp.",2009,280
"Mexico","Fish","Fishes, unspecified","Osteichthyes spp.",2010,494
"Mexico","Fish","Fishes, unspecified","Osteichthyes spp.",2011,681
"Mexico","Fish","Fishes, unspecified","Osteichthyes spp.",2012,433
"Mexico","Fish","Fishes, unspecified","Osteichthyes spp.",2013,636
"Mexico","Fish","Fishes, unspecified","Osteichthyes spp.",2014,714
"Mexico","Fish","Fishes, unspecified","Osteichthyes spp.",2015,712
"Mexico","Fish","Fishes, unspecified","Osteichthyes spp.",2016,1521
"Mexico","Fish","Fishes, unspecified","Osteichthyes spp.",2017,1247
"Mexico","Fish","Fishes, unspecified","Osteichthyes spp.",2018,806
"Mexico","Fish","Fishes, unspecified","Osteichthyes spp.",2019,807
"Mexico","Flatfish","Flatfishes, unspecified","Pleuronectiformes spp.",2000,249
"Mexico","Flatfish","Flatfishes, unspecified","Pleuronectiformes spp.",2001,61
"Mexico","Flatfish","Flatfishes, unspecified","Pleuronectiformes spp.",2002,2
"Mexico","Flatfish","Flatfishes, unspecified","Pleuronectiformes spp.",2003,28
"Mexico","Flatfish","Flatfishes, unspecified","Pleuronectiformes spp.",2004,4
"Mexico","Flatfish","Flatfishes, unspecified","Pleuronectiformes spp.",2005,10
"Mexico","Flatfish","Flatfishes, unspecified","Pleuronectiformes spp.",2006,8
"Mexico","Flatfish","Flatfishes, unspecified","Pleuronectiformes spp.",2007,2
"Mexico","Flatfish","Flatfishes, unspecified","Pleuronectiformes spp.",2008,2
"Mexico","Flatfish","Flatfishes, unspecified","Pleuronectiformes spp.",2009,19
"Mexico","Flatfish","Flatfishes, unspecified","Pleuronectiformes spp.",2010,16
"Mexico","Flatfish","Flatfishes, unspecified","Pleuronectiformes spp.",2011,24
"Mexico","Flatfish","Flatfishes, unspecified","Pleuronectiformes spp.",2012,0
"Mexico","Flatfish","Flatfishes, unspecified","Pleuronectiformes spp.",2013,0
"Mexico","Flatfish","Flatfishes, unspecified","Pleuronectiformes spp.",2014,0
"Mexico","Flatfish","Flatfishes, unspecified","Pleuronectiformes spp.",2015,1
"Mexico","Flatfish","Flatfishes, unspecified","Pleuronectiformes spp.",2016,11
"Mexico","Flatfish","Flatfishes, unspecified","Pleuronectiformes spp.",2017,7
"Mexico","Flatfish","Flatfishes, unspecified","Pleuronectiformes spp.",2018,1
"Mexico","Flatfish","Flatfishes, unspecified","Pleuronectiformes spp.",2019,1
"Mexico","Giant sea bass","Bass, giant (black) sea","Stereolepis gigas",2000,1
"Mexico","Giant sea bass","Bass, giant (black) sea","Stereolepis gigas",2001,0
"Mexico","Giant sea bass","Bass, giant (black) sea","Stereolepis gigas",2002,0
"Mexico","Giant sea bass","Bass, giant (black) sea","Stereolepis gigas",2003,2
"Mexico","Giant sea bass","Bass, giant (black) sea","Stereolepis gigas",2004,0
"Mexico","Giant sea bass","Bass, giant (black) sea","Stereolepis gigas",2005,0
"Mexico","Giant sea bass","Bass, giant (black) sea","Stereolepis gigas",2006,0
"Mexico","Giant sea bass","Bass, giant (black) sea","Stereolepis gigas",2007,0
"Mexico","Giant sea bass","Bass, giant (black) sea","Stereolepis gigas",2008,2
"Mexico","Giant sea bass","Bass, giant (black) sea","Stereolepis gigas",2009,8
"Mexico","Giant sea bass","Bass, giant (black) sea","Stereolepis gigas",2010,3
"Mexico","Giant sea bass","Bass, giant (black) sea","Stereolepis gigas",2011,1
"Mexico","Giant sea bass","Bass, giant (black) sea","Stereolepis gigas",2012,0
"Mexico","Giant sea bass","Bass, giant (black) sea","Stereolepis gigas",2013,0
"Mexico","Giant sea bass","Bass, giant (black) sea","Stereolepis gigas",2014,0
"Mexico","Giant sea bass","Bass, giant (black) sea","Stereolepis gigas",2015,0
"Mexico","Giant sea bass","Bass, giant (black) sea","Stereolepis gigas",2016,1
"Mexico","Giant sea bass","Bass, giant (black) sea","Stereolepis gigas",2017,2
"Mexico","Giant sea bass","Bass, giant (black) sea","Stereolepis gigas",2018,0
"Mexico","Giant sea bass","Bass, giant (black) sea","Stereolepis gigas",2019,0
"Mexico","Gopher rockfish","Rockfish, gopher","Sebastes carnatus",2000,0
"Mexico","Gopher rockfish","Rockfish, gopher","Sebastes carnatus",2002,61
"Mexico","Gopher rockfish","Rockfish, gopher","Sebastes carnatus",2003,65
"Mexico","Gopher rockfish","Rockfish, gopher","Sebastes carnatus",2004,71
"Mexico","Gopher rockfish","Rockfish, gopher","Sebastes carnatus",2005,143
"Mexico","Gopher rockfish","Rockfish, gopher","Sebastes carnatus",2006,91
"Mexico","Gopher rockfish","Rockfish, gopher","Sebastes carnatus",2007,363
"Mexico","Gopher rockfish","Rockfish, gopher","Sebastes carnatus",2008,196
"Mexico","Gopher rockfish","Rockfish, gopher","Sebastes carnatus",2009,331
"Mexico","Gopher rockfish","Rockfish, gopher","Sebastes carnatus",2010,355
"Mexico","Gopher rockfish","Rockfish, gopher","Sebastes carnatus",2011,1302
"Mexico","Gopher rockfish","Rockfish, gopher","Sebastes carnatus",2012,561
"Mexico","Gopher rockfish","Rockfish, gopher","Sebastes carnatus",2013,998
"Mexico","Gopher rockfish","Rockfish, gopher","Sebastes carnatus",2014,428
"Mexico","Gopher rockfish","Rockfish, gopher","Sebastes carnatus",2015,64
"Mexico","Gopher rockfish","Rockfish, gopher","Sebastes carnatus",2016,64
"Mexico","Gopher rockfish","Rockfish, gopher","Sebastes carnatus",2017,43
"Mexico","Gopher rockfish","Rockfish, gopher","Sebastes carnatus",2018,23
"Mexico","Gopher rockfish","Rockfish, gopher","Sebastes carnatus",2019,23
"Mexico","Halfmoon","Halfmoon","Medialuna californiensis",2000,6
"Mexico","Halfmoon","Halfmoon","Medialuna californiensis",2001,22
"Mexico","Halfmoon","Halfmoon","Medialuna californiensis",2002,12
"Mexico","Halfmoon","Halfmoon","Medialuna californiensis",2003,47
"Mexico","Halfmoon","Halfmoon","Medialuna californiensis",2004,43
"Mexico","Halfmoon","Halfmoon","Medialuna californiensis",2005,22
"Mexico","Halfmoon","Halfmoon","Medialuna californiensis",2006,49
"Mexico","Halfmoon","Halfmoon","Medialuna californiensis",2007,20
"Mexico","Halfmoon","Halfmoon","Medialuna californiensis",2008,33
"Mexico","Halfmoon","Halfmoon","Medialuna californiensis",2009,54
"Mexico","Halfmoon","Halfmoon","Medialuna californiensis",2010,1
"Mexico","Halfmoon","Halfmoon","Medialuna californiensis",2011,5
"Mexico","Halfmoon","Halfmoon","Medialuna californiensis",2012,89
"Mexico","Halfmoon","Halfmoon","Medialuna californiensis",2013,343
"Mexico","Halfmoon","Halfmoon","Medialuna californiensis",2014,62
"Mexico","Halfmoon","Halfmoon","Medialuna californiensis",2015,1
"Mexico","Halfmoon","Halfmoon","Medialuna californiensis",2016,17
"Mexico","Halfmoon","Halfmoon","Medialuna californiensis",2017,0
"Mexico","Halfmoon","Halfmoon","Medialuna californiensis",2018,0
"Mexico","Halfmoon","Halfmoon","Medialuna californiensis",2019,0
"Mexico","Invertebrate","Invertebrates, unspecified","Invertebrate spp.",2000,135
"Mexico","Invertebrate","Invertebrates, unspecified","Invertebrate spp.",2001,0
