"source","table","season","year","region_type","region","length_class_system","length_class_group","length_class","length_class_floor","nvessels"
"FB 44","Table 30","1934-35",1934,"port complex","Santa Barbara","1934-1947: 15-ft bins (85+ max)","0-24","0-24",0,35
"FB 44","Table 30","1934-35",1934,"port complex","Santa Barbara","1934-1947: 15-ft bins (85+ max)","25-39","25-39",25,36
"FB 44","Table 30","1934-35",1934,"port complex","Santa Barbara","1934-1947: 15-ft bins (85+ max)","40-64","40-64",40,14
"FB 44","Table 30","1934-35",1934,"port complex","Santa Barbara","1934-1947: 15-ft bins (85+ max)","65-84","65-84",65,0
"FB 44","Table 30","1934-35",1934,"port complex","Santa Barbara","1934-1947: 15-ft bins (85+ max)","85+","85+",85,0
"FB 49","Table 141","1935-36",1935,"port complex","Del Norte","1934-1947: 15-ft bins (85+ max)","0-24","0-24",0,3
"FB 49","Table 141","1935-36",1935,"port complex","Del Norte","1934-1947: 15-ft bins (85+ max)","25-39","25-39",25,15
"FB 49","Table 141","1935-36",1935,"port complex","Del Norte","1934-1947: 15-ft bins (85+ max)","40-64","40-64",40,2
"FB 49","Table 141","1935-36",1935,"port complex","Del Norte","1934-1947: 15-ft bins (85+ max)","65-84","65-84",65,0
"FB 49","Table 141","1935-36",1935,"port complex","Del Norte","1934-1947: 15-ft bins (85+ max)","85+","85+",85,0
"FB 49","Table 141","1935-36",1935,"port complex","Eureka","1934-1947: 15-ft bins (85+ max)","0-24","0-24",0,18
"FB 49","Table 141","1935-36",1935,"port complex","Eureka","1934-1947: 15-ft bins (85+ max)","25-39","25-39",25,149
"FB 49","Table 141","1935-36",1935,"port complex","Eureka","1934-1947: 15-ft bins (85+ max)","40-64","40-64",40,18
"FB 49","Table 141","1935-36",1935,"port complex","Eureka","1934-1947: 15-ft bins (85+ max)","65-84","65-84",65,0
"FB 49","Table 141","1935-36",1935,"port complex","Eureka","1934-1947: 15-ft bins (85+ max)","85+","85+",85,0
"FB 49","Table 141","1935-36",1935,"port complex","Los Angeles","1934-1947: 15-ft bins (85+ max)","0-24","0-24",0,164
"FB 49","Table 141","1935-36",1935,"port complex","Los Angeles","1934-1947: 15-ft bins (85+ max)","25-39","25-39",25,308
"FB 49","Table 141","1935-36",1935,"port complex","Los Angeles","1934-1947: 15-ft bins (85+ max)","40-64","40-64",40,146
"FB 49","Table 141","1935-36",1935,"port complex","Los Angeles","1934-1947: 15-ft bins (85+ max)","65-84","65-84",65,74
"FB 49","Table 141","1935-36",1935,"port complex","Los Angeles","1934-1947: 15-ft bins (85+ max)","85+","85+",85,26
"FB 49","Table 141","1935-36",1935,"port complex","Monterey","1934-1947: 15-ft bins (85+ max)","0-24","0-24",0,99
"FB 49","Table 141","1935-36",1935,"port complex","Monterey","1934-1947: 15-ft bins (85+ max)","25-39","25-39",25,176
"FB 49","Table 141","1935-36",1935,"port complex","Monterey","1934-1947: 15-ft bins (85+ max)","40-64","40-64",40,45
"FB 49","Table 141","1935-36",1935,"port complex","Monterey","1934-1947: 15-ft bins (85+ max)","65-84","65-84",65,21
"FB 49","Table 141","1935-36",1935,"port complex","Monterey","1934-1947: 15-ft bins (85+ max)","85+","85+",85,0
"FB 49","Table 141","1935-36",1935,"port complex","OR, WA, AK","1934-1947: 15-ft bins (85+ max)","0-24","0-24",0,0
"FB 49","Table 141","1935-36",1935,"port complex","OR, WA, AK","1934-1947: 15-ft bins (85+ max)","25-39","25-39",25,23
"FB 49","Table 141","1935-36",1935,"port complex","OR, WA, AK","1934-1947: 15-ft bins (85+ max)","40-64","40-64",40,36
"FB 49","Table 141","1935-36",1935,"port complex","OR, WA, AK","1934-1947: 15-ft bins (85+ max)","65-84","65-84",65,54
"FB 49","Table 141","1935-36",1935,"port complex","OR, WA, AK","1934-1947: 15-ft bins (85+ max)","85+","85+",85,1
"FB 49","Table 141","1935-36",1935,"port complex","Sacramento","1934-1947: 15-ft bins (85+ max)","0-24","0-24",0,116
"FB 49","Table 141","1935-36",1935,"port complex","Sacramento","1934-1947: 15-ft bins (85+ max)","25-39","25-39",25,140
"FB 49","Table 141","1935-36",1935,"port complex","Sacramento","1934-1947: 15-ft bins (85+ max)","40-64","40-64",40,0
"FB 49","Table 141","1935-36",1935,"port complex","Sacramento","1934-1947: 15-ft bins (85+ max)","65-84","65-84",65,1
"FB 49","Table 141","1935-36",1935,"port complex","Sacramento","1934-1947: 15-ft bins (85+ max)","85+","85+",85,0
"FB 49","Table 141","1935-36",1935,"port complex","San Diego","1934-1947: 15-ft bins (85+ max)","0-24","0-24",0,29
"FB 49","Table 141","1935-36",1935,"port complex","San Diego","1934-1947: 15-ft bins (85+ max)","25-39","25-39",25,105
"FB 49","Table 141","1935-36",1935,"port complex","San Diego","1934-1947: 15-ft bins (85+ max)","40-64","40-64",40,59
"FB 49","Table 141","1935-36",1935,"port complex","San Diego","1934-1947: 15-ft bins (85+ max)","65-84","65-84",65,13
"FB 49","Table 141","1935-36",1935,"port complex","San Diego","1934-1947: 15-ft bins (85+ max)","85+","85+",85,35
"FB 49","Table 141","1935-36",1935,"port complex","San Francisco","1934-1947: 15-ft bins (85+ max)","0-24","0-24",0,47
"FB 49","Table 141","1935-36",1935,"port complex","San Francisco","1934-1947: 15-ft bins (85+ max)","25-39","25-39",25,364
"FB 49","Table 141","1935-36",1935,"port complex","San Francisco","1934-1947: 15-ft bins (85+ max)","40-64","40-64",40,35
"FB 49","Table 141","1935-36",1935,"port complex","San Francisco","1934-1947: 15-ft bins (85+ max)","65-84","65-84",65,18
"FB 49","Table 141","1935-36",1935,"port complex","San Francisco","1934-1947: 15-ft bins (85+ max)","85+","85+",85,2
"FB 49","Table 141","1935-36",1935,"port complex","Santa Barbara","1934-1947: 15-ft bins (85+ max)","0-24","0-24",0,46
"FB 49","Table 141","1935-36",1935,"port complex","Santa Barbara","1934-1947: 15-ft bins (85+ max)","25-39","25-39",25,46
"FB 49","Table 141","1935-36",1935,"port complex","Santa Barbara","1934-1947: 15-ft bins (85+ max)","40-64","40-64",40,19
"FB 49","Table 141","1935-36",1935,"port complex","Santa Barbara","1934-1947: 15-ft bins (85+ max)","65-84","65-84",65,0
"FB 49","Table 141","1935-36",1935,"port complex","Santa Barbara","1934-1947: 15-ft bins (85+ max)","85+","85+",85,0
"FB 57","Table 6","1939-40",1939,"port complex","Del Norte/Eureka","1934-1947: 15-ft bins (85+ max)","0-24","0-24",0,13
"FB 57","Table 6","1939-40",1939,"port complex","Del Norte/Eureka","1934-1947: 15-ft bins (85+ max)","25-39","25-39",25,172
"FB 57","Table 6","1939-40",1939,"port complex","Del Norte/Eureka","1934-1947: 15-ft bins (85+ max)","40-64","40-64",40,21
"FB 57","Table 6","1939-40",1939,"port complex","Del Norte/Eureka","1934-1947: 15-ft bins (85+ max)","65-84","65-84",65,0
"FB 57","Table 6","1939-40",1939,"port complex","Del Norte/Eureka","1934-1947: 15-ft bins (85+ max)","85+","85+",85,0
"FB 57","Table 6","1939-40",1939,"port complex","Los Angeles","1934-1947: 15-ft bins (85+ max)","0-24","0-24",0,228
"FB 57","Table 6","1939-40",1939,"port complex","Los Angeles","1934-1947: 15-ft bins (85+ max)","25-39","25-39",25,492
"FB 57","Table 6","1939-40",1939,"port complex","Los Angeles","1934-1947: 15-ft bins (85+ max)","40-64","40-64",40,195
"FB 57","Table 6","1939-40",1939,"port complex","Los Angeles","1934-1947: 15-ft bins (85+ max)","65-84","65-84",65,118
"FB 57","Table 6","1939-40",1939,"port complex","Los Angeles","1934-1947: 15-ft bins (85+ max)","85+","85+",85,38
"FB 57","Table 6","1939-40",1939,"port complex","Monterey","1934-1947: 15-ft bins (85+ max)","0-24","0-24",0,122
"FB 57","Table 6","1939-40",1939,"port complex","Monterey","1934-1947: 15-ft bins (85+ max)","25-39","25-39",25,173
"FB 57","Table 6","1939-40",1939,"port complex","Monterey","1934-1947: 15-ft bins (85+ max)","40-64","40-64",40,41
"FB 57","Table 6","1939-40",1939,"port complex","Monterey","1934-1947: 15-ft bins (85+ max)","65-84","65-84",65,54
"FB 57","Table 6","1939-40",1939,"port complex","Monterey","1934-1947: 15-ft bins (85+ max)","85+","85+",85,1
"FB 57","Table 6","1939-40",1939,"port complex","OR, WA, AK","1934-1947: 15-ft bins (85+ max)","0-24","0-24",0,0
"FB 57","Table 6","1939-40",1939,"port complex","OR, WA, AK","1934-1947: 15-ft bins (85+ max)","25-39","25-39",25,31
"FB 57","Table 6","1939-40",1939,"port complex","OR, WA, AK","1934-1947: 15-ft bins (85+ max)","40-64","40-64",40,35
"FB 57","Table 6","1939-40",1939,"port complex","OR, WA, AK","1934-1947: 15-ft bins (85+ max)","65-84","65-84",65,72
"FB 57","Table 6","1939-40",1939,"port complex","OR, WA, AK","1934-1947: 15-ft bins (85+ max)","85+","85+",85,7
"FB 57","Table 6","1939-40",1939,"port complex","Sacramento","1934-1947: 15-ft bins (85+ max)","0-24","0-24",0,115
"FB 57","Table 6","1939-40",1939,"port complex","Sacramento","1934-1947: 15-ft bins (85+ max)","25-39","25-39",25,163
"FB 57","Table 6","1939-40",1939,"port complex","Sacramento","1934-1947: 15-ft bins (85+ max)","40-64","40-64",40,5
"FB 57","Table 6","1939-40",1939,"port complex","Sacramento","1934-1947: 15-ft bins (85+ max)","65-84","65-84",65,0
"FB 57","Table 6","1939-40",1939,"port complex","Sacramento","1934-1947: 15-ft bins (85+ max)","85+","85+",85,0
"FB 57","Table 6","1939-40",1939,"port complex","San Diego","1934-1947: 15-ft bins (85+ max)","0-24","0-24",0,48
"FB 57","Table 6","1939-40",1939,"port complex","San Diego","1934-1947: 15-ft bins (85+ max)","25-39","25-39",25,117
"FB 57","Table 6","1939-40",1939,"port complex","San Diego","1934-1947: 15-ft bins (85+ max)","40-64","40-64",40,76
"FB 57","Table 6","1939-40",1939,"port complex","San Diego","1934-1947: 15-ft bins (85+ max)","65-84","65-84",65,28
"FB 57","Table 6","1939-40",1939,"port complex","San Diego","1934-1947: 15-ft bins (85+ max)","85+","85+",85,51
"FB 57","Table 6","1939-40",1939,"port complex","San Francisco","1934-1947: 15-ft bins (85+ max)","0-24","0-24",0,32
"FB 57","Table 6","1939-40",1939,"port complex","San Francisco","1934-1947: 15-ft bins (85+ max)","25-39","25-39",25,413
"FB 57","Table 6","1939-40",1939,"port complex","San Francisco","1934-1947: 15-ft bins (85+ max)","40-64","40-64",40,63
"FB 57","Table 6","1939-40",1939,"port complex","San Francisco","1934-1947: 15-ft bins (85+ max)","65-84","65-84",65,25
"FB 57","Table 6","1939-40",1939,"port complex","San Francisco","1934-1947: 15-ft bins (85+ max)","85+","85+",85,5
"FB 57","Table 6","1939-40",1939,"port complex","Santa Barbara","1934-1947: 15-ft bins (85+ max)","0-24","0-24",0,50
"FB 57","Table 6","1939-40",1939,"port complex","Santa Barbara","1934-1947: 15-ft bins (85+ max)","25-39","25-39",25,84
"FB 57","Table 6","1939-40",1939,"port complex","Santa Barbara","1934-1947: 15-ft bins (85+ max)","40-64","40-64",40,21
"FB 57","Table 6","1939-40",1939,"port complex","Santa Barbara","1934-1947: 15-ft bins (85+ max)","65-84","65-84",65,1
"FB 57","Table 6","1939-40",1939,"port complex","Santa Barbara","1934-1947: 15-ft bins (85+ max)","85+","85+",85,0
"FB 58","Table 12","1940-41",1940,"port complex","Eureka","1934-1947: 15-ft bins (85+ max)","0-24","0-24",0,12
"FB 58","Table 12","1940-41",1940,"port complex","Eureka","1934-1947: 15-ft bins (85+ max)","25-39","25-39",25,189
"FB 58","Table 12","1940-41",1940,"port complex","Eureka","1934-1947: 15-ft bins (85+ max)","40-64","40-64",40,21
"FB 58","Table 12","1940-41",1940,"port complex","Eureka","1934-1947: 15-ft bins (85+ max)","65-84","65-84",65,0
"FB 58","Table 12","1940-41",1940,"port complex","Eureka","1934-1947: 15-ft bins (85+ max)","85+","85+",85,0
"FB 58","Table 12","1940-41",1940,"port complex","Los Angeles","1934-1947: 15-ft bins (85+ max)","0-24","0-24",0,257
"FB 58","Table 12","1940-41",1940,"port complex","Los Angeles","1934-1947: 15-ft bins (85+ max)","25-39","25-39",25,642
"FB 58","Table 12","1940-41",1940,"port complex","Los Angeles","1934-1947: 15-ft bins (85+ max)","40-64","40-64",40,233
"FB 58","Table 12","1940-41",1940,"port complex","Los Angeles","1934-1947: 15-ft bins (85+ max)","65-84","65-84",65,109
"FB 58","Table 12","1940-41",1940,"port complex","Los Angeles","1934-1947: 15-ft bins (85+ max)","85+","85+",85,39
"FB 58","Table 12","1940-41",1940,"port complex","Monterey","1934-1947: 15-ft bins (85+ max)","0-24","0-24",0,99
"FB 58","Table 12","1940-41",1940,"port complex","Monterey","1934-1947: 15-ft bins (85+ max)","25-39","25-39",25,196
"FB 58","Table 12","1940-41",1940,"port complex","Monterey","1934-1947: 15-ft bins (85+ max)","40-64","40-64",40,45
"FB 58","Table 12","1940-41",1940,"port complex","Monterey","1934-1947: 15-ft bins (85+ max)","65-84","65-84",65,68
"FB 58","Table 12","1940-41",1940,"port complex","Monterey","1934-1947: 15-ft bins (85+ max)","85+","85+",85,4
"FB 58","Table 12","1940-41",1940,"port complex","OR, WA, AK","1934-1947: 15-ft bins (85+ max)","0-24","0-24",0,2
"FB 58","Table 12","1940-41",1940,"port complex","OR, WA, AK","1934-1947: 15-ft bins (85+ max)","25-39","25-39",25,34
"FB 58","Table 12","1940-41",1940,"port complex","OR, WA, AK","1934-1947: 15-ft bins (85+ max)","40-64","40-64",40,58
"FB 58","Table 12","1940-41",1940,"port complex","OR, WA, AK","1934-1947: 15-ft bins (85+ max)","65-84","65-84",65,70
"FB 58","Table 12","1940-41",1940,"port complex","OR, WA, AK","1934-1947: 15-ft bins (85+ max)","85+","85+",85,9
"FB 58","Table 12","1940-41",1940,"port complex","Sacramento","1934-1947: 15-ft bins (85+ max)","0-24","0-24",0,98
"FB 58","Table 12","1940-41",1940,"port complex","Sacramento","1934-1947: 15-ft bins (85+ max)","25-39","25-39",25,156
"FB 58","Table 12","1940-41",1940,"port complex","Sacramento","1934-1947: 15-ft bins (85+ max)","40-64","40-64",40,5
"FB 58","Table 12","1940-41",1940,"port complex","Sacramento","1934-1947: 15-ft bins (85+ max)","65-84","65-84",65,1
"FB 58","Table 12","1940-41",1940,"port complex","Sacramento","1934-1947: 15-ft bins (85+ max)","85+","85+",85,0
"FB 58","Table 12","1940-41",1940,"port complex","San Diego","1934-1947: 15-ft bins (85+ max)","0-24","0-24",0,46
"FB 58","Table 12","1940-41",1940,"port complex","San Diego","1934-1947: 15-ft bins (85+ max)","25-39","25-39",25,113
"FB 58","Table 12","1940-41",1940,"port complex","San Diego","1934-1947: 15-ft bins (85+ max)","40-64","40-64",40,77
"FB 58","Table 12","1940-41",1940,"port complex","San Diego","1934-1947: 15-ft bins (85+ max)","65-84","65-84",65,26
"FB 58","Table 12","1940-41",1940,"port complex","San Diego","1934-1947: 15-ft bins (85+ max)","85+","85+",85,50
"FB 58","Table 12","1940-41",1940,"port complex","San Francisco","1934-1947: 15-ft bins (85+ max)","0-24","0-24",0,43
"FB 58","Table 12","1940-41",1940,"port complex","San Francisco","1934-1947: 15-ft bins (85+ max)","25-39","25-39",25,451
"FB 58","Table 12","1940-41",1940,"port complex","San Francisco","1934-1947: 15-ft bins (85+ max)","40-64","40-64",40,68
"FB 58","Table 12","1940-41",1940,"port complex","San Francisco","1934-1947: 15-ft bins (85+ max)","65-84","65-84",65,22
"FB 58","Table 12","1940-41",1940,"port complex","San Francisco","1934-1947: 15-ft bins (85+ max)","85+","85+",85,6
"FB 58","Table 12","1940-41",1940,"port complex","Santa Barbara","1934-1947: 15-ft bins (85+ max)","0-24","0-24",0,66
"FB 58","Table 12","1940-41",1940,"port complex","Santa Barbara","1934-1947: 15-ft bins (85+ max)","25-39","25-39",25,106
"FB 58","Table 12","1940-41",1940,"port complex","Santa Barbara","1934-1947: 15-ft bins (85+ max)","40-64","40-64",40,32
"FB 58","Table 12","1940-41",1940,"port complex","Santa Barbara","1934-1947: 15-ft bins (85+ max)","65-84","65-84",65,1
"FB 58","Table 12","1940-41",1940,"port complex","Santa Barbara","1934-1947: 15-ft bins (85+ max)","85+","85+",85,0
"FB 59","Table 18","1941-42",1941,"port complex","Eureka","1934-1947: 15-ft bins (85+ max)","0-24","0-24",0,15
"FB 59","Table 18","1941-42",1941,"port complex","Eureka","1934-1947: 15-ft bins (85+ max)","25-39","25-39",25,188
"FB 59","Table 18","1941-42",1941,"port complex","Eureka","1934-1947: 15-ft bins (85+ max)","40-64","40-64",40,20
"FB 59","Table 18","1941-42",1941,"port complex","Eureka","1934-1947: 15-ft bins (85+ max)","65-84","65-84",65,0
"FB 59","Table 18","1941-42",1941,"port complex","Eureka","1934-1947: 15-ft bins (85+ max)","85+","85+",85,0
"FB 59","Table 18","1941-42",1941,"port complex","Los Angeles","1934-1947: 15-ft bins (85+ max)","0-24","0-24",0,229
"FB 59","Table 18","1941-42",1941,"port complex","Los Angeles","1934-1947: 15-ft bins (85+ max)","25-39","25-39",25,569
"FB 59","Table 18","1941-42",1941,"port complex","Los Angeles","1934-1947: 15-ft bins (85+ max)","40-64","40-64",40,214
"FB 59","Table 18","1941-42",1941,"port complex","Los Angeles","1934-1947: 15-ft bins (85+ max)","65-84","65-84",65,88
"FB 59","Table 18","1941-42",1941,"port complex","Los Angeles","1934-1947: 15-ft bins (85+ max)","85+","85+",85,28
"FB 59","Table 18","1941-42",1941,"port complex","Monterey","1934-1947: 15-ft bins (85+ max)","0-24","0-24",0,94
"FB 59","Table 18","1941-42",1941,"port complex","Monterey","1934-1947: 15-ft bins (85+ max)","25-39","25-39",25,200
"FB 59","Table 18","1941-42",1941,"port complex","Monterey","1934-1947: 15-ft bins (85+ max)","40-64","40-64",40,43
"FB 59","Table 18","1941-42",1941,"port complex","Monterey","1934-1947: 15-ft bins (85+ max)","65-84","65-84",65,59
"FB 59","Table 18","1941-42",1941,"port complex","Monterey","1934-1947: 15-ft bins (85+ max)","85+","85+",85,4
"FB 59","Table 18","1941-42",1941,"port complex","OR, WA, AK","1934-1947: 15-ft bins (85+ max)","0-24","0-24",0,1
"FB 59","Table 18","1941-42",1941,"port complex","OR, WA, AK","1934-1947: 15-ft bins (85+ max)","25-39","25-39",25,23
"FB 59","Table 18","1941-42",1941,"port complex","OR, WA, AK","1934-1947: 15-ft bins (85+ max)","40-64","40-64",40,42
"FB 59","Table 18","1941-42",1941,"port complex","OR, WA, AK","1934-1947: 15-ft bins (85+ max)","65-84","65-84",65,70
"FB 59","Table 18","1941-42",1941,"port complex","OR, WA, AK","1934-1947: 15-ft bins (85+ max)","85+","85+",85,11
"FB 59","Table 18","1941-42",1941,"port complex","Sacramento","1934-1947: 15-ft bins (85+ max)","0-24","0-24",0,86
"FB 59","Table 18","1941-42",1941,"port complex","Sacramento","1934-1947: 15-ft bins (85+ max)","25-39","25-39",25,145
"FB 59","Table 18","1941-42",1941,"port complex","Sacramento","1934-1947: 15-ft bins (85+ max)","40-64","40-64",40,2
"FB 59","Table 18","1941-42",1941,"port complex","Sacramento","1934-1947: 15-ft bins (85+ max)","65-84","65-84",65,0
"FB 59","Table 18","1941-42",1941,"port complex","Sacramento","1934-1947: 15-ft bins (85+ max)","85+","85+",85,0
"FB 59","Table 18","1941-42",1941,"port complex","San Diego","1934-1947: 15-ft bins (85+ max)","0-24","0-24",0,63
"FB 59","Table 18","1941-42",1941,"port complex","San Diego","1934-1947: 15-ft bins (85+ max)","25-39","25-39",25,111
"FB 59","Table 18","1941-42",1941,"port complex","San Diego","1934-1947: 15-ft bins (85+ max)","40-64","40-64",40,73
"FB 59","Table 18","1941-42",1941,"port complex","San Diego","1934-1947: 15-ft bins (85+ max)","65-84","65-84",65,24
"FB 59","Table 18","1941-42",1941,"port complex","San Diego","1934-1947: 15-ft bins (85+ max)","85+","85+",85,59
"FB 59","Table 18","1941-42",1941,"port complex","San Francisco","1934-1947: 15-ft bins (85+ max)","0-24","0-24",0,36
"FB 59","Table 18","1941-42",1941,"port complex","San Francisco","1934-1947: 15-ft bins (85+ max)","25-39","25-39",25,407
"FB 59","Table 18","1941-42",1941,"port complex","San Francisco","1934-1947: 15-ft bins (85+ max)","40-64","40-64",40,78
"FB 59","Table 18","1941-42",1941,"port complex","San Francisco","1934-1947: 15-ft bins (85+ max)","65-84","65-84",65,22
"FB 59","Table 18","1941-42",1941,"port complex","San Francisco","1934-1947: 15-ft bins (85+ max)","85+","85+",85,2
"FB 59","Table 18","1941-42",1941,"port complex","Santa Barbara","1934-1947: 15-ft bins (85+ max)","0-24","0-24",0,51
"FB 59","Table 18","1941-42",1941,"port complex","Santa Barbara","1934-1947: 15-ft bins (85+ max)","25-39","25-39",25,113
"FB 59","Table 18","1941-42",1941,"port complex","Santa Barbara","1934-1947: 15-ft bins (85+ max)","40-64","40-64",40,30
"FB 59","Table 18","1941-42",1941,"port complex","Santa Barbara","1934-1947: 15-ft bins (85+ max)","65-84","65-84",65,0
"FB 59","Table 18","1941-42",1941,"port complex","Santa Barbara","1934-1947: 15-ft bins (85+ max)","85+","85+",85,2
"FB 59","Table 19","1942-43",1942,"port complex","Eureka","1934-1947: 15-ft bins (85+ max)","0-24","0-24",0,17
"FB 59","Table 19","1942-43",1942,"port complex","Eureka","1934-1947: 15-ft bins (85+ max)","25-39","25-39",25,195
"FB 59","Table 19","1942-43",1942,"port complex","Eureka","1934-1947: 15-ft bins (85+ max)","40-64","40-64",40,31
"FB 59","Table 19","1942-43",1942,"port complex","Eureka","1934-1947: 15-ft bins (85+ max)","65-84","65-84",65,1
"FB 59","Table 19","1942-43",1942,"port complex","Eureka","1934-1947: 15-ft bins (85+ max)","85+","85+",85,0
"FB 59","Table 19","1942-43",1942,"port complex","Los Angeles","1934-1947: 15-ft bins (85+ max)","0-24","0-24",0,253
"FB 59","Table 19","1942-43",1942,"port complex","Los Angeles","1934-1947: 15-ft bins (85+ max)","25-39","25-39",25,678
"FB 59","Table 19","1942-43",1942,"port complex","Los Angeles","1934-1947: 15-ft bins (85+ max)","40-64","40-64",40,206
"FB 59","Table 19","1942-43",1942,"port complex","Los Angeles","1934-1947: 15-ft bins (85+ max)","65-84","65-84",65,89
"FB 59","Table 19","1942-43",1942,"port complex","Los Angeles","1934-1947: 15-ft bins (85+ max)","85+","85+",85,15
"FB 59","Table 19","1942-43",1942,"port complex","Monterey","1934-1947: 15-ft bins (85+ max)","0-24","0-24",0,85
"FB 59","Table 19","1942-43",1942,"port complex","Monterey","1934-1947: 15-ft bins (85+ max)","25-39","25-39",25,180
"FB 59","Table 19","1942-43",1942,"port complex","Monterey","1934-1947: 15-ft bins (85+ max)","40-64","40-64",40,26
"FB 59","Table 19","1942-43",1942,"port complex","Monterey","1934-1947: 15-ft bins (85+ max)","65-84","65-84",65,19
