"source","table","season","year","region_type","region","nfishers","nfishers_nr","nfishers_r","region_group"
"FB 86","Table 5","1950-51",1950,"area of residence","Mexico",43,NA,NA,"Mexico"
"FB 86","Table 5","1950-51",1950,"area of residence","Monterey",1383,NA,NA,"Monterey"
"FB 86","Table 5","1950-51",1950,"area of residence","Sacramento",577,NA,NA,"Sacramento Delta"
"FB 86","Table 5","1950-51",1950,"area of residence","San Diego",3174,NA,NA,"San Diego"
"FB 86","Table 5","1950-51",1950,"area of residence","San Francisco",1448,NA,NA,"San Francisco"
"FB 86","Table 5","1950-51",1950,"area of residence","Santa Barbara",555,NA,NA,"Santa Barbara"
"FB 89","Table 11","1951-52",1951,"area of residence","AK/WA/OR",929,NA,NA,"AK/WA/OR/Other"
"FB 89","Table 11","1951-52",1951,"area of residence","Eureka",836,NA,NA,"Eureka"
"FB 89","Table 11","1951-52",1951,"area of residence","Los Angeles",4809,NA,NA,"Los Angeles"
"FB 89","Table 11","1951-52",1951,"area of residence","Mexico",77,NA,NA,"Mexico"
"FB 89","Table 11","1951-52",1951,"area of residence","Monterey",1182,NA,NA,"Monterey"
"FB 89","Table 11","1951-52",1951,"area of residence","Sacramento",497,NA,NA,"Sacramento Delta"
"FB 89","Table 11","1951-52",1951,"area of residence","San Diego",2977,NA,NA,"San Diego"
"FB 89","Table 11","1951-52",1951,"area of residence","San Francisco",1401,NA,NA,"San Francisco"
"FB 89","Table 11","1951-52",1951,"area of residence","Santa Barbara",485,NA,NA,"Santa Barbara"
"FB 95","Table 7","1952-53",1952,"area of residence","AK/WA/OR",983,NA,NA,"AK/WA/OR/Other"
"FB 95","Table 7","1952-53",1952,"area of residence","Eureka",862,NA,NA,"Eureka"
"FB 95","Table 7","1952-53",1952,"area of residence","Los Angeles",3808,NA,NA,"Los Angeles"
"FB 95","Table 7","1952-53",1952,"area of residence","Mexico",85,NA,NA,"Mexico"
"FB 95","Table 7","1952-53",1952,"area of residence","Monterey",940,NA,NA,"Monterey"
"FB 95","Table 7","1952-53",1952,"area of residence","Sacramento",413,NA,NA,"Sacramento Delta"
"FB 95","Table 7","1952-53",1952,"area of residence","San Diego",2746,NA,NA,"San Diego"
"FB 95","Table 7","1952-53",1952,"area of residence","San Francisco",1281,NA,NA,"San Francisco"
"FB 95","Table 7","1952-53",1952,"area of residence","Santa Barbara",448,NA,NA,"Santa Barbara"
"FB 102","Table 7","1953-54",1953,"area of residence","AK/WA/OR",920,NA,NA,"AK/WA/OR/Other"
"FB 102","Table 7","1953-54",1953,"area of residence","Other",10,NA,NA,"AK/WA/OR/Other"
"FB 102","Table 7","1953-54",1953,"area of residence","Eureka",836,NA,NA,"Eureka"
"FB 102","Table 7","1953-54",1953,"area of residence","Los Angeles",3602,NA,NA,"Los Angeles"
"FB 102","Table 7","1953-54",1953,"area of residence","Mexico",56,NA,NA,"Mexico"
"FB 102","Table 7","1953-54",1953,"area of residence","Monterey",936,NA,NA,"Monterey"
"FB 102","Table 7","1953-54",1953,"area of residence","Sacramento",408,NA,NA,"Sacramento Delta"
"FB 102","Table 7","1953-54",1953,"area of residence","San Diego",2922,NA,NA,"San Diego"
"FB 102","Table 7","1953-54",1953,"area of residence","San Francisco",1215,NA,NA,"San Francisco"
"FB 102","Table 7","1953-54",1953,"area of residence","Santa Barbara",467,NA,NA,"Santa Barbara"
"FB 102","Table 7","1954-55",1954,"area of residence","AK/WA/OR",797,NA,NA,"AK/WA/OR/Other"
"FB 102","Table 7","1954-55",1954,"area of residence","Other",6,NA,NA,"AK/WA/OR/Other"
"FB 102","Table 7","1954-55",1954,"area of residence","Eureka",886,NA,NA,"Eureka"
"FB 102","Table 7","1954-55",1954,"area of residence","Los Angeles",3719,NA,NA,"Los Angeles"
"FB 102","Table 7","1954-55",1954,"area of residence","Mexico",50,NA,NA,"Mexico"
"FB 102","Table 7","1954-55",1954,"area of residence","Monterey",971,NA,NA,"Monterey"
"FB 102","Table 7","1954-55",1954,"area of residence","Sacramento",460,NA,NA,"Sacramento Delta"
"FB 102","Table 7","1954-55",1954,"area of residence","San Diego",3015,NA,NA,"San Diego"
"FB 102","Table 7","1954-55",1954,"area of residence","San Francisco",1292,NA,NA,"San Francisco"
"FB 102","Table 7","1954-55",1954,"area of residence","Santa Barbara",451,NA,NA,"Santa Barbara"
"FB 105","Table 10","1955-58",1955,"area of residence","AK/WA/OR",528,NA,NA,"AK/WA/OR/Other"
"FB 105","Table 10","1955-58",1955,"area of residence","Other",13,NA,NA,"AK/WA/OR/Other"
"FB 105","Table 10","1955-58",1955,"area of residence","Eureka",843,NA,NA,"Eureka"
"FB 105","Table 10","1955-58",1955,"area of residence","Los Angeles",3162,NA,NA,"Los Angeles"
"FB 105","Table 10","1955-58",1955,"area of residence","Mexico",31,NA,NA,"Mexico"
"FB 105","Table 10","1955-58",1955,"area of residence","Monterey",958,NA,NA,"Monterey"
"FB 105","Table 10","1955-58",1955,"area of residence","Sacramento",472,NA,NA,"Sacramento Delta"
"FB 105","Table 10","1955-58",1955,"area of residence","San Diego",2503,NA,NA,"San Diego"
"FB 105","Table 10","1955-58",1955,"area of residence","San Francisco",1309,NA,NA,"San Francisco"
"FB 105","Table 10","1955-58",1955,"area of residence","Santa Barbara",458,NA,NA,"Santa Barbara"
"FB 105","Table 10","1956-57",1956,"area of residence","AK/WA/OR",599,NA,NA,"AK/WA/OR/Other"
"FB 105","Table 10","1956-57",1956,"area of residence","Other",14,NA,NA,"AK/WA/OR/Other"
"FB 105","Table 10","1956-57",1956,"area of residence","Eureka",1016,NA,NA,"Eureka"
"FB 105","Table 10","1956-57",1956,"area of residence","Los Angeles",2685,NA,NA,"Los Angeles"
"FB 105","Table 10","1956-57",1956,"area of residence","Mexico",18,NA,NA,"Mexico"
"FB 105","Table 10","1956-57",1956,"area of residence","Monterey",905,NA,NA,"Monterey"
"FB 105","Table 10","1956-57",1956,"area of residence","Sacramento",383,NA,NA,"Sacramento Delta"
"FB 105","Table 10","1956-57",1956,"area of residence","San Diego",2299,NA,NA,"San Diego"
"FB 105","Table 10","1956-57",1956,"area of residence","San Francisco",1413,NA,NA,"San Francisco"
"FB 105","Table 10","1956-57",1956,"area of residence","Santa Barbara",479,NA,NA,"Santa Barbara"
"FB 108","Table 4","1957-58",1957,"area of residence","AK/WA/OR",625,NA,NA,"AK/WA/OR/Other"
"FB 108","Table 4","1957-58",1957,"area of residence","Other",11,NA,NA,"AK/WA/OR/Other"
"FB 108","Table 4","1957-58",1957,"area of residence","Eureka",1057,NA,NA,"Eureka"
"FB 108","Table 4","1957-58",1957,"area of residence","Los Angeles",2530,NA,NA,"Los Angeles"
"FB 108","Table 4","1957-58",1957,"area of residence","Mexico",15,NA,NA,"Mexico"
"FB 108","Table 4","1957-58",1957,"area of residence","Monterey",896,NA,NA,"Monterey"
"FB 108","Table 4","1957-58",1957,"area of residence","Sacramento",331,NA,NA,"Sacramento Delta"
"FB 108","Table 4","1957-58",1957,"area of residence","San Diego",2278,NA,NA,"San Diego"
"FB 108","Table 4","1957-58",1957,"area of residence","San Francisco",1281,NA,NA,"San Francisco"
"FB 108","Table 4","1957-58",1957,"area of residence","Santa Barbara",571,NA,NA,"Santa Barbara"
"FB 108","Table 4","1958-59",1958,"area of residence","AK/WA/OR",486,NA,NA,"AK/WA/OR/Other"
"FB 108","Table 4","1958-59",1958,"area of residence","Other",11,NA,NA,"AK/WA/OR/Other"
"FB 108","Table 4","1958-59",1958,"area of residence","Eureka",922,NA,NA,"Eureka"
"FB 108","Table 4","1958-59",1958,"area of residence","Los Angeles",2517,NA,NA,"Los Angeles"
"FB 108","Table 4","1958-59",1958,"area of residence","Mexico",16,NA,NA,"Mexico"
"FB 108","Table 4","1958-59",1958,"area of residence","Monterey",777,NA,NA,"Monterey"
"FB 108","Table 4","1958-59",1958,"area of residence","Sacramento",115,NA,NA,"Sacramento Delta"
"FB 108","Table 4","1958-59",1958,"area of residence","San Diego",2122,NA,NA,"San Diego"
"FB 108","Table 4","1958-59",1958,"area of residence","San Francisco",1069,NA,NA,"San Francisco"
"FB 108","Table 4","1958-59",1958,"area of residence","Santa Barbara",535,NA,NA,"Santa Barbara"
"FB 111","Table 4","1959-60",1959,"area of residence","AK/WA/OR",555,NA,NA,"AK/WA/OR/Other"
"FB 111","Table 4","1959-60",1959,"area of residence","Other",25,NA,NA,"AK/WA/OR/Other"
"FB 111","Table 4","1959-60",1959,"area of residence","Eureka",936,NA,NA,"Eureka"
"FB 111","Table 4","1959-60",1959,"area of residence","Los Angeles",2271,NA,NA,"Los Angeles"
"FB 111","Table 4","1959-60",1959,"area of residence","Mexico",24,NA,NA,"Mexico"
"FB 111","Table 4","1959-60",1959,"area of residence","Monterey",727,NA,NA,"Monterey"
"FB 111","Table 4","1959-60",1959,"area of residence","Sacramento",111,NA,NA,"Sacramento Delta"
"FB 111","Table 4","1959-60",1959,"area of residence","San Diego",1592,NA,NA,"San Diego"
"FB 111","Table 4","1959-60",1959,"area of residence","San Francisco",1154,NA,NA,"San Francisco"
"FB 111","Table 4","1959-60",1959,"area of residence","Santa Barbara",534,NA,NA,"Santa Barbara"
"FB 117","Table 4","1960-61",1960,"area of residence","AK/WA/OR",565,NA,NA,"AK/WA/OR/Other"
"FB 117","Table 4","1960-61",1960,"area of residence","Other",23,NA,NA,"AK/WA/OR/Other"
"FB 117","Table 4","1960-61",1960,"area of residence","Eureka",1126,NA,NA,"Eureka"
"FB 117","Table 4","1960-61",1960,"area of residence","Los Angeles",2190,NA,NA,"Los Angeles"
"FB 117","Table 4","1960-61",1960,"area of residence","Mexico",22,NA,NA,"Mexico"
"FB 117","Table 4","1960-61",1960,"area of residence","Monterey",677,NA,NA,"Monterey"
"FB 117","Table 4","1960-61",1960,"area of residence","Sacramento",91,NA,NA,"Sacramento Delta"
"FB 117","Table 4","1960-61",1960,"area of residence","San Diego",1506,NA,NA,"San Diego"
"FB 117","Table 4","1960-61",1960,"area of residence","San Francisco",1185,NA,NA,"San Francisco"
"FB 117","Table 4","1960-61",1960,"area of residence","Santa Barbara",566,NA,NA,"Santa Barbara"
"FB 121","Table 4","1961-62",1961,"area of residence","AK/WA/OR",500,NA,NA,"AK/WA/OR/Other"
"FB 121","Table 4","1961-62",1961,"area of residence","Other",14,NA,NA,"AK/WA/OR/Other"
"FB 121","Table 4","1961-62",1961,"area of residence","Eureka",1321,NA,NA,"Eureka"
"FB 121","Table 4","1961-62",1961,"area of residence","Los Angeles",2287,NA,NA,"Los Angeles"
"FB 121","Table 4","1961-62",1961,"area of residence","Mexico",43,NA,NA,"Mexico"
"FB 121","Table 4","1961-62",1961,"area of residence","Monterey",696,NA,NA,"Monterey"
"FB 121","Table 4","1961-62",1961,"area of residence","Sacramento",128,NA,NA,"Sacramento Delta"
"FB 121","Table 4","1961-62",1961,"area of residence","San Diego",1589,NA,NA,"San Diego"
"FB 121","Table 4","1961-62",1961,"area of residence","San Francisco",1229,NA,NA,"San Francisco"
"FB 121","Table 4","1961-62",1961,"area of residence","Santa Barbara",627,NA,NA,"Santa Barbara"
"FB 125","Table 4","1962-63",1962,"area of residence","AK/WA/OR",465,NA,NA,"AK/WA/OR/Other"
"FB 125","Table 4","1962-63",1962,"area of residence","Other",16,NA,NA,"AK/WA/OR/Other"
"FB 125","Table 4","1962-63",1962,"area of residence","Eureka",1211,NA,NA,"Eureka"
"FB 125","Table 4","1962-63",1962,"area of residence","Los Angeles",2332,NA,NA,"Los Angeles"
"FB 125","Table 4","1962-63",1962,"area of residence","Mexico",70,NA,NA,"Mexico"
"FB 125","Table 4","1962-63",1962,"area of residence","Monterey",651,NA,NA,"Monterey"
"FB 125","Table 4","1962-63",1962,"area of residence","Sacramento",151,NA,NA,"Sacramento Delta"
"FB 125","Table 4","1962-63",1962,"area of residence","San Diego",1800,NA,NA,"San Diego"
"FB 125","Table 4","1962-63",1962,"area of residence","San Francisco",1198,NA,NA,"San Francisco"
"FB 125","Table 4","1962-63",1962,"area of residence","Santa Barbara",706,NA,NA,"Santa Barbara"
"FB 129","Table 5","1963-64",1963,"area of residence","AK/WA/OR",523,NA,NA,"AK/WA/OR/Other"
"FB 129","Table 5","1963-64",1963,"area of residence","Other",46,NA,NA,"AK/WA/OR/Other"
"FB 129","Table 5","1963-64",1963,"area of residence","Eureka",1195,NA,NA,"Eureka"
"FB 129","Table 5","1963-64",1963,"area of residence","Los Angeles",2163,NA,NA,"Los Angeles"
"FB 129","Table 5","1963-64",1963,"area of residence","Mexico",64,NA,NA,"Mexico"
"FB 129","Table 5","1963-64",1963,"area of residence","Monterey",684,NA,NA,"Monterey"
"FB 129","Table 5","1963-64",1963,"area of residence","Sacramento",190,NA,NA,"Sacramento Delta"
"FB 129","Table 5","1963-64",1963,"area of residence","San Diego",1736,NA,NA,"San Diego"
"FB 129","Table 5","1963-64",1963,"area of residence","San Francisco",1284,NA,NA,"San Francisco"
"FB 129","Table 5","1963-64",1963,"area of residence","Santa Barbara",659,NA,NA,"Santa Barbara"
"FB 132","Table 4","1964-65",1964,"area of residence","AK/WA/OR",532,NA,NA,"AK/WA/OR/Other"
"FB 132","Table 4","1964-65",1964,"area of residence","Other",49,NA,NA,"AK/WA/OR/Other"
"FB 132","Table 4","1964-65",1964,"area of residence","Eureka",1277,NA,NA,"Eureka"
"FB 132","Table 4","1964-65",1964,"area of residence","Los Angeles",2132,NA,NA,"Los Angeles"
"FB 132","Table 4","1964-65",1964,"area of residence","Mexico",83,NA,NA,"Mexico"
"FB 132","Table 4","1964-65",1964,"area of residence","Monterey",694,NA,NA,"Monterey"
"FB 132","Table 4","1964-65",1964,"area of residence","Sacramento",239,NA,NA,"Sacramento Delta"
"FB 132","Table 4","1964-65",1964,"area of residence","San Diego",1750,NA,NA,"San Diego"
"FB 132","Table 4","1964-65",1964,"area of residence","San Francisco",1396,NA,NA,"San Francisco"
"FB 132","Table 4","1964-65",1964,"area of residence","Santa Barbara",761,NA,NA,"Santa Barbara"
"FB 135","Table 4","1965-66",1965,"area of residence","AK/WA/OR",429,NA,NA,"AK/WA/OR/Other"
"FB 135","Table 4","1965-66",1965,"area of residence","Other",41,NA,NA,"AK/WA/OR/Other"
"FB 135","Table 4","1965-66",1965,"area of residence","Eureka",1520,NA,NA,"Eureka"
"FB 135","Table 4","1965-66",1965,"area of residence","Los Angeles",2022,NA,NA,"Los Angeles"
"FB 135","Table 4","1965-66",1965,"area of residence","Mexico",29,NA,NA,"Mexico"
"FB 135","Table 4","1965-66",1965,"area of residence","Monterey",755,NA,NA,"Monterey"
"FB 135","Table 4","1965-66",1965,"area of residence","Sacramento",348,NA,NA,"Sacramento Delta"
"FB 135","Table 4","1965-66",1965,"area of residence","San Diego",1676,NA,NA,"San Diego"
"FB 135","Table 4","1965-66",1965,"area of residence","San Francisco",1546,NA,NA,"San Francisco"
"FB 135","Table 4","1965-66",1965,"area of residence","Santa Barbara",856,NA,NA,"Santa Barbara"
"FB 138","Table 4","1966-67",1966,"area of residence","AK/WA/OR",478,NA,NA,"AK/WA/OR/Other"
"FB 138","Table 4","1966-67",1966,"area of residence","Other",26,NA,NA,"AK/WA/OR/Other"
"FB 138","Table 4","1966-67",1966,"area of residence","Eureka",1695,NA,NA,"Eureka"
"FB 138","Table 4","1966-67",1966,"area of residence","Los Angeles",2020,NA,NA,"Los Angeles"
"FB 138","Table 4","1966-67",1966,"area of residence","Mexico",43,NA,NA,"Mexico"
