"species_code","common_name","scientific_name","market_group"
"EULC","Eulachon","Thalieicthys pacificus","Other"
"FLAG","Rockfish, flag","Sebastes rubrivinctus","Rockfish"
"FNTS","Sole, fantail","Xystreurys liolepis","Flatfish"
"FRCK","Rockfish, freckled","Sebastes lentiginosus","Rockfish"
"FSOL","Sole, flathead","Hippoglossoides elassodon","Flatfish"
"GBAS","Bass, giant sea","Stereolepis gigas","Other"
"GBLC","Rockfish, greenblotched","Sebastes rosenblatti","Rockfish"
"GGRD","Grenadier, giant","Albatrossia pectoralis","Other groundfish"
"GOBY","Goby, unspecified","Gobiidae, sp.","Other"
"GPHR","Rockfish, gopher","Sebastes carnatus","Rockfish"
"GRAS","Rockfish, grass","Sebastes rastrelliger","Rockfish"
"GRDR","Grenadier, unspecified","Macrouridae, sp.","Other groundfish"
"GREN","Grenadier, pacific","Coryphaenoides acrolepis","Other groundfish"
"GROU","Groupers","Serranidae, sp.","Other"
"GSPT","Rockfish, greenspotted","Sebastes chlorostictus","Rockfish"
"GSRK","Rockfish, greenstriped","Sebastes elongatus","Rockfish"
"HBRK","Rockfish, halfbanded","Sebastes semicinctus","Rockfish"
"HNYC","Rockfish, honeycomb","Sebastes umbrosus","Rockfish"
"HROE","Herring, roe","Clupea harengus","Other"
"HTRB","Turbots, hornyhead","Pleuronichthys verticalis","Flatfish"
"JACK","Jacks","Carangidae","Other"
"JMCK","Mackeral, jack","Trachurrus symetricus","Other"
"KBAS","Bass, kelp","Paralabrax clathratus","Other"
"KFSH","Giant kelpfish","Heterostichus rostratus","Other"
"KLPG","Greenling, kelp","Hexagrammos decagrammus","Other groundfish"
"KLPR","Rockfish, kelp","Sebastes atrovirens","Rockfish"
"LCOD","Lingcod","Ophiodon elongatus","Other groundfish"
"LDAB","Sanddab, longfin","Citharichthys xanthostigma","Flatfish"
"LOBS","Spiney lobster","Panulirus interruptus","Invertebrate"
"LSKT","Skate, longnose","Raja rhina","Elasmobranch"
"LSPN","Thornyhead, longspine","Sebastolobus altivelis","Other groundfish"
"LSRK","Shark, leopord","Triakis semifasciata","Elasmobranch"
"MARL","Marlin, striped","Tetrapturus   audux","Other"
"MEEL","Eel, monkeyface","Cebidichthys violaceus","Other"
"MISC","Miscellaneous species","Miscellaneous species","Other"
"MSQD","Squid, market","Loligo opalescens","Invertebrate"
"MULL","Mullet","Mugil cephalus","Other"
"MXRF","Rockfish, mexican","Sebastes macdonaldi","Rockfish"
"NANC","Anchovy, northern","Engralis mordax","Other"
"OBAS","Bass, unspecified","Serranidae, sp.","Other"
"OCRB","Crab, unspecified","Brachyura, sp.","Invertebrate"
"OCRK","Croaker, unspecified","Scianidae, sp.","Other groundfish"
"OCTO","Octopus, unspecified","Octopus, sp.","Invertebrate"
"OHAG","Hagfish","Myxinadae, sp.","Other"
"OLVE","Rockfish, olive","Sebastes serranoides","Rockfish"
"OSTR","Oyster,unspecified","Ostrea, sp.","Invertebrate"
"OTNA","Tuna, unspecified","Thunnus, sp.","Other"
"OWFS","Whitefish, ocean","Caulolatilus princeps","Other"
"PBTR","Butterfish, pacific","Peprilus simillimus","Other"
"PCOD","Cod, pacific","Gadus macrocephalus","Other groundfish"
"PDAB","Sanddab, pacific","Citharichthys sordidus","Flatfish"
"PGMY","Rockfish, pygmy","Sebastes wilsoni","Rockfish"
"PHLB","Halibut, pacific","Hippoglossus stenolepis","Flatfish"
"PHRG","Herring, pacific","Clupea pallasii pallasii","Other"
"PINK","Salmon, pink","Oncorhynchus gorbuscha","Salmonid"
"PMCK","Mackeral, pacific","Scomber japonicus","Other"
"PNKR","Rockfish, pink","Sebastes eos","Rockfish"
"POP","Rockfish, pacific ocean perch","Sebastes alutus","Rockfish"
"PRCH","Perch, unspecified","Embiotocidae, sp.","Other"
"PRRK","Rockfish, pinkrose","Sebastes simulator","Rockfish"
"PSDN","Sardine, pacific","Sardinops sagax","Other"
"PSHP","Shrimp, pacific ocean","Pandalus spp","Invertebrate"
"PTRL","Sole, petrale","Eopsetta jordani","Flatfish"
"PURC","Urchin, purple","Strongylocentrus purpuratus","Invertebrate"
"PWHT","Whiting, pacific","Merluccius productus","Other groundfish"
"QFSH","Queenfish","Seriphus politus","Other"
"QLBK","Rockfish, quillback","Sebastes maliger","Rockfish"
"RATF","Ratfish, spotted","Hydrolagus colliei","Elasmobranch"
"RCK3","Rockfish, deepwater red  grp","Sebastes spp","Rockfish"
"RCK6","Rockfish, rosefish   grp","Sebastes spp","Rockfish"
"RCK8","Rockfish, canary/vermillion","Sebastes spp","Rockfish"
"RCK9","Rockfish, black/blue rockfish","Sebastes spp","Rockfish"
"RCKG","Greenling, rock","Hexagrammos superciliosus","Other groundfish"
"RCRB","Crab, rock","Cancer antennarius","Invertebrate"
"RDBD","Rockfish, redbanded","Sebastes babcocki","Rockfish"
"REDS","Rockfish, redstripe","Sebastes proriger","Rockfish"
"REX","Sole, rex","Errex zachirus","Flatfish"
"REYE","Rockfish, rougheye","Sebastes aleutianus","Rockfish"
"ROSY","Rockfish, rosy","Sebastes rosaceus","Rockfish"
"RPRW","Prawn, ridgeback","Sicyonia ingentis","Invertebrate"
"RSOL","Sole, rock","Lepidopsetta bilineata","Flatfish"
"RSTN","Rockfish, rosethorn","Sebastes helvomaculatus","Rockfish"
"RTS1","Skate, black (see roughtail)","R","Elasmobranch"
"RTSK","Skate, roughtail","Bathyraja trachura","Elasmobranch"
"RURC","Urchin, red","Strongylocentrotus franciscanus","Invertebrate"
"SABL","Sablefish","Anoplopoma fimbria","Other groundfish"
"SAIL","Sailfish","Istiophorus platypterus","Other"
"SBAS","Bass, striped","Morones saxitallus","Other"
"SBLY","Rockfish, shortbelly","Sebastes jordani","Rockfish"
"SCAL","Scallops, unspecified","Pectinidae, sp.","Invertebrate"
"SCLP","Sculpin","Cottidae sp.","Other groundfish"
"SCOR","Scorpionfish, california","Scorpaena guttata","Other groundfish"
"SHAD","Shad, unspecified","Alosa sp.","Other"
"SHPD","Sheephead, california","Semicossyphus pulcher","Other"
"SHRK","Shark, unspecified","Shark, unspecified","Elasmobranch"
"SHRP","Rockfish, sharpchin","Sebastes zacentrus","Rockfish"
"SLGR","Rockfish, silvergray","Sebastes brevispinis","Rockfish"
"SLNS","Sole, slender","Lyopsetta exilis","Flatfish"
"SMLT","Smelt, unspecified","Osmeridae, sp.","Other"
"SNOS","Rockfish, splitnose","Sebastes diploproa","Rockfish"
"SPKL","Rockfish, speckled","Sebastes ovalis","Rockfish"
"SPRW","Prawn, spot","Pandalus platyceros","Invertebrate"
"SPSK","Skate, sandpaper","Bathyraja interrupta","Elasmobranch"
"SQID","Squid, unspecified","Ommastrephes, loligo sp.","Invertebrate"
"SQRS","Rockfish, squarespot","Sebastes hopkinsi","Rockfish"
"SRFP","Surfperch, walleye","Hyperprosopon argenteum","Other"
"SRKR","Rockfish, shortraker","Sebastes borealis","Rockfish"
"SRMP","Shrimp, unspecified","Crustacea decapoda","Invertebrate"
"SSDB","Sanddab, speckled","Citharichthys stigmaeus","Flatfish"
"SSKT","Skate, starry","Raja stellulata","Elasmobranch"
"SSOL","Sole, sand","Psettichthys melanostict","Flatfish"
"SSPN","Thornyhead, shortspine","Sebastolobus alascanus","Other groundfish"
"SSRK","Shark, soupfin","Galeorhinus zyopterus","Elasmobranch"
"STAR","Rockfish, starry","Sebastes constellatus","Rockfish"
"STNA","Tuna, skipjack","Euthynnus pelamis","Other"
"STRB","Turbot, spotted","Pleuronichthys ritteri","Flatfish"
"STRK","Rockfish, stripetail","Sebastes saxicola","Rockfish"
"STRY","Flounder, starry","Platichthys stellatus","Flatfish"
"SWRD","Swordfish","Xiphias gladius","Other"
"SWSP","Rockfish, swordspine","Sebastes ensifer","Rockfish"
"THDS","Thornyhead, unspecifed","Sebastolobus sp.","Other groundfish"
"TIGR","Rockfish, tiger","Sebastes nigrocinctus","Rockfish"
"TREE","Rockfish, treefish","Sebastes serriceps","Rockfish"
"UDAB","Sanddab,unidentified","Citharichthys sp.","Flatfish"
"UDNR","Rockfish, deep nearshore","Sebastes spp","Rockfish"
"UFLT","Flatfish, unidentified","Pleuronectiformes","Flatfish"
"UINV","Invertebrate, unspecified","Invertebrate, unspecified","Invertebrate"
"UMCK","Mackeral, unspecified","Scombridae sp.","Other"
"UNK","Unknown comx","Unknown","Other"
"URAY","Ray, unspecified","Torpediniformes, myliobatidiformes sp.","Elasmobranch"
"URCK","Rockfish, unidentified","Sebastes sp.","Rockfish"
"USCU","Sea cucumber","Holothuroidea","Invertebrate"
"USHR","Rockfish, nearshore","Sebastes spp","Rockfish"
"USKT","Skate, unspecified","Skate sp.","Elasmobranch"
"USLF","Rockfish, shelf","Sebastes spp","Rockfish"
"USLP","Rockfish, slope","Sebastes spp","Rockfish"
"USMN","Salmon, unspecified","Salmonidae sp.","Salmonid"
"USTG","Sturgeon,unspecified","Acipenser spp","Other"
"UTRB","Turbot, unspecified","Turbot sp.","Flatfish"
"VRML","Rockfish, vermilion","Sebastes miniatus","Rockfish"
"WAHO","Wahoo","Acanthocybium solandri","Other"
"WBAS","Seabass, white","Cynoscion xanthulus","Other"
"WCRK","Croaker, white","Genyonemus lineatus","Other"
"WDOW","Rockfish, widow","Sebastes entomelas","Rockfish"
"YEYE","Rockfish, yelloweye","Sebastes ruberrimus","Rockfish"
"YMTH","Rockfish, yellowmouth","Sebastes reedi","Rockfish"
"YTNA","Tuna, yellowfin","Thunnus albacaras","Other"
"YTRK","Rockfish, yellowtail","Sebastes flavidus","Rockfish"
