"state","port","port_long","year","landing_lb_mil","value_usd_mil"
"AK","Anchorage","Anchorage, AK",1999,7.2,4.1
"AK","Anchorage","Anchorage, AK",2000,1.5,0.4
"AK","Anchorage","Anchorage, AK",2003,0.9,0.2
"AK","Anchorage","Anchorage, AK",2004,1.1,0.6
"AK","Anchorage","Anchorage, AK",2005,1.1,1
"AK","Anchorage","Anchorage, AK",2006,1.9,1
"AK","Anchorage","Anchorage, AK",2007,3,1.5
"AK","Anchorage","Anchorage, AK",2008,14.8,12.3
"AK","Anchorage","Anchorage, AK",2009,5.5,5.6
"AK","Anchorage","Anchorage, AK",2010,7,9.5
"AK","Anchorage","Anchorage, AK",2011,9.2,12.2
"AK","Anchorage","Anchorage, AK",2012,9.3,10.2
"AK","Anchorage","Anchorage, AK",2013,11.8,12.1
"AK","Anchorage","Anchorage, AK",2014,11.3,13.9
"AK","Anchorage","Anchorage, AK",2015,10.4,9.1
"AK","Anchorage","Anchorage, AK",2016,7,7
"AK","Anchorage","Anchorage, AK",2017,3.8,4.3
"AK","Anchorage","Anchorage, AK",2018,3.5,3.6
"AK","Anchorage","Anchorage, AK",2019,3,3.2
"AK","Bethel-Aniak","Bethel-Aniak, AK",1988,14.6,10.3
"AK","Bethel-Aniak","Bethel-Aniak, AK",1990,9.4,4.9
"AK","Bethel-Aniak","Bethel-Aniak, AK",1991,8.4,4
"AK","Bristol Bay (Other)","Bristol Bay (Other), AK",2011,49.4,85.9
"AK","Bristol Bay (Other)","Bristol Bay (Other), AK",2012,55.3,78.9
"AK","Bristol Bay (Other)","Bristol Bay (Other), AK",2013,41.2,64.1
"AK","Bristol Bay (Other)","Bristol Bay (Other), AK",2014,59,82.1
"AK","Bristol Bay (Other)","Bristol Bay (Other), AK",2015,69.6,90.1
"AK","Bristol Bay (Other)","Bristol Bay (Other), AK",2016,54,76
"AK","Bristol Bay (Other)","Bristol Bay (Other), AK",2017,42.5,64.3
"AK","Bristol Bay (Other)","Bristol Bay (Other), AK",2018,70.4,104.4
"AK","Bristol Bay (Other)","Bristol Bay (Other), AK",2019,73.1,128.8
"AK","Cordova","Cordova, AK",1984,NA,10
"AK","Cordova","Cordova, AK",1987,69.6,41.9
"AK","Cordova","Cordova, AK",1988,42.5,46.4
"AK","Cordova","Cordova, AK",1989,55.3,35.3
"AK","Cordova","Cordova, AK",1990,70.8,36.8
"AK","Cordova","Cordova, AK",1991,47.5,19.5
"AK","Cordova","Cordova, AK",1992,32,18.9
"AK","Cordova","Cordova, AK",1993,18.1,10.7
"AK","Cordova","Cordova, AK",1994,60.8,23.6
"AK","Cordova","Cordova, AK",1995,42.5,24.9
"AK","Cordova","Cordova, AK",1996,55.4,27.8
"AK","Cordova","Cordova, AK",1997,59.4,26.4
"AK","Cordova","Cordova, AK",1998,45.4,20.7
"AK","Cordova","Cordova, AK",1999,62.2,30.8
"AK","Cordova","Cordova, AK",2001,78.3,32.5
"AK","Cordova","Cordova, AK",2002,59.2,26.2
"AK","Cordova","Cordova, AK",2003,71,30.3
"AK","Cordova","Cordova, AK",2004,40.5,31.8
"AK","Cordova","Cordova, AK",2005,111.2,46.5
"AK","Cordova","Cordova, AK",2006,45.8,41.8
"AK","Cordova","Cordova, AK",2007,108.8,49.9
"AK","Cordova","Cordova, AK",2008,95.7,50.4
"AK","Cordova","Cordova, AK",2009,45.5,32.8
"AK","Cordova","Cordova, AK",2010,147.7,84.3
"AK","Cordova","Cordova, AK",2011,67.5,68.3
"AK","Cordova","Cordova, AK",2012,83.8,40
"AK","Cordova","Cordova, AK",2013,147.4,91.5
"AK","Cordova","Cordova, AK",2014,85,62.5
"AK","Cordova","Cordova, AK",2015,162,64.5
"AK","Cordova","Cordova, AK",2016,35,38
"AK","Cordova","Cordova, AK",2017,99.2,65.2
"AK","Cordova","Cordova, AK",2018,59.3,54.9
"AK","Cordova","Cordova, AK",2019,95.6,54.9
"AK","Craig","Craig, AK",1990,9,3.9
"AK","Craig","Craig, AK",1991,12.6,3.3
"AK","Craig","Craig, AK",1992,7.4,3.7
"AK","Craig","Craig, AK",1993,11.3,3.2
"AK","Craig","Craig, AK",1999,5.8,2.1
"AK","Craig","Craig, AK",2000,1.3,1.6
"AK","Craig","Craig, AK",2002,1.7,1.7
"AK","Craig","Craig, AK",2003,0.8,1.4
"AK","Craig","Craig, AK",2004,3.1,4.9
"AK","Craig","Craig, AK",2011,4.3,8.1
"AK","Craig","Craig, AK",2012,3.6,6.1
"AK","Craig","Craig, AK",2013,4.9,5.9
"AK","Craig","Craig, AK",2018,2.2,7.4
"AK","Craig","Craig, AK",2019,14.6,11.9
"AK","Dillingham-Togiak","Dillingham-Togiak, AK",1990,24.7,24
"AK","Dillingham-Togiak","Dillingham-Togiak, AK",1991,50.1,29.2
"AK","Dillingham-Togiak","Dillingham-Togiak, AK",2004,28.2,13.3
"AK","Dutch Harbor","Dutch Harbor, AK",1981,73,57.6
"AK","Dutch Harbor","Dutch Harbor, AK",1982,47,47.8
"AK","Dutch Harbor","Dutch Harbor, AK",1983,48.9,36.4
"AK","Dutch Harbor","Dutch Harbor, AK",1984,46.9,20.3
"AK","Dutch Harbor","Dutch Harbor, AK",1985,106.3,21.3
"AK","Dutch Harbor","Dutch Harbor, AK",1986,88.3,37.2
"AK","Dutch Harbor","Dutch Harbor, AK",1987,128.2,62.7
"AK","Dutch Harbor","Dutch Harbor, AK",1988,377.3,100.9
"AK","Dutch Harbor","Dutch Harbor, AK",1989,504.3,107
"AK","Dutch Harbor","Dutch Harbor, AK",1990,509.9,126.2
"AK","Dutch Harbor","Dutch Harbor, AK",1991,731.7,130.6
"AK","Dutch Harbor","Dutch Harbor, AK",1992,740.4,197.9
"AK","Dutch Harbor","Dutch Harbor, AK",1993,793.9,161.2
"AK","Dutch Harbor","Dutch Harbor, AK",1994,699.6,224.1
"AK","Dutch Harbor","Dutch Harbor, AK",1995,684.6,146.2
"AK","Dutch Harbor","Dutch Harbor, AK",1996,579.6,118.7
"AK","Dutch Harbor","Dutch Harbor, AK",1997,587.8,122.6
"AK","Dutch Harbor","Dutch Harbor, AK",1998,597.1,110
"AK","Dutch Harbor","Dutch Harbor, AK",1999,678.3,140.8
"AK","Dutch Harbor","Dutch Harbor, AK",2000,699.8,124.9
"AK","Dutch Harbor","Dutch Harbor, AK",2001,834.5,129.4
"AK","Dutch Harbor","Dutch Harbor, AK",2002,908.1,136.1
"AK","Dutch Harbor","Dutch Harbor, AK",2003,908.7,156.9
"AK","Dutch Harbor","Dutch Harbor, AK",2004,886.8,167.4
"AK","Dutch Harbor","Dutch Harbor, AK",2005,887.6,166.1
"AK","Dutch Harbor","Dutch Harbor, AK",2006,911.3,165.2
"AK","Dutch Harbor","Dutch Harbor, AK",2007,777.1,174.1
"AK","Dutch Harbor","Dutch Harbor, AK",2008,612.7,195
"AK","Dutch Harbor","Dutch Harbor, AK",2009,506.3,159.7
"AK","Dutch Harbor","Dutch Harbor, AK",2010,515.2,163.1
"AK","Dutch Harbor","Dutch Harbor, AK",2011,705.7,246.8
"AK","Dutch Harbor","Dutch Harbor, AK",2012,751.5,214.2
"AK","Dutch Harbor","Dutch Harbor, AK",2013,752.5,197.2
"AK","Dutch Harbor","Dutch Harbor, AK",2014,761.8,191.4
"AK","Dutch Harbor","Dutch Harbor, AK",2015,787.4,218.2
"AK","Dutch Harbor","Dutch Harbor, AK",2016,770,198
"AK","Dutch Harbor","Dutch Harbor, AK",2017,768.7,173
"AK","Dutch Harbor","Dutch Harbor, AK",2018,763,181.9
"AK","Dutch Harbor","Dutch Harbor, AK",2019,763,190.3
"AK","Egegik","Egegik, AK",1990,52.3,53.9
"AK","Egegik","Egegik, AK",2013,4.3,6.3
"AK","Egegik","Egegik, AK",2017,16.2,16.3
"AK","Excursion Inlet","Excursion Inlet, AK",1988,3.5,4.6
"AK","Haines","Haines, AK",1999,7,4.2
"AK","Haines","Haines, AK",2000,9.9,4.1
"AK","Haines","Haines, AK",2001,5.6,2.8
"AK","Haines","Haines, AK",2002,8.5,3
"AK","Haines","Haines, AK",2003,4.8,2.2
"AK","Haines","Haines, AK",2011,0.9,0.8
"AK","Haines","Haines, AK",2012,0.4,0.4
"AK","Haines","Haines, AK",2013,0.3,0.4
"AK","Haines","Haines, AK",2014,0.3,0.6
"AK","Homer","Homer, AK",1984,6.4,5.8
"AK","Homer","Homer, AK",1988,32.1,40.2
"AK","Homer","Homer, AK",1989,20.3,18.2
"AK","Homer","Homer, AK",1991,28.2,19.5
"AK","Homer","Homer, AK",1992,25.9,23.7
"AK","Homer","Homer, AK",1993,13.8,7.9
"AK","Homer","Homer, AK",1994,19.2,17.4
"AK","Homer","Homer, AK",1995,23.3,16.3
"AK","Homer","Homer, AK",1996,21.8,18.9
"AK","Homer","Homer, AK",1997,24.6,19.9
"AK","Homer","Homer, AK",1998,19,18.9
"AK","Homer","Homer, AK",1999,17.4,34.6
"AK","Homer","Homer, AK",2000,18.1,30.9
"AK","Homer","Homer, AK",2001,23,29.4
"AK","Homer","Homer, AK",2002,30.5,39.4
"AK","Homer","Homer, AK",2003,23.2,42.7
"AK","Homer","Homer, AK",2004,18.1,37.1
"AK","Homer","Homer, AK",2005,17.9,35.9
"AK","Homer","Homer, AK",2006,15.6,40.2
"AK","Homer","Homer, AK",2007,15.8,47.8
"AK","Homer","Homer, AK",2008,4,6.4
"AK","Homer","Homer, AK",2009,20.2,43.1
"AK","Homer","Homer, AK",2010,19.9,56.1
"AK","Homer","Homer, AK",2011,13.9,41.7
"AK","Homer","Homer, AK",2012,12.3,30.1
"AK","Homer","Homer, AK",2013,10.3,25.6
"AK","Homer","Homer, AK",2014,7.3,20.5
"AK","Homer","Homer, AK",2015,6.7,18.1
"AK","Homer","Homer, AK",2016,7,20
"AK","Homer","Homer, AK",2017,4,14.4
"AK","Homer","Homer, AK",2018,4.3,13.2
"AK","Homer","Homer, AK",2019,4.8,15.5
"AK","Interior (Other)","Interior (Other), AK",2012,0.6,0.2
"AK","Interior (Other)","Interior (Other), AK",2017,0.9,0.3
"AK","Juneau","Juneau, AK",1988,3.4,7.9
"AK","Juneau","Juneau, AK",1993,2,1.1
"AK","Juneau","Juneau, AK",1996,6.6,9.2
"AK","Juneau","Juneau, AK",1997,5.3,9.2
"AK","Juneau","Juneau, AK",1998,5.8,8.4
"AK","Juneau","Juneau, AK",1999,7.6,14.4
"AK","Juneau","Juneau, AK",2000,6.7,11.6
"AK","Juneau","Juneau, AK",2001,7.9,8.9
"AK","Juneau","Juneau, AK",2002,6.4,9.8
"AK","Juneau","Juneau, AK",2003,8.4,13.5
"AK","Juneau","Juneau, AK",2004,15,19.8
"AK","Juneau","Juneau, AK",2005,18.5,24.2
"AK","Juneau","Juneau, AK",2006,19,23
"AK","Juneau","Juneau, AK",2007,19.5,21.1
"AK","Juneau","Juneau, AK",2008,18.4,16.4
"AK","Juneau","Juneau, AK",2009,16.7,20.3
"AK","Juneau","Juneau, AK",2010,16,23.8
"AK","Juneau","Juneau, AK",2011,18,28.2
"AK","Juneau","Juneau, AK",2012,18.2,26.1
"AK","Juneau","Juneau, AK",2013,20.4,26.5
"AK","Juneau","Juneau, AK",2014,18.5,23
"AK","Juneau","Juneau, AK",2015,16.7,22.5
"AK","Juneau","Juneau, AK",2016,16,23
"AK","Juneau","Juneau, AK",2017,18.2,28.1
"AK","Juneau","Juneau, AK",2018,12,21.4
"AK","Juneau","Juneau, AK",2019,11.1,23
"AK","Kenai","Kenai, AK",1988,47.4,99.3
"AK","Kenai","Kenai, AK",1989,35,56
"AK","Kenai","Kenai, AK",1990,41.9,47.9
"AK","Kenai","Kenai, AK",1991,21.5,13.2
"AK","Kenai","Kenai, AK",1992,71.4,84.4
"AK","Kenai","Kenai, AK",1993,38.1,26.9
"AK","Kenai","Kenai, AK",1994,44.3,35
"AK","Kenai","Kenai, AK",1995,35,25.3
"AK","Kenai","Kenai, AK",1996,37.9,31.6
"AK","Kenai","Kenai, AK",1997,36.5,32.6
"AK","Kenai","Kenai, AK",1998,18.7,10.3
"AK","Kenai","Kenai, AK",1999,19.6,22.9
"AK","Kenai","Kenai, AK",2000,13.5,12.3
"AK","Kenai","Kenai, AK",2001,14.4,10
"AK","Kenai","Kenai, AK",2002,19.6,11.6
"AK","Kenai","Kenai, AK",2003,25.5,16.3
"AK","Kenai","Kenai, AK",2004,21.8,16.3
"AK","Kenai","Kenai, AK",2005,15.9,16.6
"AK","Kenai","Kenai, AK",2006,11.7,10.5
"AK","Kenai","Kenai, AK",2007,11,11.1
"AK","Kenai","Kenai, AK",2008,10.4,10.9
"AK","Kenai","Kenai, AK",2009,12.2,11.5
"AK","Kenai","Kenai, AK",2010,21.2,25.1
"AK","Kenai","Kenai, AK",2011,31.2,40.7
"AK","Kenai","Kenai, AK",2012,28.4,29.9
"AK","Kenai","Kenai, AK",2013,35.6,40.1
"AK","Kenai","Kenai, AK",2014,27.9,34.3
"AK","Kenai","Kenai, AK",2015,49.6,32.5
"AK","Kenai","Kenai, AK",2016,22,25
"AK","Kenai","Kenai, AK",2017,31.9,31.7
"AK","Kenai","Kenai, AK",2018,17.2,17.4
"AK","Kenai","Kenai, AK",2019,23.8,20
"AK","Ketchikan","Ketchikan, AK",1981,52,28.7
"AK","Ketchikan","Ketchikan, AK",1986,42.2,20.6
"AK","Ketchikan","Ketchikan, AK",1987,27.6,22.8
"AK","Ketchikan","Ketchikan, AK",1988,28.3,43.5
"AK","Ketchikan","Ketchikan, AK",1989,91.6,45.6
"AK","Ketchikan","Ketchikan, AK",1990,52.6,28.3
"AK","Ketchikan","Ketchikan, AK",1991,68.5,21.9
"AK","Ketchikan","Ketchikan, AK",1992,70.6,27.8
"AK","Ketchikan","Ketchikan, AK",1993,100.6,27
"AK","Ketchikan","Ketchikan, AK",1994,93.6,29.1
"AK","Ketchikan","Ketchikan, AK",1995,116.7,33.6
"AK","Ketchikan","Ketchikan, AK",1996,136.8,23.7
"AK","Ketchikan","Ketchikan, AK",1997,65.2,19.6
"AK","Ketchikan","Ketchikan, AK",1998,99.9,22.8
"AK","Ketchikan","Ketchikan, AK",1999,159.4,39.9
"AK","Ketchikan","Ketchikan, AK",2000,57.3,20
"AK","Ketchikan","Ketchikan, AK",2001,27,9.6
"AK","Ketchikan","Ketchikan, AK",2002,73.2,12.8
"AK","Ketchikan","Ketchikan, AK",2003,79.8,16.4
"AK","Ketchikan","Ketchikan, AK",2004,96.7,25.8
"AK","Ketchikan","Ketchikan, AK",2005,102.5,23.1
"AK","Ketchikan","Ketchikan, AK",2006,50.3,19.5
"AK","Ketchikan","Ketchikan, AK",2007,83.5,28.6
"AK","Ketchikan","Ketchikan, AK",2008,46,26.1
"AK","Ketchikan","Ketchikan, AK",2009,75.9,32.9
"AK","Ketchikan","Ketchikan, AK",2010,75.7,41.3
"AK","Ketchikan","Ketchikan, AK",2011,100,66.2
"AK","Ketchikan","Ketchikan, AK",2012,74.1,54.4
"AK","Ketchikan","Ketchikan, AK",2013,143.5,76.2
"AK","Ketchikan","Ketchikan, AK",2014,86.5,45.1
"AK","Ketchikan","Ketchikan, AK",2015,84.3,39.6
"AK","Ketchikan","Ketchikan, AK",2016,65,36
"AK","Ketchikan","Ketchikan, AK",2017,77,46.4
"AK","Ketchikan","Ketchikan, AK",2018,37.5,35.8
"AK","Ketchikan","Ketchikan, AK",2019,45.5,29
"AK","Kodiak","Kodiak, AK",1981,193,132.9
"AK","Kodiak","Kodiak, AK",1982,105.3,90.1
"AK","Kodiak","Kodiak, AK",1983,89,60.4
"AK","Kodiak","Kodiak, AK",1984,113.6,69.9
"AK","Kodiak","Kodiak, AK",1985,96.1,65.8
"AK","Kodiak","Kodiak, AK",1986,141.2,89.8
"AK","Kodiak","Kodiak, AK",1987,204.1,132.1
"AK","Kodiak","Kodiak, AK",1988,304.6,166.3
"AK","Kodiak","Kodiak, AK",1989,213.2,100.2
"AK","Kodiak","Kodiak, AK",1990,272.5,101.7
"AK","Kodiak","Kodiak, AK",1991,287.3,96.9
"AK","Kodiak","Kodiak, AK",1992,290.6,107
"AK","Kodiak","Kodiak, AK",1993,374.2,81.5
"AK","Kodiak","Kodiak, AK",1994,307.7,107.6
"AK","Kodiak","Kodiak, AK",1995,362.4,105.4
"AK","Kodiak","Kodiak, AK",1996,202.7,82.3
"AK","Kodiak","Kodiak, AK",1997,277.5,88.6
"AK","Kodiak","Kodiak, AK",1998,357.6,78.7
"AK","Kodiak","Kodiak, AK",1999,331.6,100.8
"AK","Kodiak","Kodiak, AK",2000,289.6,94.7
"AK","Kodiak","Kodiak, AK",2001,285.5,74.4
"AK","Kodiak","Kodiak, AK",2002,250.4,63.3
"AK","Kodiak","Kodiak, AK",2003,262.9,81.5
"AK","Kodiak","Kodiak, AK",2004,317.4,94
"AK","Kodiak","Kodiak, AK",2005,337.2,95.8
"AK","Kodiak","Kodiak, AK",2006,332.8,101.4
"AK","Kodiak","Kodiak, AK",2007,320,126
"AK","Kodiak","Kodiak, AK",2008,250.9,98.7
"AK","Kodiak","Kodiak, AK",2009,282.9,103.8
"AK","Kodiak","Kodiak, AK",2010,325.3,128.1
"AK","Kodiak","Kodiak, AK",2011,371.7,182.2
"AK","Kodiak","Kodiak, AK",2012,393,170.3
"AK","Kodiak","Kodiak, AK",2013,425.6,153.6
"AK","Kodiak","Kodiak, AK",2014,477.1,143.1
"AK","Kodiak","Kodiak, AK",2015,513.9,137.5
"AK","Kodiak","Kodiak, AK",2016,417,107
"AK","Kodiak","Kodiak, AK",2017,530.4,152
"AK","Kodiak","Kodiak, AK",2018,390.5,104.4
"AK","Kodiak","Kodiak, AK",2019,397.2,119.9
"AK","Naknek","Naknek, AK",1990,90.4,91.1
"AK","Naknek","Naknek, AK",1991,44.8,28.8
"AK","Naknek","Naknek, AK",1992,19.1,4
"AK","Naknek","Naknek, AK",1993,78.7,43.5
"AK","Naknek","Naknek, AK",1994,100.4,61.5
"AK","Naknek","Naknek, AK",1995,120.9,84.3
"AK","Naknek","Naknek, AK",1997,41.5,27.6
"AK","Naknek","Naknek, AK",1998,34.1,29.5
"AK","Naknek","Naknek, AK",1999,62.3,46.5
"AK","Naknek","Naknek, AK",2000,63.1,37.3
"AK","Naknek","Naknek, AK",2001,33.9,13.2
"AK","Naknek","Naknek, AK",2002,9.8,4.3
"AK","Naknek","Naknek, AK",2003,21,10.4
"AK","Naknek","Naknek, AK",2004,92.6,42.5
"AK","Naknek","Naknek, AK",2005,105.3,54.3
"AK","Naknek","Naknek, AK",2006,105.7,51.4
"AK","Naknek","Naknek, AK",2007,115.6,61.8
"AK","Naknek","Naknek, AK",2008,105.2,65.3
"AK","Naknek","Naknek, AK",2009,119.4,76.1
"AK","Naknek","Naknek, AK",2010,124.1,100.9
"AK","Naknek","Naknek, AK",2011,99.2,99.9
"AK","Naknek","Naknek, AK",2012,86.5,77.8
"AK","Naknek","Naknek, AK",2013,78.3,88.6
"AK","Naknek","Naknek, AK",2014,133,135.1
"AK","Naknek","Naknek, AK",2015,175.5,68.5
"AK","Naknek","Naknek, AK",2016,170,108
"AK","Naknek","Naknek, AK",2017,186.5,154
"AK","Naknek","Naknek, AK",2018,190.7,195.4
"AK","Naknek","Naknek, AK",2019,206.1,288.8
"AK","Norton/Kotzebue Sound","Norton/Kotzebue Sound, AK",2013,2.9,3.8
"AK","Norton/Kotzebue Sound","Norton/Kotzebue Sound, AK",2014,2.7,4.3
"AK","Norton/Kotzebue Sound","Norton/Kotzebue Sound, AK",2016,3,9
"AK","Norton/Kotzebue Sound","Norton/Kotzebue Sound, AK",2017,4.1,8.6
"AK","Norton/Kotzebue Sound","Norton/Kotzebue Sound, AK",2018,4.3,6.5
"AK","Norton/Kotzebue Sound","Norton/Kotzebue Sound, AK",2019,2.7,3.4
"AK","Pelican","Pelican, AK",1988,4.9,8.4
"AK","Petersburg","Petersburg, AK",1981,39,22
"AK","Petersburg","Petersburg, AK",1982,38.8,19.6
"AK","Petersburg","Petersburg, AK",1983,50.3,19.3
"AK","Petersburg","Petersburg, AK",1984,54.1,24.9
"AK","Petersburg","Petersburg, AK",1986,85.2,38.1
"AK","Petersburg","Petersburg, AK",1987,42.4,36.9
"AK","Petersburg","Petersburg, AK",1988,50.4,58.5
"AK","Petersburg","Petersburg, AK",1989,113.5,61.4
"AK","Petersburg","Petersburg, AK",1990,67.5,39.4
"AK","Petersburg","Petersburg, AK",1991,90.3,34.6
"AK","Petersburg","Petersburg, AK",1992,85.2,37.3
"AK","Petersburg","Petersburg, AK",1993,110.2,32.8
"AK","Petersburg","Petersburg, AK",1994,126.3,43.4
"AK","Petersburg","Petersburg, AK",1995,83,44.8
"AK","Petersburg","Petersburg, AK",1996,105,36.4
"AK","Petersburg","Petersburg, AK",1997,70.1,29.3
"AK","Petersburg","Petersburg, AK",1998,73,26.1
"AK","Petersburg","Petersburg, AK",1999,99.2,34.1
"AK","Petersburg","Petersburg, AK",2000,32.3,19.4
"AK","Petersburg","Petersburg, AK",2001,51.2,22.4
"AK","Petersburg","Petersburg, AK",2002,53.7,19
"AK","Petersburg","Petersburg, AK",2003,88.9,24.1
"AK","Petersburg","Petersburg, AK",2004,102.6,36.1
"AK","Petersburg","Petersburg, AK",2005,94.9,37.1
"AK","Petersburg","Petersburg, AK",2006,58.2,35.4
"AK","Petersburg","Petersburg, AK",2007,75.4,41.7
"AK","Petersburg","Petersburg, AK",2008,34.7,26.8
"AK","Petersburg","Petersburg, AK",2009,55.4,30.7
"AK","Petersburg","Petersburg, AK",2010,49.9,36.3
"AK","Petersburg","Petersburg, AK",2011,101.1,68.8
"AK","Petersburg","Petersburg, AK",2012,52,50
"AK","Petersburg","Petersburg, AK",2013,122.6,73
"AK","Petersburg","Petersburg, AK",2014,64.7,50.9
"AK","Petersburg","Petersburg, AK",2015,69.6,39.3
"AK","Petersburg","Petersburg, AK",2016,41,37
"AK","Petersburg","Petersburg, AK",2017,64.8,51.7
"AK","Petersburg","Petersburg, AK",2018,35.3,44.7
"AK","Petersburg","Petersburg, AK",2019,32.2,37.5
"AK","Pilot Point-Ugashik","Pilot Point-Ugashik, AK",1990,12.7,13
"AK","Port Moller","Port Moller, AK",1984,18.3,11.5
"AK","Port Moller","Port Moller, AK",1985,19.5,18.1
"AK","Seward","Seward, AK",1988,23,19.5
"AK","Seward","Seward, AK",1989,34.2,23.1
"AK","Seward","Seward, AK",1990,51.2,29.1
"AK","Seward","Seward, AK",1991,44.6,24.5
"AK","Seward","Seward, AK",1992,24.2,8.4
"AK","Seward","Seward, AK",1993,17.6,6.6
"AK","Seward","Seward, AK",1994,30.7,16.6
"AK","Seward","Seward, AK",1995,24.4,24.3
"AK","Seward","Seward, AK",1996,29.2,25.5
"AK","Seward","Seward, AK",1997,32.8,27.8
"AK","Seward","Seward, AK",1998,45,26.3
"AK","Seward","Seward, AK",1999,41.8,41.5
"AK","Seward","Seward, AK",2000,28.6,35.8
"AK","Seward","Seward, AK",2001,43.8,30.5
"AK","Seward","Seward, AK",2002,38.2,31.1
"AK","Seward","Seward, AK",2003,43.6,39.4
"AK","Seward","Seward, AK",2004,38.6,43.6
"AK","Seward","Seward, AK",2005,60.5,52.2
"AK","Seward","Seward, AK",2006,36.8,51
"AK","Seward","Seward, AK",2007,71.8,57
"AK","Seward","Seward, AK",2008,36.5,23.2
"AK","Seward","Seward, AK",2009,29.3,33.1
"AK","Seward","Seward, AK",2010,75.4,69.2
"AK","Seward","Seward, AK",2011,50,76.7
"AK","Seward","Seward, AK",2012,54,62.1
"AK","Seward","Seward, AK",2013,84.3,69.7
"AK","Seward","Seward, AK",2014,52.4,52.7
"AK","Seward","Seward, AK",2015,94.4,59.3
"AK","Seward","Seward, AK",2016,27,42
"AK","Seward","Seward, AK",2017,50.5,59.9
"AK","Seward","Seward, AK",2018,28.7,43.7
"AK","Seward","Seward, AK",2019,44.3,36.6
"AK","Sitka","Sitka, AK",1984,39.8,26.8
"AK","Sitka","Sitka, AK",1986,25.2,21.8
"AK","Sitka","Sitka, AK",1987,27.1,33.6
"AK","Sitka","Sitka, AK",1988,27.7,37.4
"AK","Sitka","Sitka, AK",1989,30.3,24.2
"AK","Sitka","Sitka, AK",1990,24.4,22.1
"AK","Sitka","Sitka, AK",1991,27.4,26.2
"AK","Sitka","Sitka, AK",1992,36.3,22.8
"AK","Sitka","Sitka, AK",1993,26.3,14.3
"AK","Sitka","Sitka, AK",1994,32.4,24.3
"AK","Sitka","Sitka, AK",1995,31,32.4
"AK","Sitka","Sitka, AK",1996,32,33
"AK","Sitka","Sitka, AK",1997,21.3,28.2
"AK","Sitka","Sitka, AK",1998,19.3,24.3
"AK","Sitka","Sitka, AK",1999,36.2,32.6
"AK","Sitka","Sitka, AK",2000,95.5,44.6
"AK","Sitka","Sitka, AK",2001,64.4,27.9
"AK","Sitka","Sitka, AK",2002,69.6,28.1
"AK","Sitka","Sitka, AK",2003,34.6,24.8
"AK","Sitka","Sitka, AK",2004,37.3,40.1
"AK","Sitka","Sitka, AK",2005,38.1,44.7
"AK","Sitka","Sitka, AK",2006,46.9,53.2
"AK","Sitka","Sitka, AK",2007,55.5,50.8
"AK","Sitka","Sitka, AK",2008,52.7,48.2
"AK","Sitka","Sitka, AK",2009,78.4,51.3
"AK","Sitka","Sitka, AK",2010,74.6,62.2
"AK","Sitka","Sitka, AK",2011,113.2,86.5
"AK","Sitka","Sitka, AK",2012,67.1,66.2
