"tsn","level","sci_name","kingdom","phylum","class","order","family","genus","species"
"169362","Species","Seriphus politus","Animalia","Chordata","Teleostei","Perciformes","Sciaenidae","Seriphus","Seriphus politus"
"169364","Species","Aplodinotus grunniens","Animalia","Chordata","Teleostei","Perciformes","Sciaenidae","Aplodinotus","Aplodinotus grunniens"
"169387","Species","Atractoscion nobilis","Animalia","Chordata","Teleostei","Perciformes","Sciaenidae","Atractoscion","Atractoscion nobilis"
"169406","Family","Mullidae","Animalia","Chordata","Teleostei","Perciformes","Mullidae",NA,NA
"169408","Species","Mulloidichthys martinicus","Animalia","Chordata","Teleostei","Perciformes","Mullidae","Mulloidichthys","Mulloidichthys martinicus"
"169409","Species","Mulloidichthys flavolineatus","Animalia","Chordata","Teleostei","Perciformes","Mullidae","Mulloidichthys","Mulloidichthys flavolineatus"
"169411","Species","Mulloidichthys vanicolensis","Animalia","Chordata","Teleostei","Perciformes","Mullidae","Mulloidichthys","Mulloidichthys vanicolensis"
"169421","Species","Pseudupeneus maculatus","Animalia","Chordata","Teleostei","Perciformes","Mullidae","Pseudupeneus","Pseudupeneus maculatus"
"169442","Species","Upeneus arge","Animalia","Chordata","Teleostei","Perciformes","Mullidae","Upeneus","Upeneus arge"
"169451","Species","Parupeneus pleurostigma","Animalia","Chordata","Teleostei","Perciformes","Mullidae","Parupeneus","Parupeneus pleurostigma"
"169452","Species","Parupeneus porphyreus","Animalia","Chordata","Teleostei","Perciformes","Mullidae","Parupeneus","Parupeneus porphyreus"
"169453","Species","Parupeneus multifasciatus","Animalia","Chordata","Teleostei","Perciformes","Mullidae","Parupeneus","Parupeneus multifasciatus"
"169454","Species","Parupeneus chrysonemus","Animalia","Chordata","Teleostei","Perciformes","Mullidae","Parupeneus","Parupeneus chrysonemus"
"169456","Species","Parupeneus cyclostomus","Animalia","Chordata","Teleostei","Perciformes","Mullidae","Parupeneus","Parupeneus cyclostomus"
"169459","Species","Parupeneus trifasciatus","Animalia","Chordata","Teleostei","Perciformes","Mullidae","Parupeneus","Parupeneus trifasciatus"
"169472","Species","Pempheris schomburgkii","Animalia","Chordata","Teleostei","Perciformes","Pempheridae","Pempheris","Pempheris schomburgkii"
"169503","Family","Kyphosidae","Animalia","Chordata","Teleostei","Perciformes","Kyphosidae",NA,NA
"169504","Genus","Kyphosus","Animalia","Chordata","Teleostei","Perciformes","Kyphosidae","Kyphosus",NA
"169505","Species","Kyphosus incisor","Animalia","Chordata","Teleostei","Perciformes","Kyphosidae","Kyphosus","Kyphosus incisor"
"169507","Species","Kyphosus cinerascens","Animalia","Chordata","Teleostei","Perciformes","Kyphosidae","Kyphosus","Kyphosus cinerascens"
"169508","Species","Kyphosus bigibbus","Animalia","Chordata","Teleostei","Perciformes","Kyphosidae","Kyphosus","Kyphosus bigibbus"
"169509","Species","Kyphosus vaigiensis","Animalia","Chordata","Teleostei","Perciformes","Kyphosidae","Kyphosus","Kyphosus vaigiensis"
"169515","Species","Girella nigricans","Animalia","Chordata","Teleostei","Perciformes","Kyphosidae","Girella","Girella nigricans"
"169520","Species","Hermosilla azurea","Animalia","Chordata","Teleostei","Perciformes","Kyphosidae","Hermosilla","Hermosilla azurea"
"169522","Species","Medialuna californiensis","Animalia","Chordata","Teleostei","Perciformes","Kyphosidae","Medialuna","Medialuna californiensis"
"169539","Species","Chaetodipterus faber","Animalia","Chordata","Teleostei","Perciformes","Ephippidae","Chaetodipterus","Chaetodipterus faber"
"169554","Family","Chaetodontidae","Animalia","Chordata","Teleostei","Perciformes","Chaetodontidae",NA,NA
"169555","Genus","Chaetodon","Animalia","Chordata","Teleostei","Perciformes","Chaetodontidae","Chaetodon",NA
"169556","Species","Chaetodon ocellatus","Animalia","Chordata","Teleostei","Perciformes","Chaetodontidae","Chaetodon","Chaetodon ocellatus"
"169558","Species","Chaetodon capistratus","Animalia","Chordata","Teleostei","Perciformes","Chaetodontidae","Chaetodon","Chaetodon capistratus"
"169562","Species","Chaetodon sedentarius","Animalia","Chordata","Teleostei","Perciformes","Chaetodontidae","Chaetodon","Chaetodon sedentarius"
"169563","Species","Chaetodon striatus","Animalia","Chordata","Teleostei","Perciformes","Chaetodontidae","Chaetodon","Chaetodon striatus"
"169571","Species","Chaetodon lunula","Animalia","Chordata","Teleostei","Perciformes","Chaetodontidae","Chaetodon","Chaetodon lunula"
"169578","Species","Chaetodon unimaculatus","Animalia","Chordata","Teleostei","Perciformes","Chaetodontidae","Chaetodon","Chaetodon unimaculatus"
"169593","Species","Prognathodes aculeatus","Animalia","Chordata","Teleostei","Perciformes","Chaetodontidae","Prognathodes","Prognathodes aculeatus"
"169611","Species","Centropyge argi","Animalia","Chordata","Teleostei","Perciformes","Pomacanthidae","Centropyge","Centropyge argi"
"169623","Species","Holacanthus ciliaris","Animalia","Chordata","Teleostei","Perciformes","Pomacanthidae","Holacanthus","Holacanthus ciliaris"
"169625","Species","Holacanthus tricolor","Animalia","Chordata","Teleostei","Perciformes","Pomacanthidae","Holacanthus","Holacanthus tricolor"
"169626","Species","Holacanthus bermudensis","Animalia","Chordata","Teleostei","Perciformes","Pomacanthidae","Holacanthus","Holacanthus bermudensis"
"169632","Species","Pomacanthus arcuatus","Animalia","Chordata","Teleostei","Perciformes","Pomacanthidae","Pomacanthus","Pomacanthus arcuatus"
"169633","Species","Pomacanthus paru","Animalia","Chordata","Teleostei","Perciformes","Pomacanthidae","Pomacanthus","Pomacanthus paru"
"169663","Species","Forcipiger flavissimus","Animalia","Chordata","Teleostei","Perciformes","Chaetodontidae","Forcipiger","Forcipiger flavissimus"
"169725","Species","Polycentropsis abbreviata","Animalia","Chordata","Teleostei","Perciformes","Polycentridae","Polycentropsis","Polycentropsis abbreviata"
"169735","Family","Embiotocidae","Animalia","Chordata","Teleostei","Perciformes","Embiotocidae",NA,NA
"169737","Species","Brachyistius frenatus","Animalia","Chordata","Teleostei","Perciformes","Embiotocidae","Brachyistius","Brachyistius frenatus"
"169739","Species","Cymatogaster aggregata","Animalia","Chordata","Teleostei","Perciformes","Embiotocidae","Cymatogaster","Cymatogaster aggregata"
"169744","Species","Embiotoca lateralis","Animalia","Chordata","Teleostei","Perciformes","Embiotocidae","Embiotoca","Embiotoca lateralis"
"169745","Species","Embiotoca jacksoni","Animalia","Chordata","Teleostei","Perciformes","Embiotocidae","Embiotoca","Embiotoca jacksoni"
"169747","Species","Hyperprosopon argenteum","Animalia","Chordata","Teleostei","Perciformes","Embiotocidae","Hyperprosopon","Hyperprosopon argenteum"
"169748","Species","Hyperprosopon ellipticum","Animalia","Chordata","Teleostei","Perciformes","Embiotocidae","Hyperprosopon","Hyperprosopon ellipticum"
"169749","Species","Hyperprosopon anale","Animalia","Chordata","Teleostei","Perciformes","Embiotocidae","Hyperprosopon","Hyperprosopon anale"
"169751","Species","Phanerodon furcatus","Animalia","Chordata","Teleostei","Perciformes","Embiotocidae","Phanerodon","Phanerodon furcatus"
"169752","Species","Phanerodon atripes","Animalia","Chordata","Teleostei","Perciformes","Embiotocidae","Phanerodon","Phanerodon atripes"
"169754","Species","Rhacochilus vacca","Animalia","Chordata","Teleostei","Perciformes","Embiotocidae","Rhacochilus","Rhacochilus vacca"
"169755","Species","Rhacochilus toxotes","Animalia","Chordata","Teleostei","Perciformes","Embiotocidae","Rhacochilus","Rhacochilus toxotes"
"169757","Species","Amphistichus rhodoterus","Animalia","Chordata","Teleostei","Perciformes","Embiotocidae","Amphistichus","Amphistichus rhodoterus"
"169758","Species","Amphistichus argenteus","Animalia","Chordata","Teleostei","Perciformes","Embiotocidae","Amphistichus","Amphistichus argenteus"
"169759","Species","Amphistichus koelzi","Animalia","Chordata","Teleostei","Perciformes","Embiotocidae","Amphistichus","Amphistichus koelzi"
"169761","Species","Hypsurus caryi","Animalia","Chordata","Teleostei","Perciformes","Embiotocidae","Hypsurus","Hypsurus caryi"
"169765","Species","Micrometrus aurora","Animalia","Chordata","Teleostei","Perciformes","Embiotocidae","Micrometrus","Micrometrus aurora"
"169766","Species","Micrometrus minimus","Animalia","Chordata","Teleostei","Perciformes","Embiotocidae","Micrometrus","Micrometrus minimus"
"169769","Species","Zalembius rosaceus","Animalia","Chordata","Teleostei","Perciformes","Embiotocidae","Zalembius","Zalembius rosaceus"
"169770","Family","Cichlidae","Animalia","Chordata","Teleostei","Perciformes","Cichlidae",NA,NA
"169809","Genus","Tilapia","Animalia","Chordata","Teleostei","Perciformes","Cichlidae","Tilapia",NA
"170014","Genus","Oreochromis","Animalia","Chordata","Teleostei","Perciformes","Cichlidae","Oreochromis",NA
"170044","Family","Pomacentridae","Animalia","Chordata","Teleostei","Perciformes","Pomacentridae",NA,NA
"170046","Species","Abudefduf saxatilis","Animalia","Chordata","Teleostei","Perciformes","Pomacentridae","Abudefduf","Abudefduf saxatilis"
"170048","Species","Abudefduf abdominalis","Animalia","Chordata","Teleostei","Perciformes","Pomacentridae","Abudefduf","Abudefduf abdominalis"
"170049","Species","Abudefduf sordidus","Animalia","Chordata","Teleostei","Perciformes","Pomacentridae","Abudefduf","Abudefduf sordidus"
"170080","Species","Chromis cyanea","Animalia","Chordata","Teleostei","Perciformes","Pomacentridae","Chromis","Chromis cyanea"
"170082","Species","Chromis insolata","Animalia","Chordata","Teleostei","Perciformes","Pomacentridae","Chromis","Chromis insolata"
"170084","Species","Chromis multilineata","Animalia","Chordata","Teleostei","Perciformes","Pomacentridae","Chromis","Chromis multilineata"
