"tsn","level","sci_name","class","family","genus","infrakingdom","infraorder","infraphylum","kingdom","order","phylum","species","subfamily","subkingdom","suborder","subphylum","superclass","division","variety","subclass","subdivision","superphylum","subgenus","superorder","tribe","superfamily","infraclass","superdivision","subspecies"
"159829","Species","Notorynchus cepedianus","Chondrichthyes","Notorynchidae","Notorynchus","Deuterostomia",NA,"Gnathostomata","Animalia","Hexanchiformes","Chordata","Notorynchus cepedianus",NA,"Bilateria",NA,"Vertebrata","Chondrichthyes",NA,NA,"Elasmobranchii",NA,NA,NA,"Euselachii",NA,NA,NA,NA,NA
"159851","Order","Lamniformes","Chondrichthyes",NA,NA,"Deuterostomia",NA,"Gnathostomata","Animalia","Lamniformes","Chordata",NA,NA,"Bilateria",NA,"Vertebrata","Chondrichthyes",NA,NA,"Elasmobranchii",NA,NA,NA,"Euselachii",NA,NA,NA,NA,NA
"159888","Species","Carcharias taurus","Chondrichthyes","Odontaspididae","Carcharias","Deuterostomia",NA,"Gnathostomata","Animalia","Lamniformes","Chordata","Carcharias taurus",NA,"Bilateria",NA,"Vertebrata","Chondrichthyes",NA,NA,"Elasmobranchii",NA,NA,NA,"Euselachii",NA,NA,NA,NA,NA
"159901","Family","Lamnidae","Chondrichthyes","Lamnidae",NA,"Deuterostomia",NA,"Gnathostomata","Animalia","Lamniformes","Chordata",NA,NA,"Bilateria",NA,"Vertebrata","Chondrichthyes",NA,NA,"Elasmobranchii",NA,NA,NA,"Euselachii",NA,NA,NA,NA,NA
"159903","Species","Carcharodon carcharias","Chondrichthyes","Lamnidae","Carcharodon","Deuterostomia",NA,"Gnathostomata","Animalia","Lamniformes","Chordata","Carcharodon carcharias",NA,"Bilateria",NA,"Vertebrata","Chondrichthyes",NA,NA,"Elasmobranchii",NA,NA,NA,"Euselachii",NA,NA,NA,NA,NA
"159907","Species","Cetorhinus maximus","Chondrichthyes","Cetorhinidae","Cetorhinus","Deuterostomia",NA,"Gnathostomata","Animalia","Lamniformes","Chordata","Cetorhinus maximus",NA,"Bilateria",NA,"Vertebrata","Chondrichthyes",NA,NA,"Elasmobranchii",NA,NA,NA,"Euselachii",NA,NA,NA,NA,NA
"159910","Species","Lamna ditropis","Chondrichthyes","Lamnidae","Lamna","Deuterostomia",NA,"Gnathostomata","Animalia","Lamniformes","Chordata","Lamna ditropis",NA,"Bilateria",NA,"Vertebrata","Chondrichthyes",NA,NA,"Elasmobranchii",NA,NA,NA,"Euselachii",NA,NA,NA,NA,NA
"159911","Species","Lamna nasus","Chondrichthyes","Lamnidae","Lamna","Deuterostomia",NA,"Gnathostomata","Animalia","Lamniformes","Chordata","Lamna nasus",NA,"Bilateria",NA,"Vertebrata","Chondrichthyes",NA,NA,"Elasmobranchii",NA,NA,NA,"Euselachii",NA,NA,NA,NA,NA
"159915","Genus","Alopias","Chondrichthyes","Alopiidae","Alopias","Deuterostomia",NA,"Gnathostomata","Animalia","Lamniformes","Chordata",NA,NA,"Bilateria",NA,"Vertebrata","Chondrichthyes",NA,NA,"Elasmobranchii",NA,NA,NA,"Euselachii",NA,NA,NA,NA,NA
"159916","Species","Alopias vulpinus","Chondrichthyes","Alopiidae","Alopias","Deuterostomia",NA,"Gnathostomata","Animalia","Lamniformes","Chordata","Alopias vulpinus",NA,"Bilateria",NA,"Vertebrata","Chondrichthyes",NA,NA,"Elasmobranchii",NA,NA,NA,"Euselachii",NA,NA,NA,NA,NA
"159921","Species","Alopias superciliosus","Chondrichthyes","Alopiidae","Alopias","Deuterostomia",NA,"Gnathostomata","Animalia","Lamniformes","Chordata","Alopias superciliosus",NA,"Bilateria",NA,"Vertebrata","Chondrichthyes",NA,NA,"Elasmobranchii",NA,NA,NA,"Euselachii",NA,NA,NA,NA,NA
"159923","Genus","Isurus","Chondrichthyes","Lamnidae","Isurus","Deuterostomia",NA,"Gnathostomata","Animalia","Lamniformes","Chordata",NA,NA,"Bilateria",NA,"Vertebrata","Chondrichthyes",NA,NA,"Elasmobranchii",NA,NA,NA,"Euselachii",NA,NA,NA,NA,NA
"159924","Species","Isurus oxyrinchus","Chondrichthyes","Lamnidae","Isurus","Deuterostomia",NA,"Gnathostomata","Animalia","Lamniformes","Chordata","Isurus oxyrinchus",NA,"Bilateria",NA,"Vertebrata","Chondrichthyes",NA,NA,"Elasmobranchii",NA,NA,NA,"Euselachii",NA,NA,NA,NA,NA
"159926","Species","Isurus paucus","Chondrichthyes","Lamnidae","Isurus","Deuterostomia",NA,"Gnathostomata","Animalia","Lamniformes","Chordata","Isurus paucus",NA,"Bilateria",NA,"Vertebrata","Chondrichthyes",NA,NA,"Elasmobranchii",NA,NA,NA,"Euselachii",NA,NA,NA,NA,NA
"159977","Species","Ginglymostoma cirratum","Chondrichthyes","Ginglymostomatidae","Ginglymostoma","Deuterostomia",NA,"Gnathostomata","Animalia","Orectolobiformes","Chordata","Ginglymostoma cirratum",NA,"Bilateria",NA,"Vertebrata","Chondrichthyes",NA,NA,"Elasmobranchii",NA,NA,NA,"Euselachii",NA,NA,NA,NA,NA
"159988","Species","Apristurus brunneus","Chondrichthyes","Scyliorhinidae","Apristurus","Deuterostomia",NA,"Gnathostomata","Animalia","Carcharhiniformes","Chordata","Apristurus brunneus",NA,"Bilateria",NA,"Vertebrata","Chondrichthyes",NA,NA,"Elasmobranchii",NA,NA,NA,"Euselachii",NA,NA,NA,NA,NA
"160060","Species","Scyliorhinus retifer","Chondrichthyes","Scyliorhinidae","Scyliorhinus","Deuterostomia",NA,"Gnathostomata","Animalia","Carcharhiniformes","Chordata","Scyliorhinus retifer",NA,"Bilateria",NA,"Vertebrata","Chondrichthyes",NA,NA,"Elasmobranchii",NA,NA,NA,"Euselachii",NA,NA,NA,NA,NA
"160089","Species","Cephaloscyllium ventriosum","Chondrichthyes","Scyliorhinidae","Cephaloscyllium","Deuterostomia",NA,"Gnathostomata","Animalia","Carcharhiniformes","Chordata","Cephaloscyllium ventriosum",NA,"Bilateria",NA,"Vertebrata","Chondrichthyes",NA,NA,"Elasmobranchii",NA,NA,NA,"Euselachii",NA,NA,NA,NA,NA
"160178","Family","Carcharhinidae","Chondrichthyes","Carcharhinidae",NA,"Deuterostomia",NA,"Gnathostomata","Animalia","Carcharhiniformes","Chordata",NA,NA,"Bilateria",NA,"Vertebrata","Chondrichthyes",NA,NA,"Elasmobranchii",NA,NA,NA,"Euselachii",NA,NA,NA,NA,NA
"160181","Species","Galeorhinus galeus","Chondrichthyes","Triakidae","Galeorhinus","Deuterostomia",NA,"Gnathostomata","Animalia","Carcharhiniformes","Chordata","Galeorhinus galeus",NA,"Bilateria",NA,"Vertebrata","Chondrichthyes",NA,NA,"Elasmobranchii",NA,NA,NA,"Euselachii",NA,NA,NA,NA,NA
"160189","Species","Galeocerdo cuvier","Chondrichthyes","Carcharhinidae","Galeocerdo","Deuterostomia",NA,"Gnathostomata","Animalia","Carcharhiniformes","Chordata","Galeocerdo cuvier",NA,"Bilateria",NA,"Vertebrata","Chondrichthyes",NA,NA,"Elasmobranchii",NA,NA,NA,"Euselachii",NA,NA,NA,NA,NA
"160200","Species","Rhizoprionodon terraenovae","Chondrichthyes","Carcharhinidae","Rhizoprionodon","Deuterostomia",NA,"Gnathostomata","Animalia","Carcharhiniformes","Chordata","Rhizoprionodon terraenovae",NA,"Bilateria",NA,"Vertebrata","Chondrichthyes",NA,NA,"Elasmobranchii",NA,NA,NA,"Euselachii",NA,NA,NA,NA,NA
"160226","Genus","Mustelus","Chondrichthyes","Triakidae","Mustelus","Deuterostomia",NA,"Gnathostomata","Animalia","Carcharhiniformes","Chordata",NA,NA,"Bilateria",NA,"Vertebrata","Chondrichthyes",NA,NA,"Elasmobranchii",NA,NA,NA,"Euselachii",NA,NA,NA,NA,NA
"160230","Species","Mustelus canis","Chondrichthyes","Triakidae","Mustelus","Deuterostomia",NA,"Gnathostomata","Animalia","Carcharhiniformes","Chordata","Mustelus canis",NA,"Bilateria",NA,"Vertebrata","Chondrichthyes",NA,NA,"Elasmobranchii",NA,NA,NA,"Euselachii",NA,NA,NA,NA,NA
"160234","Species","Mustelus norrisi","Chondrichthyes","Triakidae","Mustelus","Deuterostomia",NA,"Gnathostomata","Animalia","Carcharhiniformes","Chordata","Mustelus norrisi",NA,"Bilateria",NA,"Vertebrata","Chondrichthyes",NA,NA,"Elasmobranchii",NA,NA,NA,"Euselachii",NA,NA,NA,NA,NA
"160235","Species","Mustelus californicus","Chondrichthyes","Triakidae","Mustelus","Deuterostomia",NA,"Gnathostomata","Animalia","Carcharhiniformes","Chordata","Mustelus californicus",NA,"Bilateria",NA,"Vertebrata","Chondrichthyes",NA,NA,"Elasmobranchii",NA,NA,NA,"Euselachii",NA,NA,NA,NA,NA
"160236","Species","Mustelus henlei","Chondrichthyes","Triakidae","Mustelus","Deuterostomia",NA,"Gnathostomata","Animalia","Carcharhiniformes","Chordata","Mustelus henlei",NA,"Bilateria",NA,"Vertebrata","Chondrichthyes",NA,NA,"Elasmobranchii",NA,NA,NA,"Euselachii",NA,NA,NA,NA,NA
"160239","Species","Mustelus lunulatus","Chondrichthyes","Triakidae","Mustelus","Deuterostomia",NA,"Gnathostomata","Animalia","Carcharhiniformes","Chordata","Mustelus lunulatus",NA,"Bilateria",NA,"Vertebrata","Chondrichthyes",NA,NA,"Elasmobranchii",NA,NA,NA,"Euselachii",NA,NA,NA,NA,NA
"160267","Genus","Carcharhinus","Chondrichthyes","Carcharhinidae","Carcharhinus","Deuterostomia",NA,"Gnathostomata","Animalia","Carcharhiniformes","Chordata",NA,NA,"Bilateria",NA,"Vertebrata","Chondrichthyes",NA,NA,"Elasmobranchii",NA,NA,NA,"Euselachii",NA,NA,NA,NA,NA
"160268","Species","Carcharhinus obscurus","Chondrichthyes","Carcharhinidae","Carcharhinus","Deuterostomia",NA,"Gnathostomata","Animalia","Carcharhiniformes","Chordata","Carcharhinus obscurus",NA,"Bilateria",NA,"Vertebrata","Chondrichthyes",NA,NA,"Elasmobranchii",NA,NA,NA,"Euselachii",NA,NA,NA,NA,NA
"160275","Species","Carcharhinus leucas","Chondrichthyes","Carcharhinidae","Carcharhinus","Deuterostomia",NA,"Gnathostomata","Animalia","Carcharhiniformes","Chordata","Carcharhinus leucas",NA,"Bilateria",NA,"Vertebrata","Chondrichthyes",NA,NA,"Elasmobranchii",NA,NA,NA,"Euselachii",NA,NA,NA,NA,NA
"160289","Species","Carcharhinus plumbeus","Chondrichthyes","Carcharhinidae","Carcharhinus","Deuterostomia",NA,"Gnathostomata","Animalia","Carcharhiniformes","Chordata","Carcharhinus plumbeus",NA,"Bilateria",NA,"Vertebrata","Chondrichthyes",NA,NA,"Elasmobranchii",NA,NA,NA,"Euselachii",NA,NA,NA,NA,NA
"160304","Species","Carcharhinus acronotus","Chondrichthyes","Carcharhinidae","Carcharhinus","Deuterostomia",NA,"Gnathostomata","Animalia","Carcharhiniformes","Chordata","Carcharhinus acronotus",NA,"Bilateria",NA,"Vertebrata","Chondrichthyes",NA,NA,"Elasmobranchii",NA,NA,NA,"Euselachii",NA,NA,NA,NA,NA
