"port_complex","port","port_long","lat_dd1","long_dd1","lat_dd2","long_dd2","lat_dd3","long_dd3"
"Los Angeles","Wilmington","Wilmington, California",NA,NA,NA,NA,33.7857948,-118.2643567
"San Diego","Oceanside","Oceanside, California",33.211667,-117.325833,33.1958696,-117.3794834,33.1958696,-117.3794834
"Monterey","Big Creek","Big Creek, California",36.0701,-121.6004,37.2048997,-119.2460242,37.2048997,-119.2460242
"Monterey","Mill Creek","Mill Creek, California",NA,NA,40.3603384,-121.4934599,40.3603384,-121.4934599
"Monterey","Monterey","Monterey, California",36.603056,-121.893611,36.6002378,-121.8946761,36.6002378,-121.8946761
"Monterey","Moss Landing","Moss Landing, California",36.804444,-121.786944,36.8044003,-121.7868953,36.8044003,-121.7868953
"Monterey","Santa Cruz","Santa Cruz, California",36.971944,-122.026389,36.9741171,-122.0307963,36.9741171,-122.0307963
"Morro Bay","Avila/Port San Luis","Avila/Port San Luis, California",35.199167,-120.720833,35.1787763,-120.7343817,35.1787763,-120.7343817
"Morro Bay","Morro Bay","Morro Bay, California",35.365833,-120.85,35.3659445,-120.8499924,35.3659445,-120.8499924
"Morro Bay","San Simeon","San Simeon, California",35.643889,-121.189722,35.6440143,-121.1893211,35.6440143,-121.1893211
"Sacramento Delta","Rio Vista","Rio Vista, California",NA,NA,NA,NA,38.1557502,-121.6913439
"Sacramento Delta","Stockton","Stockton, California",NA,NA,NA,NA,37.9577016,-121.2907796
"San Diego","Chula Vista","Chula Vista, California",NA,NA,NA,NA,32.6400541,-117.0841955
"San Diego","Imperial Beach","Imperial Beach, California",NA,NA,NA,NA,32.5839444,-117.1130849
"San Diego","La Jolla","La Jolla, California",NA,NA,NA,NA,32.8328112,-117.2712717
"San Diego","Mission Bay","Mission Bay, California",NA,NA,NA,NA,32.7805494,-117.2426259
"San Diego","National City","National City, California",NA,NA,NA,NA,32.6781085,-117.0991967
"San Diego","Point Loma","Point Loma, California",NA,NA,NA,NA,32.70003,-117.2466838
"San Diego","San Diego","San Diego, California",32.715,-117.1625,32.715738,-117.1610838,32.715738,-117.1610838
"San Francisco","Alameda","Alameda, California",37.756111,-122.274444,37.7798721,-122.2821855,37.7798721,-122.2821855
"San Francisco","Alviso","Alviso, California",37.425,-121.966667,NA,NA,37.4261669,-121.9761384
"San Francisco","Berkeley","Berkeley, California",37.871667,-122.272778,37.8715226,-122.273042,37.8715226,-122.273042
"San Francisco","China Camp","China Camp, California",37.999167,-122.488333,NA,NA,38.001253,-122.4910747
"San Francisco","Emeryville","Emeryville, California",37.831389,-122.285278,NA,NA,37.8395028,-122.2892278
"San Francisco","Oakland","Oakland, California",37.804444,-122.270833,37.8043514,-122.2711639,37.8043514,-122.2711639
"San Francisco","Petaluma","Petaluma, California",38.245833,-122.631389,NA,NA,38.232417,-122.6366524
"San Francisco","Princeton/Half Moon Bay","Princeton/Half Moon Bay, California",NA,NA,NA,NA,37.5049409,-122.4869222
"San Francisco","Redwood City","Redwood City, California",37.482778,-122.236111,NA,NA,37.4847955,-122.228141
"San Francisco","Richmond","Richmond, California",37.935833,-122.347778,37.9357576,-122.3477486,37.9357576,-122.3477486
"San Francisco","Rodeo","Rodeo, California",38.033056,-122.266944,NA,NA,38.032977,-122.2669138
"San Francisco","San Francisco","San Francisco, California",37.783333,-122.416667,37.7749295,-122.4194155,37.7749295,-122.4194155
"San Francisco","San Leandro","San Leandro, California",37.725,-122.156111,NA,NA,37.7257663,-122.1568554
"San Francisco","San Rafael","San Rafael, California",37.973611,-122.531111,NA,NA,37.9735346,-122.5310874
"San Francisco","Sausalito","Sausalito, California",37.859167,-122.485278,37.8590937,-122.4852507,37.8590937,-122.4852507
"San Francisco","South San Francisco","South San Francisco, California",37.656111,-122.425556,NA,NA,37.654656,-122.4077498
"San Francisco","Vallejo","Vallejo, California",38.113056,-122.235833,NA,NA,38.1040864,-122.2566367
"Santa Barbara","Gaviota Beach","Gaviota Beach, California",34.47167,-120.21389,NA,NA,34.4707557,-120.2276364
"Santa Barbara","Goleta Beach","Goleta Beach, California",NA,NA,NA,NA,34.4168342,-119.8322099
"Santa Barbara","Guadalupe Beach","Guadalupe Beach, California",NA,NA,NA,NA,34.9651314,-120.6504714
"Santa Barbara","Oxnard","Oxnard, California",34.191389,-119.1825,34.1975048,-119.1770516,34.1975048,-119.1770516
"Santa Barbara","Port Hueneme","Port Hueneme, California",34.160278,-119.194444,34.1477829,-119.1951074,34.1477829,-119.1951074
"Santa Barbara","Santa Barbara Harbor","Santa Barbara Harbor, California",NA,NA,NA,NA,34.4035586,-119.6936253
"Santa Barbara","Surf Beach","Surf Beach, California",NA,NA,NA,NA,34.6831139,-120.6064278
"Santa Barbara","Ventura","Ventura, California",34.275,-119.227778,34.2804923,-119.2945199,34.2804923,-119.2945199
