"LANDING_YEAR","AGENCY_CODE","MANAGEMENT_GROUP_CODE","COMPLEX","PACFIN_SPECIES_COMMON_NAME","PACFIN_SPECIES_CODE","EXVESSEL_REVENUE","LANDED_WEIGHT_PPP","LANDED_WEIGHT_MTONS","CONFIDENTIAL_FLAG"
"2000","AT-SEA","GRND","ROCK","YELLOWMOUTH ROCKFISH","YMTH",0,0,.1,""
"2000","AT-SEA","GRND","ROCK","YELLOWTAIL ROCKFISH","YTRK",0,0,248.6,""
"2000","AT-SEA","GRND","ROND","LINGCOD","LCOD",0,0,.2,""
"2000","AT-SEA","GRND","ROND","PACIFIC COD","PCOD",0,0,.2,""
"2000","AT-SEA","GRND","ROND","WALLEYE POLLOCK","PLCK",,,,"*"
"2000","AT-SEA","GRND","ROND","PACIFIC WHITING","PWHT",13448631,.05,120579.7,""
"2000","AT-SEA","GRND","ROND","SABLEFISH","SABL",0,0,19.2,""
"2000","AT-SEA","OTHR","....","MISC. FISH/ANIMALS","MISC",0,0,8.3,""
"2000","AT-SEA","OTHR","....","MISC. FISH","MSC2",0,0,3.3,""
"2000","AT-SEA","OTHR","....","UNSP. OCTOPUS","OCTP",,,,"*"
"2000","AT-SEA","OTHR","....","OTHER SHARK","OSRK",0,0,1.2,""
"2000","AT-SEA","OTHR","....","PACIFIC POMFRET","POMF",,,,"*"
"2000","AT-SEA","OTHR","....","UNSP. SHAD","SHAD",0,0,43.8,""
"2000","AT-SEA","OTHR","....","UNSP. SMELT","SMLT",,,,"*"
"2000","AT-SEA","OTHR","....","UNSP. SQUID","SQID",0,0,25.4,""
"2000","AT-SEA","OTHR","....","UNSP. SHARK","USRK",,,,"*"
"2000","AT-SEA","OTHR","ECHN","UNSP. ECHINODERM","UECH",,,,"*"
"2000","AT-SEA","SRMP","....","UNSP. OCEAN SHRIMP","USRM",,,,"*"
"2000","AT-SEA","XXXX","","WITHHELD FOR CONFIDENTIALITY**","",0,,19.7,""
"2001","AT-SEA","CPEL","WETF","CHUB MACKEREL","CMCK",0,0,6.3,""
"2001","AT-SEA","CPEL","WETF","JACK MACKEREL","JMCK",0,0,35,""
"2001","AT-SEA","CPEL","WETF","PACIFIC SARDINE","PSDN",,,,"*"
"2001","AT-SEA","GRND","....","PACIFIC FLATNOSE","PFNS",,,,"*"
"2001","AT-SEA","GRND","FLAT","ARROWTOOTH FLOUNDER","ARTH",0,0,2.3,""
"2001","AT-SEA","GRND","FLAT","DOVER SOLE","DOVR",0,0,1.1,""
"2001","AT-SEA","GRND","FLAT","ENGLISH SOLE","EGLS",,,,"*"
"2001","AT-SEA","GRND","FLAT","FLATHEAD SOLE","FSOL",,,,"*"
"2001","AT-SEA","GRND","FLAT","PACIFIC SANDDAB","PDAB",,,,"*"
"2001","AT-SEA","GRND","FLAT","REX SOLE","REX",0,0,13.8,""
"2001","AT-SEA","GRND","FLAT","SLENDER SOLE","SLNS",,,,"*"
"2001","AT-SEA","GRND","MGRN","SPINY DOGFISH","DSRK",0,0,30.9,""
"2001","AT-SEA","GRND","MGRN","UNSP. GRENADIERS","GRDR",,,,"*"
"2001","AT-SEA","GRND","MGRN","SOUPFIN SHARK","SSRK",,,,"*"
"2001","AT-SEA","GRND","MGRN","UNSP. SKATE","USKT",0,0,.3,""
"2001","AT-SEA","GRND","ROCK","AURORA ROCKFISH","ARRA",,,,"*"
"2001","AT-SEA","GRND","ROCK","BANK ROCKFISH","BANK",,,,"*"
"2001","AT-SEA","GRND","ROCK","BOCACCIO","BCAC",0,0,.2,""
"2001","AT-SEA","GRND","ROCK","CHILIPEPPER ROCKFISH","CLPR",0,0,.6,""
"2001","AT-SEA","GRND","ROCK","CANARY ROCKFISH","CNRY",0,0,2.8,""
"2001","AT-SEA","GRND","ROCK","DARKBLOTCHED ROCKFISH","DBRK",0,0,6.4,""
"2001","AT-SEA","GRND","ROCK","PACIFIC OCEAN PERCH","POP",0,0,9.6,""
"2001","AT-SEA","GRND","ROCK","REDBANDED ROCKFISH","RDBD",,,,"*"
"2001","AT-SEA","GRND","ROCK","REDSTRIPE ROCKFISH","REDS",0,0,.4,""
"2001","AT-SEA","GRND","ROCK","ROUGHEYE ROCKFISH","REYE",0,0,11.7,""
"2001","AT-SEA","GRND","ROCK","SHORTBELLY ROCKFISH","SBLY",0,0,26.7,""
"2001","AT-SEA","GRND","ROCK","SHARPCHIN ROCKFISH","SHRP",0,0,.7,""
"2001","AT-SEA","GRND","ROCK","SILVERGRAY ROCKFISH","SLGR",,,,"*"
"2001","AT-SEA","GRND","ROCK","SPLITNOSE ROCKFISH","SNOS",0,0,10.1,""
"2001","AT-SEA","GRND","ROCK","SHORTRAKER ROCKFISH","SRKR",,,,"*"
"2001","AT-SEA","GRND","ROCK","SHORTSPINE THORNYHEAD","SSPN",0,0,8.4,""
"2001","AT-SEA","GRND","ROCK","STRIPETAIL ROCKFISH","STRK",,,,"*"
"2001","AT-SEA","GRND","ROCK","UNSP. ROCKFISH","URCK",,,,"*"
"2001","AT-SEA","GRND","ROCK","WIDOW ROCKFISH","WDOW",0,0,45.9,""
"2001","AT-SEA","GRND","ROCK","YELLOWMOUTH ROCKFISH","YMTH",,,,"*"
"2001","AT-SEA","GRND","ROCK","YELLOWTAIL ROCKFISH","YTRK",0,0,129.8,""
"2001","AT-SEA","GRND","ROND","LINGCOD","LCOD",0,0,.2,""
"2001","AT-SEA","GRND","ROND","PACIFIC COD","PCOD",,,,"*"
"2001","AT-SEA","GRND","ROND","WALLEYE POLLOCK","PLCK",,,,"*"
"2001","AT-SEA","GRND","ROND","PACIFIC WHITING","PWHT",7634758,.03,100079.4,""
"2001","AT-SEA","GRND","ROND","SABLEFISH","SABL",0,0,19.3,""
"2001","AT-SEA","HMSP","....","BLUE SHARK","BSRK",,,,"*"
"2001","AT-SEA","OTHR","....","BLACK EELPOUT","BLPT",,,,"*"
"2001","AT-SEA","OTHR","....","MISC. FISH/ANIMALS","MISC",0,0,.3,""
"2001","AT-SEA","OTHR","....","MISC. FISH","MSC2",0,0,4.7,""
"2001","AT-SEA","OTHR","....","UNSP. OCTOPUS","OCTP",,,,"*"
"2001","AT-SEA","OTHR","....","OTHER SHARK","OSRK",0,0,5.4,""
"2001","AT-SEA","OTHR","....","UNSP. SHAD","SHAD",0,0,1,""
"2001","AT-SEA","OTHR","....","UNSP. SMELT","SMLT",,,,"*"
"2001","AT-SEA","OTHR","....","UNSP. SQUID","SQID",0,0,44.6,""
"2001","AT-SEA","OTHR","ECHN","UNSP. ECHINODERM","UECH",,,,"*"
"2001","AT-SEA","OTHR","ECHN","UNSP. SEA CUCUMBERS","USCU",,,,"*"
"2001","AT-SEA","SRMP","....","UNSP. OCEAN SHRIMP","USRM",0,0,0,""
"2001","AT-SEA","XXXX","","WITHHELD FOR CONFIDENTIALITY**","",0,,367.5,""
"2002","AT-SEA","CPEL","WETF","CHUB MACKEREL","CMCK",0,0,0,""
"2002","AT-SEA","CPEL","WETF","JACK MACKEREL","JMCK",0,0,5.7,""
"2002","AT-SEA","CPEL","WETF","PACIFIC SARDINE","PSDN",,,,"*"
"2002","AT-SEA","GRND","FLAT","ARROWTOOTH FLOUNDER","ARTH",0,0,1.2,""
"2002","AT-SEA","GRND","FLAT","DOVER SOLE","DOVR",,,,"*"
"2002","AT-SEA","GRND","FLAT","ENGLISH SOLE","EGLS",0,0,0,""
"2002","AT-SEA","GRND","FLAT","FLATHEAD SOLE","FSOL",,,,"*"
"2002","AT-SEA","GRND","FLAT","REX SOLE","REX",0,0,2.9,""
"2002","AT-SEA","GRND","FLAT","SLENDER SOLE","SLNS",,,,"*"
"2002","AT-SEA","GRND","MGRN","SPINY DOGFISH","DSRK",0,0,1.5,""
"2002","AT-SEA","GRND","MGRN","UNSP. SKATE","USKT",,,,"*"
"2002","AT-SEA","GRND","ROCK","BANK ROCKFISH","BANK",,,,"*"
"2002","AT-SEA","GRND","ROCK","BOCACCIO","BCAC",0,0,.3,""
"2002","AT-SEA","GRND","ROCK","BLACKGILL ROCKFISH","BLGL",,,,"*"
"2002","AT-SEA","GRND","ROCK","CHILIPEPPER ROCKFISH","CLPR",0,0,.9,""
"2002","AT-SEA","GRND","ROCK","CANARY ROCKFISH","CNRY",0,0,3.8,""
"2002","AT-SEA","GRND","ROCK","DARKBLOTCHED ROCKFISH","DBRK",0,0,1.7,""
"2002","AT-SEA","GRND","ROCK","GREENSTRIPED ROCKFISH","GSRK",,,,"*"
"2002","AT-SEA","GRND","ROCK","PACIFIC OCEAN PERCH","POP",0,0,2.5,""
"2002","AT-SEA","GRND","ROCK","REDBANDED ROCKFISH","RDBD",,,,"*"
"2002","AT-SEA","GRND","ROCK","REDSTRIPE ROCKFISH","REDS",0,0,3.9,""
"2002","AT-SEA","GRND","ROCK","ROUGHEYE ROCKFISH","REYE",0,0,.3,""
"2002","AT-SEA","GRND","ROCK","SHORTBELLY ROCKFISH","SBLY",0,0,.2,""
"2002","AT-SEA","GRND","ROCK","SHARPCHIN ROCKFISH","SHRP",0,0,.1,""
"2002","AT-SEA","GRND","ROCK","SILVERGRAY ROCKFISH","SLGR",0,0,.1,""
"2002","AT-SEA","GRND","ROCK","SPLITNOSE ROCKFISH","SNOS",0,0,9.4,""
"2002","AT-SEA","GRND","ROCK","SHORTRAKER ROCKFISH","SRKR",,,,"*"
"2002","AT-SEA","GRND","ROCK","SHORTSPINE THORNYHEAD","SSPN",0,0,11.3,""
"2002","AT-SEA","GRND","ROCK","STRIPETAIL ROCKFISH","STRK",0,0,.6,""
"2002","AT-SEA","GRND","ROCK","UNSP. ROCKFISH","URCK",,,,"*"
"2002","AT-SEA","GRND","ROCK","WIDOW ROCKFISH","WDOW",0,0,76.3,""
"2002","AT-SEA","GRND","ROCK","YELLOWEYE ROCKFISH","YEYE",,,,"*"
"2002","AT-SEA","GRND","ROCK","YELLOWMOUTH ROCKFISH","YMTH",,,,"*"
"2002","AT-SEA","GRND","ROCK","YELLOWTAIL ROCKFISH","YTRK",0,0,182.2,""
"2002","AT-SEA","GRND","ROND","LINGCOD","LCOD",0,0,.1,""
"2002","AT-SEA","GRND","ROND","PACIFIC COD","PCOD",,,,"*"
"2002","AT-SEA","GRND","ROND","WALLEYE POLLOCK","PLCK",,,,"*"
"2002","AT-SEA","GRND","ROND","PACIFIC WHITING","PWHT",8428469,.05,84419.6,""
"2002","AT-SEA","GRND","ROND","SABLEFISH","SABL",0,0,18.7,""
"2002","AT-SEA","OTHR","....","MISC. FISH/ANIMALS","MISC",0,0,.1,""
"2002","AT-SEA","OTHR","....","MISC. FISH","MSC2",0,0,.4,""
"2002","AT-SEA","OTHR","....","UNSP. OCTOPUS","OCTP",,,,"*"
"2002","AT-SEA","OTHR","....","OTHER SHARK","OSRK",0,0,.4,""
"2002","AT-SEA","OTHR","....","UNSP. SHAD","SHAD",0,0,.1,""
"2002","AT-SEA","OTHR","....","UNSP. SMELT","SMLT",,,,"*"
"2002","AT-SEA","OTHR","....","UNSP. SQUID","SQID",0,0,16,""
"2002","AT-SEA","OTHR","....","UNSP. GREENLING","UGLG",,,,"*"
"2002","AT-SEA","OTHR","....","WOLF EEL","WEEL",,,,"*"
"2002","AT-SEA","SRMP","....","UNSP. OCEAN SHRIMP","USRM",,,,"*"
"2002","AT-SEA","XXXX","","WITHHELD FOR CONFIDENTIALITY**","",0,,846.1,""
"2003","AT-SEA","CPEL","WETF","JACK MACKEREL","JMCK",0,0,10,""
"2003","AT-SEA","CPEL","WETF","PACIFIC SARDINE","PSDN",,,,"*"
"2003","AT-SEA","CRAB","....","UNSP. CRAB","UCRB",,,,"*"
"2003","AT-SEA","GRND","FLAT","ARROWTOOTH FLOUNDER","ARTH",0,0,2.4,""
"2003","AT-SEA","GRND","FLAT","DOVER SOLE","DOVR",,,,"*"
"2003","AT-SEA","GRND","FLAT","ENGLISH SOLE","EGLS",,,,"*"
"2003","AT-SEA","GRND","FLAT","FLATHEAD SOLE","FSOL",,,,"*"
"2003","AT-SEA","GRND","FLAT","PETRALE SOLE","PTRL",,,,"*"
"2003","AT-SEA","GRND","FLAT","REX SOLE","REX",0,0,4.6,""
"2003","AT-SEA","GRND","FLAT","SLENDER SOLE","SLNS",,,,"*"
"2003","AT-SEA","GRND","FLAT","SAND SOLE","SSOL",,,,"*"
"2003","AT-SEA","GRND","MGRN","SPINY DOGFISH","DSRK",0,0,2.4,""
"2003","AT-SEA","GRND","MGRN","UNSP. GRENADIERS","GRDR",,,,"*"
"2003","AT-SEA","GRND","MGRN","SPOTTED RATFISH","RATF",,,,"*"
"2003","AT-SEA","GRND","MGRN","UNSP. SKATE","USKT",,,,"*"
"2003","AT-SEA","GRND","ROCK","BOCACCIO","BCAC",,,,"*"
"2003","AT-SEA","GRND","ROCK","BLACKGILL ROCKFISH","BLGL",,,,"*"
"2003","AT-SEA","GRND","ROCK","CHILIPEPPER ROCKFISH","CLPR",0,0,.5,""
"2003","AT-SEA","GRND","ROCK","CANARY ROCKFISH","CNRY",0,0,.8,""
"2003","AT-SEA","GRND","ROCK","DARKBLOTCHED ROCKFISH","DBRK",0,0,3,""
"2003","AT-SEA","GRND","ROCK","GREENSTRIPED ROCKFISH","GSRK",,,,"*"
"2003","AT-SEA","GRND","ROCK","HARLEQUIN ROCKFISH","HLQN",,,,"*"
"2003","AT-SEA","GRND","ROCK","PACIFIC OCEAN PERCH","POP",0,0,1.8,""
"2003","AT-SEA","GRND","ROCK","REDBANDED ROCKFISH","RDBD",,,,"*"
"2003","AT-SEA","GRND","ROCK","REDSTRIPE ROCKFISH","REDS",0,0,5,""
"2003","AT-SEA","GRND","ROCK","ROUGHEYE ROCKFISH","REYE",0,0,1.8,""
"2003","AT-SEA","GRND","ROCK","ROSETHORN ROCKFISH","RSTN",,,,"*"
"2003","AT-SEA","GRND","ROCK","SHORTBELLY ROCKFISH","SBLY",0,0,.4,""
"2003","AT-SEA","GRND","ROCK","SHARPCHIN ROCKFISH","SHRP",,,,"*"
