"source","table","comm_name_orig","comm_name","sci_name","year","landings_n"
"FB 181","Table 7","Bass, kelp","Kelp bass","Paralabrax clathratus",1991,321956
"FB 181","Table 7","Bass, kelp","Kelp bass","Paralabrax clathratus",1992,464017
"FB 181","Table 7","Bass, kelp","Kelp bass","Paralabrax clathratus",1993,355104
"FB 181","Table 7","Bass, kelp","Kelp bass","Paralabrax clathratus",1994,275287
"FB 181","Table 7","Bass, kelp","Kelp bass","Paralabrax clathratus",1995,237195
"FB 181","Table 7","Bass, kelp","Kelp bass","Paralabrax clathratus",1996,293503
"FB 181","Table 7","Bass, kelp","Kelp bass","Paralabrax clathratus",1997,336081
"FB 181","Table 7","Bass, kelp","Kelp bass","Paralabrax clathratus",1998,237850
"FB 181","Table 7","Bass, kelp","Kelp bass","Paralabrax clathratus",1999,133111
"FB 181","Table 7","Lingcod","Lingcod","Ophiodon elongatus",1987,42518
"FB 181","Table 7","Lingcod","Lingcod","Ophiodon elongatus",1988,66778
"FB 181","Table 7","Lingcod","Lingcod","Ophiodon elongatus",1989,76749
"FB 181","Table 7","Lingcod","Lingcod","Ophiodon elongatus",1990,60047
"FB 181","Table 7","Lingcod","Lingcod","Ophiodon elongatus",1991,50111
"FB 181","Table 7","Lingcod","Lingcod","Ophiodon elongatus",1992,43260
"FB 181","Table 7","Lingcod","Lingcod","Ophiodon elongatus",1993,38324
"FB 181","Table 7","Lingcod","Lingcod","Ophiodon elongatus",1994,31112
"FB 181","Table 7","Lingcod","Lingcod","Ophiodon elongatus",1995,33355
"FB 181","Table 7","Lingcod","Lingcod","Ophiodon elongatus",1996,34005
"FB 181","Table 7","Lingcod","Lingcod","Ophiodon elongatus",1997,38441
"FB 181","Table 7","Lingcod","Lingcod","Ophiodon elongatus",1998,20873
"FB 181","Table 7","Lingcod","Lingcod","Ophiodon elongatus",1999,28246
"FB 181","Table 7","Whitefish, ocean","Ocean whitefish","Caulolatilus princeps",1987,34967
"FB 181","Table 7","Whitefish, ocean","Ocean whitefish","Caulolatilus princeps",1988,59698
"FB 181","Table 7","Whitefish, ocean","Ocean whitefish","Caulolatilus princeps",1989,44777
"FB 181","Table 7","Whitefish, ocean","Ocean whitefish","Caulolatilus princeps",1990,45981
"FB 181","Table 7","Whitefish, ocean","Ocean whitefish","Caulolatilus princeps",1991,51605
"FB 181","Table 7","Whitefish, ocean","Ocean whitefish","Caulolatilus princeps",1992,40711
"FB 181","Table 7","Whitefish, ocean","Ocean whitefish","Caulolatilus princeps",1993,44355
"FB 181","Table 7","Whitefish, ocean","Ocean whitefish","Caulolatilus princeps",1994,100598
"FB 181","Table 7","Whitefish, ocean","Ocean whitefish","Caulolatilus princeps",1995,136110
"FB 181","Table 7","Whitefish, ocean","Ocean whitefish","Caulolatilus princeps",1996,113892
"FB 181","Table 7","Whitefish, ocean","Ocean whitefish","Caulolatilus princeps",1997,88962
"FB 181","Table 7","Whitefish, ocean","Ocean whitefish","Caulolatilus princeps",1998,69603
"FB 181","Table 7","Whitefish, ocean","Ocean whitefish","Caulolatilus princeps",1999,141306
"FB 181","Table 7","Bonito, Pacific","Pacific bonito","Sarda chiliensis",1987,518159
"FB 181","Table 7","Bonito, Pacific","Pacific bonito","Sarda chiliensis",1988,251536
"FB 181","Table 7","Bonito, Pacific","Pacific bonito","Sarda chiliensis",1989,339382
"FB 181","Table 7","Bonito, Pacific","Pacific bonito","Sarda chiliensis",1990,265263
"FB 181","Table 7","Bonito, Pacific","Pacific bonito","Sarda chiliensis",1991,116491
"FB 181","Table 7","Bonito, Pacific","Pacific bonito","Sarda chiliensis",1992,115972
"FB 181","Table 7","Bonito, Pacific","Pacific bonito","Sarda chiliensis",1993,139569
"FB 181","Table 7","Bonito, Pacific","Pacific bonito","Sarda chiliensis",1994,105964
"FB 181","Table 7","Bonito, Pacific","Pacific bonito","Sarda chiliensis",1995,40416
"FB 181","Table 7","Bonito, Pacific","Pacific bonito","Sarda chiliensis",1996,74791
"FB 181","Table 7","Bonito, Pacific","Pacific bonito","Sarda chiliensis",1997,104143
"FB 181","Table 7","Bonito, Pacific","Pacific bonito","Sarda chiliensis",1998,58623
"FB 181","Table 7","Bonito, Pacific","Pacific bonito","Sarda chiliensis",1999,2824
"FB 181","Table 7","Mackerel, jack","Pacific jack mackerel","Trachurus symmetricus",1987,3056
"FB 181","Table 7","Mackerel, jack","Pacific jack mackerel","Trachurus symmetricus",1988,21883
"FB 181","Table 7","Mackerel, jack","Pacific jack mackerel","Trachurus symmetricus",1989,4422
"FB 181","Table 7","Mackerel, jack","Pacific jack mackerel","Trachurus symmetricus",1990,8086
"FB 181","Table 7","Mackerel, jack","Pacific jack mackerel","Trachurus symmetricus",1991,4686
"FB 181","Table 7","Mackerel, jack","Pacific jack mackerel","Trachurus symmetricus",1992,1806
"FB 181","Table 7","Mackerel, jack","Pacific jack mackerel","Trachurus symmetricus",1993,7963
"FB 181","Table 7","Mackerel, jack","Pacific jack mackerel","Trachurus symmetricus",1994,5893
"FB 181","Table 7","Mackerel, jack","Pacific jack mackerel","Trachurus symmetricus",1995,6149
"FB 181","Table 7","Mackerel, jack","Pacific jack mackerel","Trachurus symmetricus",1996,7010
"FB 181","Table 7","Mackerel, jack","Pacific jack mackerel","Trachurus symmetricus",1997,9089
"FB 181","Table 7","Mackerel, jack","Pacific jack mackerel","Trachurus symmetricus",1998,5746
"FB 181","Table 7","Mackerel, jack","Pacific jack mackerel","Trachurus symmetricus",1999,5485
"FB 181","Table 7","Mackerel, Pacific","Pacific mackerel","Scomber japonicus",1987,517231
"FB 181","Table 7","Mackerel, Pacific","Pacific mackerel","Scomber japonicus",1988,415796
"FB 181","Table 7","Mackerel, Pacific","Pacific mackerel","Scomber japonicus",1989,363700
"FB 181","Table 7","Mackerel, Pacific","Pacific mackerel","Scomber japonicus",1990,459892
"FB 181","Table 7","Mackerel, Pacific","Pacific mackerel","Scomber japonicus",1991,460122
"FB 181","Table 7","Mackerel, Pacific","Pacific mackerel","Scomber japonicus",1992,327897
"FB 181","Table 7","Mackerel, Pacific","Pacific mackerel","Scomber japonicus",1993,398760
"FB 181","Table 7","Mackerel, Pacific","Pacific mackerel","Scomber japonicus",1994,336412
"FB 181","Table 7","Mackerel, Pacific","Pacific mackerel","Scomber japonicus",1995,274851
"FB 181","Table 7","Mackerel, Pacific","Pacific mackerel","Scomber japonicus",1996,346627
"FB 181","Table 7","Mackerel, Pacific","Pacific mackerel","Scomber japonicus",1997,246848
"FB 181","Table 7","Mackerel, Pacific","Pacific mackerel","Scomber japonicus",1998,136701
"FB 181","Table 7","Mackerel, Pacific","Pacific mackerel","Scomber japonicus",1999,83919
"FB 181","Table 7","Rockfish","Rockfish","Sebastes spp.",1987,1700677
"FB 181","Table 7","Rockfish","Rockfish","Sebastes spp.",1988,1900400
"FB 181","Table 7","Rockfish","Rockfish","Sebastes spp.",1989,2194518
"FB 181","Table 7","Rockfish","Rockfish","Sebastes spp.",1990,2284168
"FB 181","Table 7","Rockfish","Rockfish","Sebastes spp.",1991,2084564
"FB 181","Table 7","Rockfish","Rockfish","Sebastes spp.",1992,2051755
"FB 181","Table 7","Rockfish","Rockfish","Sebastes spp.",1993,1696890
"FB 181","Table 7","Rockfish","Rockfish","Sebastes spp.",1994,1396145
"FB 181","Table 7","Rockfish","Rockfish","Sebastes spp.",1995,1242378
"FB 181","Table 7","Rockfish","Rockfish","Sebastes spp.",1996,1182421
"FB 181","Table 7","Rockfish","Rockfish","Sebastes spp.",1997,1211148
"FB 181","Table 7","Rockfish","Rockfish","Sebastes spp.",1998,1168670
"FB 181","Table 7","Rockfish","Rockfish","Sebastes spp.",1999,1300880
"FB 181","Table 7","Salmon","Salmon","Oncorhynchus spp.",1987,126242
"FB 181","Table 7","Salmon","Salmon","Oncorhynchus spp.",1988,113230
"FB 181","Table 7","Salmon","Salmon","Oncorhynchus spp.",1989,111136
"FB 181","Table 7","Salmon","Salmon","Oncorhynchus spp.",1990,88345
"FB 181","Table 7","Salmon","Salmon","Oncorhynchus spp.",1991,53694
"FB 181","Table 7","Salmon","Salmon","Oncorhynchus spp.",1992,43384
"FB 181","Table 7","Salmon","Salmon","Oncorhynchus spp.",1993,69643
"FB 181","Table 7","Salmon","Salmon","Oncorhynchus spp.",1994,98894
"FB 181","Table 7","Salmon","Salmon","Oncorhynchus spp.",1995,140546
"FB 181","Table 7","Salmon","Salmon","Oncorhynchus spp.",1996,66230
"FB 181","Table 7","Salmon","Salmon","Oncorhynchus spp.",1997,113387
"FB 181","Table 7","Salmon","Salmon","Oncorhynchus spp.",1998,58354
"FB 181","Table 7","Salmon","Salmon","Oncorhynchus spp.",1999,35819
"FB 181","Table 7","Seabass, white","White seabass","Atractoscion nobilis",1987,626
"FB 181","Table 7","Seabass, white","White seabass","Atractoscion nobilis",1988,2386
"FB 181","Table 7","Seabass, white","White seabass","Atractoscion nobilis",1989,1365
"FB 181","Table 7","Seabass, white","White seabass","Atractoscion nobilis",1990,2565
"FB 181","Table 7","Seabass, white","White seabass","Atractoscion nobilis",1991,1743
"FB 181","Table 7","Seabass, white","White seabass","Atractoscion nobilis",1992,701
"FB 181","Table 7","Seabass, white","White seabass","Atractoscion nobilis",1993,1403
"FB 181","Table 7","Seabass, white","White seabass","Atractoscion nobilis",1994,2485
"FB 181","Table 7","Seabass, white","White seabass","Atractoscion nobilis",1995,4383
"FB 181","Table 7","Seabass, white","White seabass","Atractoscion nobilis",1996,1556
"FB 181","Table 7","Seabass, white","White seabass","Atractoscion nobilis",1997,1644
"FB 181","Table 7","Seabass, white","White seabass","Atractoscion nobilis",1998,1287
"FB 181","Table 7","Seabass, white","White seabass","Atractoscion nobilis",1999,11861
"FB 181","Table 7","Yellowtail","Yellowtail (amberjack)","Seriola lalandi",1987,58540
"FB 181","Table 7","Yellowtail","Yellowtail (amberjack)","Seriola lalandi",1988,68081
"FB 181","Table 7","Yellowtail","Yellowtail (amberjack)","Seriola lalandi",1989,61746
"FB 181","Table 7","Yellowtail","Yellowtail (amberjack)","Seriola lalandi",1990,70573
"FB 181","Table 7","Yellowtail","Yellowtail (amberjack)","Seriola lalandi",1991,14271
"FB 181","Table 7","Yellowtail","Yellowtail (amberjack)","Seriola lalandi",1992,40868
"FB 181","Table 7","Yellowtail","Yellowtail (amberjack)","Seriola lalandi",1993,35681
"FB 181","Table 7","Yellowtail","Yellowtail (amberjack)","Seriola lalandi",1994,19665
"FB 181","Table 7","Yellowtail","Yellowtail (amberjack)","Seriola lalandi",1995,30854
"FB 181","Table 7","Yellowtail","Yellowtail (amberjack)","Seriola lalandi",1996,72562
"FB 181","Table 7","Yellowtail","Yellowtail (amberjack)","Seriola lalandi",1997,407861
"FB 181","Table 7","Yellowtail","Yellowtail (amberjack)","Seriola lalandi",1998,255153
"FB 181","Table 7","Yellowtail","Yellowtail (amberjack)","Seriola lalandi",1999,80179
