"source","table","year","port_complex","category","comm_name_orig","presentation","landings_lb","landings_kg","value_usd"
"FB 181","Table 5a",1987,"Bodega Bay","Fish","Sole, petrale","whole",78895,35786.174606214,45248
"FB 181","Table 5a",1987,"Bodega Bay","Fish","Sole, rex","whole",132020,59883.2723431443,43553
"FB 181","Table 5a",1987,"Bodega Bay","Fish","Sole, rock","whole",6,2.72155456793566,4
"FB 181","Table 5a",1987,"Bodega Bay","Fish","Sole, sand","whole",406,184.158525763646,254
"FB 181","Table 5a",1987,"Bodega Bay","Fish","Stickleback, threespine","whole",498,225.88902913866,3474
"FB 181","Table 5a",1987,"Bodega Bay","Fish","Surfperch, redtail","whole",50,22.6796213994638,25
"FB 181","Table 5a",1987,"Bodega Bay","Fish","Surfperch, unspecified","whole",1112,504.394779924075,772
"FB 181","Table 5a",1987,"Bodega Bay","Fish","Swordfish","whole",21812,9893.7580393021,92059
"FB 181","Table 5a",1987,"Bodega Bay","Fish","Thornyheads (unspecified)","whole",209622,95082.9519399681,66749
"FB 181","Table 5a",1987,"Bodega Bay","Fish","Tuna, albacore","whole",67849,30775.7926466444,45177
"FB 181","Table 5a",1987,"Bodega Bay","Fish","Turbot","whole",435,197.312706175335,144
"FB 181","Table 5a",1987,"Bodega Bay","Fish","Whiting, Pacific","whole",18027,8176.91069936269,1082
"FB 181","Table 5a",1987,"Bodega Bay","Fish","Yellowtail","whole",11,4.98951670788204,4
"FB 181","Table 5a",1987,"Bodega Bay","Mollusks","Abalone, black","whole",3180,1442.4239210059,8903
"FB 181","Table 5a",1987,"Bodega Bay","Mollusks","Abalone, red","whole",11,4.98951670788204,42
"FB 181","Table 5a",1987,"Bodega Bay","Mollusks","Clam, unspecified","whole",19,8.61825613179625,19
"FB 181","Table 5a",1987,"Bodega Bay","Mollusks","Limpet, unspecified","whole",318,144.24239210059,318
"FB 181","Table 5a",1987,"Bodega Bay","Mollusks","Octopus, unspecified","whole",278,126.098694981019,295
"FB 181","Table 5a",1987,"Bodega Bay","Rockfish","Rockfish, black","whole",55,24.9475835394102,55
"FB 181","Table 5a",1987,"Bodega Bay","Rockfish","Rockfish, copper","whole",3457,1568.06902355893,2272
"FB 181","Table 5a",1987,"Bodega Bay","Rockfish","Rockfish, group bocaccio/chilipepper","whole",90817,41193.9035327021,45004
"FB 181","Table 5a",1987,"Bodega Bay","Rockfish","Rockfish, group bolina","whole",23405,10616.330777089,16287
"FB 181","Table 5a",1987,"Bodega Bay","Rockfish","Rockfish, group gopher","whole",3230,1465.10354240536,1506
"FB 181","Table 5a",1987,"Bodega Bay","Rockfish","Rockfish, group red","whole",81595,37010.874161785,54404
"FB 181","Table 5a",1987,"Bodega Bay","Rockfish","Rockfish, group rosefish","whole",65423,29675.3774163424,16400
"FB 181","Table 5a",1987,"Bodega Bay","Rockfish","Rockfish, group small","whole",12411,5629.53562377491,3996
"FB 181","Table 5a",1987,"Bodega Bay","Rockfish","Rockfish, Pacific ocean perch","whole",13,5.89670156386059,7
"FB 181","Table 5a",1987,"Bodega Bay","Rockfish","Rockfish, unspecified","whole",1254687,569116.522696581,422682
"FB 181","Table 5a",1987,"Bodega Bay","Rockfish","Rockfish, widow","whole",278272,126222.072121432,83294
"FB 181","Table 5a",1987,"Bodega Bay","Rockfish","Rockfish, yelloweye","whole",507,229.971360990563,456
"FB 181","Table 5a",1987,"Bodega Bay","Rockfish","Rockfish, yellowtail","whole",196,88.9041158858982,70
"FB 181","Table 5a",1987,"Fort Bragg","Crustaceans","Crab, Dungeness","whole",374461,169852.674177292,526430
"FB 181","Table 5a",1987,"Fort Bragg","Crustaceans","Crab, rock unspecified","whole",2303,1044.6233616593,2851
"FB 181","Table 5a",1987,"Fort Bragg","Crustaceans","Shrimp, Pacific Ocean","whole",658162,298537.299590278,488344
"FB 181","Table 5a",1987,"Fort Bragg","Echinoderms","Urchin, red","whole",17808808,8077940.46031485,3666550
"FB 181","Table 5a",1987,"Fort Bragg","Fish","Cod, Pacific","whole",19817,8988.84114546349,4977
"FB 181","Table 5a",1987,"Fort Bragg","Fish","Eel, wolf (wolf-eel)","whole",20,9.07184855978553,9
"FB 181","Table 5a",1987,"Fort Bragg","Fish","Fish, unspecified","whole",279,126.552287409008,80
"FB 181","Table 5a",1987,"Fort Bragg","Fish","Flounder, arrowtooth","whole",186,84.3681916060054,27
"FB 181","Table 5a",1987,"Fort Bragg","Fish","Flounder, starry","whole",5,2.26796213994638,2
"FB 181","Table 5a",1987,"Fort Bragg","Fish","Flounder, unspecified","whole",16,7.25747884782842,6
"FB 181","Table 5a",1987,"Fort Bragg","Fish","Grenadiers","whole",13004,5898.51593357255,1964
"FB 181","Table 5a",1987,"Fort Bragg","Fish","Halibut, California","whole",119,53.9774989307239,235
"FB 181","Table 5a",1987,"Fort Bragg","Fish","Halibut, Pacific","whole",61576,27930.4073458677,121957
"FB 181","Table 5a",1987,"Fort Bragg","Fish","Lingcod","whole",489619,222087.470999682,168198
"FB 181","Table 5a",1987,"Fort Bragg","Fish","Mackerel, jack","whole",3,1.36077728396783,0.2
"FB 181","Table 5a",1987,"Fort Bragg","Fish","Mackerel, unspecified","whole",38,17.2365122635925,7
"FB 181","Table 5a",1987,"Fort Bragg","Fish","Opah","whole",10,4.53592427989276,4
"FB 181","Table 5a",1987,"Fort Bragg","Fish","Sablefish","whole",2301254,1043831.38928003,994582
"FB 181","Table 5a",1987,"Fort Bragg","Fish","Salmon","whole",14706,6670.5302460103,40525
"FB 181","Table 5a",1987,"Fort Bragg","Fish","Salmon, Chinook","whole",2614366,1185856.62159261,6823342
"FB 181","Table 5a",1987,"Fort Bragg","Fish","Salmon, coho","whole",109939,49867.4979407131,220721
"FB 181","Table 5a",1987,"Fort Bragg","Fish","Salmon, pink","whole",2367,1073.65327705062,1669
"FB 181","Table 5a",1987,"Fort Bragg","Fish","Sanddab","whole",24910,11298.9873812129,8079
"FB 181","Table 5a",1987,"Fort Bragg","Fish","Shark, blue","whole",22,9.97903341576408,9
"FB 181","Table 5a",1987,"Fort Bragg","Fish","Shark, sixgill","whole",55,24.9475835394102,110
"FB 181","Table 5a",1987,"Fort Bragg","Fish","Shark, soupfin","whole",2854,1294.55278948139,3743
"FB 181","Table 5a",1987,"Fort Bragg","Fish","Sharks, cow","whole",71,32.2050623872386,71
"FB 181","Table 5a",1987,"Fort Bragg","Fish","Skate, unspecified","whole",1735,786.982862561394,451
"FB 181","Table 5a",1987,"Fort Bragg","Fish","Smelt, night","whole",391,177.354639343807,117
"FB 181","Table 5a",1987,"Fort Bragg","Fish","Smelt, whitebait","whole",1344,609.628223217587,407
"FB 181","Table 5a",1987,"Fort Bragg","Fish","Smelts, true","whole",40,18.1436971195711,6
"FB 181","Table 5a",1987,"Fort Bragg","Fish","Sole, Dover","whole",2647212,1200755.31848235,810231
"FB 181","Table 5a",1987,"Fort Bragg","Fish","Sole, English","whole",341480,154892.742309778,118635
"FB 181","Table 5a",1987,"Fort Bragg","Fish","Sole, fantail","whole",16927,7677.95902857448,1425
"FB 181","Table 5a",1987,"Fort Bragg","Fish","Sole, petrale","whole",305088,138385.606670392,217174
"FB 181","Table 5a",1987,"Fort Bragg","Fish","Sole, rex","whole",300604,136351.698223288,106769
"FB 181","Table 5a",1987,"Fort Bragg","Fish","Sole, rock","whole",3347,1518.17385648011,1399
"FB 181","Table 5a",1987,"Fort Bragg","Fish","Sole, sand","whole",1528,693.089229967614,1055
"FB 181","Table 5a",1987,"Fort Bragg","Fish","Sole, unspecified","whole",20,9.07184855978553,7
"FB 181","Table 5a",1987,"Fort Bragg","Fish","Surfperch, redtail","whole",9,4.08233185190349,7
"FB 181","Table 5a",1987,"Fort Bragg","Fish","Surfperch, unspecified","whole",15612,7081.48498576858,4665
"FB 181","Table 5a",1987,"Fort Bragg","Fish","Thornyheads (unspecified)","whole",833352,378002.157049719,264052
"FB 181","Table 5a",1987,"Fort Bragg","Fish","Tuna, albacore","whole",66305,30075.445937829,48431
"FB 181","Table 5a",1987,"Fort Bragg","Fish","Turbot","whole",1725,782.446938281502,568
"FB 181","Table 5a",1987,"Fort Bragg","Fish","Whiting, Pacific","whole",1308,593.298895809973,78
"FB 181","Table 5a",1987,"Fort Bragg","Mollusks","Octopus, unspecified","whole",708,321.143439016408,546
"FB 181","Table 5a",1987,"Fort Bragg","Mollusks","Squid, market","whole",160,72.5747884782842,15
"FB 181","Table 5a",1987,"Fort Bragg","Rockfish","Rockfish, black","whole",3227,1463.74276512139,2105
"FB 181","Table 5a",1987,"Fort Bragg","Rockfish","Rockfish, canary","whole",3094,1403.41497219882,1982
"FB 181","Table 5a",1987,"Fort Bragg","Rockfish","Rockfish, copper","whole",942,427.284067165898,377
"FB 181","Table 5a",1987,"Fort Bragg","Rockfish","Rockfish, group bocaccio/chilipepper","whole",25936,11764.3732123299,8976
"FB 181","Table 5a",1987,"Fort Bragg","Rockfish","Rockfish, group bolina","whole",80,36.2873942391421,72
"FB 181","Table 5a",1987,"Fort Bragg","Rockfish","Rockfish, group gopher","whole",14,6.35029399184987,17
"FB 181","Table 5a",1987,"Fort Bragg","Rockfish","Rockfish, group red","whole",480007,217727.540581849,170945
"FB 181","Table 5a",1987,"Fort Bragg","Rockfish","Rockfish, group rosefish","whole",73974,33554.0462680787,22344
"FB 181","Table 5a",1987,"Fort Bragg","Rockfish","Rockfish, group small","whole",5066,2297.89924019367,1578
"FB 181","Table 5a",1987,"Fort Bragg","Rockfish","Rockfish, speckled","whole",307,139.252875392708,184
"FB 181","Table 5a",1987,"Fort Bragg","Rockfish","Rockfish, unspecified","whole",1919965,870881.586004431,612886
"FB 181","Table 5a",1987,"Fort Bragg","Rockfish","Rockfish, widow","whole",666970,302532.541696008,212098
"FB 181","Table 5a",1987,"Fort Bragg","Rockfish","Rockfish, yelloweye","whole",33044,14988.5081904776,22851
"FB 181","Table 5a",1987,"Fort Bragg","Rockfish","Rockfish, yellowtail","whole",5756,2610.87801550627,3970
"FB 181","Table 5a",1987,"Los Angeles","Crustaceans","Crab, claws","claws",6907,3132.96290012193,2267
"FB 181","Table 5a",1987,"Los Angeles","Crustaceans","Crab, Dungeness","whole",3431,1556.27562043121,3791
"FB 181","Table 5a",1987,"Los Angeles","Crustaceans","Crab, rock unspecified","whole",847345,384349.275894573,773664
"FB 181","Table 5a",1987,"Los Angeles","Crustaceans","Crab, shore","whole",8,3.62873942391421,140
"FB 181","Table 5a",1987,"Los Angeles","Crustaceans","Crab, spider","whole",45241,20520.9750346628,21020
"FB 181","Table 5a",1987,"Los Angeles","Crustaceans","Crustacean, unspecified","whole",27,12.2469955557105,533
"FB 181","Table 5a",1987,"Los Angeles","Crustaceans","Lobster, California spiny","whole",146849,66609.5944577972,711688
"FB 181","Table 5a",1987,"Los Angeles","Crustaceans","Prawn, ridgeback","whole",18824,8538.42386447014,19261
"FB 181","Table 5a",1987,"Los Angeles","Crustaceans","Prawn, spot","whole",13992,6346.66525242596,73666
"FB 181","Table 5a",1987,"Los Angeles","Crustaceans","Shrimp, coonstriped","whole",1483,672.677570708097,5647
"FB 181","Table 5a",1987,"Los Angeles","Crustaceans","Shrimp, red rock","whole",12,5.44310913587132,124
"FB 181","Table 5a",1987,"Los Angeles","Crustaceans","Shrimp, unspecified","whole",160,72.5747884782842,750
"FB 181","Table 5a",1987,"Los Angeles","Echinoderms","Sea cucumber, unspecified","whole",4878,2212.62386373169,2920
"FB 181","Table 5a",1987,"Los Angeles","Echinoderms","Sea stars","whole",7,3.17514699592493,66
"FB 181","Table 5a",1987,"Los Angeles","Echinoderms","Urchin, red","whole",9099099,4127282.4079248,2720450
"FB 181","Table 5a",1987,"Los Angeles","Echinoderms","Urchin, white","whole",8,3.62873942391421,1
"FB 181","Table 5a",1987,"Los Angeles","Fish","Anchovy, northern","whole",252691,114618.724221038,21661
"FB 181","Table 5a",1987,"Los Angeles","Fish","Barracuda, California","whole",96867,43938.1377220372,89717
"FB 181","Table 5a",1987,"Los Angeles","Fish","Bass, giant sea","whole",3215,1458.29965598552,3656
"FB 181","Table 5a",1987,"Los Angeles","Fish","Blacksmith","whole",6130,2780.52158357426,307
"FB 181","Table 5a",1987,"Los Angeles","Fish","Bonito, Pacific","whole",9328318,4231254.41067607,1197730
"FB 181","Table 5a",1987,"Los Angeles","Fish","Butterfish (Pacific pompano)","whole",1135,514.827405767829,1117
"FB 181","Table 5a",1987,"Los Angeles","Fish","Cabezon","whole",185,83.9145991780161,64
"FB 181","Table 5a",1987,"Los Angeles","Fish","Cod, Pacific","whole",105,47.627204938874,105
"FB 181","Table 5a",1987,"Los Angeles","Fish","Croaker, white","whole",183217,83105.8438789112,73945
"FB 181","Table 5a",1987,"Los Angeles","Fish","Eel, California moray","whole",5,2.26796213994638,3
"FB 181","Table 5a",1987,"Los Angeles","Fish","Eulachon","whole",3046,1381.64253565534,361
"FB 181","Table 5a",1987,"Los Angeles","Fish","Fish, unspecified","whole",1337,606.453076221663,636
"FB 181","Table 5a",1987,"Los Angeles","Fish","Flounder, unspecified","whole",78,35.3802093831636,63
"FB 181","Table 5a",1987,"Los Angeles","Fish","Flyingfish","whole",179528,81432.5414120588,74548
"FB 181","Table 5a",1987,"Los Angeles","Fish","Garibaldi","whole",95,43.0912806589813,2012
"FB 181","Table 5a",1987,"Los Angeles","Fish","Goby, bluebanded","whole",18,8.16466370380697,5
"FB 181","Table 5a",1987,"Los Angeles","Fish","Grouper","whole",95,43.0912806589813,76
"FB 181","Table 5a",1987,"Los Angeles","Fish","Guitarfish, shovelnose","whole",12770,5792.37530542306,5175
"FB 181","Table 5a",1987,"Los Angeles","Fish","Halfmoon","whole",915,415.037071610188,641
"FB 181","Table 5a",1987,"Los Angeles","Fish","Halibut, California","whole",308112,139757.270172632,672703
"FB 181","Table 5a",1987,"Los Angeles","Fish","Herring, Pacific","whole",66860,30327.189735363,5049
"FB 181","Table 5a",1987,"Los Angeles","Fish","Jacksmelt","whole",209,94.8008174497588,94
"FB 181","Table 5a",1987,"Los Angeles","Fish","Lingcod","whole",7732,3507.17665321308,3917
"FB 181","Table 5a",1987,"Los Angeles","Fish","Lizardfish, California","whole",4770,2163.63588150885,1974
"FB 181","Table 5a",1987,"Los Angeles","Fish","Louvar","whole",1752,794.693933837212,2211
"FB 181","Table 5a",1987,"Los Angeles","Fish","Mackerel, bullet","whole",7000,3175.14699592493,350
"FB 181","Table 5a",1987,"Los Angeles","Fish","Mackerel, jack","whole",17198581,7801146.11376024,713066
"FB 181","Table 5a",1987,"Los Angeles","Fish","Mackerel, Pacific","whole",55618278,25228029.7586026,2660833
"FB 181","Table 5a",1987,"Los Angeles","Fish","Mackerel, unspecified","whole",32267553,14636317.7105427,1033747
"FB 181","Table 5a",1987,"Los Angeles","Fish","Opah","whole",19199,8708.52102496612,7217
"FB 181","Table 5a",1987,"Los Angeles","Fish","Opaleye","whole",4122,1869.7079881718,3292
"FB 181","Table 5a",1987,"Los Angeles","Fish","Queenfish","whole",137,62.1421626345309,25
"FB 181","Table 5a",1987,"Los Angeles","Fish","Ray, bat","whole",1,0.453592427989276,0.2
"FB 181","Table 5a",1987,"Los Angeles","Fish","Ray, Pacific electric","whole",4,1.81436971195711,2
"FB 181","Table 5a",1987,"Los Angeles","Fish","Ray, unspecified","whole",579,262.630015805791,6527
"FB 181","Table 5a",1987,"Los Angeles","Fish","Sablefish","whole",29200,13244.8988972869,22576
"FB 181","Table 5a",1987,"Los Angeles","Fish","Salmon","whole",174,78.9250824701341,618
"FB 181","Table 5a",1987,"Los Angeles","Fish","Salmon, Chinook","whole",900,408.233185190349,2520
"FB 181","Table 5a",1987,"Los Angeles","Fish","Sanddab","whole",1818,824.631034084504,3218
"FB 181","Table 5a",1987,"Los Angeles","Fish","Sardine, Pacific","whole",699482,317279.738714795,46304
"FB 181","Table 5a",1987,"Los Angeles","Fish","Sargo","whole",109,49.4415746508311,75
"FB 181","Table 5a",1987,"Los Angeles","Fish","Scorpionfish, California","whole",18155,8234.97053014531,18526
"FB 181","Table 5a",1987,"Los Angeles","Fish","Sculpin, staghorn","whole",110,49.8951670788204,136
"FB 181","Table 5a",1987,"Los Angeles","Fish","Seabass, white","whole",40437,18341.9170106024,77834
"FB 181","Table 5a",1987,"Los Angeles","Fish","Shad, American","whole",407,184.612118191635,162
"FB 181","Table 5a",1987,"Los Angeles","Fish","Shark, bigeye thresher","whole",1414,641.379693176837,1719
"FB 181","Table 5a",1987,"Los Angeles","Fish","Shark, blue","whole",2115,959.347985197319,829
"FB 181","Table 5a",1987,"Los Angeles","Fish","Shark, brown smoothhound","whole",2467,1119.01251984954,2017
"FB 181","Table 5a",1987,"Los Angeles","Fish","Shark, horn","whole",53,24.0403986834316,1607
"FB 181","Table 5a",1987,"Los Angeles","Fish","Shark, leopard","whole",13456,6103.5397110237,14034
"FB 181","Table 5a",1987,"Los Angeles","Fish","Shark, Pacific angel","whole",74931,33988.1342216645,35284
"FB 181","Table 5a",1987,"Los Angeles","Fish","Shark, shortfin mako","whole",164985,74835.9467318108,172609
"FB 181","Table 5a",1987,"Los Angeles","Fish","Shark, smooth hammerhead","whole",933,423.201735313995,567
"FB 181","Table 5a",1987,"Los Angeles","Fish","Shark, soupfin","whole",55671,25251.944058591,50428
"FB 181","Table 5a",1987,"Los Angeles","Fish","Shark, spiny dogfish","whole",7382,3348.41930341684,520
"FB 181","Table 5a",1987,"Los Angeles","Fish","Shark, thresher","whole",144147,65383.9877173702,212174
"FB 181","Table 5a",1987,"Los Angeles","Fish","Shark, unspecified","whole",5274,2392.24646521544,6271
"FB 181","Table 5a",1987,"Los Angeles","Fish","Shark, white","whole",571,259.001276381877,571
"FB 181","Table 5a",1987,"Los Angeles","Fish","Sheephead, California","whole",10068,4566.76856499603,8688
"FB 181","Table 5a",1987,"Los Angeles","Fish","Silversides","whole",3231,1465.55713483335,679
"FB 181","Table 5a",1987,"Los Angeles","Fish","Skate, unspecified","whole",5599,2539.66400431196,2093
"FB 181","Table 5a",1987,"Los Angeles","Fish","Smelts, true","whole",68,30.8442851032708,12
"FB 181","Table 5a",1987,"Los Angeles","Fish","Sole, butter","whole",10,4.53592427989276,5
"FB 181","Table 5a",1987,"Los Angeles","Fish","Sole, English","whole",369,167.375605928043,129
"FB 181","Table 5a",1987,"Los Angeles","Fish","Sole, petrale","whole",563,255.372536957963,466
"FB 181","Table 5a",1987,"Los Angeles","Fish","Sole, rex","whole",10,4.53592427989276,7
"FB 181","Table 5a",1987,"Los Angeles","Fish","Sole, sand","whole",56,25.4011759673995,22
"FB 181","Table 5a",1987,"Los Angeles","Fish","Sole, unspecified","whole",14686,6661.45839745051,6872
"FB 181","Table 5a",1987,"Los Angeles","Fish","Stingray","whole",33,14.9685501236461,331
"FB 181","Table 5a",1987,"Los Angeles","Fish","Surfperch, black","whole",512,232.239323130509,94
"FB 181","Table 5a",1987,"Los Angeles","Fish","Surfperch, shiner","whole",8,3.62873942391421,6
"FB 181","Table 5a",1987,"Los Angeles","Fish","Surfperch, unspecified","whole",11648,5283.44460121909,9473
"FB 181","Table 5a",1987,"Los Angeles","Fish","Surfperch, white","whole",12,5.44310913587132,10
"FB 181","Table 5a",1987,"Los Angeles","Fish","Swordfish","whole",817759,370929.290320083,3406179
"FB 181","Table 5a",1987,"Los Angeles","Fish","Thornyheads (unspecified)","whole",515,233.600100414477,309
"FB 181","Table 5a",1987,"Los Angeles","Fish","Tuna, albacore","whole",828005,375576.798337261,108061
"FB 181","Table 5a",1987,"Los Angeles","Fish","Tuna, bigeye","whole",73638,33401.6392122743,4015
"FB 181","Table 5a",1987,"Los Angeles","Fish","Tuna, blackfin","whole",12,5.44310913587132,9
"FB 181","Table 5a",1987,"Los Angeles","Fish","Tuna, bluefin","whole",1677117,760727.572052091,2120241
"FB 181","Table 5a",1987,"Los Angeles","Fish","Tuna, skipjack","whole",12021920,5453051.88189284,5147
"FB 181","Table 5a",1987,"Los Angeles","Fish","Tuna, unspecified","whole",272247,123489.177742797,432592
"FB 181","Table 5a",1987,"Los Angeles","Fish","Tuna, yellowfin","whole",48554580,22023989.8321996,882688
"FB 181","Table 5a",1987,"Los Angeles","Fish","Wahoo","whole",23318,10576.8682358539,11284
"FB 181","Table 5a",1987,"Los Angeles","Fish","Whitefish, ocean","whole",523,237.228839838392,261
"FB 181","Table 5a",1987,"Los Angeles","Fish","Yellowtail","whole",19936,9042.81864439421,18959
"FB 181","Table 5a",1987,"Los Angeles","Fish","Zebraperch","whole",218,98.8831493016622,185
"FB 181","Table 5a",1987,"Los Angeles","Miscellaneous invertebrates","Invertebrates, colonial","whole",18,8.16466370380697,509
"FB 181","Table 5a",1987,"Los Angeles","Mollusks","Abalone","whole",254,115.212476709276,1825
"FB 181","Table 5a",1987,"Los Angeles","Mollusks","Abalone, black","whole",70507,31981.4413202399,168447
"FB 181","Table 5a",1987,"Los Angeles","Mollusks","Abalone, green","whole",27737,12581.2931751386,130866
"FB 181","Table 5a",1987,"Los Angeles","Mollusks","Abalone, pink","whole",20654,9368.49800769051,95404
"FB 181","Table 5a",1987,"Los Angeles","Mollusks","Abalone, red","whole",9746,4420.71180318349,35801
"FB 181","Table 5a",1987,"Los Angeles","Mollusks","Abalone, white","whole",2,0.907184855978553,15
"FB 181","Table 5a",1987,"Los Angeles","Mollusks","Clam, California jackknife","whole",252,114.305291853298,510
"FB 181","Table 5a",1987,"Los Angeles","Mollusks","Clam, rosy razor","whole",81,36.7409866671314,40
"FB 181","Table 5a",1987,"Los Angeles","Mollusks","Clam, unspecified","whole",6311,2862.62181304032,4639
"FB 181","Table 5a",1987,"Los Angeles","Mollusks","Mollusk, unspecified","whole",2,0.907184855978553,12
"FB 181","Table 5a",1987,"Los Angeles","Mollusks","Mussel","whole",1114,505.301964780054,668
"FB 181","Table 5a",1987,"Los Angeles","Mollusks","Octopus, unspecified","whole",320,145.149576956568,4200
"FB 181","Table 5a",1987,"Los Angeles","Mollusks","Sea hare","whole",0.3,0.136077728396783,5
"FB 181","Table 5a",1987,"Los Angeles","Mollusks","Sea slug","whole",1384,627.771920337158,30222
"FB 181","Table 5a",1987,"Los Angeles","Mollusks","Snail, sea","whole",20667,9374.39470925437,9114
"FB 181","Table 5a",1987,"Los Angeles","Mollusks","Squid, market","whole",11952280,5421463.70520767,1112033
"FB 181","Table 5a",1987,"Los Angeles","Mollusks","Whelk, Kellet's","whole",532,241.311171690295,171
"FB 181","Table 5a",1987,"Los Angeles","Rockfish","Rockfish, blackgill","whole",157298,71349.1817378572,79247
"FB 181","Table 5a",1987,"Los Angeles","Rockfish","Rockfish, blue","whole",44,19.9580668315282,11
"FB 181","Table 5a",1987,"Los Angeles","Rockfish","Rockfish, chilipepper","whole",42,19.0508819755496,23
"FB 181","Table 5a",1987,"Los Angeles","Rockfish","Rockfish, cowcod","whole",10692,4849.81024006134,11212
"FB 181","Table 5a",1987,"Los Angeles","Rockfish","Rockfish, group bocaccio/chilipepper","whole",468144,212346.573608612,207565
"FB 181","Table 5a",1987,"Los Angeles","Rockfish","Rockfish, group bolina","whole",69,31.2978775312601,41
"FB 181","Table 5a",1987,"Los Angeles","Rockfish","Rockfish, group gopher","whole",9,4.08233185190349,10
