"source","table","category","comm_name_orig","comm_name","sci_name","year","presentation","landings_lb","landings_kg","value_usd"
"FB 181","Table 4d","Echinoderms","Urchin, red","Red sea urchin","Mesocentrotus franciscanus",1987,"not specified",46061649,20893215.2070998,11794461
"FB 181","Table 4d","Echinoderms","Sea cucumber, unspecified","Sea cucumber","Holothuroidea spp.",1987,"not specified",107678,48841.9254610293,22921
"FB 181","Table 4d","Echinoderms","Sea stars","Sea star","Asteroidea spp.",1987,"not specified",7,3.17514699592493,66
"FB 181","Table 4d","Echinoderms","Urchin, white","White sea urchin","Lytechinus anamesus",1987,"not specified",8,3.62873942391421,1
"FB 181","Table 4a","Fish","Tuna, albacore","Albacore tuna","Thunnus alalunga",1987,"not specified",3511483,1592782.09981307,2076713
"FB 181","Table 4a","Fish","Shad, American","American shad","Alosa sapidissima",1987,"not specified",19327,8766.58085574875,34238
"FB 181","Table 4a","Fish","Flounder, arrowtooth","Arrowtooth flounder","Atheresthes stomias",1987,"not specified",100182,45441.7966208217,14548
"FB 181","Table 4a","Fish","Bass, barred sand","Barred sand bass","Paralabrax nebulifer",1987,"not specified",427,193.683966751421,162
"FB 181","Table 4a","Fish","Surfperch, barred","Barred surfperch","Amphistichus argenteus",1987,"not specified",22357,10140.9659125563,27523
"FB 181","Table 4a","Fish","Ray, bat","Bat ray","Myliobatis californica",1987,"not specified",131,59.4206080665952,39
"FB 181","Table 4a","Fish","Shark, bigeye thresher","Bigeye thresher shark","Alopias superciliosus",1987,"not specified",25304,11477.7027978406,21021
"FB 181","Table 4a","Fish","Tuna, bigeye","Bigeye tuna","Thunnus obesus",1987,"not specified",109671,49745.9351700119,70149
"FB 181","Table 4a","Fish","Sole, bigmouth","Bigmouth sole","Hippoglossina stomata",1987,"not specified",178,80.7394521820912,45
"FB 181","Table 4a","Fish","Surfperch, black","Black surfperch","Embiotoca jacksoni",1987,"not specified",553,250.83661267807,120
"FB 181","Table 4a","Fish","Tuna, blackfin","Blackfin tuna","Thunnus atlanticus",1987,"not specified",1154,523.445661899625,866
"FB 181","Table 4a","Fish","Blacksmith","Blacksmith","Chromis punctipinnis",1987,"not specified",6130,2780.52158357426,307
"FB 181","Table 4a","Fish","Shark, blue","Blue shark","Prionace glauca",1987,"not specified",3410,1546.75017944343,1321
"FB 181","Table 4a","Fish","Goby, bluebanded","Bluebanded goby","Lythrypnus dalli",1987,"not specified",18,8.16466370380697,5
"FB 181","Table 4a","Fish","Tuna, bluefin","Bluefin tuna","Thunnus thynnus",1987,"not specified",1814038,822833.900884811,2294248
"FB 181","Table 4a","Fish","Shark, brown smoothhound","Brown smoothhound shark","Mustelus henlei",1987,"not specified",12905,5853.61028320161,6650
"FB 181","Table 4a","Fish","Mackerel, bullet","Bullet mackerel","Auxis rochei",1987,"not specified",7000,3175.14699592493,350
"FB 181","Table 4a","Fish","Sole, butter","Butter sole","Isopsetta isolepis",1987,"not specified",32794,14875.1100834803,6269
"FB 181","Table 4a","Fish","Cabezon","Cabezon","Scorpaenichthys marmoratus",1987,"not specified",8832,4006.12832400129,2765
"FB 181","Table 4a","Fish","Barracuda, California","California barracuda","Sphyraena argentea",1987,"not specified",113250,51369.3424697856,104613
"FB 181","Table 4a","Fish","Corbina, California","California corbina","Menticirrhus undulatus",1987,"not specified",43,19.5044744035389,65
"FB 181","Table 4a","Fish","Halibut, California","California halibut","Paralichthys californicus",1987,"not specified",1188596,539138.145538342,2552378
"FB 181","Table 4a","Fish","Lizardfish, California","California lizardfish","Synodus lucioceps",1987,"not specified",4770,2163.63588150885,1974
"FB 181","Table 4a","Fish","Eel, California moray","California moray eel","Gymnothorax mordax",1987,"not specified",5,2.26796213994638,3
"FB 181","Table 4a","Fish","Scorpionfish, California","California scorpionfish","Scorpaena guttata",1987,"not specified",28786,13057.1116320993,30327
"FB 181","Table 4a","Fish","Sheephead, California","California sheephead","Semicossyphus pulcher",1987,"not specified",32865,14907.3151458676,19678
"FB 181","Table 4a","Fish","Salmon, Chinook","Chinook salmon","Oncorhynchus tshawytscha",1987,"not specified",8898040,4036083.5679457,24581785
"FB 181","Table 4a","Fish","Salmon, coho","Coho salmon","Oncorhynchus kisutch",1987,"not specified",245711,111452.649073673,492266
"FB 181","Table 4a","Fish","Dolphin (fish)","Common dolphinfish","Coryphaena hippurus",1987,"not specified",714,323.864993584343,357
"FB 181","Table 4a","Fish","Shark, thresher","Common thresher shark","Alopias vulpinus",1987,"not specified",525076,238170.497718897,787169
"FB 181","Table 4a","Fish","Sharks, cow","Cow shark","Hexanchidae spp.",1987,"not specified",358,162.386089220161,162
"FB 181","Table 4a","Fish","Croaker, unspecified","Croaker","Sciaenidae spp.",1987,"not specified",80,36.2873942391421,32
"FB 181","Table 4a","Fish","Sole, Dover","Dover sole","Microstomus pacificus",1987,"not specified",23723647,10760866.6434905,6368720
"FB 181","Table 4a","Fish","Eel","Eel","Anarrhichthys ocellatus, Gymnothorax mordax",1987,"not specified",227,102.965481153566,31
"FB 181","Table 4a","Fish","Sole, English","English sole","Parophrys vetulus",1987,"not specified",2914757,1322111.70462874,1152143
"FB 181","Table 4a","Fish","Eulachon","Eulachon","Thaleichthys pacificus",1987,"not specified",3046,1381.64253565534,361
"FB 181","Table 4a","Fish","Sole, fantail","Fantail sole","Xystreurys liolepis",1987,"not specified",29901,13562.8671893074,6020
"FB 181","Table 4a","Fish","Fish, unspecified","Fish","Osteichthyes spp.",1987,"not specified",143249,64976.6617170358,10320
"FB 181","Table 4a","Fish","Flounder, unspecified","Flounder","Pleuronectidae spp.",1987,"not specified",70875,32148.36333374,33643
"FB 181","Table 4a","Fish","Flyingfish","Flyingfish","Exocoetidae spp.",1987,"not specified",179528,81432.5414120588,74548
"FB 181","Table 4a","Fish","Garibaldi","Garibaldi","Hypsypops rubicundus",1987,"not specified",95,43.0912806589813,2012
"FB 181","Table 4a","Fish","Bass, giant sea","Giant sea bass","Stereolepis gigas",1987,"not specified",12023,5453.54176171507,15624
"FB 181","Table 4a","Fish","Grenadiers","Grenadier","Macrouridae spp.",1987,"not specified",127104,57653.411967149,19155
"FB 181","Table 4a","Fish","Grouper","Grouper","Epinephelinae spp.",1987,"not specified",218,98.8831493016622,157
"FB 181","Table 4a","Fish","Halfmoon","Halfmoon","Medialuna californiensis",1987,"not specified",2865,1299.54230618928,1814
"FB 181","Table 4a","Fish","Halibut, unspecified","Halibut","Pleuronectiformes spp.",1987,"not specified",395,179.169009055764,886
"FB 181","Table 4a","Fish","Shark, horn","Horn shark","Heterodontus francisci",1987,"not specified",53,24.0403986834316,1607
"FB 181","Table 4a","Fish","Jacksmelt","Jacksmelt","Atherinopsis californiensis",1987,"not specified",1115,505.755557208043,326
"FB 181","Table 4a","Fish","Bass, kelp","Kelp bass","Paralabrax clathratus",1987,"not specified",23,10.4326258437534,18
"FB 181","Table 4a","Fish","Greenling, kelp","Kelp greenling","Hexagrammos decagrammus",1987,"not specified",1578,715.768851367078,393
"FB 181","Table 4a","Fish","Shark, leopard","Leopard shark","Triakis semifasciata",1987,"not specified",55344,25103.6193346385,38249
"FB 181","Table 4a","Fish","Lingcod","Lingcod","Ophiodon elongatus",1987,"not specified",1858526,843013.320821198,703720
"FB 181","Table 4a","Fish","Mudsucker, longjaw","Longjaw mudsucker","Gillichthys mirabilis",1987,"not specified",564,255.826129385952,3578
"FB 181","Table 4a","Fish","Louvar","Louvar","Luvarus imperialis",1987,"not specified",11673,5294.78441191882,17811
"FB 181","Table 4a","Fish","Mackerel, unspecified","Mackerel","Scombridae spp.",1987,"not specified",43614094,19783022.7920125,1702269
"FB 181","Table 4a","Fish","Trawled fish for animal food","Miscellaneous (animal food)","variable spp.",1987,"not specified",64155,29100.222217652,39135
"FB 181","Table 4a","Fish","Prickleback, monkeyface","Monkeyface prickleback","Cebidichthys violaceus",1987,"not specified",28,12.7005879836997,14
"FB 181","Table 4a","Fish","Smelt, night","Night smelt","Spirinchus starksi",1987,"not specified",581,263.53720066177,195
"FB 181","Table 4a","Fish","Anchovy, northern","Northern anchovy","Engraulis mordax",1987,"not specified",3063684,1389663.8641519,237705
"FB 181","Table 4a","Fish","Sunfish, ocean","Ocean sunfish","Mola mola",1987,"not specified",245,111.130144857373,341
"FB 181","Table 4a","Fish","Whitefish, ocean","Ocean whitefish","Caulolatilus princeps",1987,"not specified",7036,3191.47632333255,2766
"FB 181","Table 4a","Fish","Silversides","Old World silverside","Atherinidae spp.",1987,"not specified",4854,2201.73764545995,1256
"FB 181","Table 4a","Fish","Opah","Opah","Lampris guttatus",1987,"not specified",92492,41953.6708495841,39819
"FB 181","Table 4a","Fish","Opaleye","Opaleye","Girella nigricans",1987,"not specified",4599,2086.07157632268,3592
"FB 181","Table 4a","Fish","Shark, Pacific angel","Pacific angel shark","Squatina californica",1987,"not specified",940136,426438.570880126,542591
"FB 181","Table 4a","Fish","Bonito, Pacific","Pacific bonito","Sarda chiliensis",1987,"not specified",11350831,5148650.99298595,1600730
"FB 181","Table 4a","Fish","Cod, Pacific","Pacific cod","Gadus macrocephalus",1987,"not specified",144938,65742.7793279097,45943
"FB 181","Table 4a","Fish","Ray, Pacific electric","Pacific electric ray","Tetronarce californica",1987,"not specified",4,1.81436971195711,2
"FB 181","Table 4a","Fish","Whiting, Pacific","Pacific hake (whiting)","Merluccius productus",1987,"not specified",9959960,4517762.43907607,610541
"FB 181","Table 4a","Fish","Halibut, Pacific","Pacific halibut","Hippoglossus stenolepis",1987,"not specified",62056,28148.1317113025,123325
"FB 181","Table 4a","Fish","Herring roe on kelp","Pacific herring","Clupea pallasii pallasii",1987,"roe on kelp",43359,19667.314085187,84739
"FB 181","Table 4a","Fish","Herring, Pacific","Pacific herring","Clupea pallasii pallasii",1987,"not specified",18563149,8420103.82603671,5627892
"FB 181","Table 4a","Fish","Mackerel, jack","Pacific jack mackerel","Trachurus symmetricus",1987,"not specified",17681368,8020134.64129189,747349
"FB 181","Table 4a","Fish","Mackerel, Pacific","Pacific mackerel","Scomber japonicus",1987,"not specified",59392728,26940091.6984267,2907656
"FB 181","Table 4a","Fish","Butterfish (Pacific pompano)","Pacific pompano (butterfish)","Peprilus simillimus",1987,"not specified",18409,8350.18300685459,15077
"FB 181","Table 4a","Fish","Sardine, Pacific","Pacific sardine","Sardinops sagax",1987,"not specified",968776,439429.458017739,62610
"FB 181","Table 4a","Fish","Sierra, Pacific","Pacific sierra","Scomberomorus sierra",1987,"not specified",52,23.5868062554424,26
"FB 181","Table 4a","Fish","Tomcod, Pacific","Pacific tomcod","Microgadus proximus",1987,"not specified",186,84.3681916060054,61
"FB 181","Table 4a","Fish","Shark, pelagic thresher","Pelagic thresher shark","Alopias pelagicus",1987,"not specified",2294,1040.5410298074,1842
"FB 181","Table 4a","Fish","Sole, petrale","Petrale sole","Eopsetta jordani",1987,"not specified",1815848,823654.903179471,1390414
"FB 181","Table 4a","Fish","Surfperch, pile","Pile surfperch","Rhacochilus vacca",1987,"not specified",55,24.9475835394102,33
"FB 181","Table 4a","Fish","Salmon, pink","Pink salmon","Oncorhynchus gorbuscha",1987,"not specified",3449,1564.44028413501,2502
"FB 181","Table 4a","Fish","Midshipman, plainfin","Plainfin midshipman","Porichthys notatus",1987,"not specified",37,16.7829198356032,18
"FB 181","Table 4a","Fish","Queenfish","Queenfish","Seriphus politus",1987,"not specified",157,71.2140111943164,34
"FB 181","Table 4a","Fish","Ray, unspecified","Ray","Rajiformes spp.",1987,"not specified",673,305.267704036783,6579
"FB 181","Table 4a","Fish","Surfperch, redtail","Redtail surfperch","Amphistichus rhodoterus",1987,"not specified",23045,10453.0375030129,19417
"FB 181","Table 4a","Fish","Sole, rex","Rex sole","Glyptocephalus zachirus",1987,"not specified",1818775,824982.568216196,649399
"FB 181","Table 4a","Fish","Bass, rock","Rock bass","Ambloplites rupestris",1987,"not specified",18,8.16466370380697,13
"FB 181","Table 4a","Fish","Sole, rock","Rock sole","Paraplagusia bilineata",1987,"not specified",9151,4150.82430852987,3762
"FB 181","Table 4a","Fish","Sablefish","Sablefish","Anoplopoma fimbria",1987,"not specified",9585595,4347953.30977187,3255017
"FB 181","Table 4a","Fish","Salmon","Salmon","Oncorhynchus spp.",1987,"not specified",153653,69695.8373378363,465208
"FB 181","Table 4a","Fish","Shark, salmon","Salmon shark","Lamna ditropis",1987,"not specified",255,115.666069137265,189
"FB 181","Table 4a","Fish","Sole, sand","Sand sole","Psettichthys melanostictus",1987,"not specified",336256,152523.175465962,245295
"FB 181","Table 4a","Fish","Sanddab","Sanddab","Citharichthys spp.",1987,"not specified",1175870,533365.72829975,429277
"FB 181","Table 4a","Fish","Sargo","Sargo","Anisotremus davidsonii",1987,"not specified",109,49.4415746508311,75
"FB 181","Table 4a","Fish","Shark, sevengill","Sevengill shark","Notorynchus cepedianus",1987,"not specified",170,77.110712758177,119
"FB 181","Table 4a","Fish","Shark, unspecified","Shark","Selachimorpha spp.",1987,"not specified",167849,76135.0354455721,51280
"FB 181","Table 4a","Fish","Surfperch, shiner","Shiner surfperch","Cymatogaster aggregata",1987,"not specified",53,24.0403986834316,23
"FB 181","Table 4a","Fish","Shark, shortfin mako","Shortfin mako shark","Isurus oxyrinchus",1987,"not specified",611981,277589.947673305,709317
"FB 181","Table 4a","Fish","Guitarfish, shovelnose","Shovelnose guitarfish","Pseudobatos productus",1987,"not specified",55037,24964.3664592458,21966
"FB 181","Table 4a","Fish","Shark, sixgill","Sixgill shark","Hexanchus griseus",1987,"not specified",55,24.9475835394102,110
"FB 181","Table 4a","Fish","Skate, unspecified","Skate","Rajidae spp.",1987,"not specified",169691,76970.5526979283,49808
"FB 181","Table 4a","Fish","Tuna, skipjack","Skipjack tuna","Katsuwonus pelamis",1987,"not specified",12619100,5723928.20803948,5478
"FB 181","Table 4a","Fish","Shark, smooth hammerhead","Smooth hammerhead shark","Sphyrna zygaena",1987,"not specified",1807,819.641517376622,984
"FB 181","Table 4a","Fish","Sole, unspecified","Sole","Pleuronectiformes spp.",1987,"not specified",78811,35748.0728422629,34544
"FB 181","Table 4a","Fish","Shark, soupfin","Soupfin shark","Galeorhinus galeus",1987,"not specified",201420,91362.5868456,171315
"FB 181","Table 4a","Fish","Shark, spiny dogfish","Spiny dogfish shark","Squalus acanthias",1987,"not specified",53935,24464.5076036016,5253
"FB 181","Table 4a","Fish","Sculpin, staghorn","Staghorn sculpin","Leptocottus armatus",1987,"not specified",110,49.8951670788204,136
"FB 181","Table 4a","Fish","Flounder, starry","Starry flounder","Platichthys stellatus",1987,"not specified",210972,95695.3017177536,94742
"FB 181","Table 4a","Fish","Stingray","Stingray","Dasyatidae spp.",1987,"not specified",298,135.170543540804,2981
"FB 181","Table 4a","Fish","Mullet, striped","Striped mullet","Mugil cephalus",1987,"not specified",17134,7771.85266116826,12834
"FB 181","Table 4a","Fish","Smelt, surf","Surf smelt","Hypomesus pretiosus",1987,"not specified",5778,2620.85704892204,1575
"FB 181","Table 4a","Fish","Surfperch, unspecified","Surfperch","Embiotocidae spp.",1987,"not specified",99492,45128.8178455091,71819
"FB 181","Table 4a","Fish","Swordfish","Swordfish","Xiphias gladius",1987,"not specified",2740942,1243270.53675778,10409413
"FB 181","Table 4a","Fish","Thornyheads (unspecified)","Thornyhead","Sebastolobus spp.",1987,"not specified",6508187,2952064.34313824,1892486
"FB 181","Table 4a","Fish","Shad, threadfin","Threadfin shad","Dorosoma petenense",1987,"not specified",16878,7655.73299960301,26811
"FB 181","Table 4a","Fish","Stickleback, threespine","Threespine stickleback","Gasterosteus aculeatus",1987,"not specified",2549,1156.20709894467,6644
"FB 181","Table 4a","Fish","Triggerfish","Triggerfish","Balistidae spp.",1987,"not specified",525,238.13602469437,105
"FB 181","Table 4a","Fish","Smelts, true","True smelt","Osmeridae spp.",1987,"not specified",434618,197139.433867843,68822
"FB 181","Table 4a","Fish","Tuna, unspecified","Tuna","Scombridae spp.",1987,"not specified",283784,128722.273584509,448055
"FB 181","Table 4a","Fish","Turbot","Turbot","Pleuronectidae spp.",1987,"not specified",42582,19314.8727686394,13940
"FB 181","Table 4a","Fish","Wahoo","Wahoo","Acanthocybium solandri",1987,"not specified",23328,10581.4041601338,11294
"FB 181","Table 4a","Fish","Croaker, white","White croaker (kingfish)","Genyonemus lineatus",1987,"not specified",912952,414108.114317666,340054
"FB 181","Table 4a","Fish","Seabass, white","White seabass","Atractoscion nobilis",1987,"not specified",116454,52822.6526090632,222521
"FB 181","Table 4a","Fish","Shark, white","White shark","Carcharodon carcharias",1987,"not specified",1343,609.174630789598,1099
"FB 181","Table 4a","Fish","Surfperch, white","White surfperch","Phanerodon furcatus",1987,"not specified",12,5.44310913587132,10
"FB 181","Table 4a","Fish","Smelt, whitebait","Whitebait smelt","Allosmerus elongatus",1987,"not specified",487819,221271.004629301,146790
"FB 181","Table 4a","Fish","Eel, wolf (wolf-eel)","Wolf eel","Anarrhichthys ocellatus",1987,"not specified",6657,3019.56479312461,2685
"FB 181","Table 4a","Fish","Tuna, yellowfin","Yellowfin tuna","Thunnus albacares",1987,"not specified",51148999,23200798.6456311,914323
"FB 181","Table 4a","Fish","Yellowtail","Yellowtail (amberjack)","Seriola lalandi",1987,"not specified",56853,25788.0903084743,55644
"FB 181","Table 4a","Fish","Zebraperch","Zebraperch","Kyphosus azureus",1987,"not specified",218,98.8831493016622,185
"FB 181","Table 4g","Miscellaneous species","Invertebrates, colonial","Colonial invertebrate","Cnidaria spp.",1987,"not specified",18,8.16466370380697,509
"FB 181","Table 4g","Miscellaneous species","Worms, marine","Marine worm","Polychaeta spp.",1987,"not specified",1224,555.197131858874,790
"FB 181","Table 4e","Mollusks","Abalone","Abalone","Haliotis spp.",1987,"not specified",1550,703.068263383378,8768
"FB 181","Table 4e","Mollusks","Abalone, black","Black abalone","Haliotis cracherodii",1987,"not specified",309786,140516.583897086,774039
"FB 181","Table 4e","Mollusks","Clam, California jackknife","California jackknife clam","Ensis myrae",1987,"not specified",252,114.305291853298,510
"FB 181","Table 4e","Mollusks","Clam, unspecified","Clam","Bivalvia spp.",1987,"not specified",105161,47700.2333197803,32092
"FB 181","Table 4e","Mollusks","Abalone, green","Green abalone","Haliotis fulgens",1987,"not specified",28985,13147.3765252692,135389
"FB 181","Table 4e","Mollusks","Squid, jumbo","Jumbo squid","Dosidicus gigas",1987,"not specified",26,11.7934031277212,6
"FB 181","Table 4e","Mollusks","Whelk, Kellet's","Kellet's whelk","Kelletia kelletii",1987,"not specified",1216,551.56839243496,382
"FB 181","Table 4e","Mollusks","Limpet, unspecified","Limpet","Archaeogastropoda spp.",1987,"not specified",2654,1203.83430388354,2654
"FB 181","Table 4e","Mollusks","Squid, market","Market squid","Doryteuthis opalescens",1987,"not specified",44056899,19983875.7870883,3791837
"FB 181","Table 4e","Mollusks","Mollusk, unspecified","Mollusk","Mollusca spp.",1987,"not specified",2,0.907184855978553,12
"FB 181","Table 4e","Mollusks","Snails, moon","Moon snail","Naticidae spp.",1987,"not specified",27,12.2469955557105,14
"FB 181","Table 4e","Mollusks","Mussel","Mussel","Mytilidae spp.",1987,"not specified",1577,715.315258939089,934
"FB 181","Table 4e","Mollusks","Octopus, unspecified","Octopus","Octopoda spp.",1987,"not specified",16442,7457.96670099968,18173
"FB 181","Table 4e","Mollusks","Abalone, pink","Pink abalone","Haliotis corrugata",1987,"not specified",31597,14332.1599471772,138220
"FB 181","Table 4e","Mollusks","Abalone, red","Red abalone","Haliotis rufescens",1987,"not specified",391030,177368.247116647,1396820
"FB 181","Table 4e","Mollusks","Clam, rosy razor","Rosy razor clam","Solecurtus strigilatus",1987,"not specified",81,36.7409866671314,40
"FB 181","Table 4e","Mollusks","Sea hare","Sea hare","Aplysia californica",1987,"not specified",0.3,0.136077728396783,5
"FB 181","Table 4e","Mollusks","Sea slug","Sea slug","Opisthobranchia spp.",1987,"not specified",1384,627.771920337158,30222
"FB 181","Table 4e","Mollusks","Snail, sea","Sea snail","Gastropoda spp.",1987,"not specified",29722,13481.6741446973,14432
"FB 181","Table 4e","Mollusks","Abalone, threaded","Threaded abalone","Haliotis assimilis",1987,"not specified",8,3.62873942391421,15
"FB 181","Table 4e","Mollusks","Abalone, white","White abalone","Haliotis sorenseni",1987,"not specified",2,0.907184855978553,15
"FB 181","Table 4f","Plants","Kelp","Kelp","Macrocystis spp.",1987,"not specified",1115,505.755557208043,836
"FB 181","Table 4f","Plants","Algae, marine","Marine algae","Algae spp.",1987,"not specified",43,19.5044744035389,28
"FB 181","Table 4b","Rockfish","Rockfish, bank","Bank rockfish","Sebastes rufus",1987,"not specified",80657,36585.4044643311,33542
"FB 181","Table 4b","Rockfish","Rockfish, black","Black rockfish","Sebastes melanops",1987,"not specified",42402,19233.2261316013,15452
"FB 181","Table 4b","Rockfish","Rockfish, black-and-yellow","Black-and-yellow rockfish","Sebastes chrysomelas",1987,"not specified",222,100.697519013619,103
"FB 181","Table 4b","Rockfish","Rockfish, blackgill","Blackgill rockfish","Sebastes melanostomus",1987,"not specified",455711,206707.058951421,237182
"FB 181","Table 4b","Rockfish","Rockfish, blue","Blue rockfish","Sebastes mystinus",1987,"not specified",21735,9858.83142234692,7610
"FB 181","Table 4b","Rockfish","Rockfish, group bocaccio/chilipepper","Bocaccio/chilipepper rockfish group","Sebastes spp.",1987,"not specified",5029299,2281251.94449404,1994719
"FB 181","Table 4b","Rockfish","Rockfish, group bolina","Bolina rockfish group","Sebastes spp.",1987,"not specified",96714,43868.7380805549,84516
"FB 181","Table 4b","Rockfish","Rockfish, brown","Brown rockfish","Sebastes auriculatus",1987,"not specified",9257,4198.90510589673,3782
"FB 181","Table 4b","Rockfish","Rockfish, canary","Canary rockfish","Sebastes pinniger",1987,"not specified",3868,1754.49551146252,2391
"FB 181","Table 4b","Rockfish","Rockfish, chilipepper","Chilipepper rockfish","Sebastes goodei",1987,"not specified",7604,3449.11682243046,3123
"FB 181","Table 4b","Rockfish","Rockfish, China","China rockfish","Sebastes nebulosus",1987,"not specified",12766,5790.5609357111,8085
"FB 181","Table 4b","Rockfish","Rockfish, copper","Copper rockfish","Sebastes caurinus",1987,"not specified",6348,2879.40473287593,4137
"FB 181","Table 4b","Rockfish","Rockfish, copper (whitebelly)","Copper rockfish","Sebastes caurinus",1987,"not specified",689,312.525182884611,646
"FB 181","Table 4b","Rockfish","Rockfish, cowcod","Cowcod rockfish","Sebastes levis",1987,"not specified",102849,46651.5276262691,92089
"FB 181","Table 4b","Rockfish","Rockfish, group deepwater reds","Deepwater reds rockfish group","Sebastes spp.",1987,"not specified",1876,850.939394907883,814
"FB 181","Table 4b","Rockfish","Rockfish, group gopher","Gopher rockfish group","Sebastes spp.",1987,"not specified",95702,43409.7025434297,113252
"FB 181","Table 4b","Rockfish","Rockfish, olive","Olive rockfish","Sebastes serranoides",1987,"not specified",12,5.44310913587132,5
"FB 181","Table 4b","Rockfish","Rockfish, Pacific ocean perch","Pacific ocean perch rockfish","Sebastes alutus",1987,"not specified",389,176.447454487829,339
"FB 181","Table 4b","Rockfish","Rockfish, pink","Pink rockfish","Sebastes eos",1987,"not specified",13,5.89670156386059,10
"FB 181","Table 4b","Rockfish","Rockfish, group red","Red rockfish group","Sebastes spp.",1987,"not specified",1670231,757604.134592957,1065156
"FB 181","Table 4b","Rockfish","Rockfish, unspecified","Rockfish","Sebastes spp.",1987,"not specified",15816720,7174344.42762655,5895226
"FB 181","Table 4b","Rockfish","Rockfish, group rosefish","Rosefish rockfish group","Sebastes spp.",1987,"not specified",1143584,518721.043169689,307099
"FB 181","Table 4b","Rockfish","Rockfish, rosy","Rosy rockfish","Sebastes rosaceus",1987,"not specified",5013,2273.85884151024,1588
"FB 181","Table 4b","Rockfish","Rockfish, group small","Small rockfish group","Sebastes spp.",1987,"not specified",620535,281469.977302326,178826
"FB 181","Table 4b","Rockfish","Rockfish, speckled","Speckled rockfish","Sebastes ovalis",1987,"not specified",307,139.252875392708,184
"FB 181","Table 4b","Rockfish","Rockfish, splitnose","Splitnose rockfish","Sebastes diploproa",1987,"not specified",3704,1680.10635327228,3646
"FB 181","Table 4b","Rockfish","Rockfish, vermilion","Vermilion rockfish","Sebastes miniatus",1987,"not specified",42,19.0508819755496,25
"FB 181","Table 4b","Rockfish","Rockfish, widow","Widow rockfish","Sebastes entomelas",1987,"not specified",4684568,2124884.57320087,1540747
"FB 181","Table 4b","Rockfish","Rockfish, yelloweye","Yelloweye rockfish","Sebastes ruberrimus",1987,"not specified",51291,23265.209223998,32717
"FB 181","Table 4b","Rockfish","Rockfish, yellowtail","Yellowtail rockfish","Sebastes flavidus",1987,"not specified",183285,83136.6881640145,89996
"FB 181","Table 4c","Crustaceans","Barnacle","Barnacle","Cirripedia spp.",1988,"not specified",2,0.907184855978553,4
"FB 181","Table 4c","Crustaceans","Shrimp, bay","Bay shrimp","Crangon franciscorum",1988,"not specified",132950,60305.1133011743,284894
"FB 181","Table 4c","Crustaceans","Shrimp, brine","Brine shrimp","Artemia salina",1988,"not specified",123253,55906.6275269623,3464
